Date,buy DO,Price
2006-09-15,19,70.82
2006-09-22,20,68.94
2006-09-29,21,72.37
2006-10-06,20,66.02
2006-10-13,22,67.91
2006-10-20,18,67.23
2006-10-27,21,70.93
2006-11-03,21,71.01
2006-11-10,21,75.26
2006-11-17,23,74.67
2006-11-24,22,76.52
2006-12-01,22,80.59
2006-12-08,24,81.10
2006-12-15,24,84.05
2006-12-22,22,80.18
2006-12-29,24,79.94
2007-01-05,25,77.27
2007-01-12,21,76.82
2007-01-19,22,79.21
2007-01-26,23,81.04
2007-02-02,24,84.58
2007-02-09,23,85.28
2007-02-16,24,78.59
2007-02-23,23,79.84
2007-03-02,20,75.12
2007-03-09,23,76.66
2007-03-16,24,76.12
2007-03-23,23,81.40
2007-03-30,22,80.95
2007-04-06,24,
2007-04-13,22,83.50
2007-04-20,22,82.19
2007-04-27,24,87.94
2007-05-04,25,88.56
2007-05-11,25,87.39
2007-05-18,26,92.90
2007-05-25,27,93.38
2007-06-01,25,94.47
2007-06-08,27,91.62
2007-06-15,25,99.22
2007-06-22,25,107.13
2007-06-29,28,101.56
2007-07-06,26,105.71
2007-07-13,28,104.52
2007-07-20,26,108.40
2007-07-27,26,103.27
2007-08-03,27,96.00
2007-08-10,28,96.39
2007-08-17,31,93.38
2007-08-24,28,100.74
2007-08-31,26,105.16
2007-09-07,25,108.04
2007-09-14,26,108.38
2007-09-21,27,115.05
2007-09-28,26,113.29
2007-10-05,25,112.24
2007-10-12,29,117.20
2007-10-19,26,109.82
2007-10-26,28,112.47
2007-11-02,25,115.20
2007-11-09,27,113.05
2007-11-16,28,109.44
2007-11-23,36,114.58
2007-11-30,33,116.43
2007-12-07,34,125.30
2007-12-14,31,128.58
2007-12-21,31,139.82
2007-12-28,36,143.07
2008-01-04,35,135.29
2008-01-11,32,124.51
2008-01-18,31,117.54
2008-01-25,31,118.67
2008-02-01,34,115.94
2008-02-08,32,108.39
2008-02-15,33,110.47
2008-02-22,32,119.38
2008-02-29,32,120.83
2008-03-07,32,120.26
2008-03-14,31,124.45
2008-03-21,36,
2008-03-28,33,117.94
2008-04-04,32,121.51
2008-04-11,33,124.77
2008-04-18,35,138.75
2008-04-25,34,132.70
2008-05-02,37,127.99
2008-05-09,34,131.82
2008-05-16,35,140.42
2008-05-23,34,136.86
2008-05-30,36,136.44
2008-06-06,34,133.82
2008-06-13,36,132.44
2008-06-20,38,130.86
2008-06-27,39,137.88
2008-07-04,40,
2008-07-11,42,131.86
2008-07-18,43,123.62
2008-07-25,44,115.86
2008-08-01,43,120.28
2008-08-08,42,111.83
2008-08-15,42,108.06
2008-08-22,39,109.89
2008-08-29,39,109.91
2008-09-05,36,106.90
2008-09-12,39,107.70
2008-09-19,39,112.49
2008-09-26,41,111.94
2008-10-03,42,93.73
2008-10-10,42,66.73
2008-10-17,43,69.73
2008-10-24,41,72.58
2008-10-31,43,88.80
2008-11-07,43,83.03
2008-11-14,45,73.73
2008-11-21,46,65.10
2008-11-28,47,73.80
2008-12-05,50,60.43
2008-12-12,50,68.06
2008-12-19,48,58.58
2008-12-26,54,57.86
2009-01-02,56,63.12
2009-01-09,46,61.76
2009-01-16,46,57.97
2009-01-23,47,63.27
2009-01-30,47,62.76
2009-02-06,46,67.49
2009-02-13,48,63.41
2009-02-20,48,63.01
2009-02-27,50,62.64
2009-03-06,50,55.48
2009-03-13,49,59.00
2009-03-20,47,66.17
2009-03-27,46,65.62
2009-04-03,48,68.96
2009-04-10,50,
2009-04-17,53,73.44
2009-04-24,50,76.19
2009-05-01,51,74.81
2009-05-08,53,79.65
2009-05-15,50,72.48
2009-05-22,52,76.29
2009-05-29,52,84.28
2009-06-05,55,87.24
2009-06-12,58,91.71
2009-06-19,56,87.67
2009-06-26,56,84.58
2009-07-03,52,
2009-07-10,57,77.95
2009-07-17,60,85.05
2009-07-24,59,93.13
2009-07-31,61,89.87
2009-08-07,60,89.04
2009-08-14,66,87.63
2009-08-21,61,90.00
2009-08-28,60,90.76
2009-09-04,57,88.68
2009-09-11,56,93.66
2009-09-18,57,93.99
2009-09-25,56,91.25
2009-10-02,55,92.45
2009-10-09,57,100.11
2009-10-16,58,105.61
2009-10-23,58,105.80
2009-10-30,56,95.25
2009-11-06,58,97.20
2009-11-13,57,100.01
2009-11-20,58,97.66
2009-11-27,63,99.46
2009-12-04,61,97.20
2009-12-11,62,96.09
2009-12-18,63,98.11
2009-12-25,70,
2010-01-01,74,
2010-01-08,62,106.34
2010-01-15,61,102.84
2010-01-22,62,94.38
2010-01-29,61,91.53
2010-02-05,61,88.46
2010-02-12,61,85.29
2010-02-19,59,89.12
2010-02-26,62,87.32
2010-03-05,63,87.93
2010-03-12,58,89.56
2010-03-19,58,84.41
2010-03-26,62,84.68
2010-04-02,62,
2010-04-09,62,90.72
2010-04-16,61,87.21
2010-04-23,64,85.60
2010-04-30,61,79.10
2010-05-07,62,72.90
2010-05-14,65,71.67
2010-05-21,65,70.55
2010-05-28,61,63.10
2010-06-04,64,59.15
2010-06-11,65,60.99
2010-06-18,66,63.87
2010-06-25,69,61.72
2010-07-02,69,63.49
2010-07-09,69,64.40
2010-07-16,71,62.55
2010-07-23,73,61.66
2010-07-30,74,59.49
2010-08-06,76,66.43
2010-08-13,72,60.51
2010-08-20,74,59.03
2010-08-27,70,60.00
2010-09-03,66,60.48
2010-09-10,67,62.26
2010-09-17,66,61.90
2010-09-24,65,62.82
2010-10-01,64,66.66
2010-10-08,62,67.13
2010-10-15,64,71.65
2010-10-22,64,69.51
2010-10-29,68,66.16
2010-11-05,67,69.80
2010-11-12,69,70.47
2010-11-19,72,68.93
2010-11-26,78,65.24
2010-12-03,75,66.23
2010-12-10,79,65.49
2010-12-17,78,64.00
2010-12-24,85,
2010-12-31,85,66.87
2011-01-07,77,70.57
2011-01-14,74,74.90
2011-01-21,75,73.37
2011-01-28,72,70.19
2011-02-04,72,71.67
2011-02-11,73,69.91
2011-02-18,71,75.62
2011-02-25,70,77.60
2011-03-04,71,78.73
2011-03-11,69,74.11
2011-03-18,66,75.81
2011-03-25,70,78.56
2011-04-01,71,78.03
2011-04-08,73,78.49
2011-04-15,72,74.99
2011-04-22,76,
2011-04-29,74,75.87
2011-05-06,68,69.77
2011-05-13,72,70.74
2011-05-20,73,71.85
2011-05-27,74,72.85
2011-06-03,74,71.62
2011-06-10,72,68.22
2011-06-17,76,67.34
2011-06-24,77,67.71
2011-07-01,76,70.34
2011-07-08,76,70.71
2011-07-15,79,70.46
2011-07-22,79,70.79
2011-07-29,77,67.83
2011-08-05,79,62.24
2011-08-12,79,61.81
2011-08-19,79,58.53
2011-08-26,74,61.49
2011-09-02,72,61.57
2011-09-09,69,61.66
2011-09-16,69,63.31
2011-09-23,67,57.66
2011-09-30,66,54.74
2011-10-07,68,55.92
2011-10-14,71,60.15
2011-10-21,72,62.82
2011-10-28,71,68.51
2011-11-04,71,65.59
2011-11-11,75,65.39
2011-11-18,78,62.79
2011-11-25,89,58.05
2011-12-02,81,60.17
2011-12-09,81,59.03
2011-12-16,82,54.29
2011-12-23,94,56.67
2011-12-30,99,55.26
2012-01-06,87,56.28
2012-01-13,81,59.87
2012-01-20,77,61.42
2012-01-27,79,62.76
2012-02-03,83,63.13
2012-02-10,79,62.76
2012-02-17,77,64.78
2012-02-24,78,67.19
2012-03-02,79,68.86
2012-03-09,79,70.19
2012-03-16,77,72.43
2012-03-23,85,69.03
2012-03-30,86,66.75
2012-04-06,77,
2012-04-13,78,65.26
2012-04-20,78,68.57
2012-04-27,78,68.00
2012-05-04,80,64.90
2012-05-11,77,62.74
2012-05-18,85,59.15
2012-05-25,80,60.56
2012-06-01,80,57.74
2012-06-08,79,60.10
2012-06-15,81,60.58
2012-06-22,85,57.75
2012-06-29,85,59.13
2012-07-06,85,58.89
2012-07-13,87,63.35
2012-07-20,89,66.05
2012-07-27,91,67.19
2012-08-03,90,66.68
2012-08-10,91,68.15
2012-08-17,93,68.52
2012-08-24,89,66.69
2012-08-31,83,67.02
2012-09-07,86,67.19
2012-09-14,83,69.04
2012-09-21,81,69.24
2012-09-28,84,65.81
2012-10-05,83,65.85
2012-10-12,78,66.58
2012-10-19,77,70.52
2012-10-26,81,70.02
2012-11-02,76,68.86
2012-11-09,82,65.04
2012-11-16,82,65.09
2012-11-23,91,67.36
2012-11-30,92,69.00
2012-12-07,84,68.93
2012-12-14,86,67.40
2012-12-21,94,69.26
2012-12-28,99,67.23
2013-01-04,98,71.51
2013-01-11,84,72.27
2013-01-18,83,73.35
2013-01-25,83,74.66
2013-02-01,83,76.29
2013-02-08,82,74.81
2013-02-15,81,74.75
2013-02-22,79,71.99
2013-03-01,78,69.32
2013-03-08,81,67.82
2013-03-15,80,70.24
2013-03-22,81,68.54
2013-03-29,84,
2013-04-05,80,68.70
2013-04-12,81,68.78
2013-04-19,80,65.34
2013-04-26,77,68.64
2013-05-03,79,70.05
2013-05-10,79,70.15
2013-05-17,79,72.40
2013-05-24,79,70.27
2013-05-31,82,68.81
2013-06-07,82,69.11
2013-06-14,86,67.16
2013-06-21,83,66.91
2013-06-28,85,68.79
2013-07-05,86,69.25
2013-07-12,87,72.11
2013-07-19,91,72.65
2013-07-26,87,67.93
2013-08-02,90,67.96
2013-08-09,89,68.20
2013-08-16,87,66.04
2013-08-23,85,65.84
2013-08-30,83,64.03
2013-09-06,81,64.33
2013-09-13,77,64.41
2013-09-20,83,62.61
2013-09-27,88,62.77
2013-10-04,84,63.45
2013-10-11,87,63.57
2013-10-18,85,63.15
2013-10-25,83,61.27
2013-11-01,83,60.27
2013-11-08,85,61.74
2013-11-15,87,61.42
2013-11-22,87,60.89
2013-11-29,92,60.05
2013-12-06,91,58.87
2013-12-13,89,56.19
2013-12-20,94,55.83
2013-12-27,100,56.81
2014-01-03,99,56.47
2014-01-10,87,55.91
2014-01-17,90,54.10
2014-01-24,85,51.04
2014-01-31,83,48.54
2014-02-07,78,46.07
2014-02-14,82,47.04
2014-02-21,83,48.01
2014-02-28,82,47.30
2014-03-07,83,48.45
2014-03-14,83,44.20
2014-03-21,81,47.24
2014-03-28,81,47.92
2014-04-04,81,48.38
2014-04-11,80,45.88
2014-04-18,86,
2014-04-25,83,53.50
2014-05-02,85,
