Date,DHI,Price
2005-10-28,71,29.78
2005-11-04,68,33.13
2005-11-11,68,32.56
2005-11-18,70,34.81
2005-11-25,53,36.62
2005-12-02,72,36.52
2005-12-09,73,35.44
2005-12-16,53,37.81
2005-12-23,54,36.21
2005-12-30,61,35.73
2006-01-06,57,37.25
2006-01-13,88,40.28
2006-01-20,74,38.12
2006-01-27,56,38.38
2006-02-03,86,35.50
2006-02-10,63,32.94
2006-02-17,77,34.50
2006-02-24,62,36.10
2006-03-03,59,32.72
2006-03-10,47,31.72
2006-03-17,72,34.58
2006-03-24,69,33.90
2006-03-31,88,33.22
2006-04-07,74,34.50
2006-04-14,57,
2006-04-21,80,32.40
2006-04-28,66,30.02
2006-05-05,71,29.75
2006-05-12,74,29.05
2006-05-19,78,27.08
2006-05-26,90,27.41
2006-06-02,55,26.16
2006-06-09,75,23.87
2006-06-16,91,24.66
2006-06-23,60,23.66
2006-06-30,74,23.82
2006-07-07,67,23.90
2006-07-14,61,21.20
2006-07-21,70,20.00
2006-07-28,49,21.83
2006-08-04,62,22.71
2006-08-11,73,20.35
2006-08-18,90,21.95
2006-08-25,59,21.28
2006-09-01,71,22.05
2006-09-08,81,22.01
2006-09-15,62,24.34
2006-09-22,55,23.50
2006-09-29,71,23.95
2006-10-06,54,23.59
2006-10-13,62,23.89
2006-10-20,58,23.23
2006-10-27,74,23.75
2006-11-03,74,22.73
2006-11-10,67,22.47
2006-11-17,68,25.10
2006-11-24,57,25.56
2006-12-01,69,26.59
2006-12-08,76,26.67
2006-12-15,42,27.12
2006-12-22,55,25.99
2006-12-29,48,26.49
2007-01-05,53,25.84
2007-01-12,65,26.40
2007-01-19,64,27.53
2007-01-26,71,27.82
2007-02-02,69,30.86
2007-02-09,65,28.05
2007-02-16,53,28.21
2007-02-23,59,27.02
2007-03-02,60,25.31
2007-03-09,70,24.42
2007-03-16,69,22.83
2007-03-23,43,23.32
2007-03-30,78,22.00
2007-04-06,54,
2007-04-13,68,21.47
2007-04-20,70,23.39
2007-04-27,66,22.92
2007-05-04,54,22.41
2007-05-11,62,22.30
2007-05-18,62,22.55
2007-05-25,61,23.53
2007-06-01,71,22.98
2007-06-08,83,21.96
2007-06-15,56,21.36
2007-06-22,60,20.85
2007-06-29,71,19.93
2007-07-06,59,20.20
2007-07-13,53,20.43
2007-07-20,68,19.17
2007-07-27,78,16.61
2007-08-03,56,16.46
2007-08-10,53,17.44
2007-08-17,70,16.50
2007-08-24,93,16.01
2007-08-31,71,15.11
2007-09-07,55,14.02
2007-09-14,79,14.35
2007-09-21,64,14.10
2007-09-28,74,12.81
2007-10-05,56,14.65
2007-10-12,67,14.10
2007-10-19,69,11.95
2007-10-26,63,12.87
2007-11-02,72,11.76
2007-11-09,68,12.03
2007-11-16,59,12.16
2007-11-23,77,11.38
2007-11-30,75,11.97
2007-12-07,72,13.86
2007-12-14,57,13.31
2007-12-21,57,13.41
2007-12-28,50,13.10
2008-01-04,49,10.92
2008-01-11,74,11.05
2008-01-18,78,12.13
2008-01-25,70,15.43
2008-02-01,64,17.31
2008-02-08,69,14.17
2008-02-15,69,13.82
2008-02-22,66,15.22
2008-02-29,68,14.03
2008-03-07,69,12.96
2008-03-14,66,13.91
2008-03-21,62,
2008-03-28,66,15.36
2008-04-04,60,16.93
2008-04-11,67,15.72
2008-04-18,54,16.71
2008-04-25,70,17.03
2008-05-02,64,15.65
2008-05-09,59,14.83
2008-05-16,60,15.49
2008-05-23,63,13.04
2008-05-30,52,12.71
2008-06-06,63,11.64
2008-06-13,60,11.90
2008-06-20,60,12.20
2008-06-27,62,11.58
2008-07-04,60,
2008-07-11,67,9.62
2008-07-18,62,11.13
2008-07-25,67,10.80
2008-08-01,59,11.23
2008-08-08,60,12.04
2008-08-15,75,11.73
2008-08-22,53,11.35
2008-08-29,68,12.46
2008-09-05,54,12.58
2008-09-12,60,13.90
2008-09-19,60,15.04
2008-09-26,55,13.81
2008-10-03,60,11.07
2008-10-10,68,8.53
2008-10-17,58,6.77
2008-10-24,64,5.07
2008-10-31,57,7.38
2008-11-07,65,6.88
2008-11-14,54,5.79
2008-11-21,60,4.34
2008-11-28,60,6.87
2008-12-05,65,8.17
2008-12-12,55,7.78
2008-12-19,57,7.44
2008-12-26,58,6.58
2009-01-02,54,7.34
2009-01-09,69,7.88
2009-01-16,54,6.78
2009-01-23,56,6.38
2009-01-30,56,5.96
2009-02-06,76,9.14
2009-02-13,62,8.96
2009-02-20,65,7.62
2009-02-27,61,8.45
2009-03-06,59,6.93
2009-03-13,58,8.49
2009-03-20,56,8.37
2009-03-27,56,10.81
2009-04-03,64,11.53
2009-04-10,52,
2009-04-17,52,12.34
2009-04-24,60,12.99
2009-05-01,58,12.36
2009-05-08,60,10.00
2009-05-15,65,8.99
2009-05-22,60,9.01
2009-05-29,50,9.21
2009-06-05,54,9.21
2009-06-12,61,9.57
2009-06-19,57,9.39
2009-06-26,62,9.60
2009-07-03,52,
2009-07-10,54,8.50
2009-07-17,59,9.90
2009-07-24,66,11.13
2009-07-31,95,11.59
2009-08-07,67,13.52
2009-08-14,61,12.42
2009-08-21,66,12.66
2009-08-28,65,13.72
2009-09-04,62,12.45
2009-09-11,63,12.69
2009-09-18,71,13.25
2009-09-25,61,11.57
2009-10-02,58,10.53
2009-10-09,59,11.70
2009-10-16,59,12.20
2009-10-23,49,12.42
2009-10-30,64,10.96
2009-11-06,49,12.03
2009-11-13,51,11.94
2009-11-20,60,10.37
2009-11-27,56,10.54
2009-12-04,57,10.10
2009-12-11,47,9.86
2009-12-18,58,10.53
2009-12-25,43,
2010-01-01,40,
2010-01-08,64,12.17
2010-01-15,57,12.14
2010-01-22,64,11.20
2010-01-29,53,11.79
2010-02-05,58,12.67
2010-02-12,49,13.07
2010-02-19,52,12.95
2010-02-26,55,12.36
2010-03-05,70,12.87
2010-03-12,53,13.00
2010-03-19,55,12.51
2010-03-26,54,13.13
2010-04-02,53,
2010-04-09,54,12.14
2010-04-16,59,12.37
2010-04-23,56,14.17
2010-04-30,54,14.69
2010-05-07,53,13.06
2010-05-14,51,13.11
2010-05-21,57,12.26
2010-05-28,57,12.19
2010-06-04,51,11.34
2010-06-11,57,11.26
2010-06-18,52,10.75
2010-06-25,54,10.47
2010-07-02,59,9.71
2010-07-09,53,10.25
2010-07-16,55,10.10
2010-07-23,50,10.85
2010-07-30,53,11.02
2010-08-06,59,10.60
2010-08-13,55,10.24
2010-08-20,56,10.27
2010-08-27,57,10.47
2010-09-03,50,11.21
2010-09-10,54,11.06
2010-09-17,60,10.61
2010-09-24,50,10.92
2010-10-01,51,11.08
2010-10-08,49,10.75
2010-10-15,53,10.49
2010-10-22,48,10.61
2010-10-29,52,10.43
2010-11-05,55,11.98
2010-11-12,58,11.51
2010-11-19,47,10.48
2010-11-26,45,9.99
2010-12-03,51,11.11
2010-12-10,47,11.14
2010-12-17,44,11.39
2010-12-24,43,
2010-12-31,35,11.93
2011-01-07,44,13.02
2011-01-14,45,13.50
2011-01-21,51,12.69
2011-01-28,53,12.50
2011-02-04,47,11.73
2011-02-11,48,12.51
2011-02-18,48,12.80
2011-02-25,52,11.92
2011-03-04,46,11.46
2011-03-11,62,11.83
2011-03-18,49,11.90
2011-03-25,54,12.04
2011-04-01,53,11.74
2011-04-08,51,11.61
2011-04-15,53,11.53
2011-04-22,52,
2011-04-29,46,12.44
2011-05-06,50,11.93
2011-05-13,49,11.44
2011-05-20,60,11.80
2011-05-27,48,11.98
2011-06-03,56,11.59
2011-06-10,54,10.76
2011-06-17,48,11.09
2011-06-24,51,11.42
2011-07-01,57,11.68
2011-07-08,48,11.98
2011-07-15,45,11.48
2011-07-22,50,12.08
2011-07-29,54,11.88
2011-08-05,49,10.42
2011-08-12,52,9.52
2011-08-19,51,8.95
2011-08-26,53,9.68
2011-09-02,62,9.97
2011-09-09,57,9.58
2011-09-16,49,9.65
2011-09-23,57,9.17
2011-09-30,58,9.04
2011-10-07,52,9.17
2011-10-14,55,9.96
2011-10-21,48,10.83
2011-10-28,49,11.61
2011-11-04,43,11.55
2011-11-11,52,11.46
2011-11-18,48,11.25
2011-11-25,54,10.86
2011-12-02,49,11.89
2011-12-09,49,12.66
2011-12-16,53,12.00
2011-12-23,56,12.45
2011-12-30,38,12.61
2012-01-06,47,12.98
2012-01-13,62,13.91
2012-01-20,59,13.82
2012-01-27,51,14.39
2012-02-03,57,14.66
2012-02-10,54,14.33
2012-02-17,72,14.33
2012-02-24,55,13.98
2012-03-02,54,13.93
2012-03-09,57,15.47
2012-03-16,56,16.03
2012-03-23,54,15.43
2012-03-30,49,15.17
2012-04-06,53,
2012-04-13,52,14.82
2012-04-20,51,15.38
2012-04-27,55,16.51
2012-05-04,49,16.60
2012-05-11,53,17.13
2012-05-18,51,16.01
2012-05-25,57,17.01
2012-06-01,43,15.21
2012-06-08,57,15.97
2012-06-15,49,15.88
2012-06-22,55,16.41
2012-06-29,48,18.38
2012-07-06,49,18.76
2012-07-13,50,18.70
2012-07-20,51,18.88
2012-07-27,49,18.39
2012-08-03,48,17.35
2012-08-10,48,18.09
2012-08-17,47,18.98
2012-08-24,52,19.01
2012-08-31,54,18.99
2012-09-07,55,20.03
2012-09-14,54,21.99
2012-09-21,64,22.37
2012-09-28,51,20.63
2012-10-05,56,21.65
2012-10-12,45,19.96
2012-10-19,51,21.48
2012-10-26,56,20.76
2012-11-02,45,21.04
2012-11-09,50,20.60
2012-11-16,46,18.90
2012-11-23,48,19.53
2012-11-30,47,19.46
2012-12-07,49,18.85
2012-12-14,55,18.74
2012-12-21,45,19.75
2012-12-28,37,19.24
2013-01-04,43,20.72
2013-01-11,49,20.95
2013-01-18,53,21.52
2013-01-25,53,21.76
2013-02-01,49,23.35
2013-02-08,47,23.08
2013-02-15,50,23.66
2013-02-22,49,22.31
2013-03-01,52,22.51
2013-03-08,49,24.07
2013-03-15,54,24.34
2013-03-22,52,24.72
2013-03-29,48,
2013-04-05,46,23.08
2013-04-12,51,23.42
2013-04-19,54,21.98
2013-04-26,56,26.66
2013-05-03,52,26.45
2013-05-10,56,27.15
2013-05-17,50,27.23
2013-05-24,50,25.75
2013-05-31,52,24.36
2013-06-07,47,23.56
2013-06-14,51,23.89
2013-06-21,52,21.10
2013-06-28,51,21.28
2013-07-05,49,20.28
2013-07-12,47,22.76
2013-07-19,53,22.07
2013-07-26,60,19.33
2013-08-02,57,20.38
2013-08-09,48,18.89
2013-08-16,53,19.00
2013-08-23,55,18.73
2013-08-30,55,17.85
2013-09-06,47,18.10
2013-09-13,60,19.14
2013-09-20,48,20.20
2013-09-27,52,19.63
2013-10-04,50,18.54
2013-10-11,54,18.65
2013-10-18,48,19.02
2013-10-25,47,19.77
2013-11-01,47,18.51
2013-11-08,45,18.14
2013-11-15,53,19.59
2013-11-22,51,19.05
2013-11-29,47,19.88
2013-12-06,47,19.08
2013-12-13,47,18.96
2013-12-20,45,20.58
2013-12-27,42,21.67
2014-01-03,44,21.75
2014-01-10,49,22.15
2014-01-17,55,21.59
2014-01-24,50,20.88
2014-01-31,52,23.48
2014-02-07,55,23.89
2014-02-14,53,23.62
2014-02-21,50,23.65
2014-02-28,52,24.56
2014-03-07,52,23.47
2014-03-14,53,22.04
2014-03-21,54,21.42
2014-03-28,54,21.67
2014-04-04,56,22.31
2014-04-11,56,21.61
2014-04-18,53,
2014-04-25,62,22.49
2014-05-02,57,
