Date,HRB,Price
2007-04-20,84,22.56
2007-04-27,55,22.75
2007-05-04,65,22.68
2007-05-11,78,22.78
2007-05-18,56,23.20
2007-05-25,65,23.29
2007-06-01,54,23.89
2007-06-08,54,22.52
2007-06-15,74,23.11
2007-06-22,61,22.54
2007-06-29,54,23.37
2007-07-06,59,22.51
2007-07-13,80,22.38
2007-07-20,62,21.86
2007-07-27,70,20.45
2007-08-03,64,19.79
2007-08-10,70,19.70
2007-08-17,72,19.29
2007-08-24,64,19.31
2007-08-31,74,19.84
2007-09-07,70,19.81
2007-09-14,72,20.12
2007-09-21,65,20.68
2007-09-28,64,21.18
2007-10-05,55,22.42
2007-10-12,71,22.49
2007-10-19,61,21.51
2007-10-26,48,21.88
2007-11-02,62,20.59
2007-11-09,63,19.00
2007-11-16,62,19.50
2007-11-23,59,19.36
2007-11-30,64,19.68
2007-12-07,69,20.02
2007-12-14,67,18.32
2007-12-21,63,18.79
2007-12-28,27,18.09
2008-01-04,48,17.18
2008-01-11,68,18.08
2008-01-18,59,18.06
2008-01-25,67,18.12
2008-02-01,74,19.86
2008-02-08,62,18.75
2008-02-15,63,18.65
2008-02-22,58,18.39
2008-02-29,72,18.65
2008-03-07,60,17.70
2008-03-14,66,17.47
2008-03-21,68,
2008-03-28,61,20.96
2008-04-04,67,21.44
2008-04-11,52,20.88
2008-04-18,61,21.46
2008-04-25,71,22.05
2008-05-02,52,22.55
2008-05-09,64,23.57
2008-05-16,55,23.68
2008-05-23,62,22.63
2008-05-30,67,23.34
2008-06-06,53,22.98
2008-06-13,55,22.32
2008-06-20,56,20.74
2008-06-27,55,20.82
2008-07-04,68,
2008-07-11,59,22.48
2008-07-18,52,24.10
2008-07-25,67,23.76
2008-08-01,63,24.28
2008-08-08,53,24.85
2008-08-15,58,24.99
2008-08-22,64,25.21
2008-08-29,64,25.54
2008-09-05,62,24.24
2008-09-12,70,24.07
2008-09-19,59,25.06
2008-09-26,64,23.00
2008-10-03,58,23.72
2008-10-10,70,17.38
2008-10-17,60,18.01
2008-10-24,61,15.52
2008-10-31,67,19.72
2008-11-07,62,18.84
2008-11-14,59,17.68
2008-11-21,58,17.36
2008-11-28,53,19.13
2008-12-05,59,20.18
2008-12-12,56,21.03
2008-12-19,60,21.80
2008-12-26,34,22.07
2009-01-02,31,22.51
2009-01-09,52,21.24
2009-01-16,48,20.88
2009-01-23,56,20.77
2009-01-30,57,20.73
2009-02-06,59,22.80
2009-02-13,71,21.55
2009-02-20,57,20.41
2009-02-27,61,19.10
2009-03-06,66,18.68
2009-03-13,57,18.84
2009-03-20,65,19.13
2009-03-27,68,17.32
2009-04-03,56,17.80
2009-04-10,52,
2009-04-17,55,16.39
2009-04-24,67,15.24
2009-05-01,58,15.00
2009-05-08,66,15.26
2009-05-15,56,13.94
2009-05-22,53,14.16
2009-05-29,58,14.60
2009-06-05,56,16.14
2009-06-12,48,15.69
2009-06-19,59,15.38
2009-06-26,57,15.42
2009-07-03,76,
2009-07-10,60,16.36
2009-07-17,53,17.35
2009-07-24,56,16.59
2009-07-31,47,16.69
2009-08-07,53,16.96
2009-08-14,56,17.24
2009-08-21,51,17.61
2009-08-28,60,17.38
2009-09-04,44,16.62
2009-09-11,47,17.38
2009-09-18,58,17.58
2009-09-25,46,17.96
2009-10-02,55,18.07
2009-10-09,48,19.45
2009-10-16,57,19.76
2009-10-23,54,19.46
2009-10-30,53,18.34
2009-11-06,51,18.94
2009-11-13,54,19.61
2009-11-20,56,20.38
2009-11-27,50,20.39
2009-12-04,47,20.22
2009-12-11,52,20.62
2009-12-18,55,20.43
2009-12-25,46,
2010-01-01,31,
2010-01-08,46,22.00
2010-01-15,36,22.72
2010-01-22,57,22.22
2010-01-29,52,21.52
2010-02-05,60,20.88
2010-02-12,51,20.85
2010-02-19,50,21.12
2010-02-26,56,17.28
2010-03-05,58,16.69
2010-03-12,60,16.81
2010-03-19,63,16.91
2010-03-26,52,17.68
2010-04-02,51,
2010-04-09,48,18.33
2010-04-16,55,17.94
2010-04-23,51,18.07
2010-04-30,56,18.31
2010-05-07,56,17.18
2010-05-14,50,16.97
2010-05-21,57,16.37
2010-05-28,52,16.08
2010-06-04,51,15.73
2010-06-11,52,15.86
2010-06-18,54,15.80
2010-06-25,51,15.55
2010-07-02,50,15.24
2010-07-09,43,14.60
2010-07-16,49,13.98
2010-07-23,47,15.23
2010-07-30,44,15.68
2010-08-06,47,14.87
2010-08-13,48,14.13
2010-08-20,50,13.47
2010-08-27,51,13.59
2010-09-03,46,13.30
2010-09-10,53,12.93
2010-09-17,47,12.98
2010-09-24,51,13.07
2010-10-01,55,12.59
2010-10-08,49,13.82
2010-10-15,54,12.36
2010-10-22,62,10.78
2010-10-29,48,11.78
2010-11-05,57,12.22
2010-11-12,48,12.85
2010-11-19,49,12.56
2010-11-26,47,12.77
2010-12-03,52,13.16
2010-12-10,58,13.04
2010-12-17,55,12.99
2010-12-24,43,
2010-12-31,45,11.91
2011-01-07,48,12.78
2011-01-14,55,12.81
2011-01-21,50,13.78
2011-01-28,57,12.50
2011-02-04,46,12.82
2011-02-11,53,13.25
2011-02-18,48,14.54
2011-02-25,53,15.18
2011-03-04,48,14.47
2011-03-11,56,15.82
2011-03-18,49,16.07
2011-03-25,53,16.56
2011-04-01,50,17.44
2011-04-08,55,17.42
2011-04-15,57,17.66
2011-04-22,50,
2011-04-29,44,17.29
2011-05-06,51,17.24
2011-05-13,55,15.82
2011-05-20,46,16.33
2011-05-27,50,15.97
2011-06-03,37,16.11
2011-06-10,41,15.39
2011-06-17,39,15.40
2011-06-24,49,15.85
2011-07-01,50,16.31
2011-07-08,44,16.12
2011-07-15,41,15.37
2011-07-22,39,15.51
2011-07-29,40,14.96
2011-08-05,51,13.72
2011-08-12,40,13.50
2011-08-19,41,13.26
2011-08-26,44,13.96
2011-09-02,42,13.41
2011-09-09,35,13.13
2011-09-16,43,14.13
2011-09-23,39,13.33
2011-09-30,40,13.31
2011-10-07,48,13.81
2011-10-14,41,14.88
2011-10-21,41,14.41
2011-10-28,42,15.44
2011-11-04,39,15.31
2011-11-11,49,15.91
2011-11-18,48,15.47
2011-11-25,41,14.41
2011-12-02,47,15.03
2011-12-09,40,15.92
2011-12-16,43,15.36
2011-12-23,45,16.08
2011-12-30,27,16.33
2012-01-06,41,16.26
2012-01-13,52,16.40
2012-01-20,43,16.49
2012-01-27,54,16.77
2012-02-03,51,17.20
2012-02-10,42,16.80
2012-02-17,48,16.20
2012-02-24,50,16.38
2012-03-02,50,16.32
2012-03-09,50,15.90
2012-03-16,50,16.91
2012-03-23,50,16.80
2012-03-30,43,16.47
2012-04-06,42,
2012-04-13,44,16.88
2012-04-20,42,16.80
2012-04-27,45,14.96
2012-05-04,39,14.54
2012-05-11,50,14.57
2012-05-18,42,14.52
2012-05-25,49,15.19
2012-06-01,43,15.06
2012-06-08,40,15.45
2012-06-15,43,15.60
2012-06-22,47,15.47
2012-06-29,50,15.98
2012-07-06,47,16.15
2012-07-13,41,16.52
2012-07-20,43,16.55
2012-07-27,40,16.21
2012-08-03,46,15.91
2012-08-10,44,16.11
2012-08-17,41,16.48
2012-08-24,46,16.35
2012-08-31,44,16.56
2012-09-07,41,16.33
2012-09-14,45,16.93
2012-09-21,43,17.00
2012-09-28,41,17.33
2012-10-05,41,17.96
2012-10-12,44,16.92
2012-10-19,41,17.11
2012-10-26,45,17.75
2012-11-02,32,17.92
2012-11-09,45,17.77
2012-11-16,40,17.85
2012-11-23,40,18.23
2012-11-30,41,18.03
2012-12-07,37,18.59
2012-12-14,41,18.60
2012-12-21,35,18.64
2012-12-28,22,18.24
2013-01-04,31,19.25
2013-01-11,45,19.98
2013-01-18,42,20.56
2013-01-25,39,22.33
2013-02-01,42,22.86
2013-02-08,48,24.40
2013-02-15,47,25.10
2013-02-22,42,24.66
2013-03-01,48,24.78
2013-03-08,45,27.28
2013-03-15,50,27.51
2013-03-22,43,28.32
2013-03-29,42,
2013-04-05,42,28.28
2013-04-12,53,28.58
2013-04-19,47,27.74
2013-04-26,45,28.66
2013-05-03,43,28.62
2013-05-10,41,27.82
2013-05-17,47,29.64
2013-05-24,50,29.19
2013-05-31,44,29.27
2013-06-07,47,29.84
2013-06-14,46,28.63
2013-06-21,40,28.43
2013-06-28,43,27.75
2013-07-05,39,28.30
2013-07-12,41,30.63
2013-07-19,40,31.02
2013-07-26,39,30.49
2013-08-02,40,31.89
2013-08-09,38,31.37
2013-08-16,36,29.68
2013-08-23,42,28.97
2013-08-30,40,27.91
2013-09-06,42,26.91
2013-09-13,39,27.24
2013-09-20,40,27.11
2013-09-27,41,26.36
2013-10-04,36,28.51
2013-10-11,44,27.73
2013-10-18,45,29.25
2013-10-25,43,28.48
2013-11-01,40,28.89
2013-11-08,40,27.85
2013-11-15,46,28.50
2013-11-22,42,28.71
2013-11-29,43,27.89
2013-12-06,38,29.01
2013-12-13,43,28.04
2013-12-20,40,28.54
2013-12-27,19,28.52
2014-01-03,26,29.28
2014-01-10,41,30.30
2014-01-17,49,29.03
2014-01-24,47,28.08
2014-01-31,48,30.40
2014-02-07,48,29.66
2014-02-14,49,31.07
2014-02-21,43,31.08
2014-02-28,41,31.64
2014-03-07,46,30.39
2014-03-14,44,29.37
2014-03-21,41,30.02
2014-03-28,45,30.36
2014-04-04,45,29.51
2014-04-11,51,27.64
2014-04-18,40,
2014-04-25,41,27.63
2014-05-02,49,
