Date,ALL,Price
2011-01-21,87,31.35
2011-01-28,86,31.15
2011-02-04,88,31.35
2011-02-11,88,31.39
2011-02-18,89,32.11
2011-02-25,94,31.48
2011-03-04,85,31.71
2011-03-11,85,31.99
2011-03-18,82,31.15
2011-03-25,84,31.46
2011-04-01,86,31.45
2011-04-08,86,31.40
2011-04-15,85,31.41
2011-04-22,89,
2011-04-29,84,33.84
2011-05-06,80,33.43
2011-05-13,84,32.38
2011-05-20,84,32.01
2011-05-27,84,31.24
2011-06-03,85,30.67
2011-06-10,85,29.65
2011-06-17,85,29.65
2011-06-24,86,29.43
2011-07-01,85,30.90
2011-07-08,86,30.54
2011-07-15,94,29.47
2011-07-22,88,28.69
2011-07-29,89,27.72
2011-08-05,89,26.29
2011-08-12,89,25.12
2011-08-19,87,24.36
2011-08-26,85,24.45
2011-09-02,83,24.96
2011-09-09,84,24.81
2011-09-16,88,24.94
2011-09-23,90,22.77
2011-09-30,85,23.69
2011-10-07,84,23.72
2011-10-14,86,24.96
2011-10-21,86,26.90
2011-10-28,88,27.16
2011-11-04,85,25.90
2011-11-11,86,26.64
2011-11-18,84,25.98
2011-11-25,84,24.70
2011-12-02,86,26.68
2011-12-09,90,26.93
2011-12-16,88,26.44
2011-12-23,89,27.62
2011-12-30,90,27.41
2012-01-06,89,28.02
2012-01-13,87,28.98
2012-01-20,85,29.83
2012-01-27,88,29.09
2012-02-03,90,30.69
2012-02-10,87,30.97
2012-02-17,91,31.39
2012-02-24,90,31.36
2012-03-02,92,31.24
2012-03-09,85,31.66
2012-03-16,83,32.68
2012-03-23,83,32.51
2012-03-30,81,32.92
2012-04-06,83,
2012-04-13,81,32.30
2012-04-20,83,32.65
2012-04-27,83,33.55
2012-05-04,83,34.20
2012-05-11,82,34.83
2012-05-18,80,32.75
2012-05-25,82,33.57
2012-06-01,83,33.07
2012-06-08,83,34.31
2012-06-15,85,34.15
2012-06-22,88,34.08
2012-06-29,86,35.09
2012-07-06,87,34.79
2012-07-13,91,33.87
2012-07-20,83,34.41
2012-07-27,85,34.73
2012-08-03,90,37.04
2012-08-10,83,37.98
2012-08-17,87,37.86
2012-08-24,88,37.76
2012-08-31,86,37.28
2012-09-07,89,38.48
2012-09-14,85,39.86
2012-09-21,85,40.43
2012-09-28,86,39.61
2012-10-05,85,40.98
2012-10-12,85,40.61
2012-10-19,85,42.01
2012-10-26,85,40.15
2012-11-02,85,38.56
2012-11-09,85,38.73
2012-11-16,85,38.92
2012-11-23,85,40.74
2012-11-30,87,40.48
2012-12-07,88,41.48
2012-12-14,90,40.18
2012-12-21,87,40.31
2012-12-28,92,39.86
2013-01-04,93,42.20
2013-01-11,86,42.96
2013-01-18,86,43.21
2013-01-25,88,43.91
2013-02-01,87,44.84
2013-02-08,88,45.14
2013-02-15,90,45.85
2013-02-22,94,46.74
2013-03-01,85,46.35
2013-03-08,86,47.42
2013-03-15,85,47.98
2013-03-22,84,48.22
2013-03-29,86,
2013-04-05,85,49.32
2013-04-12,86,50.35
2013-04-19,84,48.97
2013-04-26,84,49.09
2013-05-03,86,48.69
2013-05-10,86,49.39
2013-05-17,86,50.00
2013-05-24,86,48.73
2013-05-31,88,48.24
2013-06-07,87,47.46
2013-06-14,88,46.87
2013-06-21,85,47.23
2013-06-28,87,48.12
2013-07-05,90,49.13
2013-07-12,90,51.11
2013-07-19,96,52.10
2013-07-26,89,51.52
2013-08-02,90,52.15
2013-08-09,87,50.66
2013-08-16,90,49.39
2013-08-23,88,49.27
2013-08-30,87,47.92
2013-09-06,87,48.40
2013-09-13,87,50.06
2013-09-20,88,52.00
2013-09-27,88,51.07
2013-10-04,88,52.35
2013-10-11,90,52.52
2013-10-18,90,53.87
2013-10-25,88,53.35
2013-11-01,91,53.28
2013-11-08,90,54.12
2013-11-15,94,54.70
2013-11-22,94,54.71
2013-11-29,90,54.27
2013-12-06,93,54.32
2013-12-13,97,52.81
2013-12-20,95,53.77
2013-12-27,98,53.65
2014-01-03,97,53.33
2014-01-10,94,54.09
2014-01-17,94,52.90
2014-01-24,95,50.62
2014-01-31,98,51.20
2014-02-07,91,52.76
2014-02-14,100,52.96
2014-02-21,99,53.86
2014-02-28,94,54.26
2014-03-07,95,55.71
2014-03-14,98,55.13
2014-03-21,92,56.06
2014-03-28,94,55.80
2014-04-04,95,56.41
2014-04-11,93,55.29
2014-04-18,97,
2014-04-25,95,56.11
2014-05-02,98,
