Date,FIS,Price
2011-05-13,29,32.23
2011-05-20,27,31.96
2011-05-27,27,31.86
2011-06-03,28,31.21
2011-06-10,27,31.57
2011-06-17,26,30.99
2011-06-24,28,30.07
2011-07-01,27,31.02
2011-07-08,26,30.96
2011-07-15,27,29.63
2011-07-22,29,30.48
2011-07-29,28,30.02
2011-08-05,27,28.94
2011-08-12,27,28.08
2011-08-19,27,26.66
2011-08-26,29,27.37
2011-09-02,27,26.82
2011-09-09,27,25.37
2011-09-16,28,26.51
2011-09-23,28,24.10
2011-09-30,27,24.32
2011-10-07,28,24.79
2011-10-14,30,26.10
2011-10-21,36,25.78
2011-10-28,36,27.08
2011-11-04,31,25.23
2011-11-11,34,25.78
2011-11-18,40,23.68
2011-11-25,47,22.58
2011-12-02,55,24.91
2011-12-09,60,25.72
2011-12-16,54,25.42
2011-12-23,52,26.60
2011-12-30,52,26.59
2012-01-06,71,26.43
2012-01-13,66,26.94
2012-01-20,64,27.84
2012-01-27,65,28.55
2012-02-03,60,29.40
2012-02-10,58,28.65
2012-02-17,62,30.70
2012-02-24,62,31.07
2012-03-02,54,31.19
2012-03-09,57,31.68
2012-03-16,63,33.00
2012-03-23,41,32.96
2012-03-30,34,33.12
2012-04-06,33,
2012-04-13,29,32.48
2012-04-20,30,33.07
2012-04-27,27,33.89
2012-05-04,25,32.93
2012-05-11,27,32.74
2012-05-18,26,31.37
2012-05-25,25,32.82
2012-06-01,28,31.37
2012-06-08,25,32.39
2012-06-15,25,33.02
2012-06-22,26,33.28
2012-06-29,26,34.08
2012-07-06,23,34.29
2012-07-13,25,34.32
2012-07-20,25,32.13
2012-07-27,24,32.32
2012-08-03,24,31.47
2012-08-10,24,31.06
2012-08-17,25,31.17
2012-08-24,28,31.96
2012-08-31,25,31.50
2012-09-07,28,32.68
2012-09-14,29,31.70
2012-09-21,27,32.64
2012-09-28,28,31.22
2012-10-05,29,31.50
2012-10-12,27,31.88
2012-10-19,29,32.41
2012-10-26,34,32.62
2012-11-02,32,33.52
2012-11-09,36,34.52
2012-11-16,38,35.00
2012-11-23,44,35.78
2012-11-30,55,36.10
2012-12-07,53,36.16
2012-12-14,59,35.48
2012-12-21,52,34.89
2012-12-28,42,34.26
2013-01-04,69,35.98
2013-01-11,63,37.00
2013-01-18,61,37.06
2013-01-25,64,37.20
2013-02-01,58,37.66
2013-02-08,67,37.62
2013-02-15,70,36.49
2013-02-22,61,37.00
2013-03-01,68,37.66
2013-03-08,50,37.91
2013-03-15,64,38.30
2013-03-22,50,38.57
2013-03-29,35,
2013-04-05,30,39.05
2013-04-12,30,40.75
2013-04-19,26,40.81
2013-04-26,26,40.79
2013-05-03,24,42.72
2013-05-10,25,43.79
2013-05-17,25,45.08
2013-05-24,26,45.16
2013-05-31,24,44.90
2013-06-07,24,44.53
2013-06-14,25,43.64
2013-06-21,25,42.64
2013-06-28,25,42.84
2013-07-05,24,43.63
2013-07-12,23,45.06
2013-07-19,25,44.37
2013-07-26,23,44.35
2013-08-02,25,45.33
2013-08-09,24,46.95
2013-08-16,24,46.11
2013-08-23,26,45.71
2013-08-30,27,44.46
2013-09-06,25,45.11
2013-09-13,25,45.96
2013-09-20,27,46.85
2013-09-27,26,46.54
2013-10-04,28,46.55
2013-10-11,28,46.17
2013-10-18,28,47.36
2013-10-25,33,47.44
2013-11-01,33,48.55
2013-11-08,31,48.32
2013-11-15,35,50.94
2013-11-22,40,50.98
2013-11-29,53,50.68
2013-12-06,53,50.88
2013-12-13,51,50.78
2013-12-20,59,52.66
2013-12-27,46,52.75
2014-01-03,57,53.15
2014-01-10,59,53.00
2014-01-17,64,52.74
2014-01-24,58,50.84
2014-01-31,57,50.70
2014-02-07,49,53.71
2014-02-14,58,53.86
2014-02-21,49,54.34
2014-02-28,45,55.61
2014-03-07,51,55.47
2014-03-14,53,52.75
2014-03-21,40,54.17
2014-03-28,32,52.89
2014-04-04,28,53.17
2014-04-11,28,51.28
2014-04-18,26,
2014-04-25,25,51.80
2014-05-02,27,
