Date,MS,Price
2006-01-27,71,60.78
2006-02-03,72,61.44
2006-02-10,70,60.31
2006-02-17,72,60.81
2006-02-24,70,60.83
2006-03-03,71,59.72
2006-03-10,72,59.12
2006-03-17,72,60.26
2006-03-24,69,61.47
2006-03-31,69,62.82
2006-04-07,70,63.77
2006-04-14,69,
2006-04-21,72,65.03
2006-04-28,69,64.30
2006-05-05,70,65.53
2006-05-12,70,63.29
2006-05-19,71,59.94
2006-05-26,69,60.57
2006-06-02,66,60.59
2006-06-09,70,59.19
2006-06-16,68,56.99
2006-06-23,67,59.70
2006-06-30,67,63.21
2006-07-07,64,63.95
2006-07-14,67,60.69
2006-07-21,68,62.51
2006-07-28,71,66.23
2006-08-04,68,67.69
2006-08-11,66,65.36
2006-08-18,69,67.14
2006-08-25,67,66.98
2006-09-01,67,66.83
2006-09-08,63,66.69
2006-09-15,68,70.95
2006-09-22,67,71.78
2006-09-29,66,72.91
2006-10-06,67,74.41
2006-10-13,65,76.57
2006-10-20,69,76.40
2006-10-27,66,76.44
2006-11-03,65,74.28
2006-11-10,67,76.68
2006-11-17,66,79.12
2006-11-24,60,78.95
2006-12-01,65,75.27
2006-12-08,64,78.61
2006-12-15,65,79.26
2006-12-22,63,79.70
2006-12-29,60,81.43
2007-01-05,63,80.86
2007-01-12,68,82.86
2007-01-19,67,81.50
2007-01-26,70,82.12
2007-02-02,68,84.04
2007-02-09,68,81.78
2007-02-16,65,82.36
2007-02-23,67,80.97
2007-03-02,66,73.40
2007-03-09,67,76.00
2007-03-16,67,74.41
2007-03-23,65,81.10
2007-03-30,65,78.76
2007-04-06,65,
2007-04-13,68,79.99
2007-04-20,68,82.91
2007-04-27,69,85.01
2007-05-04,68,86.57
2007-05-11,66,85.15
2007-05-18,65,85.05
2007-05-25,62,84.26
2007-06-01,67,86.07
2007-06-08,66,87.10
2007-06-15,64,88.48
2007-06-22,65,84.60
2007-06-29,65,83.88
2007-07-06,63,73.09
2007-07-13,65,73.26
2007-07-20,67,67.57
2007-07-27,65,64.37
2007-08-03,65,60.62
2007-08-10,66,60.03
2007-08-17,68,62.23
2007-08-24,66,64.54
2007-08-31,67,62.37
2007-09-07,63,62.50
2007-09-14,65,66.11
2007-09-21,65,64.44
2007-09-28,65,63.00
2007-10-05,64,68.90
2007-10-12,65,67.25
2007-10-19,64,61.95
2007-10-26,63,64.78
2007-11-02,65,58.90
2007-11-09,64,54.20
2007-11-16,63,52.90
2007-11-23,69,49.89
2007-11-30,75,52.72
2007-12-07,73,51.69
2007-12-14,63,50.30
2007-12-21,61,54.37
2007-12-28,55,53.22
2008-01-04,61,49.30
2008-01-11,68,48.39
2008-01-18,67,45.11
2008-01-25,68,48.89
2008-02-01,69,48.25
2008-02-08,67,43.19
2008-02-15,67,42.32
2008-02-22,69,44.19
2008-02-29,66,42.12
2008-03-07,70,39.86
2008-03-14,69,39.55
2008-03-21,68,
2008-03-28,68,44.74
2008-04-04,70,47.60
2008-04-11,68,43.63
2008-04-18,67,47.77
2008-04-25,70,50.65
2008-05-02,69,50.31
2008-05-09,72,45.96
2008-05-16,69,47.21
2008-05-23,67,41.83
2008-05-30,65,44.23
2008-06-06,68,40.81
2008-06-13,70,41.04
2008-06-20,69,38.68
2008-06-27,70,36.71
2008-07-04,68,
2008-07-11,70,33.44
2008-07-18,72,38.57
2008-07-25,70,36.75
2008-08-01,70,41.11
2008-08-08,70,45.04
2008-08-15,71,40.88
2008-08-22,70,38.89
2008-08-29,71,40.83
2008-09-05,71,41.36
2008-09-12,73,37.23
2008-09-19,71,27.21
2008-09-26,71,24.75
2008-10-03,70,23.92
2008-10-10,71,9.68
2008-10-17,70,19.24
2008-10-24,69,16.52
2008-10-31,69,17.47
2008-11-07,67,15.98
2008-11-14,69,12.03
2008-11-21,67,10.05
2008-11-28,60,14.75
2008-12-05,68,15.72
2008-12-12,69,13.85
2008-12-19,64,15.45
2008-12-26,60,14.65
2009-01-02,61,16.99
2009-01-09,69,19.06
2009-01-16,69,15.59
2009-01-23,69,18.71
2009-01-30,73,20.23
2009-02-06,72,22.87
2009-02-13,69,22.93
2009-02-20,72,19.43
2009-02-27,70,19.54
2009-03-06,72,17.18
2009-03-13,70,25.43
2009-03-20,70,20.24
2009-03-27,73,24.35
2009-04-03,72,24.06
2009-04-10,67,
2009-04-17,71,25.00
2009-04-24,73,21.96
2009-05-01,73,25.82
2009-05-08,72,28.20
2009-05-15,70,26.13
2009-05-22,66,28.23
2009-05-29,67,30.32
2009-06-05,68,30.97
2009-06-12,68,29.70
2009-06-19,67,28.27
2009-06-26,64,28.62
2009-07-03,65,
2009-07-10,68,25.94
2009-07-17,68,27.99
2009-07-24,68,28.25
2009-07-31,69,28.50
2009-08-07,69,31.22
2009-08-14,67,29.79
2009-08-21,73,29.69
2009-08-28,71,29.51
2009-09-04,68,27.65
2009-09-11,66,28.82
2009-09-18,68,31.38
2009-09-25,68,30.55
2009-10-02,66,29.46
2009-10-09,68,32.09
2009-10-16,66,32.99
2009-10-23,66,35.00
2009-10-30,66,32.12
2009-11-06,65,32.60
2009-11-13,65,33.09
2009-11-20,67,32.10
2009-11-27,63,30.51
2009-12-04,66,30.97
2009-12-11,67,29.78
2009-12-18,64,29.21
2009-12-25,56,
2010-01-01,56,
2010-01-08,64,32.25
2010-01-15,67,30.38
2010-01-22,68,27.80
2010-01-29,67,26.78
2010-02-05,69,27.26
2010-02-12,68,27.16
2010-02-19,67,27.41
2010-02-26,66,28.18
2010-03-05,69,29.41
2010-03-12,69,29.91
2010-03-19,67,29.63
2010-03-26,67,28.85
2010-04-02,68,
2010-04-09,67,30.98
2010-04-16,70,29.16
2010-04-23,69,31.94
2010-04-30,71,30.22
2010-05-07,72,27.75
2010-05-14,72,27.08
2010-05-21,74,27.11
2010-05-28,72,27.11
2010-06-04,67,25.99
2010-06-11,71,26.00
2010-06-18,72,25.70
2010-06-25,73,25.01
2010-07-02,69,22.83
2010-07-09,71,24.70
2010-07-16,70,24.74
2010-07-23,70,26.89
2010-07-30,71,26.99
2010-08-06,69,27.65
2010-08-13,70,25.90
2010-08-20,72,25.92
2010-08-27,73,25.03
2010-09-03,68,26.66
2010-09-10,68,27.19
2010-09-17,70,26.47
2010-09-24,70,25.15
2010-10-01,72,25.02
2010-10-08,70,25.32
2010-10-15,67,25.02
2010-10-22,69,24.52
2010-10-29,69,24.87
2010-11-05,67,27.28
2010-11-12,68,25.57
2010-11-19,66,25.62
2010-11-26,63,24.70
2010-12-03,66,25.64
2010-12-10,66,26.95
2010-12-17,64,26.24
2010-12-24,59,
2010-12-31,60,27.21
2011-01-07,68,28.20
2011-01-14,71,28.98
2011-01-21,71,30.01
2011-01-28,71,29.04
2011-02-04,71,29.85
2011-02-11,70,30.16
2011-02-18,68,30.99
2011-02-25,69,29.87
2011-03-04,69,28.44
2011-03-11,67,28.34
2011-03-18,66,27.43
2011-03-25,70,27.13
2011-04-01,75,27.26
2011-04-08,78,27.25
2011-04-15,77,26.98
2011-04-22,72,
2011-04-29,78,26.15
2011-05-06,80,25.24
2011-05-13,79,24.13
2011-05-20,72,23.83
2011-05-27,75,24.07
2011-06-03,71,23.12
2011-06-10,71,22.69
2011-06-17,72,22.83
2011-06-24,70,22.21
2011-07-01,71,23.76
2011-07-08,67,22.30
2011-07-15,71,21.09
2011-07-22,69,23.90
2011-07-29,68,22.25
2011-08-05,70,20.02
2011-08-12,68,16.89
2011-08-19,70,16.00
2011-08-26,67,16.61
2011-09-02,66,15.96
2011-09-09,66,15.28
2011-09-16,75,16.45
2011-09-23,68,13.72
2011-09-30,68,13.51
2011-10-07,66,14.24
2011-10-14,65,15.22
2011-10-21,67,17.02
2011-10-28,66,19.31
2011-11-04,65,16.72
2011-11-11,67,16.36
2011-11-18,65,14.21
2011-11-25,62,13.26
2011-12-02,67,15.52
2011-12-09,66,16.38
2011-12-16,66,14.98
2011-12-23,62,15.76
2011-12-30,59,15.13
2012-01-06,65,15.90
2012-01-13,68,16.63
2012-01-20,69,18.39
2012-01-27,67,18.56
2012-02-03,66,20.31
2012-02-10,69,19.66
2012-02-17,67,19.16
2012-02-24,67,18.49
2012-03-02,69,18.87
2012-03-09,69,18.37
2012-03-16,69,19.53
2012-03-23,68,20.33
2012-03-30,68,19.64
2012-04-06,66,
2012-04-13,67,17.28
2012-04-20,69,17.48
2012-04-27,69,16.95
2012-05-04,71,16.00
2012-05-11,76,14.95
2012-05-18,78,13.35
2012-05-25,71,13.25
2012-06-01,67,12.73
2012-06-08,68,13.71
2012-06-15,67,14.30
2012-06-22,74,14.14
2012-06-29,67,14.59
2012-07-06,66,14.14
2012-07-13,68,14.05
2012-07-20,70,12.78
2012-07-27,70,13.49
2012-08-03,68,13.78
2012-08-10,68,14.61
2012-08-17,69,14.59
2012-08-24,69,14.56
2012-08-31,75,15.00
2012-09-07,70,17.08
2012-09-14,71,18.24
2012-09-21,69,17.08
2012-09-28,70,16.74
2012-10-05,70,17.50
2012-10-12,69,17.31
2012-10-19,68,17.53
2012-10-26,67,17.04
2012-11-02,64,17.78
2012-11-09,67,16.61
2012-11-16,63,16.18
2012-11-23,63,16.43
2012-11-30,66,16.87
2012-12-07,65,16.97
2012-12-14,63,18.05
2012-12-21,68,18.92
2012-12-28,57,18.62
2013-01-04,63,20.19
2013-01-11,67,20.17
2013-01-18,69,22.38
2013-01-25,68,22.70
2013-02-01,70,23.51
2013-02-08,70,23.32
2013-02-15,70,23.87
2013-02-22,68,23.58
2013-03-01,73,22.43
2013-03-08,70,23.03
2013-03-15,70,23.59
2013-03-22,71,22.18
2013-03-29,69,
2013-04-05,72,21.56
2013-04-12,73,21.82
2013-04-19,69,20.58
2013-04-26,71,21.40
2013-05-03,75,22.76
2013-05-10,78,23.94
2013-05-17,78,25.19
2013-05-24,71,24.35
2013-05-31,69,25.90
2013-06-07,71,27.00
2013-06-14,71,25.83
2013-06-21,71,24.91
2013-06-28,69,24.43
2013-07-05,69,24.57
2013-07-12,70,26.13
2013-07-19,71,27.60
2013-07-26,69,27.70
2013-08-02,69,27.85
2013-08-09,69,26.76
2013-08-16,72,26.47
2013-08-23,71,26.32
2013-08-30,68,25.76
2013-09-06,71,26.81
2013-09-13,70,28.13
2013-09-20,70,28.19
2013-09-27,72,27.08
2013-10-04,72,26.99
2013-10-11,70,27.95
2013-10-18,70,29.69
2013-10-25,69,29.23
2013-11-01,69,29.20
2013-11-08,71,29.44
2013-11-15,71,30.30
2013-11-22,69,31.34
2013-11-29,65,31.30
2013-12-06,70,30.46
2013-12-13,68,31.09
2013-12-20,67,30.93
2013-12-27,60,31.06
2014-01-03,62,31.51
2014-01-10,71,31.30
2014-01-17,70,33.40
2014-01-24,72,30.45
2014-01-31,69,29.51
2014-02-07,72,29.69
2014-02-14,73,29.69
2014-02-21,72,29.62
2014-02-28,70,30.80
2014-03-07,71,32.21
2014-03-14,70,31.10
2014-03-21,71,32.60
2014-03-28,73,30.91
2014-04-04,70,30.37
2014-04-11,71,28.47
2014-04-18,69,
2014-04-25,70,30.58
2014-05-02,76,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
