Date,BEAM,Price
2006-01-20,47,77.53
2006-01-27,53,76.81
2006-02-03,53,78.25
2006-02-10,56,78.09
2006-02-17,51,78.17
2006-02-24,56,77.78
2006-03-03,56,78.10
2006-03-10,50,79.55
2006-03-17,51,81.95
2006-03-24,54,82.61
2006-03-31,50,80.63
2006-04-07,55,78.03
2006-04-14,53,
2006-04-21,51,78.88
2006-04-28,51,80.30
2006-05-05,48,81.25
2006-05-12,51,78.61
2006-05-19,52,76.60
2006-05-26,50,75.15
2006-06-02,47,74.90
2006-06-09,49,72.12
2006-06-16,48,70.54
2006-06-23,46,68.92
2006-06-30,43,71.01
2006-07-07,43,71.63
2006-07-14,44,70.83
2006-07-21,45,70.69
2006-07-28,47,73.84
2006-08-04,45,72.73
2006-08-11,44,72.27
2006-08-18,46,72.97
2006-08-25,45,71.00
2006-09-01,44,72.17
2006-09-08,49,72.24
2006-09-15,49,75.52
2006-09-22,52,73.22
2006-09-29,47,75.11
2006-10-06,49,74.33
2006-10-13,51,75.85
2006-10-20,51,75.50
2006-10-27,45,76.95
2006-11-03,46,78.15
2006-11-10,47,79.89
2006-11-17,48,81.17
2006-11-24,44,80.88
2006-12-01,43,80.71
2006-12-08,49,82.23
2006-12-15,45,83.30
2006-12-22,45,83.52
2006-12-29,37,85.39
2007-01-05,40,85.00
2007-01-12,41,84.28
2007-01-19,43,83.48
2007-01-26,45,81.07
2007-02-02,44,83.79
2007-02-09,43,80.81
2007-02-16,43,83.20
2007-02-23,44,82.81
2007-03-02,44,79.67
2007-03-09,47,80.08
2007-03-16,47,78.01
2007-03-23,44,79.28
2007-03-30,46,78.82
2007-04-06,45,
2007-04-13,46,78.75
2007-04-20,45,80.76
2007-04-27,43,80.35
2007-05-04,44,80.47
2007-05-11,46,79.46
2007-05-18,47,79.50
2007-05-25,44,79.01
2007-06-01,43,81.16
2007-06-08,47,79.75
2007-06-15,44,80.77
2007-06-22,41,83.21
2007-06-29,44,82.37
2007-07-06,42,83.09
2007-07-13,43,83.09
2007-07-20,44,80.96
2007-07-27,43,79.40
2007-08-03,42,82.45
2007-08-10,43,85.86
2007-08-17,42,83.00
2007-08-24,43,83.13
2007-08-31,42,83.09
2007-09-07,41,80.64
2007-09-14,45,81.59
2007-09-21,46,80.66
2007-09-28,45,81.49
2007-10-05,46,84.32
2007-10-12,44,84.20
2007-10-19,46,80.51
2007-10-26,44,83.72
2007-11-02,45,83.01
2007-11-09,44,79.17
2007-11-16,45,79.92
2007-11-23,43,77.76
2007-11-30,46,76.65
2007-12-07,47,76.11
2007-12-14,44,74.81
2007-12-21,42,73.69
2007-12-28,34,72.92
2008-01-04,38,71.14
2008-01-11,42,68.00
2008-01-18,44,65.81
2008-01-25,43,67.59
2008-02-01,43,69.40
2008-02-08,45,64.81
2008-02-15,44,64.60
2008-02-22,43,64.96
2008-02-29,46,64.98
2008-03-07,44,63.92
2008-03-14,43,63.23
2008-03-21,43,
2008-03-28,43,63.86
2008-04-04,43,73.92
2008-04-11,45,70.92
2008-04-18,45,71.40
2008-04-25,45,68.48
2008-05-02,46,69.43
2008-05-09,42,68.96
2008-05-16,44,71.36
2008-05-23,43,69.02
2008-05-30,41,69.48
2008-06-06,42,66.76
2008-06-13,39,66.16
2008-06-20,42,64.46
2008-06-27,42,62.37
2008-07-04,39,
2008-07-11,43,54.08
2008-07-18,43,57.00
2008-07-25,44,58.78
2008-08-01,42,57.31
2008-08-08,44,60.66
2008-08-15,52,60.85
2008-08-22,62,58.45
2008-08-29,46,58.82
2008-09-05,43,58.12
2008-09-12,54,60.56
2008-09-19,45,62.77
2008-09-26,44,59.97
2008-10-03,45,52.42
2008-10-10,46,41.00
2008-10-17,48,39.09
2008-10-24,45,35.12
2008-10-31,44,38.14
2008-11-07,45,37.33
2008-11-14,46,36.07
2008-11-21,47,32.83
2008-11-28,41,37.80
2008-12-05,44,39.32
2008-12-12,45,38.94
2008-12-19,40,40.23
2008-12-26,33,39.66
2009-01-02,37,42.81
2009-01-09,42,40.45
2009-01-16,41,40.12
2009-01-23,43,36.61
2009-01-30,43,32.00
2009-02-06,44,34.44
2009-02-13,43,30.77
2009-02-20,44,27.48
2009-02-27,45,23.75
2009-03-06,44,19.07
2009-03-13,45,21.59
2009-03-20,44,22.87
2009-03-27,44,26.42
2009-04-03,45,30.06
2009-04-10,45,
2009-04-17,44,34.85
2009-04-24,47,37.41
2009-05-01,45,42.05
2009-05-08,46,41.49
2009-05-15,47,36.20
2009-05-22,44,34.73
2009-05-29,41,35.01
2009-06-05,43,36.53
2009-06-12,43,37.03
2009-06-19,42,34.90
2009-06-26,39,35.56
2009-07-03,37,
2009-07-10,42,32.25
2009-07-17,39,35.73
2009-07-24,42,39.37
2009-07-31,43,39.57
2009-08-07,42,39.88
2009-08-14,41,39.51
2009-08-21,43,40.49
2009-08-28,43,40.43
2009-09-04,42,38.98
2009-09-11,41,41.01
2009-09-18,45,45.78
2009-09-25,43,42.39
2009-10-02,43,40.52
2009-10-09,45,42.49
2009-10-16,45,43.18
2009-10-23,44,43.25
2009-10-30,45,38.95
2009-11-06,44,39.28
2009-11-13,46,40.69
2009-11-20,46,38.53
2009-11-27,43,38.42
2009-12-04,45,40.33
2009-12-11,52,40.38
2009-12-18,49,39.61
2009-12-25,38,
2010-01-01,38,
2010-01-08,42,44.66
2010-01-15,45,44.23
2010-01-22,44,43.08
2010-01-29,45,41.57
2010-02-05,46,40.73
2010-02-12,43,41.03
2010-02-19,47,43.63
2010-02-26,48,43.83
2010-03-05,48,46.42
2010-03-12,48,47.34
2010-03-19,46,48.89
2010-03-26,45,49.06
2010-04-02,48,
2010-04-09,46,50.67
2010-04-16,46,52.00
2010-04-23,48,53.86
2010-04-30,47,52.42
2010-05-07,47,47.04
2010-05-14,46,48.50
2010-05-21,46,45.78
2010-05-28,43,47.45
2010-06-04,41,45.68
2010-06-11,41,47.11
2010-06-18,41,45.15
2010-06-25,42,42.29
2010-07-02,41,38.71
2010-07-09,41,40.70
2010-07-16,43,40.48
2010-07-23,44,43.76
2010-07-30,43,43.88
2010-08-06,45,45.56
2010-08-13,42,44.33
2010-08-20,43,42.58
2010-08-27,42,44.72
2010-09-03,42,47.95
2010-09-10,44,47.94
2010-09-17,45,49.24
2010-09-24,45,50.39
2010-10-01,45,49.58
2010-10-08,46,55.85
2010-10-15,45,56.13
2010-10-22,47,56.05
2010-10-29,47,54.05
2010-11-05,45,54.39
2010-11-12,45,58.60
2010-11-19,46,60.16
2010-11-26,44,58.79
2010-12-03,47,61.50
2010-12-10,47,63.01
2010-12-17,45,61.47
2010-12-24,40,
2010-12-31,38,60.25
2011-01-07,41,61.47
2011-01-14,43,61.55
2011-01-21,44,60.93
2011-01-28,45,61.03
2011-02-04,46,62.09
2011-02-11,45,60.87
2011-02-18,45,62.67
2011-02-25,44,61.57
2011-03-04,46,60.85
2011-03-11,46,61.18
2011-03-18,46,60.12
2011-03-25,50,60.65
2011-04-01,48,62.86
2011-04-08,48,63.20
2011-04-15,49,63.31
2011-04-22,48,
2011-04-29,50,65.08
2011-05-06,47,63.82
2011-05-13,50,64.11
2011-05-20,48,63.88
2011-05-27,47,63.92
2011-06-03,43,63.27
2011-06-10,43,63.11
2011-06-17,44,63.47
2011-06-24,44,62.51
2011-07-01,43,64.76
2011-07-08,41,64.64
2011-07-15,43,62.92
2011-07-22,43,63.18
2011-07-29,43,60.21
2011-08-05,44,54.72
2011-08-12,43,56.18
2011-08-19,43,51.47
2011-08-26,44,54.77
2011-09-02,43,54.84
2011-09-09,44,55.04
2011-09-16,47,57.58
2011-09-23,47,55.52
2011-09-30,46,54.08
2011-10-07,47,46.05
2011-10-14,47,47.18
2011-10-21,50,49.17
2011-10-28,48,49.37
2011-11-04,49,49.42
2011-11-11,48,50.63
2011-11-18,51,49.72
2011-11-25,48,48.53
2011-12-02,51,51.98
2011-12-09,50,52.15
2011-12-16,48,49.15
2011-12-23,44,50.60
2011-12-30,43,51.23
2012-01-06,44,50.58
2012-01-13,47,51.40
2012-01-20,48,52.71
2012-01-27,47,52.77
2012-02-03,48,54.32
2012-02-10,47,53.66
2012-02-17,48,56.02
2012-02-24,50,55.60
2012-03-02,78,54.50
2012-03-09,59,56.15
2012-03-16,54,56.82
2012-03-23,53,58.24
2012-03-30,54,58.57
2012-04-06,52,
2012-04-13,50,57.02
2012-04-20,53,57.02
2012-04-27,54,56.96
2012-05-04,53,58.83
2012-05-11,51,58.81
2012-05-18,49,56.03
2012-05-25,49,57.99
2012-06-01,49,59.35
2012-06-08,50,61.25
2012-06-15,49,62.35
2012-06-22,49,61.70
2012-06-29,52,62.49
2012-07-06,54,61.00
2012-07-13,54,61.94
2012-07-20,57,61.87
2012-07-27,59,63.04
2012-08-03,81,61.94
2012-08-10,100,60.37
2012-08-17,63,60.20
2012-08-24,60,58.20
2012-08-31,63,58.36
2012-09-07,62,60.78
2012-09-14,64,58.97
2012-09-21,65,57.76
2012-09-28,64,57.54
2012-10-05,64,59.27
2012-10-12,62,56.80
2012-10-19,62,55.30
2012-10-26,61,55.69
2012-11-02,63,57.15
2012-11-09,62,54.50
2012-11-16,66,53.44
2012-11-23,63,55.51
2012-11-30,65,56.11
2012-12-07,66,59.73
2012-12-14,63,61.06
2012-12-21,63,61.28
2012-12-28,58,60.05
2013-01-04,58,61.09
2013-01-11,58,59.70
2013-01-18,57,61.73
2013-01-25,61,61.98
2013-02-01,60,60.95
2013-02-08,60,61.52
2013-02-15,60,61.50
2013-02-22,60,62.03
2013-03-01,60,61.03
2013-03-08,60,60.51
2013-03-15,59,62.81
2013-03-22,60,62.80
2013-03-29,57,
2013-04-05,61,60.54
2013-04-12,59,62.13
2013-04-19,60,64.87
2013-04-26,61,64.49
2013-05-03,61,66.86
2013-05-10,59,67.51
2013-05-17,57,68.94
2013-05-24,57,67.26
2013-05-31,58,64.84
2013-06-07,57,65.18
2013-06-14,57,65.35
2013-06-21,54,62.88
2013-06-28,56,63.11
2013-07-05,55,63.46
2013-07-12,56,65.27
2013-07-19,56,65.39
2013-07-26,54,64.77
2013-08-02,56,65.77
2013-08-09,58,65.68
2013-08-16,59,62.20
2013-08-23,55,62.12
2013-08-30,56,62.65
2013-09-06,57,63.75
2013-09-13,60,65.30
2013-09-20,59,65.74
2013-09-27,58,64.37
2013-10-04,58,67.17
2013-10-11,60,68.26
2013-10-18,60,69.83
2013-10-25,61,68.65
2013-11-01,61,67.01
2013-11-08,61,68.12
2013-11-15,67,68.02
2013-11-22,65,67.85
2013-11-29,63,67.53
2013-12-06,63,66.71
2013-12-13,62,65.77
2013-12-20,59,67.34
2013-12-27,56,67.29
2014-01-03,55,66.65
2014-01-10,59,66.97
2014-01-17,72,83.34
2014-01-24,61,83.45
2014-01-31,60,83.30
2014-02-07,58,83.40
2014-02-14,62,83.28
2014-02-21,62,83.23
2014-02-28,62,82.96
2014-03-07,61,83.25
2014-03-14,62,83.19
2014-03-21,61,83.18
2014-03-28,60,83.28
2014-04-04,60,83.28
2014-04-11,60,83.27
2014-04-18,62,
2014-04-25,64,83.45
2014-05-02,60,
