Date,AN,Price
2008-03-21,52,
2008-03-28,51,14.65
2008-04-04,53,15.95
2008-04-11,55,14.95
2008-04-18,54,15.70
2008-04-25,55,15.70
2008-05-02,55,16.57
2008-05-09,54,16.03
2008-05-16,52,16.46
2008-05-23,53,15.51
2008-05-30,52,15.79
2008-06-06,52,14.45
2008-06-13,51,13.91
2008-06-20,51,11.97
2008-06-27,50,10.44
2008-07-04,50,
2008-07-11,53,8.09
2008-07-18,52,8.25
2008-07-25,52,9.75
2008-08-01,52,10.39
2008-08-08,51,11.87
2008-08-15,54,12.37
2008-08-22,53,11.93
2008-08-29,53,11.35
2008-09-05,52,12.28
2008-09-12,59,12.40
2008-09-19,57,13.32
2008-09-26,58,12.83
2008-10-03,58,10.93
2008-10-10,58,8.10
2008-10-17,56,7.34
2008-10-24,59,4.43
2008-10-31,56,6.87
2008-11-07,58,6.55
2008-11-14,59,6.35
2008-11-21,58,6.45
2008-11-28,54,8.54
2008-12-05,60,9.51
2008-12-12,61,8.88
2008-12-19,55,9.65
2008-12-26,51,8.56
2009-01-02,59,10.64
2009-01-09,59,9.65
2009-01-16,59,8.42
2009-01-23,58,8.14
2009-01-30,59,9.28
2009-02-06,61,11.38
2009-02-13,61,10.68
2009-02-20,59,9.78
2009-02-27,62,9.98
2009-03-06,62,9.72
2009-03-13,62,12.10
2009-03-20,63,12.07
2009-03-27,61,14.29
2009-04-03,61,15.38
2009-04-10,61,
2009-04-17,60,16.64
2009-04-24,62,16.19
2009-05-01,62,17.43
2009-05-08,62,16.63
2009-05-15,63,15.97
2009-05-22,59,15.23
2009-05-29,57,15.88
2009-06-05,64,17.44
2009-06-12,61,17.57
2009-06-19,59,17.06
2009-06-26,56,17.23
2009-07-03,57,
2009-07-10,64,16.53
2009-07-17,61,18.23
2009-07-24,59,20.01
2009-07-31,61,20.68
2009-08-07,59,19.98
2009-08-14,61,18.49
2009-08-21,61,19.11
2009-08-28,63,19.63
2009-09-04,63,17.67
2009-09-11,64,17.86
2009-09-18,68,17.92
2009-09-25,69,17.66
2009-10-02,68,17.25
2009-10-09,68,17.99
2009-10-16,68,19.69
2009-10-23,68,20.53
2009-10-30,68,17.24
2009-11-06,68,18.56
2009-11-13,68,18.28
2009-11-20,70,17.78
2009-11-27,67,17.44
2009-12-04,70,18.06
2009-12-11,70,18.35
2009-12-18,66,18.90
2009-12-25,60,
2010-01-01,66,
2010-01-08,68,20.69
2010-01-15,69,19.18
2010-01-22,67,18.36
2010-01-29,69,18.00
2010-02-05,71,17.59
2010-02-12,68,17.72
2010-02-19,68,18.42
2010-02-26,71,17.75
2010-03-05,73,18.76
2010-03-12,71,18.54
2010-03-19,71,18.56
2010-03-26,73,19.00
2010-04-02,70,
2010-04-09,69,18.36
2010-04-16,73,19.08
2010-04-23,71,21.06
2010-04-30,74,20.20
2010-05-07,71,19.03
2010-05-14,72,19.46
2010-05-21,71,19.28
2010-05-28,69,20.03
2010-06-04,72,20.86
2010-06-11,69,21.33
2010-06-18,66,21.18
2010-06-25,66,20.03
2010-07-02,65,18.90
2010-07-09,73,19.37
2010-07-16,70,19.99
2010-07-23,70,23.14
2010-07-30,70,24.43
2010-08-06,70,24.43
2010-08-13,71,22.68
2010-08-20,70,23.42
2010-08-27,69,23.24
2010-09-03,70,24.54
2010-09-10,74,23.35
2010-09-17,75,23.34
2010-09-24,77,23.70
2010-10-01,76,23.59
2010-10-08,75,23.27
2010-10-15,76,23.74
2010-10-22,77,23.82
2010-10-29,77,23.22
2010-11-05,79,26.38
2010-11-12,78,26.40
2010-11-19,77,26.13
2010-11-26,73,26.04
2010-12-03,77,26.89
2010-12-10,77,26.50
2010-12-17,73,27.18
2010-12-24,68,
2010-12-31,74,28.20
2011-01-07,75,27.76
2011-01-14,77,28.39
2011-01-21,76,28.76
2011-01-28,78,28.70
2011-02-04,75,30.84
2011-02-11,79,33.96
2011-02-18,80,34.39
2011-02-25,76,33.51
2011-03-04,79,32.68
2011-03-11,77,33.48
2011-03-18,78,33.29
2011-03-25,81,34.52
2011-04-01,80,35.62
2011-04-08,81,34.85
2011-04-15,82,32.95
2011-04-22,79,
2011-04-29,78,33.91
2011-05-06,80,34.24
2011-05-13,79,33.65
2011-05-20,80,33.09
2011-05-27,78,34.55
2011-06-03,81,33.66
2011-06-10,78,33.33
2011-06-17,76,33.11
2011-06-24,76,34.44
2011-07-01,74,36.94
2011-07-08,78,39.22
2011-07-15,77,39.18
2011-07-22,73,39.08
2011-07-29,74,37.61
2011-08-05,75,34.98
2011-08-12,73,35.60
2011-08-19,78,35.72
2011-08-26,79,39.00
2011-09-02,76,39.27
2011-09-09,81,38.42
2011-09-16,83,37.28
2011-09-23,85,32.94
2011-09-30,85,32.78
2011-10-07,86,34.60
2011-10-14,85,37.74
2011-10-21,85,39.13
2011-10-28,86,39.62
2011-11-04,87,36.40
2011-11-11,86,34.07
2011-11-18,87,33.50
2011-11-25,81,34.06
2011-12-02,86,36.18
2011-12-09,88,36.90
2011-12-16,89,35.77
2011-12-23,77,37.12
2011-12-30,80,36.87
2012-01-06,80,33.44
2012-01-13,83,34.10
2012-01-20,80,35.21
2012-01-27,83,36.50
2012-02-03,87,37.02
2012-02-10,87,36.11
2012-02-17,83,35.00
2012-02-24,85,34.02
2012-03-02,89,34.32
2012-03-09,85,34.14
2012-03-16,86,34.74
2012-03-23,87,35.33
2012-03-30,82,34.31
2012-04-06,83,
2012-04-13,84,32.97
2012-04-20,90,33.74
2012-04-27,84,34.51
2012-05-04,85,34.94
2012-05-11,83,35.02
2012-05-18,84,34.38
2012-05-25,83,36.27
2012-06-01,82,35.00
2012-06-08,82,37.22
2012-06-15,80,36.90
2012-06-22,81,35.87
2012-06-29,79,35.28
2012-07-06,82,38.91
2012-07-13,84,39.84
2012-07-20,82,39.68
2012-07-27,82,40.12
2012-08-03,81,38.83
2012-08-10,81,39.58
2012-08-17,84,39.87
2012-08-24,85,40.52
2012-08-31,86,40.20
2012-09-07,88,41.82
2012-09-14,91,42.17
2012-09-21,93,42.95
2012-09-28,92,43.67
2012-10-05,93,46.53
2012-10-12,88,46.69
2012-10-19,88,48.45
2012-10-26,88,44.61
2012-11-02,85,43.56
2012-11-09,88,40.87
2012-11-16,90,41.08
2012-11-23,83,42.08
2012-11-30,90,38.94
2012-12-07,89,39.74
2012-12-14,84,38.42
2012-12-21,82,38.90
2012-12-28,76,38.92
2013-01-04,84,42.23
2013-01-11,86,43.05
2013-01-18,85,44.16
2013-01-25,85,44.14
2013-02-01,88,47.58
2013-02-08,86,48.60
2013-02-15,86,46.03
2013-02-22,85,44.54
2013-03-01,89,43.45
2013-03-08,89,44.69
2013-03-15,88,44.14
2013-03-22,87,43.58
2013-03-29,86,
2013-04-05,84,41.39
2013-04-12,85,44.17
2013-04-19,88,43.82
2013-04-26,88,44.61
2013-05-03,87,45.63
2013-05-10,87,45.88
2013-05-17,84,46.00
2013-05-24,84,46.28
2013-05-31,81,46.33
2013-06-07,87,46.82
2013-06-14,82,44.07
2013-06-21,82,42.98
2013-06-28,79,43.39
2013-07-05,81,46.14
2013-07-12,82,46.00
2013-07-19,83,44.74
2013-07-26,80,45.78
2013-08-02,80,49.29
2013-08-09,79,48.44
2013-08-16,80,45.65
2013-08-23,83,46.42
2013-08-30,83,46.74
2013-09-06,83,49.27
2013-09-13,88,53.05
2013-09-20,89,53.32
2013-09-27,93,52.71
2013-10-04,89,50.95
2013-10-11,90,50.00
2013-10-18,88,50.18
2013-10-25,89,49.16
2013-11-01,91,48.39
2013-11-08,90,47.08
2013-11-15,91,49.86
2013-11-22,90,49.04
2013-11-29,82,49.04
2013-12-06,87,50.55
2013-12-13,86,50.01
2013-12-20,82,49.84
2013-12-27,74,50.06
2014-01-03,82,49.75
2014-01-10,85,49.80
2014-01-17,87,47.82
2014-01-24,87,47.34
2014-01-31,85,49.39
2014-02-07,85,51.13
2014-02-14,91,51.76
2014-02-21,90,51.08
2014-02-28,93,52.64
2014-03-07,100,53.71
2014-03-14,99,53.05
2014-03-21,93,53.02
2014-03-28,94,52.08
2014-04-04,90,53.47
2014-04-11,93,52.73
2014-04-18,93,
2014-04-25,93,52.69
2014-05-02,92,
