Date,EMR,Price
2005-08-12,68,68.55
2005-08-19,67,67.46
2005-08-26,75,66.64
2005-09-02,67,67.17
2005-09-09,61,68.15
2005-09-16,72,67.30
2005-09-23,68,69.61
2005-09-30,72,71.80
2005-10-07,74,69.92
2005-10-14,81,69.45
2005-10-21,70,68.65
2005-10-28,89,68.59
2005-11-04,68,70.59
2005-11-11,70,71.55
2005-11-18,81,72.51
2005-11-25,62,73.01
2005-12-02,59,77.30
2005-12-09,61,76.21
2005-12-16,59,75.52
2005-12-23,63,76.75
2005-12-30,53,74.70
2006-01-06,70,76.33
2006-01-13,67,78.72
2006-01-20,55,77.57
2006-01-27,70,77.93
2006-02-03,77,77.35
2006-02-10,76,82.85
2006-02-17,77,81.90
2006-02-24,88,82.80
2006-03-03,70,83.43
2006-03-10,75,84.50
2006-03-17,76,85.67
2006-03-24,60,85.31
2006-03-31,74,83.63
2006-04-07,72,81.61
2006-04-14,73,
2006-04-21,61,86.28
2006-04-28,66,84.95
2006-05-05,61,87.47
2006-05-12,77,85.03
2006-05-19,63,79.95
2006-05-26,65,82.54
2006-06-02,72,82.81
2006-06-09,69,80.15
2006-06-16,64,81.85
2006-06-23,64,82.20
2006-06-30,68,83.81
2006-07-07,57,81.82
2006-07-14,74,79.00
2006-07-21,63,76.15
2006-07-28,65,77.38
2006-08-04,84,80.63
2006-08-11,59,79.37
2006-08-18,68,82.10
2006-08-25,70,80.30
2006-09-01,53,82.69
2006-09-08,62,81.17
2006-09-15,70,82.68
2006-09-22,54,80.15
2006-09-29,68,83.86
2006-10-06,69,84.77
2006-10-13,47,84.85
2006-10-20,68,84.39
2006-10-27,67,84.16
2006-11-03,67,82.21
2006-11-10,74,87.56
2006-11-17,68,88.15
2006-11-24,49,89.00
2006-12-01,59,85.21
2006-12-08,59,86.11
2006-12-15,62,42.23
2006-12-22,46,44.04
2006-12-29,43,44.09
2007-01-05,51,43.48
2007-01-12,75,44.05
2007-01-19,68,44.41
2007-01-26,61,43.84
2007-02-02,73,45.20
2007-02-09,71,44.31
2007-02-16,69,45.32
2007-02-23,67,45.31
2007-03-02,56,42.54
2007-03-09,64,43.50
2007-03-16,67,42.23
2007-03-23,67,43.90
2007-03-30,66,43.09
2007-04-06,59,
2007-04-13,63,43.22
2007-04-20,62,44.96
2007-04-27,73,47.88
2007-05-04,67,46.86
2007-05-11,56,46.15
2007-05-18,64,45.92
2007-05-25,56,47.27
2007-06-01,61,48.80
2007-06-08,63,47.69
2007-06-15,57,48.70
2007-06-22,59,47.74
2007-06-29,57,46.80
2007-07-06,60,48.07
2007-07-13,57,49.81
2007-07-20,60,49.94
2007-07-27,57,47.17
2007-08-03,66,46.57
2007-08-10,61,47.09
2007-08-17,63,46.31
2007-08-24,59,47.78
2007-08-31,59,49.23
2007-09-07,54,47.38
2007-09-14,54,48.66
2007-09-21,59,50.20
2007-09-28,62,53.22
2007-10-05,64,54.27
2007-10-12,55,53.09
2007-10-19,64,50.50
2007-10-26,58,51.40
2007-11-02,65,51.83
2007-11-09,61,54.79
2007-11-16,61,54.97
2007-11-23,63,54.68
2007-11-30,69,57.02
2007-12-07,63,58.32
2007-12-14,56,56.21
2007-12-21,52,55.83
2007-12-28,31,57.03
2008-01-04,46,53.85
2008-01-11,60,51.39
2008-01-18,57,49.19
2008-01-25,63,51.52
2008-02-01,57,52.22
2008-02-08,60,50.84
2008-02-15,60,52.26
2008-02-22,60,51.81
2008-02-29,58,50.96
2008-03-07,68,49.46
2008-03-14,59,48.64
2008-03-21,56,
2008-03-28,55,51.18
2008-04-04,61,53.83
2008-04-11,58,50.19
2008-04-18,65,53.20
2008-04-25,62,53.74
2008-05-02,61,53.77
2008-05-09,62,54.18
2008-05-16,66,57.41
2008-05-23,63,56.08
2008-05-30,59,58.18
2008-06-06,56,55.93
2008-06-13,56,55.92
2008-06-20,64,53.91
2008-06-27,63,48.17
2008-07-04,58,
2008-07-11,59,49.34
2008-07-18,65,50.50
2008-07-25,60,49.83
2008-08-01,62,48.41
2008-08-08,57,49.03
2008-08-15,65,49.43
2008-08-22,62,48.40
2008-08-29,64,46.80
2008-09-05,56,44.22
2008-09-12,59,44.20
2008-09-19,57,43.84
2008-09-26,62,41.32
2008-10-03,56,38.20
2008-10-10,67,33.38
2008-10-17,63,34.04
2008-10-24,64,30.63
2008-10-31,59,32.73
2008-11-07,61,32.18
2008-11-14,77,33.40
2008-11-21,61,32.18
2008-11-28,55,35.89
2008-12-05,63,31.29
2008-12-12,54,32.36
2008-12-19,53,34.02
2008-12-26,37,34.40
2009-01-02,42,37.95
2009-01-09,60,35.70
2009-01-16,68,33.65
2009-01-23,60,32.79
2009-01-30,68,32.70
2009-02-06,62,33.43
2009-02-13,70,32.02
2009-02-20,70,29.20
2009-02-27,74,26.75
2009-03-06,73,25.17
2009-03-13,77,26.82
2009-03-20,73,26.80
2009-03-27,73,28.96
2009-04-03,67,31.96
2009-04-10,74,
2009-04-17,73,33.04
2009-04-24,77,33.60
2009-05-01,73,35.58
2009-05-08,63,36.46
2009-05-15,69,33.75
2009-05-22,70,32.18
2009-05-29,68,32.09
2009-06-05,67,35.20
2009-06-12,68,35.07
2009-06-19,70,32.76
2009-06-26,77,33.09
2009-07-03,61,
2009-07-10,69,31.00
2009-07-17,68,33.97
2009-07-24,72,36.80
2009-07-31,68,36.38
2009-08-07,74,35.64
2009-08-14,75,35.19
2009-08-21,72,36.02
2009-08-28,72,37.20
2009-09-04,69,37.41
2009-09-11,69,39.38
2009-09-18,71,41.12
2009-09-25,72,38.92
2009-10-02,71,38.31
2009-10-09,75,39.10
2009-10-16,72,39.12
2009-10-23,70,39.68
2009-10-30,66,37.75
2009-11-06,73,41.23
2009-11-13,65,41.77
2009-11-20,66,41.68
2009-11-27,59,41.50
2009-12-04,66,42.14
2009-12-11,65,42.00
2009-12-18,60,41.78
2009-12-25,48,
2010-01-01,45,
2010-01-08,70,44.06
2010-01-15,74,44.32
2010-01-22,69,42.08
2010-01-29,76,41.54
2010-02-05,73,45.15
2010-02-12,70,46.21
2010-02-19,70,48.08
2010-02-26,75,47.34
2010-03-05,69,48.49
2010-03-12,81,48.09
2010-03-19,71,48.62
2010-03-26,67,49.80
2010-04-02,69,
2010-04-09,74,50.80
2010-04-16,73,51.80
2010-04-23,76,52.74
2010-04-30,77,52.23
2010-05-07,78,48.47
2010-05-14,67,49.06
2010-05-21,69,45.93
2010-05-28,68,46.44
2010-06-04,66,44.97
2010-06-11,72,45.77
2010-06-18,74,47.47
2010-06-25,64,44.89
2010-07-02,62,43.42
2010-07-09,61,46.42
2010-07-16,72,45.22
2010-07-23,70,50.57
2010-07-30,68,49.54
2010-08-06,65,50.37
2010-08-13,65,48.23
2010-08-20,68,46.68
2010-08-27,67,46.88
2010-09-03,66,49.76
2010-09-10,59,49.81
2010-09-17,69,51.22
2010-09-24,69,53.46
2010-10-01,76,53.67
2010-10-08,71,53.42
2010-10-15,63,53.67
2010-10-22,68,54.51
2010-10-29,66,54.90
2010-11-05,73,57.28
2010-11-12,66,55.37
2010-11-19,71,55.75
2010-11-26,60,55.60
2010-12-03,67,56.84
2010-12-10,64,57.64
2010-12-17,58,58.33
2010-12-24,54,
2010-12-31,51,57.17
2011-01-07,71,56.83
2011-01-14,67,58.16
2011-01-21,70,57.54
2011-01-28,72,56.96
2011-02-04,73,60.59
2011-02-11,72,61.56
2011-02-18,68,61.78
2011-02-25,68,59.97
2011-03-04,74,59.74
2011-03-11,72,59.41
2011-03-18,71,57.14
2011-03-25,73,57.82
2011-04-01,76,59.00
2011-04-08,65,57.75
2011-04-15,72,57.55
2011-04-22,68,
2011-04-29,69,60.77
2011-05-06,71,55.66
2011-05-13,71,53.53
2011-05-20,68,54.09
2011-05-27,61,54.12
2011-06-03,67,51.22
2011-06-10,64,51.37
2011-06-17,67,52.06
2011-06-24,64,53.57
2011-07-01,66,57.09
2011-07-08,62,57.19
2011-07-15,69,55.37
2011-07-22,68,55.10
2011-07-29,71,49.09
2011-08-05,70,45.39
2011-08-12,70,46.30
2011-08-19,61,42.46
2011-08-26,64,45.41
2011-09-02,58,44.03
2011-09-09,58,43.40
2011-09-16,65,45.74
2011-09-23,67,42.33
2011-09-30,75,41.31
2011-10-07,76,44.01
2011-10-14,63,47.51
2011-10-21,69,47.42
2011-10-28,75,49.61
2011-11-04,71,51.26
2011-11-11,73,51.36
2011-11-18,73,49.71
2011-11-25,62,47.11
2011-12-02,65,51.36
2011-12-09,68,51.54
2011-12-16,65,49.13
2011-12-23,57,46.29
2011-12-30,49,46.59
2012-01-06,61,47.15
2012-01-13,71,48.54
2012-01-20,70,49.33
2012-01-27,73,51.67
2012-02-03,79,52.46
2012-02-10,79,52.20
2012-02-17,72,51.50
2012-02-24,67,50.88
2012-03-02,73,50.23
2012-03-09,75,49.99
2012-03-16,70,52.37
2012-03-23,71,51.21
2012-03-30,67,52.18
2012-04-06,67,
2012-04-13,66,50.09
2012-04-20,74,50.27
2012-04-27,69,52.67
2012-05-04,73,48.73
2012-05-11,64,48.18
2012-05-18,64,45.93
2012-05-25,65,47.28
2012-06-01,62,45.63
2012-06-08,65,46.69
2012-06-15,69,46.67
2012-06-22,69,45.71
2012-06-29,62,46.58
2012-07-06,57,45.16
2012-07-13,62,44.94
2012-07-20,72,46.25
2012-07-27,65,48.03
2012-08-03,59,48.50
2012-08-10,65,51.25
2012-08-17,64,52.30
2012-08-24,67,51.72
2012-08-31,66,50.72
2012-09-07,64,49.80
2012-09-14,66,49.81
2012-09-21,69,50.10
2012-09-28,67,48.27
2012-10-05,69,49.19
2012-10-12,67,48.35
2012-10-19,68,48.25
2012-10-26,68,47.84
2012-11-02,57,49.81
2012-11-09,65,50.15
2012-11-16,62,48.19
2012-11-23,55,49.12
2012-11-30,62,50.23
2012-12-07,69,50.85
2012-12-14,68,51.75
2012-12-21,59,53.01
2012-12-28,37,52.14
2013-01-04,50,55.07
2013-01-11,63,55.04
2013-01-18,67,55.89
2013-01-25,68,57.47
2013-02-01,73,58.08
2013-02-08,68,57.50
2013-02-15,66,58.29
2013-02-22,68,57.27
2013-03-01,67,56.07
2013-03-08,67,57.29
2013-03-15,69,57.59
2013-03-22,63,56.79
2013-03-29,66,
2013-04-05,62,55.73
2013-04-12,65,55.83
2013-04-19,68,53.48
2013-04-26,66,54.44
2013-05-03,64,56.82
2013-05-10,67,57.96
2013-05-17,63,59.36
2013-05-24,64,56.94
2013-05-31,62,57.46
2013-06-07,59,57.63
2013-06-14,62,56.14
2013-06-21,61,54.76
2013-06-28,67,54.54
2013-07-05,54,56.43
2013-07-12,62,57.22
2013-07-19,63,58.80
2013-07-26,66,59.80
2013-08-02,59,62.55
2013-08-09,61,61.90
2013-08-16,60,61.27
2013-08-23,59,61.96
2013-08-30,65,60.37
2013-09-06,59,61.47
2013-09-13,62,64.04
2013-09-20,63,64.92
2013-09-27,62,64.90
2013-10-04,63,63.97
2013-10-11,64,65.35
2013-10-18,62,65.64
2013-10-25,62,67.22
2013-11-01,62,67.03
2013-11-08,59,66.97
2013-11-15,66,67.97
2013-11-22,66,68.00
2013-11-29,51,66.99
2013-12-06,59,67.18
2013-12-13,61,66.20
2013-12-20,57,69.34
2013-12-27,36,70.21
2014-01-03,41,69.37
2014-01-10,55,68.55
2014-01-17,61,69.12
2014-01-24,63,65.26
2014-01-31,66,65.94
2014-02-07,64,65.19
2014-02-14,69,64.51
2014-02-21,64,63.42
2014-02-28,69,65.26
2014-03-07,65,65.60
2014-03-14,59,62.56
2014-03-21,60,65.35
2014-03-28,65,66.76
2014-04-04,65,67.27
2014-04-11,63,65.40
2014-04-18,67,
2014-04-25,60,68.44
2014-05-02,60,
