Date,STX,Price
2005-07-08,74,18.24
2005-07-15,70,19.14
2005-07-22,66,18.31
2005-07-29,44,19.37
2005-08-05,67,18.85
2005-08-12,49,18.22
2005-08-19,53,18.42
2005-08-26,66,17.27
2005-09-02,61,15.96
2005-09-09,56,16.17
2005-09-16,53,15.03
2005-09-23,50,15.13
2005-09-30,55,15.85
2005-10-07,54,15.79
2005-10-14,57,15.24
2005-10-21,59,14.27
2005-10-28,56,14.10
2005-11-04,60,15.57
2005-11-11,65,15.92
2005-11-18,64,16.98
2005-11-25,68,17.85
2005-12-02,68,18.55
2005-12-09,74,19.21
2005-12-16,63,19.59
2005-12-23,77,20.33
2005-12-30,67,19.99
2006-01-06,81,21.39
2006-01-13,90,24.23
2006-01-20,82,25.00
2006-01-27,77,26.12
2006-02-03,77,25.51
2006-02-10,78,25.17
2006-02-17,68,27.29
2006-02-24,83,25.55
2006-03-03,89,28.08
2006-03-10,98,24.28
2006-03-17,89,24.73
2006-03-24,90,24.47
2006-03-31,76,26.33
2006-04-07,88,27.20
2006-04-14,80,
2006-04-21,87,25.10
2006-04-28,82,26.56
2006-05-05,86,26.48
2006-05-12,73,24.09
2006-05-19,72,24.95
2006-05-26,80,24.21
2006-06-02,85,24.12
2006-06-09,70,23.11
2006-06-16,74,21.78
2006-06-23,65,20.99
2006-06-30,66,22.64
2006-07-07,68,22.58
2006-07-14,75,22.43
2006-07-21,71,22.79
2006-07-28,82,23.44
2006-08-04,71,21.76
2006-08-11,73,19.95
2006-08-18,71,21.34
2006-08-25,65,20.56
2006-09-01,64,22.59
2006-09-08,75,20.05
2006-09-15,67,22.09
2006-09-22,75,22.52
2006-09-29,69,23.09
2006-10-06,56,22.38
2006-10-13,62,21.65
2006-10-20,64,22.07
2006-10-27,71,22.17
2006-11-03,66,22.78
2006-11-10,64,23.45
2006-11-17,65,25.35
2006-11-24,62,26.69
2006-12-01,76,25.82
2006-12-08,62,26.40
2006-12-15,71,26.73
2006-12-22,66,26.54
2006-12-29,71,26.50
2007-01-05,63,26.01
2007-01-12,100,26.82
2007-01-19,73,25.95
2007-01-26,62,27.35
2007-02-02,70,26.34
2007-02-09,63,26.06
2007-02-16,59,26.54
2007-02-23,61,28.00
2007-03-02,76,24.64
2007-03-09,77,24.26
2007-03-16,72,24.45
2007-03-23,83,25.04
2007-03-30,64,23.30
2007-04-06,77,
2007-04-13,69,22.01
2007-04-20,66,21.58
2007-04-27,67,22.10
2007-05-04,67,22.07
2007-05-11,69,22.11
2007-05-18,72,20.88
2007-05-25,73,20.30
2007-06-01,67,20.73
2007-06-08,70,20.90
2007-06-15,65,20.96
2007-06-22,72,22.19
2007-06-29,66,21.77
2007-07-06,57,23.57
2007-07-13,62,22.80
2007-07-20,68,24.63
2007-07-27,56,23.81
2007-08-03,60,23.48
2007-08-10,60,23.85
2007-08-17,60,23.75
2007-08-24,53,24.96
2007-08-31,68,25.82
2007-09-07,61,25.14
2007-09-14,56,24.67
2007-09-21,59,25.38
2007-09-28,57,25.58
2007-10-05,59,25.81
2007-10-12,62,26.72
2007-10-19,57,26.87
2007-10-26,60,26.95
2007-11-02,63,28.60
2007-11-09,62,27.10
2007-11-16,69,26.63
2007-11-23,54,25.00
2007-11-30,57,25.79
2007-12-07,57,27.87
2007-12-14,65,27.52
2007-12-21,69,25.97
2007-12-28,66,25.85
2008-01-04,64,23.31
2008-01-11,63,22.91
2008-01-18,65,19.70
2008-01-25,63,20.99
2008-02-01,64,20.93
2008-02-08,60,21.95
2008-02-15,72,22.68
2008-02-22,58,23.77
2008-02-29,59,21.57
2008-03-07,66,21.75
2008-03-14,63,22.21
2008-03-21,68,
2008-03-28,68,20.30
2008-04-04,63,21.62
2008-04-11,73,20.54
2008-04-18,67,19.48
2008-04-25,75,19.39
2008-05-02,65,19.45
2008-05-09,73,20.23
2008-05-16,74,21.91
2008-05-23,71,20.67
2008-05-30,71,21.42
2008-06-06,69,22.27
2008-06-13,64,20.27
2008-06-20,68,20.18
2008-06-27,74,19.48
2008-07-04,62,
2008-07-11,56,17.00
2008-07-18,69,14.85
2008-07-25,63,14.97
2008-08-01,55,15.03
2008-08-08,58,15.00
2008-08-15,52,16.75
2008-08-22,64,16.23
2008-08-29,54,14.91
2008-09-05,57,14.73
2008-09-12,55,13.58
2008-09-19,54,12.85
2008-09-26,53,12.42
2008-10-03,56,10.93
2008-10-10,61,8.66
2008-10-17,49,8.79
2008-10-24,58,7.04
2008-10-31,55,6.77
2008-11-07,59,6.60
2008-11-14,57,4.87
2008-11-21,59,4.40
2008-11-28,53,4.21
2008-12-05,59,4.52
2008-12-12,57,5.27
2008-12-19,62,4.55
2008-12-26,58,4.16
2009-01-02,50,5.08
2009-01-09,64,5.64
2009-01-16,68,4.39
2009-01-23,63,3.11
2009-01-30,63,3.79
2009-02-06,64,4.51
2009-02-13,58,4.37
2009-02-20,61,4.19
2009-02-27,67,4.30
2009-03-06,77,3.11
2009-03-13,70,4.26
2009-03-20,76,4.60
2009-03-27,71,6.09
2009-04-03,71,6.73
2009-04-10,70,
2009-04-17,72,6.83
2009-04-24,68,7.28
2009-05-01,63,8.45
2009-05-08,78,7.79
2009-05-15,71,7.25
2009-05-22,77,8.44
2009-05-29,68,8.71
2009-06-05,68,8.81
2009-06-12,74,9.54
2009-06-19,73,9.69
2009-06-26,66,10.27
2009-07-03,62,
2009-07-10,62,10.00
2009-07-17,64,11.15
2009-07-24,64,11.53
2009-07-31,66,12.04
2009-08-07,68,12.36
2009-08-14,65,12.20
2009-08-21,62,12.63
2009-08-28,64,14.02
2009-09-04,57,13.68
2009-09-11,56,14.87
2009-09-18,61,15.26
2009-09-25,63,14.90
2009-10-02,54,14.40
2009-10-09,53,15.46
2009-10-16,58,15.27
2009-10-23,59,15.73
2009-10-30,55,13.95
2009-11-06,61,15.31
2009-11-13,59,16.72
2009-11-20,61,15.59
2009-11-27,59,15.54
2009-12-04,57,16.69
2009-12-11,57,16.43
2009-12-18,53,17.46
2009-12-25,53,
2010-01-01,52,
2010-01-08,57,17.89
2010-01-15,63,17.77
2010-01-22,59,18.40
2010-01-29,60,16.71
2010-02-05,62,18.02
2010-02-12,61,18.70
2010-02-19,57,20.51
2010-02-26,68,19.91
2010-03-05,68,19.92
2010-03-12,61,19.27
2010-03-19,67,18.93
2010-03-26,65,18.93
2010-04-02,67,
2010-04-09,67,19.14
2010-04-16,68,19.25
2010-04-23,67,20.77
2010-04-30,70,18.35
2010-05-07,66,17.75
2010-05-14,69,17.98
2010-05-21,68,16.35
2010-05-28,75,15.36
2010-06-04,77,15.15
2010-06-11,70,14.75
2010-06-18,71,15.35
2010-06-25,65,13.68
2010-07-02,60,13.17
2010-07-09,60,13.81
2010-07-16,59,14.16
2010-07-23,61,12.79
2010-07-30,60,12.55
2010-08-06,62,12.21
2010-08-13,60,11.18
2010-08-20,61,10.99
2010-08-27,65,10.63
2010-09-03,58,11.18
2010-09-10,62,10.75
2010-09-17,68,11.16
2010-09-24,62,11.62
2010-10-01,61,11.69
2010-10-08,69,12.20
2010-10-15,66,15.51
2010-10-22,74,15.18
2010-10-29,66,14.71
2010-11-05,69,15.32
2010-11-12,74,14.09
2010-11-19,62,14.93
2010-11-26,57,13.89
2010-12-03,59,14.98
2010-12-10,57,15.26
2010-12-17,59,14.70
2010-12-24,56,
2010-12-31,52,15.03
2011-01-07,61,14.47
2011-01-14,64,14.26
2011-01-21,66,13.28
2011-01-28,67,13.80
2011-02-04,62,14.33
2011-02-11,65,14.39
2011-02-18,63,13.72
2011-02-25,63,12.83
2011-03-04,62,12.44
2011-03-11,63,13.54
2011-03-18,72,13.19
2011-03-25,68,14.42
2011-04-01,72,14.94
2011-04-08,75,15.84
2011-04-15,79,17.64
2011-04-22,80,
2011-04-29,76,17.62
2011-05-06,83,17.33
2011-05-13,77,17.14
2011-05-20,75,16.93
2011-05-27,76,16.46
2011-06-03,72,15.90
2011-06-10,65,15.26
2011-06-17,71,14.25
2011-06-24,69,15.35
2011-07-01,58,16.36
2011-07-08,60,16.94
2011-07-15,61,16.81
2011-07-22,63,14.57
2011-07-29,57,13.89
2011-08-05,57,12.06
2011-08-12,58,11.84
2011-08-19,63,10.08
2011-08-26,58,11.09
2011-09-02,57,10.71
2011-09-09,56,11.18
2011-09-16,53,12.02
2011-09-23,57,10.75
2011-09-30,57,10.28
2011-10-07,54,10.71
2011-10-14,54,11.80
2011-10-21,59,15.42
2011-10-28,62,16.39
2011-11-04,56,18.34
2011-11-11,61,17.94
2011-11-18,57,16.01
2011-11-25,57,15.16
2011-12-02,58,16.17
2011-12-09,60,16.16
2011-12-16,55,15.43
2011-12-23,55,16.16
2011-12-30,47,16.40
2012-01-06,52,18.30
2012-01-13,62,19.54
2012-01-20,63,20.02
2012-01-27,60,20.77
2012-02-03,68,26.42
2012-02-10,69,26.20
2012-02-17,71,26.88
2012-02-24,64,27.49
2012-03-02,66,27.28
2012-03-09,70,28.33
2012-03-16,68,26.71
2012-03-23,72,27.96
2012-03-30,68,26.96
2012-04-06,65,
2012-04-13,62,27.38
2012-04-20,70,29.21
2012-04-27,70,29.58
2012-05-04,67,30.43
2012-05-11,68,31.14
2012-05-18,76,26.91
2012-05-25,78,26.18
2012-06-01,72,21.74
2012-06-08,67,23.39
2012-06-15,67,23.57
2012-06-22,72,23.34
2012-06-29,65,24.73
2012-07-06,58,24.96
2012-07-13,54,25.81
2012-07-20,55,26.80
2012-07-27,54,30.01
2012-08-03,56,30.94
2012-08-10,58,34.18
2012-08-17,61,35.67
2012-08-24,60,34.06
2012-08-31,57,32.01
2012-09-07,52,30.60
2012-09-14,54,30.48
2012-09-21,56,30.96
2012-09-28,57,30.96
2012-10-05,53,29.59
2012-10-12,54,28.07
2012-10-19,52,27.90
2012-10-26,53,27.91
2012-11-02,50,28.02
2012-11-09,51,29.06
2012-11-16,56,27.11
2012-11-23,56,27.29
2012-11-30,55,25.10
2012-12-07,50,28.34
2012-12-14,66,27.65
2012-12-21,65,30.46
2012-12-28,65,29.95
2013-01-04,58,31.45
2013-01-11,61,33.29
2013-01-18,62,35.38
2013-01-25,66,37.25
2013-02-01,67,33.67
2013-02-08,63,35.48
2013-02-15,61,34.45
2013-02-22,63,31.84
2013-03-01,63,32.32
2013-03-08,64,32.50
2013-03-15,65,35.35
2013-03-22,63,34.72
2013-03-29,60,
2013-04-05,69,35.51
2013-04-12,64,36.09
2013-04-19,66,34.44
2013-04-26,69,36.40
2013-05-03,76,41.23
2013-05-10,69,40.50
2013-05-17,70,41.47
2013-05-24,76,42.85
2013-05-31,68,43.08
2013-06-07,73,44.01
2013-06-14,74,43.72
2013-06-21,72,42.25
2013-06-28,63,44.83
2013-07-05,69,45.72
2013-07-12,66,46.68
2013-07-19,61,47.52
2013-07-26,59,41.05
2013-08-02,61,41.10
2013-08-09,57,40.86
2013-08-16,59,39.20
2013-08-23,57,40.13
2013-08-30,58,38.32
2013-09-06,53,39.46
2013-09-13,54,40.25
2013-09-20,52,41.40
2013-09-27,55,43.51
2013-10-04,57,45.87
2013-10-11,52,46.27
2013-10-18,49,50.04
2013-10-25,51,49.80
2013-11-01,51,49.20
2013-11-08,51,48.18
2013-11-15,52,48.94
2013-11-22,54,48.34
2013-11-29,52,49.04
2013-12-06,52,51.42
2013-12-13,51,50.00
2013-12-20,53,55.66
2013-12-27,43,55.66
2014-01-03,46,56.82
2014-01-10,52,58.39
2014-01-17,52,61.20
2014-01-24,53,58.57
2014-01-31,54,52.86
2014-02-07,55,49.52
2014-02-14,53,50.14
2014-02-21,55,50.75
2014-02-28,55,52.19
2014-03-07,55,49.29
2014-03-14,60,50.15
2014-03-21,62,53.49
2014-03-28,58,54.92
2014-04-04,57,56.06
2014-04-11,55,53.39
2014-04-18,56,
2014-04-25,54,52.72
2014-05-02,60,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
