Date,TJX,Price
2006-12-29,12,28.52
2007-01-05,12,29.08
2007-01-12,20,29.94
2007-01-19,100,30.03
2007-01-26,75,29.50
2007-02-02,64,28.69
2007-02-09,27,28.09
2007-02-16,27,28.47
2007-02-23,34,28.47
2007-03-02,23,27.30
2007-03-09,21,27.05
2007-03-16,15,26.10
2007-03-23,20,27.00
2007-03-30,68,26.96
2007-04-06,51,
2007-04-13,32,27.92
2007-04-20,18,29.02
2007-04-27,18,28.37
2007-05-04,21,28.04
2007-05-11,25,28.18
2007-05-18,21,28.33
2007-05-25,21,27.50
2007-06-01,16,28.12
2007-06-08,20,28.22
2007-06-15,18,28.67
2007-06-22,18,27.34
2007-06-29,14,27.50
2007-07-06,10,28.18
2007-07-13,24,29.60
2007-07-20,19,29.46
2007-07-27,18,27.31
2007-08-03,17,27.30
2007-08-10,15,27.52
2007-08-17,24,30.00
2007-08-24,18,30.75
2007-08-31,15,30.49
2007-09-07,17,29.49
2007-09-14,16,30.84
2007-09-21,16,30.09
2007-09-28,23,29.07
2007-10-05,21,29.04
2007-10-12,20,30.58
2007-10-19,15,28.35
2007-10-26,25,28.73
2007-11-02,21,27.77
2007-11-09,16,28.46
2007-11-16,20,29.34
2007-11-23,12,28.52
2007-11-30,25,29.34
2007-12-07,24,30.84
2007-12-14,18,28.90
2007-12-21,15,29.36
2007-12-28,10,28.54
2008-01-04,13,27.26
2008-01-11,15,28.27
2008-01-18,17,28.88
2008-01-25,25,30.22
2008-02-01,17,32.10
2008-02-08,19,30.34
2008-02-15,18,30.04
2008-02-22,14,32.47
2008-02-29,20,32.00
2008-03-07,19,31.25
2008-03-14,19,32.26
2008-03-21,19,
2008-03-28,17,32.67
2008-04-04,19,33.16
2008-04-11,18,30.07
2008-04-18,11,32.04
2008-04-25,16,32.94
2008-05-02,12,32.13
2008-05-09,17,31.04
2008-05-16,18,31.83
2008-05-23,15,31.22
2008-05-30,23,32.06
2008-06-06,18,31.61
2008-06-13,13,33.07
2008-06-20,13,32.47
2008-06-27,9,31.85
2008-07-04,10,
2008-07-11,14,31.35
2008-07-18,17,34.54
2008-07-25,14,32.47
2008-08-01,18,34.07
2008-08-08,36,36.87
2008-08-15,25,35.96
2008-08-22,20,35.99
2008-08-29,17,36.24
2008-09-05,17,34.37
2008-09-12,19,34.00
2008-09-19,19,32.55
2008-09-26,18,31.96
2008-10-03,20,29.87
2008-10-10,24,25.65
2008-10-17,20,26.98
2008-10-24,18,23.63
2008-10-31,18,26.76
2008-11-07,17,24.19
2008-11-14,20,21.32
2008-11-21,18,19.94
2008-11-28,11,22.82
2008-12-05,18,20.08
2008-12-12,17,19.80
2008-12-19,10,20.65
2008-12-26,15,20.04
2009-01-02,15,21.55
2009-01-09,18,20.80
2009-01-16,19,20.65
2009-01-23,25,19.92
2009-01-30,20,19.42
2009-02-06,18,22.82
2009-02-13,14,21.64
2009-02-20,18,21.30
2009-02-27,16,22.27
2009-03-06,16,21.49
2009-03-13,13,24.84
2009-03-20,13,24.67
2009-03-27,16,26.54
2009-04-03,16,26.68
2009-04-10,17,
2009-04-17,16,28.34
2009-04-24,15,28.13
2009-05-01,17,27.87
2009-05-08,15,28.06
2009-05-15,12,26.84
2009-05-22,14,28.28
2009-05-29,11,29.51
2009-06-05,16,30.52
2009-06-12,19,30.73
2009-06-19,16,30.85
2009-06-26,15,31.34
2009-07-03,14,
2009-07-10,14,31.88
2009-07-17,20,35.20
2009-07-24,16,35.88
2009-07-31,16,36.23
2009-08-07,19,35.48
2009-08-14,15,35.09
2009-08-21,20,35.86
2009-08-28,15,36.53
2009-09-04,20,36.19
2009-09-11,12,36.63
2009-09-18,17,38.04
2009-09-25,17,36.85
2009-10-02,19,36.28
2009-10-09,17,37.81
2009-10-16,18,38.31
2009-10-23,19,39.78
2009-10-30,18,37.35
2009-11-06,16,38.33
2009-11-13,19,38.98
2009-11-20,21,38.80
2009-11-27,10,38.62
2009-12-04,19,36.43
2009-12-11,14,37.39
2009-12-18,13,36.78
2009-12-25,14,
2010-01-01,16,
2010-01-08,19,38.55
2010-01-15,16,37.29
2010-01-22,13,36.74
2010-01-29,18,38.01
2010-02-05,16,38.31
2010-02-12,17,37.59
2010-02-19,15,39.15
2010-02-26,22,41.63
2010-03-05,16,41.53
2010-03-12,19,42.13
2010-03-19,17,42.98
2010-03-26,21,43.33
2010-04-02,16,
2010-04-09,15,44.83
2010-04-16,19,45.68
2010-04-23,17,48.01
2010-04-30,19,46.34
2010-05-07,13,43.67
2010-05-14,18,45.25
2010-05-21,21,43.98
2010-05-28,16,45.46
2010-06-04,18,44.49
2010-06-11,16,46.05
2010-06-18,18,45.96
2010-06-25,15,43.14
2010-07-02,13,42.37
2010-07-09,15,41.72
2010-07-16,19,41.24
2010-07-23,20,42.88
2010-07-30,15,41.52
2010-08-06,18,41.68
2010-08-13,17,40.90
2010-08-20,19,41.78
2010-08-27,16,41.13
2010-09-03,15,41.89
2010-09-10,18,41.11
2010-09-17,15,42.81
2010-09-24,16,45.05
2010-10-01,17,44.54
2010-10-08,19,44.67
2010-10-15,18,45.03
2010-10-22,20,44.86
2010-10-29,17,45.89
2010-11-05,18,47.09
2010-11-12,18,45.79
2010-11-19,17,46.09
2010-11-26,13,46.35
2010-12-03,15,45.29
2010-12-10,31,45.07
2010-12-17,18,43.44
2010-12-24,12,
2010-12-31,12,44.39
2011-01-07,19,45.65
2011-01-14,16,45.97
2011-01-21,15,47.23
2011-01-28,18,47.71
2011-02-04,19,49.70
2011-02-11,17,50.80
2011-02-18,16,50.08
2011-02-25,17,50.33
2011-03-04,17,50.58
2011-03-11,18,49.77
2011-03-18,14,48.66
2011-03-25,17,50.15
2011-04-01,15,49.50
2011-04-08,18,50.70
2011-04-15,19,51.42
2011-04-22,18,
2011-04-29,20,53.62
2011-05-06,17,52.72
2011-05-13,13,54.57
2011-05-20,19,52.62
2011-05-27,16,53.46
2011-06-03,15,51.02
2011-06-10,15,49.49
2011-06-17,17,50.06
2011-06-24,25,49.72
2011-07-01,24,53.17
2011-07-08,24,55.16
2011-07-15,24,55.26
2011-07-22,25,56.19
2011-07-29,26,55.30
2011-08-05,30,52.70
2011-08-12,30,53.89
2011-08-19,26,52.86
2011-08-26,23,54.67
2011-09-02,21,52.27
2011-09-09,26,51.79
2011-09-16,28,57.25
2011-09-23,26,56.57
2011-09-30,29,55.47
2011-10-07,30,55.70
2011-10-14,27,57.71
2011-10-21,30,59.84
2011-10-28,31,60.37
2011-11-04,34,60.59
2011-11-11,30,61.34
2011-11-18,30,59.54
2011-11-25,24,58.75
2011-12-02,29,62.24
2011-12-09,32,63.25
2011-12-16,28,62.14
2011-12-23,27,65.31
2011-12-30,19,64.55
2012-01-06,33,66.46
2012-01-13,31,65.15
2012-01-20,31,66.58
2012-01-27,32,67.37
2012-02-03,33,34.53
2012-02-10,33,34.36
2012-02-17,31,34.87
2012-02-24,33,35.97
2012-03-02,33,37.08
2012-03-09,34,38.12
2012-03-16,30,37.91
2012-03-23,30,38.63
2012-03-30,34,39.71
2012-04-06,37,
2012-04-13,40,39.82
2012-04-20,34,41.02
2012-04-27,31,42.46
2012-05-04,37,41.74
2012-05-11,35,41.25
2012-05-18,45,40.06
2012-05-25,40,40.87
2012-06-01,39,40.90
2012-06-08,38,41.46
2012-06-15,41,42.46
2012-06-22,34,43.20
2012-06-29,24,42.93
2012-07-06,26,44.43
2012-07-13,29,44.79
2012-07-20,27,44.31
2012-07-27,23,44.70
2012-08-03,28,45.11
2012-08-10,29,44.46
2012-08-17,29,45.91
2012-08-24,30,45.87
2012-08-31,26,45.79
2012-09-07,30,45.85
2012-09-14,30,46.46
2012-09-21,29,44.55
2012-09-28,31,44.79
2012-10-05,36,45.40
2012-10-12,32,42.83
2012-10-19,31,42.55
2012-10-26,29,40.73
2012-11-02,31,41.52
2012-11-09,32,40.73
2012-11-16,30,42.45
2012-11-23,28,43.91
2012-11-30,32,44.34
2012-12-07,30,43.45
2012-12-14,31,42.61
2012-12-21,29,41.95
2012-12-28,23,41.62
2013-01-04,29,44.56
2013-01-11,32,43.96
2013-01-18,34,44.75
2013-01-25,33,45.12
2013-02-01,37,45.30
2013-02-08,42,45.68
2013-02-15,36,45.01
2013-02-22,36,44.22
2013-03-01,37,44.98
2013-03-08,32,44.91
2013-03-15,29,44.92
2013-03-22,30,46.62
2013-03-29,28,
2013-04-05,30,47.14
2013-04-12,30,48.58
2013-04-19,29,47.00
2013-04-26,32,48.40
2013-05-03,37,49.55
2013-05-10,32,50.96
2013-05-17,30,51.33
2013-05-24,29,50.85
2013-05-31,32,50.61
2013-06-07,39,50.45
2013-06-14,36,50.42
2013-06-21,37,49.49
2013-06-28,34,50.06
2013-07-05,32,50.92
2013-07-12,27,52.31
2013-07-19,28,52.40
2013-07-26,30,51.65
2013-08-02,27,53.93
2013-08-09,30,52.40
2013-08-16,31,50.48
2013-08-23,30,54.44
2013-08-30,29,52.72
2013-09-06,30,53.92
2013-09-13,33,54.20
2013-09-20,38,56.60
2013-09-27,39,56.47
2013-10-04,45,56.35
2013-10-11,43,55.57
2013-10-18,46,57.77
2013-10-25,43,59.10
2013-11-01,43,60.88
2013-11-08,49,61.72
2013-11-15,40,63.52
2013-11-22,40,63.06
2013-11-29,31,62.88
2013-12-06,38,62.34
2013-12-13,37,61.17
2013-12-20,35,62.49
2013-12-27,32,63.38
2014-01-03,33,63.60
2014-01-10,40,64.05
2014-01-17,41,61.86
2014-01-24,41,57.75
2014-01-31,42,57.36
2014-02-07,47,59.43
2014-02-14,43,59.79
2014-02-21,44,60.08
2014-02-28,44,61.46
2014-03-07,50,61.71
2014-03-14,38,61.35
2014-03-21,33,61.75
2014-03-28,33,60.10
2014-04-04,34,61.18
2014-04-11,34,57.83
2014-04-18,32,
2014-04-25,30,58.14
2014-05-02,31,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
