Date,Juniper Networks,Price
2006-08-25,43,13.76
2006-09-01,33,14.42
2006-09-08,28,14.38
2006-09-15,34,15.32
2006-09-22,30,16.17
2006-09-29,37,17.28
2006-10-06,34,18.10
2006-10-13,33,17.45
2006-10-20,38,17.96
2006-10-27,32,16.93
2006-11-03,31,16.82
2006-11-10,41,19.48
2006-11-17,45,20.31
2006-11-24,30,21.27
2006-12-01,39,20.78
2006-12-08,33,20.02
2006-12-15,35,19.80
2006-12-22,36,18.77
2006-12-29,28,18.94
2007-01-05,34,19.93
2007-01-12,42,20.58
2007-01-19,34,19.51
2007-01-26,28,18.96
2007-02-02,41,18.20
2007-02-09,33,19.21
2007-02-16,33,19.69
2007-02-23,37,19.78
2007-03-02,26,18.40
2007-03-09,32,18.31
2007-03-16,31,18.01
2007-03-23,28,18.95
2007-03-30,35,19.68
2007-04-06,29,
2007-04-13,30,20.59
2007-04-20,34,20.52
2007-04-27,38,22.70
2007-05-04,29,22.95
2007-05-11,35,23.91
2007-05-18,36,23.29
2007-05-25,27,23.19
2007-06-01,34,24.65
2007-06-08,35,24.50
2007-06-15,38,25.49
2007-06-22,38,25.08
2007-06-29,37,25.17
2007-07-06,31,27.04
2007-07-13,35,27.85
2007-07-20,41,30.40
2007-07-27,34,29.97
2007-08-03,34,31.23
2007-08-10,40,32.09
2007-08-17,37,31.64
2007-08-24,33,32.59
2007-08-31,33,32.92
2007-09-07,31,34.58
2007-09-14,28,35.61
2007-09-21,34,35.91
2007-09-28,36,36.61
2007-10-05,28,37.04
2007-10-12,31,37.12
2007-10-19,37,35.62
2007-10-26,36,33.95
2007-11-02,23,35.38
2007-11-09,33,31.21
2007-11-16,34,30.56
2007-11-23,23,29.49
2007-11-30,32,29.72
2007-12-07,35,30.90
2007-12-14,28,33.11
2007-12-21,32,34.70
2007-12-28,16,33.92
2008-01-04,27,31.12
2008-01-11,33,26.60
2008-01-18,27,26.50
2008-01-25,35,25.95
2008-02-01,41,27.25
2008-02-08,36,25.46
2008-02-15,36,26.12
2008-02-22,34,26.19
2008-02-29,30,26.82
2008-03-07,33,24.95
2008-03-14,38,24.68
2008-03-21,36,
2008-03-28,32,24.30
2008-04-04,31,24.03
2008-04-11,32,22.83
2008-04-18,33,24.48
2008-04-25,28,26.71
2008-05-02,25,28.79
2008-05-09,32,27.32
2008-05-16,30,28.89
2008-05-23,21,27.28
2008-05-30,29,27.52
2008-06-06,29,26.65
2008-06-13,32,24.19
2008-06-20,33,22.74
2008-06-27,27,22.64
2008-07-04,23,
2008-07-11,34,21.76
2008-07-18,34,22.55
2008-07-25,52,26.57
2008-08-01,41,26.17
2008-08-08,36,26.80
2008-08-15,26,26.97
2008-08-22,28,25.88
2008-08-29,32,25.70
2008-09-05,22,24.15
2008-09-12,36,25.81
2008-09-19,30,26.90
2008-09-26,35,23.02
2008-10-03,30,18.56
2008-10-10,36,16.46
2008-10-17,32,17.99
2008-10-24,39,16.50
2008-10-31,30,18.74
2008-11-07,28,17.36
2008-11-14,34,15.03
2008-11-21,32,14.91
2008-11-28,19,17.38
2008-12-05,32,16.30
2008-12-12,30,17.46
2008-12-19,32,16.86
2008-12-26,25,16.93
2009-01-02,15,18.39
2009-01-09,36,17.64
2009-01-16,36,16.39
2009-01-23,28,17.68
2009-01-30,33,14.16
2009-02-06,29,16.35
2009-02-13,37,15.41
2009-02-20,33,14.68
2009-02-27,35,14.21
2009-03-06,34,12.67
2009-03-13,39,14.74
2009-03-20,36,15.09
2009-03-27,30,15.82
2009-04-03,38,17.03
2009-04-10,30,
2009-04-17,29,18.49
2009-04-24,42,22.33
2009-05-01,33,22.16
2009-05-08,34,21.85
2009-05-15,30,21.56
2009-05-22,33,23.19
2009-05-29,32,24.73
2009-06-05,32,24.10
2009-06-12,38,23.87
2009-06-19,30,22.42
2009-06-26,38,22.63
2009-07-03,28,
2009-07-10,35,23.20
2009-07-17,34,25.19
2009-07-24,39,26.86
2009-07-31,33,26.13
2009-08-07,37,25.40
2009-08-14,29,24.62
2009-08-21,34,24.61
2009-08-28,34,23.58
2009-09-04,36,23.77
2009-09-11,31,26.42
2009-09-18,37,27.62
2009-09-25,35,26.32
2009-10-02,33,25.85
2009-10-09,41,27.53
2009-10-16,38,26.50
2009-10-23,34,27.31
2009-10-30,47,25.51
2009-11-06,40,25.33
2009-11-13,39,26.15
2009-11-20,40,25.20
2009-11-27,31,25.67
2009-12-04,35,27.33
2009-12-11,32,26.78
2009-12-18,36,26.10
2009-12-25,24,
2010-01-01,29,
2010-01-08,37,26.25
2010-01-15,37,26.58
2010-01-22,37,24.95
2010-01-29,35,24.83
2010-02-05,41,25.00
2010-02-12,34,24.76
2010-02-19,40,27.44
2010-02-26,39,27.98
2010-03-05,41,29.10
2010-03-12,37,29.94
2010-03-19,34,29.89
2010-03-26,32,30.49
2010-04-02,30,
2010-04-09,32,31.65
2010-04-16,32,31.21
2010-04-23,38,30.07
2010-04-30,30,28.41
2010-05-07,31,26.73
2010-05-14,33,27.50
2010-05-21,28,26.39
2010-05-28,31,26.62
2010-06-04,28,24.67
2010-06-11,32,24.99
2010-06-18,33,25.50
2010-06-25,33,23.72
2010-07-02,34,24.08
2010-07-09,29,25.77
2010-07-16,30,25.90
2010-07-23,30,28.09
2010-07-30,33,27.78
2010-08-06,32,27.99
2010-08-13,30,25.63
2010-08-20,30,27.24
2010-08-27,27,27.24
2010-09-03,32,28.99
2010-09-10,33,28.28
2010-09-17,31,30.01
2010-09-24,31,29.78
2010-10-01,29,30.30
2010-10-08,34,31.47
2010-10-15,32,31.94
2010-10-22,31,31.94
2010-10-29,29,32.39
2010-11-05,30,34.39
2010-11-12,33,35.81
2010-11-19,36,34.73
2010-11-26,28,34.13
2010-12-03,33,34.32
2010-12-10,38,35.88
2010-12-17,32,36.49
2010-12-24,22,
2010-12-31,21,36.92
2011-01-07,28,37.59
2011-01-14,28,38.73
2011-01-21,33,34.87
2011-01-28,31,36.28
2011-02-04,29,40.06
2011-02-11,36,43.41
2011-02-18,34,44.00
2011-02-25,36,43.90
2011-03-04,28,44.11
2011-03-11,33,42.89
2011-03-18,24,40.26
2011-03-25,30,40.90
2011-04-01,29,41.26
2011-04-08,28,38.32
2011-04-15,23,38.38
2011-04-22,25,
2011-04-29,26,38.33
2011-05-06,23,37.14
2011-05-13,25,39.63
2011-05-20,30,38.86
2011-05-27,24,37.05
2011-06-03,24,32.33
2011-06-10,27,30.77
2011-06-17,28,29.33
2011-06-24,29,30.02
2011-07-01,27,31.97
2011-07-08,27,32.06
2011-07-15,31,30.63
2011-07-22,33,31.27
2011-07-29,33,23.39
2011-08-05,27,22.23
2011-08-12,30,22.18
2011-08-19,26,19.73
2011-08-26,25,20.90
2011-09-02,28,20.20
2011-09-09,27,21.46
2011-09-16,27,20.15
2011-09-23,27,18.95
2011-09-30,28,17.26
2011-10-07,23,19.05
2011-10-14,29,21.56
2011-10-21,28,21.12
2011-10-28,25,24.81
2011-11-04,25,23.98
2011-11-11,28,24.88
2011-11-18,27,22.56
2011-11-25,18,20.17
2011-12-02,22,22.60
2011-12-09,26,19.90
2011-12-16,25,18.35
2011-12-23,23,20.83
2011-12-30,15,20.41
2012-01-06,19,20.43
2012-01-13,23,21.05
2012-01-20,22,22.99
2012-01-27,24,21.69
2012-02-03,23,22.55
2012-02-10,24,22.72
2012-02-17,21,24.20
2012-02-24,25,23.72
2012-03-02,27,21.99
2012-03-09,24,21.42
2012-03-16,23,21.43
2012-03-23,23,21.11
2012-03-30,22,22.88
2012-04-06,25,
2012-04-13,21,21.20
2012-04-20,25,20.60
2012-04-27,25,21.26
2012-05-04,20,19.71
2012-05-11,22,17.95
2012-05-18,25,17.53
2012-05-25,25,17.15
2012-06-01,18,16.82
2012-06-08,23,16.89
2012-06-15,23,16.43
2012-06-22,24,16.04
2012-06-29,22,16.31
2012-07-06,21,15.58
2012-07-13,22,14.50
2012-07-20,25,15.65
2012-07-27,28,17.79
2012-08-03,27,18.08
2012-08-10,29,19.24
2012-08-17,23,18.45
2012-08-24,24,17.74
2012-08-31,26,17.44
2012-09-07,22,18.71
2012-09-14,24,19.33
2012-09-21,24,18.49
2012-09-28,22,17.11
2012-10-05,25,16.65
2012-10-12,23,16.35
2012-10-19,25,17.79
2012-10-26,24,16.58
2012-11-02,22,17.12
2012-11-09,23,17.65
2012-11-16,20,16.32
2012-11-23,20,16.70
2012-11-30,23,17.98
2012-12-07,20,19.29
2012-12-14,24,19.59
2012-12-21,19,20.17
2012-12-28,13,19.38
2013-01-04,13,20.38
2013-01-11,24,20.66
2013-01-18,22,21.49
2013-01-25,22,22.57
2013-02-01,24,22.32
2013-02-08,24,21.84
2013-02-15,23,21.86
2013-02-22,23,21.45
2013-03-01,21,20.49
2013-03-08,26,20.69
2013-03-15,25,20.17
2013-03-22,21,18.72
2013-03-29,20,
2013-04-05,28,17.55
2013-04-12,26,18.72
2013-04-19,21,17.10
2013-04-26,22,15.79
2013-05-03,22,16.48
2013-05-10,20,17.36
2013-05-17,22,17.61
2013-05-24,20,17.35
2013-05-31,21,17.73
2013-06-07,23,19.06
2013-06-14,24,19.05
2013-06-21,23,18.79
2013-06-28,22,19.31
2013-07-05,22,19.61
2013-07-12,20,20.35
2013-07-19,22,21.04
2013-07-26,25,21.52
2013-08-02,23,21.80
2013-08-09,22,20.92
2013-08-16,20,20.44
2013-08-23,20,19.74
2013-08-30,21,18.90
2013-09-06,20,20.83
2013-09-13,21,21.02
2013-09-20,21,20.99
2013-09-27,21,19.95
2013-10-04,20,20.85
2013-10-11,23,20.18
2013-10-18,29,20.82
2013-10-25,30,18.70
2013-11-01,23,18.48
2013-11-08,25,19.27
2013-11-15,27,19.84
2013-11-22,21,20.56
2013-11-29,22,20.27
2013-12-06,24,21.67
2013-12-13,20,20.67
2013-12-20,20,21.77
2013-12-27,16,22.22
2014-01-03,19,22.77
2014-01-10,23,23.54
2014-01-17,30,26.00
2014-01-24,29,27.72
2014-01-31,23,26.61
2014-02-07,25,27.25
2014-02-14,24,27.42
2014-02-21,25,27.95
2014-02-28,32,26.74
2014-03-07,26,26.26
2014-03-14,24,25.62
2014-03-21,24,25.96
2014-03-28,22,25.62
2014-04-04,25,25.90
2014-04-11,22,24.29
2014-04-18,19,
2014-04-25,21,24.48
2014-05-02,15,
