Date,PHM,Price
2012-04-20,69,8.37
2012-04-27,67,10.07
2012-05-04,71,9.94
2012-05-11,66,9.84
2012-05-18,71,8.49
2012-05-25,67,9.33
2012-06-01,91,8.26
2012-06-08,70,8.98
2012-06-15,71,9.02
2012-06-22,67,9.39
2012-06-29,64,10.70
2012-07-06,60,11.10
2012-07-13,69,11.00
2012-07-20,65,10.86
2012-07-27,62,12.01
2012-08-03,63,11.48
2012-08-10,58,12.48
2012-08-17,63,13.38
2012-08-24,67,13.51
2012-08-31,58,13.68
2012-09-07,65,14.75
2012-09-14,69,16.52
2012-09-21,65,16.98
2012-09-28,69,15.50
2012-10-05,68,16.63
2012-10-12,68,15.61
2012-10-19,66,17.89
2012-10-26,63,17.28
2012-11-02,57,17.37
2012-11-09,65,16.80
2012-11-16,66,15.68
2012-11-23,62,17.03
2012-11-30,61,16.81
2012-12-07,66,16.45
2012-12-14,56,17.14
2012-12-21,68,18.19
2012-12-28,58,17.60
2013-01-04,60,19.06
2013-01-11,63,19.34
2013-01-18,64,20.49
2013-01-25,70,21.67
2013-02-01,68,20.35
2013-02-08,59,19.47
2013-02-15,62,20.31
2013-02-22,66,18.90
2013-03-01,65,19.25
2013-03-08,66,20.26
2013-03-15,66,20.75
2013-03-22,68,20.65
2013-03-29,65,
2013-04-05,58,19.13
2013-04-12,64,19.22
2013-04-19,71,17.99
2013-04-26,65,21.35
2013-05-03,62,22.32
2013-05-10,58,23.22
2013-05-17,58,23.95
2013-05-24,63,22.73
2013-05-31,65,21.59
2013-06-07,66,21.06
2013-06-14,61,20.86
2013-06-21,54,18.81
2013-06-28,63,18.97
2013-07-05,57,18.59
2013-07-12,68,20.22
2013-07-19,68,19.36
2013-07-26,68,16.36
2013-08-02,69,17.22
2013-08-09,63,15.67
2013-08-16,73,16.28
2013-08-23,62,16.06
2013-08-30,59,15.39
2013-09-06,63,15.47
2013-09-13,62,16.52
2013-09-20,64,17.12
2013-09-27,59,16.57
2013-10-04,60,16.20
2013-10-11,64,16.11
2013-10-18,69,16.58
2013-10-25,64,18.04
2013-11-01,69,17.55
2013-11-08,72,16.85
2013-11-15,68,18.10
2013-11-22,66,18.22
2013-11-29,59,18.76
2013-12-06,65,18.18
2013-12-13,64,18.03
2013-12-20,74,18.62
2013-12-27,51,20.07
2014-01-03,60,20.04
2014-01-10,66,20.16
2014-01-17,64,19.36
2014-01-24,59,18.84
2014-01-31,57,20.32
2014-02-07,65,19.80
2014-02-14,60,20.02
2014-02-21,67,20.37
2014-02-28,71,20.99
2014-03-07,70,20.31
2014-03-14,72,19.15
2014-03-21,72,19.11
2014-03-28,77,19.01
2014-04-04,75,19.49
2014-04-11,64,18.71
2014-04-18,75,
2014-04-25,75,18.44
2014-05-02,72,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
