Date,Electronic Arts,Price
2008-03-28,33,49.34
2008-04-04,25,51.94
2008-04-11,27,50.21
2008-04-18,29,52.01
2008-04-25,29,51.53
2008-05-02,29,53.17
2008-05-09,26,52.61
2008-05-16,30,49.60
2008-05-23,27,48.34
2008-05-30,29,50.20
2008-06-06,29,47.55
2008-06-13,28,46.99
2008-06-20,31,46.94
2008-06-27,29,43.94
2008-07-04,25,
2008-07-11,31,44.10
2008-07-18,29,48.46
2008-07-25,26,47.73
2008-08-01,30,42.90
2008-08-08,26,46.65
2008-08-15,29,48.24
2008-08-22,29,47.75
2008-08-29,30,48.81
2008-09-05,41,46.48
2008-09-12,43,44.99
2008-09-19,39,43.42
2008-09-26,33,39.63
2008-10-03,35,32.68
2008-10-10,32,27.99
2008-10-17,27,29.79
2008-10-24,29,24.77
2008-10-31,34,22.78
2008-11-07,32,23.56
2008-11-14,32,20.44
2008-11-21,30,18.87
2008-11-28,29,19.06
2008-12-05,30,19.98
2008-12-12,32,17.01
2008-12-19,30,17.39
2008-12-26,29,15.32
2009-01-02,29,17.44
2009-01-09,26,17.79
2009-01-16,24,17.53
2009-01-23,26,16.95
2009-01-30,27,15.44
2009-02-06,31,19.34
2009-02-13,24,16.93
2009-02-20,24,16.38
2009-02-27,22,16.31
2009-03-06,23,15.31
2009-03-13,20,17.76
2009-03-20,24,18.22
2009-03-27,24,18.69
2009-04-03,22,20.70
2009-04-10,24,
2009-04-17,21,18.62
2009-04-24,21,19.97
2009-05-01,23,20.00
2009-05-08,25,20.18
2009-05-15,22,21.03
2009-05-22,20,21.90
2009-05-29,22,22.99
2009-06-05,29,23.00
2009-06-12,26,21.93
2009-06-19,22,20.72
2009-06-26,25,20.90
2009-07-03,22,
2009-07-10,24,20.97
2009-07-17,21,20.93
2009-07-24,23,21.16
2009-07-31,24,21.47
2009-08-07,24,20.71
2009-08-14,26,21.29
2009-08-21,24,19.44
2009-08-28,23,18.76
2009-09-04,23,18.51
2009-09-11,22,18.18
2009-09-18,22,18.71
2009-09-25,28,19.46
2009-10-02,24,18.32
2009-10-09,24,20.41
2009-10-16,23,20.56
2009-10-23,22,19.71
2009-10-30,23,18.24
2009-11-06,27,19.00
2009-11-13,32,18.16
2009-11-20,26,17.30
2009-11-27,26,17.01
2009-12-04,24,16.20
2009-12-11,25,16.11
2009-12-18,23,16.72
2009-12-25,23,
2010-01-01,24,
2010-01-08,25,18.40
2010-01-15,24,17.03
2010-01-22,21,16.77
2010-01-29,26,16.28
2010-02-05,27,17.26
2010-02-12,23,16.06
2010-02-19,24,16.75
2010-02-26,23,16.58
2010-03-05,27,17.12
2010-03-12,25,17.77
2010-03-19,22,18.42
2010-03-26,22,18.85
2010-04-02,23,
2010-04-09,22,19.36
2010-04-16,21,19.57
2010-04-23,20,19.97
2010-04-30,21,19.37
2010-05-07,18,17.63
2010-05-14,22,17.42
2010-05-21,18,16.70
2010-05-28,20,16.51
2010-06-04,16,15.81
2010-06-11,18,16.32
2010-06-18,23,16.03
2010-06-25,20,15.14
2010-07-02,19,14.60
2010-07-09,18,14.84
2010-07-16,19,14.79
2010-07-23,17,15.88
2010-07-30,18,15.93
2010-08-06,19,17.07
2010-08-13,18,15.67
2010-08-20,19,15.79
2010-08-27,19,15.55
2010-09-03,18,16.46
2010-09-10,18,16.24
2010-09-17,19,16.26
2010-09-24,17,16.46
2010-10-01,18,16.44
2010-10-08,21,17.65
2010-10-15,22,15.96
2010-10-22,20,15.61
2010-10-29,19,15.83
2010-11-05,19,16.34
2010-11-12,19,15.83
2010-11-19,21,15.35
2010-11-26,18,14.82
2010-12-03,18,15.18
2010-12-10,21,15.82
2010-12-17,20,15.91
2010-12-24,24,
2010-12-31,25,16.38
2011-01-07,20,16.05
2011-01-14,20,15.95
2011-01-21,19,15.13
2011-01-28,21,15.00
2011-02-04,20,18.23
2011-02-11,18,18.21
2011-02-18,17,19.28
2011-02-25,19,19.18
2011-03-04,19,18.79
2011-03-11,17,18.54
2011-03-18,17,18.59
2011-03-25,17,19.70
2011-04-01,19,19.73
2011-04-08,20,19.86
2011-04-15,18,20.13
2011-04-22,20,
2011-04-29,19,20.18
2011-05-06,20,21.75
2011-05-13,15,23.70
2011-05-20,17,23.64
2011-05-27,18,23.90
2011-06-03,19,24.03
2011-06-10,20,22.81
2011-06-17,18,22.24
2011-06-24,18,21.77
2011-07-01,18,24.19
2011-07-08,17,25.05
2011-07-15,21,23.60
2011-07-22,22,23.93
2011-07-29,21,22.25
2011-08-05,21,20.00
2011-08-12,21,19.93
2011-08-19,20,19.31
2011-08-26,19,21.50
2011-09-02,19,21.99
2011-09-09,20,21.36
2011-09-16,20,23.01
2011-09-23,20,21.25
2011-09-30,25,20.45
2011-10-07,21,22.38
2011-10-14,19,24.54
2011-10-21,21,23.58
2011-10-28,29,24.10
2011-11-04,26,25.20
2011-11-11,22,23.90
2011-11-18,20,21.99
2011-11-25,21,20.83
2011-12-02,21,23.00
2011-12-09,21,21.99
2011-12-16,22,20.23
2011-12-23,23,20.71
2011-12-30,22,20.60
2012-01-06,20,19.67
2012-01-13,17,18.04
2012-01-20,18,17.93
2012-01-27,18,18.14
2012-02-03,17,19.24
2012-02-10,16,17.42
2012-02-17,16,17.47
2012-02-24,18,16.93
2012-03-02,17,16.78
2012-03-09,18,17.26
2012-03-16,17,17.46
2012-03-23,17,16.86
2012-03-30,16,16.49
2012-04-06,19,
2012-04-13,16,16.18
2012-04-20,13,14.93
2012-04-27,15,15.32
2012-05-04,17,15.12
2012-05-11,17,14.57
2012-05-18,14,14.10
2012-05-25,14,14.22
2012-06-01,14,13.12
2012-06-08,19,13.47
2012-06-15,13,12.44
2012-06-22,14,12.26
2012-06-29,15,12.35
2012-07-06,14,12.02
2012-07-13,13,11.71
2012-07-20,14,11.98
2012-07-27,15,11.41
2012-08-03,16,11.97
2012-08-10,14,13.08
2012-08-17,17,13.77
2012-08-24,16,13.33
2012-08-31,15,13.33
2012-09-07,15,14.04
2012-09-14,17,14.50
2012-09-21,17,13.24
2012-09-28,14,12.69
2012-10-05,16,12.95
2012-10-12,15,13.41
2012-10-19,15,13.08
2012-10-26,13,11.91
2012-11-02,15,12.99
2012-11-09,15,12.89
2012-11-16,14,13.05
2012-11-23,13,14.37
2012-11-30,14,14.81
2012-12-07,13,14.84
2012-12-14,12,15.30
2012-12-21,14,13.89
2012-12-28,13,13.92
2013-01-04,14,14.88
2013-01-11,12,14.24
2013-01-18,12,14.46
2013-01-25,13,14.77
2013-02-01,13,16.19
2013-02-08,14,17.37
2013-02-15,11,16.97
2013-02-22,13,17.81
2013-03-01,13,18.04
2013-03-08,18,18.58
2013-03-15,16,18.88
2013-03-22,18,17.97
2013-03-29,14,
2013-04-05,14,17.35
2013-04-12,16,17.58
2013-04-19,16,17.09
2013-04-26,13,17.88
2013-05-03,12,17.96
2013-05-10,16,22.48
2013-05-17,13,22.21
2013-05-24,14,22.77
2013-05-31,12,22.99
2013-06-07,13,23.61
2013-06-14,18,21.81
2013-06-21,12,21.98
2013-06-28,11,22.99
2013-07-05,11,23.83
2013-07-12,11,24.32
2013-07-19,10,24.27
2013-07-26,11,25.82
2013-08-02,11,26.57
2013-08-09,10,26.65
2013-08-16,12,26.89
2013-08-23,15,27.97
2013-08-30,12,26.64
2013-09-06,11,26.76
2013-09-13,12,26.67
2013-09-20,12,26.54
2013-09-27,13,25.95
2013-10-04,11,25.76
2013-10-11,11,24.72
2013-10-18,11,25.03
2013-10-25,12,24.75
2013-11-01,14,25.63
2013-11-08,25,25.70
2013-11-15,19,24.06
2013-11-22,13,23.14
2013-11-29,11,22.17
2013-12-06,12,22.24
2013-12-13,12,22.22
2013-12-20,11,23.54
2013-12-27,10,23.17
2014-01-03,12,22.68
2014-01-10,10,23.01
2014-01-17,11,24.10
2014-01-24,11,23.84
2014-01-31,10,26.40
2014-02-07,11,27.20
2014-02-14,11,27.58
2014-02-21,11,28.00
2014-02-28,9,28.59
2014-03-07,10,29.38
2014-03-14,11,29.60
2014-03-21,10,29.75
2014-03-28,10,28.53
2014-04-04,10,28.60
2014-04-11,9,26.67
2014-04-18,8,
2014-04-25,10,28.21
2014-05-02,10,
