Date,Micron Technology,Price
2006-05-05,26,17.05
2006-05-12,23,15.81
2006-05-19,34,15.77
2006-05-26,32,16.37
2006-06-02,40,16.46
2006-06-09,25,15.53
2006-06-16,23,16.35
2006-06-23,28,16.42
2006-06-30,31,15.06
2006-07-07,34,14.86
2006-07-14,37,14.40
2006-07-21,27,14.15
2006-07-28,27,15.82
2006-08-04,27,15.74
2006-08-11,27,15.74
2006-08-18,27,16.55
2006-08-25,29,16.26
2006-09-01,31,17.32
2006-09-08,27,17.88
2006-09-15,39,18.07
2006-09-22,26,17.46
2006-09-29,24,17.40
2006-10-06,27,15.14
2006-10-13,29,15.06
2006-10-20,30,14.27
2006-10-27,30,14.17
2006-11-03,31,13.98
2006-11-10,31,14.01
2006-11-17,31,14.57
2006-11-24,26,14.79
2006-12-01,32,14.47
2006-12-08,27,14.64
2006-12-15,37,13.70
2006-12-22,29,13.94
2006-12-29,29,13.96
2007-01-05,30,13.58
2007-01-12,22,14.23
2007-01-19,39,13.27
2007-01-26,28,13.20
2007-02-02,26,13.16
2007-02-09,35,12.56
2007-02-16,29,12.32
2007-02-23,28,12.38
2007-03-02,25,11.83
2007-03-09,34,11.42
2007-03-16,16,11.44
2007-03-23,32,11.59
2007-03-30,32,12.08
2007-04-06,26,
2007-04-13,27,11.26
2007-04-20,18,11.19
2007-04-27,36,11.69
2007-05-04,24,11.91
2007-05-11,17,12.32
2007-05-18,22,11.47
2007-05-25,24,11.97
2007-06-01,21,12.60
2007-06-08,37,12.35
2007-06-15,27,12.58
2007-06-22,35,12.83
2007-06-29,62,12.53
2007-07-06,42,13.45
2007-07-13,48,13.74
2007-07-20,34,13.41
2007-07-27,33,11.87
2007-08-03,31,11.64
2007-08-10,23,12.21
2007-08-17,24,10.99
2007-08-24,29,11.02
2007-08-31,16,11.45
2007-09-07,22,11.40
2007-09-14,33,11.00
2007-09-21,22,10.73
2007-09-28,16,11.10
2007-10-05,26,10.80
2007-10-12,20,10.49
2007-10-19,13,10.08
2007-10-26,36,9.76
2007-11-02,28,10.47
2007-11-09,26,9.64
2007-11-16,23,9.15
2007-11-23,27,8.37
2007-11-30,22,8.32
2007-12-07,27,9.03
2007-12-14,21,8.37
2007-12-21,20,7.53
2007-12-28,19,7.27
2008-01-04,19,6.40
2008-01-11,32,6.09
2008-01-18,19,6.44
2008-01-25,15,6.53
2008-02-01,34,7.81
2008-02-08,28,6.69
2008-02-15,18,7.13
2008-02-22,31,7.54
2008-02-29,27,7.52
2008-03-07,25,6.88
2008-03-14,19,6.14
2008-03-21,27,
2008-03-28,27,5.46
2008-04-04,29,6.76
2008-04-11,11,6.90
2008-04-18,21,7.40
2008-04-25,21,7.68
2008-05-02,14,8.24
2008-05-09,20,8.37
2008-05-16,17,8.84
2008-05-23,20,8.21
2008-05-30,12,8.07
2008-06-06,21,8.29
2008-06-13,19,7.66
2008-06-20,22,7.23
2008-06-27,26,6.10
2008-07-04,16,
2008-07-11,18,5.44
2008-07-18,16,5.70
2008-07-25,17,4.97
2008-08-01,18,4.67
2008-08-08,21,5.27
2008-08-15,14,5.39
2008-08-22,17,4.69
2008-08-29,14,4.24
2008-09-05,23,4.36
2008-09-12,22,5.13
2008-09-19,12,4.84
2008-09-26,23,4.65
2008-10-03,20,4.44
2008-10-10,29,3.55
2008-10-17,27,4.12
2008-10-24,16,3.55
2008-10-31,15,4.71
2008-11-07,17,4.48
2008-11-14,23,2.75
2008-11-21,22,1.87
2008-11-28,13,2.74
2008-12-05,15,2.04
2008-12-12,15,2.07
2008-12-19,21,2.99
2008-12-26,13,2.59
2009-01-02,13,2.84
2009-01-09,17,3.29
2009-01-16,22,3.40
2009-01-23,17,3.56
2009-01-30,21,3.72
2009-02-06,25,4.08
2009-02-13,19,3.73
2009-02-20,19,2.81
2009-02-27,29,3.22
2009-03-06,21,2.91
2009-03-13,31,3.64
2009-03-20,13,3.43
2009-03-27,20,4.17
2009-04-03,20,4.50
2009-04-10,18,
2009-04-17,23,5.00
2009-04-24,13,4.86
2009-05-01,17,4.89
2009-05-08,24,4.85
2009-05-15,29,4.24
2009-05-22,14,4.51
2009-05-29,14,5.06
2009-06-05,20,5.30
2009-06-12,20,5.47
2009-06-19,12,5.33
2009-06-26,23,5.10
2009-07-03,15,
2009-07-10,22,5.08
2009-07-17,25,5.75
2009-07-24,20,6.27
2009-07-31,14,6.39
2009-08-07,25,6.83
2009-08-14,16,6.72
2009-08-21,21,7.14
2009-08-28,16,7.56
2009-09-04,21,7.35
2009-09-11,15,7.87
2009-09-18,15,8.20
2009-09-25,23,8.10
2009-10-02,26,7.46
2009-10-09,17,8.78
2009-10-16,23,7.95
2009-10-23,20,7.45
2009-10-30,17,6.79
2009-11-06,22,7.08
2009-11-13,22,7.51
2009-11-20,16,7.26
2009-11-27,13,7.30
2009-12-04,15,8.45
2009-12-11,19,8.64
2009-12-18,27,8.78
2009-12-25,31,
2010-01-01,15,
2010-01-08,26,11.10
2010-01-15,19,10.13
2010-01-22,27,9.13
2010-01-29,17,8.72
2010-02-05,19,8.70
2010-02-12,30,8.44
2010-02-19,22,8.90
2010-02-26,20,9.06
2010-03-05,21,9.46
2010-03-12,17,9.97
2010-03-19,25,9.95
2010-03-26,18,10.49
2010-04-02,22,
2010-04-09,26,10.73
2010-04-16,21,10.92
2010-04-23,20,11.00
2010-04-30,18,9.35
2010-05-07,20,8.57
2010-05-14,24,8.94
2010-05-21,12,8.93
2010-05-28,14,9.09
2010-06-04,14,8.86
2010-06-11,19,8.93
2010-06-18,20,10.00
2010-06-25,16,9.46
2010-07-02,25,8.22
2010-07-09,23,8.57
2010-07-16,17,8.27
2010-07-23,9,8.48
2010-07-30,16,7.28
2010-08-06,24,7.58
2010-08-13,15,7.28
2010-08-20,13,7.12
2010-08-27,17,6.83
2010-09-03,19,7.05
2010-09-10,16,6.51
2010-09-17,20,6.76
2010-09-24,21,7.20
2010-10-01,25,7.29
2010-10-08,28,7.59
2010-10-15,15,7.61
2010-10-22,14,7.69
2010-10-29,22,8.26
2010-11-05,16,8.66
2010-11-12,20,7.72
2010-11-19,15,7.39
2010-11-26,18,7.63
2010-12-03,18,7.92
2010-12-10,19,8.25
2010-12-17,14,8.21
2010-12-24,21,
2010-12-31,18,8.02
2011-01-07,21,8.65
2011-01-14,20,9.71
2011-01-21,16,9.84
2011-01-28,22,10.37
2011-02-04,25,11.05
2011-02-11,30,11.32
2011-02-18,22,11.70
2011-02-25,18,11.44
2011-03-04,18,11.64
2011-03-11,14,10.24
2011-03-18,22,10.07
2011-03-25,27,11.55
2011-04-01,21,11.30
2011-04-08,22,11.07
2011-04-15,15,10.75
2011-04-22,18,
2011-04-29,20,11.32
2011-05-06,16,10.87
2011-05-13,21,10.40
2011-05-20,17,10.00
2011-05-27,22,10.02
2011-06-03,16,9.16
2011-06-10,16,8.44
2011-06-17,18,7.83
2011-06-24,25,7.21
2011-07-01,20,7.83
2011-07-08,18,7.68
2011-07-15,14,7.41
2011-07-22,18,8.09
2011-07-29,17,7.37
2011-08-05,13,6.31
2011-08-12,19,6.18
2011-08-19,16,5.25
2011-08-26,18,5.66
2011-09-02,16,5.50
2011-09-09,19,6.35
2011-09-16,20,7.03
2011-09-23,16,6.65
2011-09-30,27,5.04
2011-10-07,25,4.95
2011-10-14,14,5.70
2011-10-21,17,5.46
2011-10-28,16,5.88
2011-11-04,16,5.89
2011-11-11,18,5.43
2011-11-18,24,6.29
2011-11-25,11,5.50
2011-12-02,18,5.80
2011-12-09,18,5.89
2011-12-16,13,5.68
2011-12-23,13,6.40
2011-12-30,14,6.29
2012-01-06,20,7.20
2012-01-13,19,7.23
2012-01-20,15,7.76
2012-01-27,18,7.43
2012-02-03,100,7.95
2012-02-10,44,7.91
2012-02-17,19,8.43
2012-02-24,14,7.95
2012-03-02,26,8.65
2012-03-09,13,8.33
2012-03-16,15,8.82
2012-03-23,19,8.40
2012-03-30,20,8.10
2012-04-06,13,
2012-04-13,16,6.96
2012-04-20,15,6.64
2012-04-27,13,6.57
2012-05-04,17,6.55
2012-05-11,16,6.36
2012-05-18,19,5.63
2012-05-25,17,5.96
2012-06-01,18,5.45
2012-06-08,19,5.88
2012-06-15,18,5.89
2012-06-22,17,5.74
2012-06-29,16,6.31
2012-07-06,17,6.72
2012-07-13,17,6.13
2012-07-20,17,5.83
2012-07-27,13,6.28
2012-08-03,16,6.33
2012-08-10,15,6.76
2012-08-17,10,6.57
2012-08-24,16,6.30
2012-08-31,14,6.21
2012-09-07,11,6.42
2012-09-14,15,6.70
2012-09-21,18,6.36
2012-09-28,16,5.98
2012-10-05,17,5.89
2012-10-12,14,5.67
2012-10-19,14,5.45
2012-10-26,12,5.47
2012-11-02,14,5.71
2012-11-09,16,5.62
2012-11-16,14,5.47
2012-11-23,12,5.68
2012-11-30,15,5.97
2012-12-07,15,6.44
2012-12-14,13,6.85
2012-12-21,14,6.32
2012-12-28,10,6.13
2013-01-04,11,6.96
2013-01-11,14,7.54
2013-01-18,9,7.89
2013-01-25,13,7.87
2013-02-01,15,7.83
2013-02-08,14,7.75
2013-02-15,15,7.91
2013-02-22,12,8.02
2013-03-01,16,8.25
2013-03-08,14,9.20
2013-03-15,13,9.37
2013-03-22,14,10.04
2013-03-29,15,
2013-04-05,11,9.31
2013-04-12,16,10.01
2013-04-19,12,9.35
2013-04-26,11,9.43
2013-05-03,10,9.63
2013-05-10,12,10.82
2013-05-17,13,11.31
2013-05-24,11,11.59
2013-05-31,11,11.68
2013-06-07,12,12.65
2013-06-14,16,12.76
2013-06-21,22,13.90
2013-06-28,15,14.33
2013-07-05,12,14.31
2013-07-12,22,12.69
2013-07-19,12,13.73
2013-07-26,14,12.59
2013-08-02,18,13.50
2013-08-09,18,13.99
2013-08-16,18,14.01
2013-08-23,13,13.86
2013-08-30,13,13.57
2013-09-06,14,15.26
2013-09-13,18,16.20
2013-09-20,16,17.23
2013-09-27,19,17.62
2013-10-04,13,18.47
2013-10-11,22,16.84
2013-10-18,19,17.03
2013-10-25,16,16.58
2013-11-01,16,17.58
2013-11-08,12,18.11
2013-11-15,16,19.46
2013-11-22,23,20.19
2013-11-29,18,21.10
2013-12-06,19,22.31
2013-12-13,20,23.08
2013-12-20,20,22.17
2013-12-27,16,21.52
2014-01-03,16,20.97
2014-01-10,29,23.71
2014-01-17,19,22.38
2014-01-24,16,22.92
2014-01-31,17,23.04
2014-02-07,21,24.51
2014-02-14,21,25.08
2014-02-21,14,25.08
2014-02-28,18,24.19
2014-03-07,19,24.42
2014-03-14,14,23.96
2014-03-21,13,23.66
2014-03-28,17,21.91
2014-04-04,22,22.58
2014-04-11,19,21.13
2014-04-18,15,
2014-04-25,17,25.26
2014-05-02,15,
