Date,buy D,Price
2005-09-02,52,78.19
2005-09-09,20,80.78
2005-09-16,44,82.56
2005-09-23,47,83.85
2005-09-30,22,86.14
2005-10-07,27,80.50
2005-10-14,35,78.15
2005-10-21,52,75.78
2005-10-28,44,75.34
2005-11-04,34,75.30
2005-11-11,46,75.10
2005-11-18,39,77.48
2005-11-25,52,78.24
2005-12-02,47,75.98
2005-12-09,38,79.06
2005-12-16,43,80.87
2005-12-23,42,78.78
2005-12-30,29,77.20
2006-01-06,41,78.26
2006-01-13,38,78.11
2006-01-20,39,78.64
2006-01-27,35,75.26
2006-02-03,44,75.05
2006-02-10,26,74.44
2006-02-17,32,74.75
2006-02-24,43,74.35
2006-03-03,32,73.85
2006-03-10,59,71.41
2006-03-17,42,73.25
2006-03-24,33,71.55
2006-03-31,33,69.03
2006-04-07,33,70.96
2006-04-14,41,
2006-04-21,43,74.29
2006-04-28,30,74.87
2006-05-05,33,75.90
2006-05-12,44,73.57
2006-05-19,28,73.66
2006-05-26,37,72.86
2006-06-02,38,74.20
2006-06-09,50,72.80
2006-06-16,39,74.02
2006-06-23,39,72.68
2006-06-30,35,74.79
2006-07-07,36,75.37
2006-07-14,60,75.61
2006-07-21,34,77.72
2006-07-28,41,78.60
2006-08-04,41,78.86
2006-08-11,43,79.27
2006-08-18,29,79.27
2006-08-25,48,80.88
2006-09-01,31,79.58
2006-09-08,46,77.71
2006-09-15,38,77.16
2006-09-22,54,76.30
2006-09-29,39,76.49
2006-10-06,39,76.21
2006-10-13,46,77.85
2006-10-20,41,80.16
2006-10-27,43,80.64
2006-11-03,39,80.67
2006-11-10,36,81.22
2006-11-17,41,80.88
2006-11-24,41,81.00
2006-12-01,49,80.88
2006-12-08,40,81.13
2006-12-15,36,82.90
2006-12-22,45,82.36
2006-12-29,44,83.84
2007-01-05,50,82.24
2007-01-12,40,80.00
2007-01-19,38,80.76
2007-01-26,41,82.07
2007-02-02,44,86.54
2007-02-09,38,87.46
2007-02-16,39,86.56
2007-02-23,32,85.68
2007-03-02,36,85.00
2007-03-09,38,84.59
2007-03-16,36,84.97
2007-03-23,29,88.91
2007-03-30,32,88.77
2007-04-06,36,
2007-04-13,42,89.14
2007-04-20,32,90.86
2007-04-27,30,91.55
2007-05-04,34,90.82
2007-05-11,38,90.53
2007-05-18,37,91.06
2007-05-25,42,86.57
2007-06-01,27,87.64
2007-06-08,46,82.47
2007-06-15,47,85.63
2007-06-22,40,80.55
2007-06-29,26,86.31
2007-07-06,31,86.19
2007-07-13,30,88.60
2007-07-20,39,87.19
2007-07-27,40,82.19
2007-08-03,28,84.00
2007-08-10,43,90.25
2007-08-17,44,87.37
2007-08-24,38,88.90
2007-08-31,41,85.18
2007-09-07,47,84.48
2007-09-14,42,85.72
2007-09-21,35,86.16
2007-09-28,45,84.30
2007-10-05,44,87.07
2007-10-12,42,87.55
2007-10-19,41,85.99
2007-10-26,34,88.64
2007-11-02,36,90.69
2007-11-09,30,92.14
2007-11-16,37,91.30
2007-11-23,51,45.71
2007-11-30,39,47.23
2007-12-07,49,48.77
2007-12-14,55,47.82
2007-12-21,50,48.70
2007-12-28,44,47.60
2008-01-04,63,46.44
2008-01-11,34,47.29
2008-01-18,42,44.24
2008-01-25,43,41.03
2008-02-01,44,43.57
2008-02-08,33,42.11
2008-02-15,35,42.67
2008-02-22,40,42.27
2008-02-29,38,39.94
2008-03-07,42,39.10
2008-03-14,50,39.57
2008-03-21,47,
2008-03-28,48,40.50
2008-04-04,42,43.21
2008-04-11,52,42.95
2008-04-18,49,44.19
2008-04-25,44,43.54
2008-05-02,52,45.59
2008-05-09,47,44.99
2008-05-16,36,45.97
2008-05-23,46,45.44
2008-05-30,31,46.30
2008-06-06,37,45.92
2008-06-13,47,46.13
2008-06-20,47,47.08
2008-06-27,37,46.20
2008-07-04,37,
2008-07-11,54,46.87
2008-07-18,50,44.47
2008-07-25,39,43.31
2008-08-01,44,42.59
2008-08-08,42,42.77
2008-08-15,48,42.55
2008-08-22,48,43.58
2008-08-29,41,43.53
2008-09-05,40,40.94
2008-09-12,30,43.11
2008-09-19,37,44.17
2008-09-26,45,43.40
2008-10-03,44,41.88
2008-10-10,39,33.67
2008-10-17,56,35.95
2008-10-24,43,35.14
2008-10-31,44,36.28
2008-11-07,50,35.83
2008-11-14,50,36.39
2008-11-21,46,36.93
2008-11-28,46,36.82
2008-12-05,50,35.23
2008-12-12,57,34.60
2008-12-19,54,34.98
2008-12-26,61,34.90
2009-01-02,64,36.54
2009-01-09,41,35.11
2009-01-16,49,34.60
2009-01-23,44,35.00
2009-01-30,50,35.18
2009-02-06,58,36.93
2009-02-13,47,34.54
2009-02-20,44,31.69
2009-02-27,44,30.18
2009-03-06,44,28.12
2009-03-13,60,29.53
2009-03-20,50,30.99
2009-03-27,66,31.07
2009-04-03,100,30.44
2009-04-10,50,
2009-04-17,50,29.94
2009-04-24,43,29.29
2009-05-01,44,31.09
2009-05-08,41,31.87
2009-05-15,48,30.52
2009-05-22,54,30.81
2009-05-29,43,31.79
2009-06-05,36,32.02
2009-06-12,47,33.39
2009-06-19,38,32.72
2009-06-26,35,33.39
2009-07-03,40,
2009-07-10,51,32.45
2009-07-17,54,32.87
2009-07-24,54,34.59
2009-07-31,46,33.80
2009-08-07,44,33.60
2009-08-14,55,33.56
2009-08-21,50,34.22
2009-08-28,47,33.22
2009-09-04,43,33.00
2009-09-11,49,32.79
2009-09-18,50,34.33
2009-09-25,45,34.19
2009-10-02,44,33.49
2009-10-09,40,34.70
2009-10-16,50,34.52
2009-10-23,45,35.17
2009-10-30,41,34.09
2009-11-06,43,35.97
2009-11-13,42,36.26
2009-11-20,50,36.37
2009-11-27,64,36.14
2009-12-04,51,37.75
2009-12-11,57,39.08
2009-12-18,56,39.13
2009-12-25,65,
2010-01-01,70,
2010-01-08,53,38.56
2010-01-15,44,38.85
2010-01-22,56,37.80
2010-01-29,48,37.46
2010-02-05,48,36.75
2010-02-12,42,37.14
2010-02-19,47,39.17
2010-02-26,51,37.99
2010-03-05,48,39.11
2010-03-12,45,39.69
2010-03-19,50,40.70
2010-03-26,50,40.60
2010-04-02,49,
2010-04-09,51,41.59
2010-04-16,45,41.18
2010-04-23,48,41.77
2010-04-30,48,41.80
2010-05-07,57,40.22
2010-05-14,46,40.99
2010-05-21,46,39.53
2010-05-28,49,38.96
2010-06-04,49,39.01
2010-06-11,50,40.60
2010-06-18,45,42.00
2010-06-25,48,40.17
2010-07-02,47,38.67
2010-07-09,54,40.90
2010-07-16,58,40.43
2010-07-23,50,42.41
2010-07-30,48,41.99
2010-08-06,60,43.67
2010-08-13,50,43.91
2010-08-20,57,43.93
2010-08-27,55,43.42
2010-09-03,42,43.99
2010-09-10,56,43.29
2010-09-17,57,43.42
2010-09-24,62,44.23
2010-10-01,59,44.03
2010-10-08,54,44.68
2010-10-15,56,44.54
2010-10-22,53,44.51
2010-10-29,63,43.46
2010-11-05,57,43.50
2010-11-12,53,42.86
2010-11-19,55,42.76
2010-11-26,69,41.84
2010-12-03,68,42.42
2010-12-10,65,41.62
2010-12-17,65,42.57
2010-12-24,70,
2010-12-31,68,42.72
2011-01-07,66,43.23
2011-01-14,66,42.98
2011-01-21,66,43.35
2011-01-28,65,43.39
2011-02-04,53,43.61
2011-02-11,54,44.12
2011-02-18,60,44.37
2011-02-25,61,45.00
2011-03-04,50,45.54
2011-03-11,47,45.51
2011-03-18,56,43.78
2011-03-25,62,44.54
2011-04-01,56,44.70
2011-04-08,60,44.82
2011-04-15,53,44.47
2011-04-22,57,
2011-04-29,50,46.42
2011-05-06,41,46.92
2011-05-13,54,47.99
2011-05-20,57,48.28
2011-05-27,58,47.23
2011-06-03,56,47.15
2011-06-10,44,47.53
2011-06-17,54,47.66
2011-06-24,65,47.25
2011-07-01,54,48.99
2011-07-08,52,48.63
2011-07-15,48,48.46
2011-07-22,52,49.78
2011-07-29,61,48.45
2011-08-05,59,48.59
2011-08-12,52,47.71
2011-08-19,58,47.99
2011-08-26,65,48.46
2011-09-02,53,47.98
2011-09-09,57,47.19
2011-09-16,58,49.84
2011-09-23,45,49.99
2011-09-30,48,50.77
2011-10-07,50,50.27
2011-10-14,59,50.49
2011-10-21,47,52.07
2011-10-28,56,51.37
2011-11-04,55,51.56
2011-11-11,75,52.06
2011-11-18,62,51.04
2011-11-25,70,49.51
2011-12-02,71,50.56
2011-12-09,60,50.77
2011-12-16,65,50.65
2011-12-23,70,52.95
2011-12-30,69,53.08
2012-01-06,66,51.43
2012-01-13,57,50.60
2012-01-20,64,50.57
2012-01-27,60,49.56
2012-02-03,66,50.38
2012-02-10,56,49.91
2012-02-17,61,50.57
2012-02-24,60,51.32
2012-03-02,60,50.52
2012-03-09,64,50.76
2012-03-16,47,50.32
2012-03-23,59,50.28
2012-03-30,56,51.21
2012-04-06,57,
2012-04-13,48,50.28
2012-04-20,49,51.02
2012-04-27,55,52.07
2012-05-04,56,51.99
2012-05-11,50,52.22
2012-05-18,55,52.29
2012-05-25,57,52.55
2012-06-01,56,51.63
2012-06-08,55,53.23
2012-06-15,57,53.78
2012-06-22,55,53.61
2012-06-29,50,54.00
2012-07-06,55,53.83
2012-07-13,54,54.19
2012-07-20,55,53.96
2012-07-27,58,54.97
2012-08-03,56,54.41
2012-08-10,60,53.72
2012-08-17,59,53.92
2012-08-24,62,53.49
2012-08-31,54,52.48
2012-09-07,49,53.16
2012-09-14,54,52.82
2012-09-21,60,52.70
2012-09-28,49,52.94
2012-10-05,54,53.26
2012-10-12,55,52.68
2012-10-19,48,53.51
2012-10-26,52,52.07
2012-11-02,50,51.70
2012-11-09,49,49.33
2012-11-16,58,50.15
2012-11-23,56,50.12
2012-11-30,56,51.11
2012-12-07,55,51.69
2012-12-14,56,51.19
2012-12-21,52,51.94
2012-12-28,53,51.08
2013-01-04,60,53.54
2013-01-11,56,52.43
2013-01-18,53,52.92
2013-01-25,53,53.88
2013-02-01,53,54.17
2013-02-08,48,54.31
2013-02-15,50,54.92
2013-02-22,50,56.38
2013-03-01,48,56.42
2013-03-08,55,55.87
2013-03-15,53,56.79
2013-03-22,50,56.77
2013-03-29,56,
2013-04-05,56,59.63
2013-04-12,52,60.12
2013-04-19,48,61.07
2013-04-26,49,61.01
2013-05-03,52,60.91
2013-05-10,52,59.75
2013-05-17,46,61.17
2013-05-24,51,57.62
2013-05-31,48,56.55
2013-06-07,46,55.64
2013-06-14,48,56.04
2013-06-21,50,55.01
2013-06-28,50,56.82
2013-07-05,52,56.25
2013-07-12,51,58.80
2013-07-19,54,59.68
2013-07-26,50,59.52
2013-08-02,52,59.43
2013-08-09,51,60.33
2013-08-16,51,57.44
2013-08-23,52,58.86
2013-08-30,45,58.35
2013-09-06,46,57.53
2013-09-13,46,61.28
2013-09-20,45,62.27
2013-09-27,50,62.43
2013-10-04,42,62.22
2013-10-11,46,62.95
2013-10-18,45,63.68
2013-10-25,45,64.66
2013-11-01,50,64.09
2013-11-08,46,65.41
2013-11-15,52,67.52
2013-11-22,54,66.62
2013-11-29,58,64.91
2013-12-06,53,64.42
2013-12-13,55,63.58
2013-12-20,53,64.55
2013-12-27,53,64.41
2014-01-03,56,63.51
2014-01-10,52,67.78
2014-01-17,51,66.29
2014-01-24,51,65.93
2014-01-31,45,67.91
2014-02-07,45,66.93
2014-02-14,49,71.11
2014-02-21,52,71.39
2014-02-28,45,69.40
2014-03-07,52,68.44
2014-03-14,49,69.89
2014-03-21,49,70.06
2014-03-28,49,71.09
2014-04-04,49,69.62
2014-04-11,41,69.42
2014-04-18,47,
2014-04-25,48,72.33
2014-05-02,48,
