Date,Procter & Gamble,Price
2011-05-06,28,65.27
2011-05-13,28,66.86
2011-05-20,27,67.36
2011-05-27,27,66.20
2011-06-03,26,65.43
2011-06-10,26,64.70
2011-06-17,26,64.69
2011-06-24,26,62.59
2011-07-01,25,64.27
2011-07-08,24,64.93
2011-07-15,26,64.83
2011-07-22,26,64.25
2011-07-29,25,61.49
2011-08-05,27,60.59
2011-08-12,31,61.14
2011-08-19,27,60.96
2011-08-26,27,62.57
2011-09-02,25,62.55
2011-09-09,26,61.84
2011-09-16,28,64.33
2011-09-23,27,61.25
2011-09-30,31,63.18
2011-10-07,29,63.91
2011-10-14,28,64.89
2011-10-21,29,66.26
2011-10-28,29,64.73
2011-11-04,28,63.03
2011-11-11,29,63.89
2011-11-18,27,63.24
2011-11-25,26,61.00
2011-12-02,25,64.66
2011-12-09,24,64.97
2011-12-16,24,65.14
2011-12-23,20,66.67
2011-12-30,18,66.71
2012-01-06,23,66.36
2012-01-13,26,65.81
2012-01-20,27,66.23
2012-01-27,26,64.30
2012-02-03,27,62.77
2012-02-10,26,63.88
2012-02-17,27,64.91
2012-02-24,28,66.71
2012-03-02,26,66.67
2012-03-09,26,66.93
2012-03-16,24,67.25
2012-03-23,25,67.43
2012-03-30,24,67.21
2012-04-06,23,
2012-04-13,24,65.81
2012-04-20,29,67.51
2012-04-27,31,64.44
2012-05-04,39,64.28
2012-05-11,40,63.68
2012-05-18,39,63.52
2012-05-25,35,62.49
2012-06-01,32,61.55
2012-06-08,28,62.75
2012-06-15,27,62.88
2012-06-22,28,59.83
2012-06-29,25,61.25
2012-07-06,25,61.28
2012-07-13,27,65.09
2012-07-20,30,64.73
2012-07-27,27,65.09
2012-08-03,27,65.50
2012-08-10,28,66.77
2012-08-17,25,67.00
2012-08-24,26,67.02
2012-08-31,26,67.19
2012-09-07,24,68.52
2012-09-14,26,69.16
2012-09-21,26,69.42
2012-09-28,26,69.36
2012-10-05,25,69.63
2012-10-12,24,67.94
2012-10-19,25,68.57
2012-10-26,25,69.44
2012-11-02,20,69.19
2012-11-09,24,67.01
2012-11-16,24,66.82
2012-11-23,22,69.59
2012-11-30,24,69.83
2012-12-07,23,70.29
2012-12-14,20,69.93
2012-12-21,18,68.72
2012-12-28,15,67.15
2013-01-04,19,69.09
2013-01-11,24,69.22
2013-01-18,23,69.94
2013-01-25,24,73.25
2013-02-01,23,75.92
2013-02-08,22,75.75
2013-02-15,21,76.54
2013-02-22,23,76.99
2013-03-01,25,76.49
2013-03-08,24,77.18
2013-03-15,23,76.34
2013-03-22,22,77.27
2013-03-29,21,
2013-04-05,21,78.23
2013-04-12,23,80.08
2013-04-19,22,81.43
2013-04-26,22,77.10
2013-05-03,20,78.19
2013-05-10,21,78.76
2013-05-17,20,80.02
2013-05-24,22,81.88
2013-05-31,24,76.76
2013-06-07,24,77.75
2013-06-14,25,78.03
2013-06-21,23,77.43
2013-06-28,24,76.99
2013-07-05,22,78.34
2013-07-12,25,81.55
2013-07-19,26,81.37
2013-07-26,25,80.39
2013-08-02,26,81.29
2013-08-09,25,81.64
2013-08-16,26,79.90
2013-08-23,25,80.01
2013-08-30,24,77.89
2013-09-06,25,77.15
2013-09-13,25,79.05
2013-09-20,26,79.39
2013-09-27,27,77.21
2013-10-04,25,76.02
2013-10-11,27,78.48
2013-10-18,26,79.41
2013-10-25,27,80.00
2013-11-01,25,81.15
2013-11-08,24,82.51
2013-11-15,25,84.84
2013-11-22,25,84.95
2013-11-29,22,84.22
2013-12-06,23,84.52
2013-12-13,22,82.37
2013-12-20,20,81.84
2013-12-27,15,82.01
2014-01-03,19,80.45
2014-01-10,24,80.30
2014-01-17,26,79.88
2014-01-24,25,79.18
2014-01-31,26,76.62
2014-02-07,25,77.31
2014-02-14,25,79.40
2014-02-21,25,77.97
2014-02-28,25,78.66
2014-03-07,25,78.38
2014-03-14,23,78.98
2014-03-21,23,77.88
2014-03-28,24,79.76
2014-04-04,22,79.77
2014-04-11,24,80.76
2014-04-18,20,
2014-04-25,23,81.41
2014-05-02,24,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
