Date,Cisco Systems,Price
2007-01-05,44,28.47
2007-01-12,68,28.92
2007-01-19,64,26.70
2007-01-26,59,26.35
2007-02-02,58,27.14
2007-02-09,60,27.71
2007-02-16,55,27.52
2007-02-23,55,27.51
2007-03-02,59,25.30
2007-03-09,45,26.08
2007-03-16,52,25.99
2007-03-23,51,26.19
2007-03-30,55,25.53
2007-04-06,43,
2007-04-13,47,26.68
2007-04-20,54,26.99
2007-04-27,50,27.03
2007-05-04,56,27.91
2007-05-11,42,26.63
2007-05-18,56,26.21
2007-05-25,40,25.52
2007-06-01,44,26.86
2007-06-08,54,26.48
2007-06-15,49,27.39
2007-06-22,41,26.92
2007-06-29,50,27.85
2007-07-06,41,28.47
2007-07-13,43,29.89
2007-07-20,46,29.59
2007-07-27,40,28.97
2007-08-03,47,29.46
2007-08-10,42,31.39
2007-08-17,46,29.99
2007-08-24,46,30.73
2007-08-31,46,31.92
2007-09-07,43,31.52
2007-09-14,38,31.56
2007-09-21,43,32.30
2007-09-28,44,33.13
2007-10-05,46,32.65
2007-10-12,39,32.92
2007-10-19,55,31.50
2007-10-26,47,31.90
2007-11-02,45,32.51
2007-11-09,49,28.58
2007-11-16,49,29.94
2007-11-23,42,28.69
2007-11-30,49,28.02
2007-12-07,49,27.45
2007-12-14,41,28.65
2007-12-21,31,28.60
2007-12-28,32,27.56
2008-01-04,36,26.12
2008-01-11,47,25.87
2008-01-18,44,24.30
2008-01-25,45,24.20
2008-02-01,47,24.94
2008-02-08,45,23.54
2008-02-15,42,23.30
2008-02-22,48,23.60
2008-02-29,49,24.39
2008-03-07,39,24.11
2008-03-14,34,24.32
2008-03-21,38,
2008-03-28,40,24.08
2008-04-04,42,24.39
2008-04-11,48,23.38
2008-04-18,42,24.51
2008-04-25,45,25.60
2008-05-02,41,26.75
2008-05-09,43,25.49
2008-05-16,38,26.51
2008-05-23,38,25.10
2008-05-30,35,26.72
2008-06-06,36,26.54
2008-06-13,40,26.37
2008-06-20,36,24.64
2008-06-27,36,23.61
2008-07-04,34,
2008-07-11,48,21.82
2008-07-18,37,21.66
2008-07-25,32,22.43
2008-08-01,37,21.99
2008-08-08,33,24.25
2008-08-15,37,24.91
2008-08-22,32,24.71
2008-08-29,35,24.05
2008-09-05,33,22.26
2008-09-12,36,23.46
2008-09-19,32,24.29
2008-09-26,39,23.82
2008-10-03,38,21.25
2008-10-10,36,17.23
2008-10-17,32,17.91
2008-10-24,33,16.31
2008-10-31,35,17.77
2008-11-07,39,17.58
2008-11-14,34,16.62
2008-11-21,36,15.17
2008-11-28,26,16.54
2008-12-05,29,15.94
2008-12-12,36,16.99
2008-12-19,27,16.64
2008-12-26,18,16.27
2009-01-02,22,16.96
2009-01-09,31,16.70
2009-01-16,30,15.82
2009-01-23,35,15.89
2009-01-30,38,14.97
2009-02-06,32,17.04
2009-02-13,31,16.10
2009-02-20,31,15.08
2009-02-27,27,14.57
2009-03-06,36,14.18
2009-03-13,36,15.51
2009-03-20,36,15.91
2009-03-27,35,16.95
2009-04-03,35,18.16
2009-04-10,34,
2009-04-17,36,17.99
2009-04-24,32,18.42
2009-05-01,35,19.58
2009-05-08,36,18.73
2009-05-15,36,17.92
2009-05-22,38,17.90
2009-05-29,31,18.50
2009-06-05,35,19.87
2009-06-12,34,19.91
2009-06-19,31,18.92
2009-06-26,28,18.91
2009-07-03,30,
2009-07-10,35,18.34
2009-07-17,31,20.51
2009-07-24,33,21.88
2009-07-31,37,22.01
2009-08-07,32,22.19
2009-08-14,31,21.31
2009-08-21,29,22.19
2009-08-28,31,22.00
2009-09-04,35,21.84
2009-09-11,33,23.09
2009-09-18,32,23.40
2009-09-25,34,22.62
2009-10-02,36,22.67
2009-10-09,35,24.03
2009-10-16,35,24.02
2009-10-23,34,24.17
2009-10-30,33,22.81
2009-11-06,37,23.82
2009-11-13,37,23.71
2009-11-20,34,23.46
2009-11-27,32,23.38
2009-12-04,32,24.16
2009-12-11,35,23.77
2009-12-18,27,23.33
2009-12-25,25,
2010-01-01,28,
2010-01-08,30,24.66
2010-01-15,35,24.40
2010-01-22,37,22.97
2010-01-29,32,22.47
2010-02-05,34,23.70
2010-02-12,34,23.76
2010-02-19,35,24.36
2010-02-26,33,24.33
2010-03-05,30,25.21
2010-03-12,44,25.88
2010-03-19,33,26.15
2010-03-26,36,26.47
2010-04-02,32,
2010-04-09,32,26.60
2010-04-16,32,26.98
2010-04-23,35,27.47
2010-04-30,34,26.93
2010-05-07,30,24.71
2010-05-14,29,24.94
2010-05-21,24,23.46
2010-05-28,27,23.16
2010-06-04,25,22.96
2010-06-11,28,22.91
2010-06-18,27,23.49
2010-06-25,25,22.18
2010-07-02,24,21.13
2010-07-09,25,22.70
2010-07-16,20,22.75
2010-07-23,21,23.35
2010-07-30,26,23.07
2010-08-06,23,24.07
2010-08-13,29,21.36
2010-08-20,26,22.23
2010-08-27,26,20.81
2010-09-03,24,21.04
2010-09-10,22,20.62
2010-09-17,23,21.86
2010-09-24,26,22.09
2010-10-01,27,21.91
2010-10-08,24,22.48
2010-10-15,27,23.36
2010-10-22,24,23.48
2010-10-29,25,22.86
2010-11-05,30,24.26
2010-11-12,30,20.15
2010-11-19,26,19.61
2010-11-26,20,19.49
2010-12-03,23,19.07
2010-12-10,25,19.70
2010-12-17,22,19.55
2010-12-24,18,
2010-12-31,21,20.23
2011-01-07,24,20.97
2011-01-14,26,21.21
2011-01-21,24,20.73
2011-01-28,24,20.93
2011-02-04,26,22.05
2011-02-11,30,18.70
2011-02-18,30,18.85
2011-02-25,27,18.64
2011-03-04,24,18.40
2011-03-11,24,17.95
2011-03-18,24,17.14
2011-03-25,24,17.28
2011-04-01,24,17.04
2011-04-08,24,17.65
2011-04-15,27,17.03
2011-04-22,23,
2011-04-29,26,17.52
2011-05-06,22,17.56
2011-05-13,26,16.88
2011-05-20,24,16.53
2011-05-27,23,16.46
2011-06-03,18,16.01
2011-06-10,22,15.12
2011-06-17,22,14.97
2011-06-24,21,14.93
2011-07-01,23,15.86
2011-07-08,22,15.74
2011-07-15,26,15.59
2011-07-22,23,16.46
2011-07-29,20,15.97
2011-08-05,24,14.94
2011-08-12,25,15.99
2011-08-19,21,15.08
2011-08-26,19,15.32
2011-09-02,18,15.41
2011-09-09,19,15.82
2011-09-16,19,16.62
2011-09-23,21,15.61
2011-09-30,21,15.50
2011-10-07,23,16.66
2011-10-14,20,17.55
2011-10-21,23,17.38
2011-10-28,22,18.56
2011-11-04,21,18.03
2011-11-11,20,19.02
2011-11-18,19,18.42
2011-11-25,17,17.50
2011-12-02,20,18.55
2011-12-09,21,18.88
2011-12-16,20,17.94
2011-12-23,16,18.47
2011-12-30,13,18.08
2012-01-06,14,18.85
2012-01-13,17,19.06
2012-01-20,21,19.92
2012-01-27,18,19.56
2012-02-03,21,20.09
2012-02-10,21,19.90
2012-02-17,19,20.29
2012-02-24,17,20.14
2012-03-02,19,19.76
2012-03-09,20,19.80
2012-03-16,21,20.03
2012-03-23,18,20.53
2012-03-30,18,21.15
2012-04-06,18,
2012-04-13,17,19.85
2012-04-20,20,19.91
2012-04-27,17,19.98
2012-05-04,21,19.12
2012-05-11,20,16.51
2012-05-18,22,16.47
2012-05-25,18,16.33
2012-06-01,16,15.96
2012-06-08,18,16.73
2012-06-15,19,17.10
2012-06-22,17,17.13
2012-06-29,17,17.17
2012-07-06,15,16.77
2012-07-13,19,16.31
2012-07-20,18,16.36
2012-07-27,22,15.69
2012-08-03,18,16.35
2012-08-10,17,17.54
2012-08-17,20,19.06
2012-08-24,18,19.20
2012-08-31,18,19.08
2012-09-07,17,19.56
2012-09-14,18,19.49
2012-09-21,17,18.90
2012-09-28,20,19.10
2012-10-05,18,18.86
2012-10-12,18,18.41
2012-10-19,17,18.04
2012-10-26,16,17.29
2012-11-02,16,17.35
2012-11-09,17,16.82
2012-11-16,17,17.99
2012-11-23,16,18.84
2012-11-30,17,18.91
2012-12-07,16,19.34
2012-12-14,16,19.86
2012-12-21,13,19.96
2012-12-28,10,19.45
2013-01-04,14,20.48
2013-01-11,15,20.48
2013-01-18,17,21.02
2013-01-25,17,21.15
2013-02-01,18,20.83
2013-02-08,19,21.16
2013-02-15,18,20.99
2013-02-22,14,20.90
2013-03-01,16,20.83
2013-03-08,17,21.83
2013-03-15,18,21.93
2013-03-22,16,20.75
2013-03-29,15,
2013-04-05,14,20.61
2013-04-12,17,21.54
2013-04-19,16,20.46
2013-04-26,18,20.67
2013-05-03,16,20.83
2013-05-10,16,21.10
2013-05-17,16,24.24
2013-05-24,15,23.53
2013-05-31,15,24.12
2013-06-07,13,24.49
2013-06-14,14,24.09
2013-06-21,15,24.48
2013-06-28,14,24.34
2013-07-05,15,24.57
2013-07-12,16,25.94
2013-07-19,15,25.82
2013-07-26,16,25.50
2013-08-02,16,26.19
2013-08-09,14,26.05
2013-08-16,19,24.27
2013-08-23,15,23.86
2013-08-30,15,23.31
2013-09-06,13,23.55
2013-09-13,18,24.32
2013-09-20,15,24.51
2013-09-27,15,23.33
2013-10-04,15,23.02
2013-10-11,14,23.28
2013-10-18,16,22.96
2013-10-25,18,22.46
2013-11-01,15,22.57
2013-11-08,15,23.51
2013-11-15,16,21.54
2013-11-22,17,21.46
2013-11-29,15,21.25
2013-12-06,14,21.28
2013-12-13,14,20.24
2013-12-20,13,21.13
2013-12-27,10,22.02
2014-01-03,10,21.98
2014-01-10,12,22.22
2014-01-17,14,22.74
2014-01-24,14,22.20
2014-01-31,16,21.91
2014-02-07,15,22.67
2014-02-14,15,22.56
2014-02-21,14,22.13
2014-02-28,14,21.80
2014-03-07,15,21.73
2014-03-14,15,21.35
2014-03-21,13,21.64
2014-03-28,14,22.33
2014-04-04,13,22.71
2014-04-11,14,22.46
2014-04-18,14,
2014-04-25,11,23.00
2014-05-02,14,
