Date,MON,Price
2007-01-12,43,51.15
2007-01-19,44,54.31
2007-01-26,44,55.64
2007-02-02,43,55.55
2007-02-09,43,54.22
2007-02-16,45,55.65
2007-02-23,46,55.74
2007-03-02,42,50.92
2007-03-09,43,54.03
2007-03-16,41,51.55
2007-03-23,44,54.83
2007-03-30,44,54.96
2007-04-06,44,
2007-04-13,43,58.38
2007-04-20,45,59.22
2007-04-27,43,60.30
2007-05-04,43,59.47
2007-05-11,43,58.55
2007-05-18,45,61.83
2007-05-25,43,60.52
2007-06-01,46,62.23
2007-06-08,45,60.44
2007-06-15,46,64.86
2007-06-22,47,67.55
2007-06-29,46,67.54
2007-07-06,48,66.84
2007-07-13,44,70.06
2007-07-20,42,69.04
2007-07-27,40,63.45
2007-08-03,42,64.08
2007-08-10,39,68.26
2007-08-17,40,63.09
2007-08-24,44,67.99
2007-08-31,44,69.74
2007-09-07,43,69.90
2007-09-14,43,73.50
2007-09-21,45,78.81
2007-09-28,46,85.74
2007-10-05,44,86.93
2007-10-12,46,93.54
2007-10-19,45,88.23
2007-10-26,43,94.28
2007-11-02,47,94.43
2007-11-09,47,96.73
2007-11-16,46,94.28
2007-11-23,54,90.41
2007-11-30,53,99.37
2007-12-07,53,106.24
2007-12-14,46,104.50
2007-12-21,48,111.31
2007-12-28,53,111.25
2008-01-04,53,119.63
2008-01-11,49,120.63
2008-01-18,47,105.75
2008-01-25,49,108.13
2008-02-01,48,114.60
2008-02-08,48,109.92
2008-02-15,48,115.35
2008-02-22,49,116.67
2008-02-29,49,115.68
2008-03-07,49,106.46
2008-03-14,48,108.79
2008-03-21,49,
2008-03-28,50,114.30
2008-04-04,49,119.30
2008-04-11,47,121.12
2008-04-18,50,129.19
2008-04-25,50,125.48
2008-05-02,49,115.22
2008-05-09,48,119.71
2008-05-16,50,125.11
2008-05-23,49,121.45
2008-05-30,56,127.40
2008-06-06,53,135.76
2008-06-13,52,137.26
2008-06-20,54,139.95
2008-06-27,52,128.34
2008-07-04,58,
2008-07-11,56,119.26
2008-07-18,49,111.84
2008-07-25,47,116.09
2008-08-01,48,114.83
2008-08-08,46,107.66
2008-08-15,47,112.46
2008-08-22,47,118.07
2008-08-29,52,114.25
2008-09-05,54,107.19
2008-09-12,54,111.76
2008-09-19,54,118.41
2008-09-26,55,106.06
2008-10-03,57,83.26
2008-10-10,56,78.66
2008-10-17,56,80.00
2008-10-24,56,71.95
2008-10-31,59,88.98
2008-11-07,61,88.12
2008-11-14,63,74.10
2008-11-21,64,67.41
2008-11-28,66,79.20
2008-12-05,66,74.92
2008-12-12,66,69.73
2008-12-19,67,71.63
2008-12-26,71,67.72
2009-01-02,70,73.72
2009-01-09,64,81.14
2009-01-16,63,79.61
2009-01-23,64,78.91
2009-01-30,62,76.06
2009-02-06,66,83.96
2009-02-13,65,79.41
2009-02-20,63,79.68
2009-02-27,65,76.27
2009-03-06,67,71.65
2009-03-13,63,79.11
2009-03-20,63,80.35
2009-03-27,67,86.24
2009-04-03,66,81.26
2009-04-10,68,
2009-04-17,66,81.06
2009-04-24,65,81.12
2009-05-01,66,85.25
2009-05-08,70,86.42
2009-05-15,73,89.95
2009-05-22,71,86.61
2009-05-29,73,82.15
2009-06-05,96,81.98
2009-06-12,76,86.54
2009-06-19,71,80.73
2009-06-26,71,75.25
2009-07-03,74,
2009-07-10,85,71.34
2009-07-17,70,75.41
2009-07-24,68,84.16
2009-07-31,71,84.00
2009-08-07,68,83.33
2009-08-14,68,81.24
2009-08-21,70,83.78
2009-08-28,75,83.00
2009-09-04,76,82.24
2009-09-11,70,78.03
2009-09-18,71,79.92
2009-09-25,70,76.18
2009-10-02,70,74.93
2009-10-09,74,75.77
2009-10-16,71,76.80
2009-10-23,74,75.23
2009-10-30,75,67.18
2009-11-06,78,69.14
2009-11-13,74,73.58
2009-11-20,75,80.08
2009-11-27,78,79.50
2009-12-04,78,83.44
2009-12-11,77,82.84
2009-12-18,80,80.52
2009-12-25,82,
2010-01-01,84,
2010-01-08,82,86.65
2010-01-15,80,81.16
2010-01-22,80,77.89
2010-01-29,77,75.88
2010-02-05,79,76.74
2010-02-12,79,75.82
2010-02-19,76,77.75
2010-02-26,77,70.65
2010-03-05,80,72.50
2010-03-12,82,72.35
2010-03-19,81,72.20
2010-03-26,84,71.10
2010-04-02,88,
2010-04-09,81,68.85
2010-04-16,79,64.73
2010-04-23,77,65.66
2010-04-30,78,63.06
2010-05-07,82,59.09
2010-05-14,80,54.61
2010-05-21,77,54.95
2010-05-28,78,50.87
2010-06-04,99,49.02
2010-06-11,84,51.23
2010-06-18,77,50.39
2010-06-25,79,48.27
2010-07-02,77,46.54
2010-07-09,97,51.21
2010-07-16,72,56.20
2010-07-23,64,58.37
2010-07-30,64,57.84
2010-08-06,63,60.60
2010-08-13,62,57.29
2010-08-20,65,57.73
2010-08-27,66,56.56
2010-09-03,64,55.79
2010-09-10,67,57.23
2010-09-17,66,56.23
2010-09-24,64,55.38
2010-10-01,65,48.26
2010-10-08,66,50.87
2010-10-15,69,56.78
2010-10-22,68,57.15
2010-10-29,72,59.42
2010-11-05,79,62.27
2010-11-12,82,62.15
2010-11-19,80,59.45
2010-11-26,79,59.53
2010-12-03,81,62.82
2010-12-10,83,60.95
2010-12-17,85,64.60
2010-12-24,87,
2010-12-31,80,69.64
2011-01-07,81,71.79
2011-01-14,76,74.33
2011-01-21,75,70.11
2011-01-28,73,71.54
2011-02-04,67,74.66
2011-02-11,75,75.05
2011-02-18,72,72.39
2011-02-25,70,72.21
2011-03-04,69,73.06
2011-03-11,69,67.51
2011-03-18,67,67.84
2011-03-25,67,70.76
2011-04-01,69,73.17
2011-04-08,68,66.22
2011-04-15,69,67.33
2011-04-22,70,
2011-04-29,71,68.04
2011-05-06,71,65.27
2011-05-13,72,63.79
2011-05-20,70,66.33
2011-05-27,71,69.64
2011-06-03,100,68.79
2011-06-10,78,68.77
2011-06-17,73,65.85
2011-06-24,74,65.96
2011-07-01,74,72.65
2011-07-08,95,75.17
2011-07-15,80,74.06
2011-07-22,69,75.41
2011-07-29,68,73.48
2011-08-05,68,67.15
2011-08-12,67,69.85
2011-08-19,68,66.00
2011-08-26,71,70.68
2011-09-02,72,65.80
2011-09-09,71,65.01
2011-09-16,73,69.77
2011-09-23,73,63.64
2011-09-30,71,60.04
2011-10-07,74,70.93
2011-10-14,69,74.40
2011-10-21,66,74.83
2011-10-28,66,76.43
2011-11-04,67,72.50
2011-11-11,69,75.10
2011-11-18,69,71.39
2011-11-25,69,67.71
2011-12-02,70,70.42
2011-12-09,71,71.23
2011-12-16,71,68.14
2011-12-23,72,70.98
2011-12-30,73,70.07
2012-01-06,70,77.51
2012-01-13,69,79.59
2012-01-20,69,80.05
2012-01-27,68,80.53
2012-02-03,74,82.15
2012-02-10,77,77.34
2012-02-17,74,79.34
2012-02-24,75,79.52
2012-03-02,72,80.73
2012-03-09,70,79.29
2012-03-16,65,78.81
2012-03-23,68,78.44
2012-03-30,66,79.76
2012-04-06,67,
2012-04-13,68,77.07
2012-04-20,67,77.16
2012-04-27,67,77.84
2012-05-04,66,73.60
2012-05-11,72,72.45
2012-05-18,66,69.89
2012-05-25,70,73.56
2012-06-01,75,76.17
2012-06-08,86,79.40
2012-06-15,70,78.70
2012-06-22,72,78.45
2012-06-29,67,82.78
2012-07-06,88,82.09
2012-07-13,78,83.86
2012-07-20,67,87.52
2012-07-27,61,86.88
2012-08-03,63,87.04
2012-08-10,62,86.74
2012-08-17,60,87.87
2012-08-24,65,85.34
2012-08-31,66,87.11
2012-09-07,65,89.39
2012-09-14,65,88.97
2012-09-21,68,90.92
2012-09-28,68,91.02
2012-10-05,68,91.16
2012-10-12,69,88.57
2012-10-19,71,88.69
2012-10-26,69,86.60
2012-11-02,71,85.87
2012-11-09,74,86.43
2012-11-16,72,85.23
2012-11-23,73,90.58
2012-11-30,71,91.59
2012-12-07,73,90.69
2012-12-14,75,89.13
2012-12-21,75,92.55
2012-12-28,74,93.08
2013-01-04,71,96.11
2013-01-11,68,100.08
2013-01-18,67,102.47
2013-01-25,68,103.45
2013-02-01,69,102.27
2013-02-08,67,101.15
2013-02-15,64,103.51
2013-02-22,66,99.98
2013-03-01,67,101.66
2013-03-08,67,103.35
2013-03-15,69,104.24
2013-03-22,72,101.32
2013-03-29,77,
2013-04-05,71,105.10
2013-04-12,69,105.45
2013-04-19,66,103.22
2013-04-26,67,104.68
2013-05-03,67,107.28
2013-05-10,71,108.12
2013-05-17,69,108.38
2013-05-24,72,104.83
2013-05-31,71,100.64
2013-06-07,89,101.65
2013-06-14,71,105.63
2013-06-21,72,103.19
2013-06-28,72,98.80
2013-07-05,83,98.71
2013-07-12,76,102.95
2013-07-19,69,104.16
2013-07-26,64,100.51
2013-08-02,65,97.46
2013-08-09,63,96.25
2013-08-16,61,94.99
2013-08-23,61,96.22
2013-08-30,65,97.89
2013-09-06,65,99.89
2013-09-13,69,104.18
2013-09-20,70,106.05
2013-09-27,70,105.61
2013-10-04,68,105.63
2013-10-11,72,106.58
2013-10-18,68,105.74
2013-10-25,69,108.00
2013-11-01,70,105.15
2013-11-08,71,107.22
2013-11-15,73,111.06
2013-11-22,70,113.86
2013-11-29,74,113.33
2013-12-06,76,111.75
2013-12-13,77,110.66
2013-12-20,77,113.73
2013-12-27,75,115.39
2014-01-03,78,116.35
2014-01-10,76,113.06
2014-01-17,71,113.11
2014-01-24,71,107.94
2014-01-31,72,106.55
2014-02-07,73,110.75
2014-02-14,72,109.49
2014-02-21,71,112.45
2014-02-28,72,110.02
2014-03-07,74,114.08
2014-03-14,71,113.21
2014-03-21,71,113.28
2014-03-28,71,112.32
2014-04-04,70,114.28
2014-04-11,69,110.90
2014-04-18,74,
2014-04-25,73,109.67
2014-05-02,75,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
