Date,APH,Price
2010-04-16,79,43.82
2010-04-23,75,46.97
2010-04-30,78,46.21
2010-05-07,81,42.47
2010-05-14,79,44.00
2010-05-21,78,41.92
2010-05-28,77,42.40
2010-06-04,88,40.79
2010-06-11,83,41.01
2010-06-18,83,42.64
2010-06-25,82,41.41
2010-07-02,75,38.96
2010-07-09,77,40.64
2010-07-16,79,41.15
2010-07-23,85,45.10
2010-07-30,86,44.80
2010-08-06,76,45.00
2010-08-13,83,40.83
2010-08-20,88,41.66
2010-08-27,81,41.93
2010-09-03,71,45.81
2010-09-10,84,45.89
2010-09-17,82,47.35
2010-09-24,70,48.72
2010-10-01,72,49.06
2010-10-08,69,49.25
2010-10-15,68,50.15
2010-10-22,71,49.12
2010-10-29,72,50.13
2010-11-05,62,52.88
2010-11-12,54,50.57
2010-11-19,63,51.24
2010-11-26,62,50.64
2010-12-03,60,52.93
2010-12-10,58,53.30
2010-12-17,56,53.15
2010-12-24,61,
2010-12-31,63,52.78
2011-01-07,64,51.84
2011-01-14,66,52.26
2011-01-21,62,53.29
2011-01-28,65,55.02
2011-02-04,64,57.52
2011-02-11,69,58.52
2011-02-18,60,57.39
2011-02-25,66,56.85
2011-03-04,67,58.47
2011-03-11,68,56.28
2011-03-18,64,55.16
2011-03-25,68,54.39
2011-04-01,67,52.41
2011-04-08,65,52.60
2011-04-15,64,53.03
2011-04-22,71,
2011-04-29,59,55.91
2011-05-06,62,55.64
2011-05-13,59,55.04
2011-05-20,65,54.65
2011-05-27,75,53.89
2011-06-03,70,52.51
2011-06-10,62,51.36
2011-06-17,65,50.16
2011-06-24,62,50.83
2011-07-01,61,54.86
2011-07-08,72,54.20
2011-07-15,66,50.77
2011-07-22,66,51.03
2011-07-29,64,48.89
2011-08-05,64,43.38
2011-08-12,71,46.50
2011-08-19,60,42.13
2011-08-26,64,44.49
2011-09-02,60,42.91
2011-09-09,56,42.98
2011-09-16,60,44.45
2011-09-23,60,41.73
2011-09-30,59,40.77
2011-10-07,61,42.39
2011-10-14,54,44.15
2011-10-21,57,45.62
2011-10-28,56,49.27
2011-11-04,58,47.85
2011-11-11,47,46.85
2011-11-18,49,44.99
2011-11-25,49,41.58
2011-12-02,48,45.07
2011-12-09,45,44.97
2011-12-16,49,41.62
2011-12-23,49,45.70
2011-12-30,45,45.39
2012-01-06,55,46.23
2012-01-13,56,48.15
2012-01-20,58,55.36
2012-01-27,59,54.41
2012-02-03,61,55.07
2012-02-10,55,54.82
2012-02-17,52,56.31
2012-02-24,53,56.30
2012-03-02,57,56.23
2012-03-09,60,56.83
2012-03-16,51,57.73
2012-03-23,55,56.80
2012-03-30,54,59.77
2012-04-06,51,
2012-04-13,58,58.79
2012-04-20,54,57.68
2012-04-27,61,58.68
2012-05-04,60,55.35
2012-05-11,56,54.04
2012-05-18,53,51.19
2012-05-25,65,53.22
2012-06-01,57,51.60
2012-06-08,57,54.86
2012-06-15,54,55.72
2012-06-22,58,55.11
2012-06-29,58,54.92
2012-07-06,58,53.52
2012-07-13,57,52.08
2012-07-20,60,58.18
2012-07-27,62,59.99
2012-08-03,58,59.79
2012-08-10,57,61.04
2012-08-17,67,62.39
2012-08-24,64,61.66
2012-08-31,61,60.87
2012-09-07,60,62.03
2012-09-14,58,63.18
2012-09-21,61,61.89
2012-09-28,52,58.88
2012-10-05,54,58.76
2012-10-12,57,58.57
2012-10-19,50,61.11
2012-10-26,50,60.13
2012-11-02,47,60.83
2012-11-09,52,61.04
2012-11-16,46,59.12
2012-11-23,50,61.52
2012-11-30,52,61.92
2012-12-07,42,61.63
2012-12-14,43,62.54
2012-12-21,44,64.95
2012-12-28,38,63.59
2013-01-04,50,66.94
2013-01-11,54,68.37
2013-01-18,54,67.57
2013-01-25,55,67.70
2013-02-01,54,68.47
2013-02-08,62,70.44
2013-02-15,59,70.42
2013-02-22,55,70.80
2013-03-01,54,71.71
2013-03-08,60,73.24
2013-03-15,54,72.39
2013-03-22,58,73.22
2013-03-29,54,
2013-04-05,56,72.05
2013-04-12,57,73.49
2013-04-19,53,72.78
2013-04-26,59,74.30
2013-05-03,59,77.16
2013-05-10,57,80.29
2013-05-17,57,83.29
2013-05-24,56,78.34
2013-05-31,60,77.90
2013-06-07,58,77.72
2013-06-14,65,76.20
2013-06-21,61,76.39
2013-06-28,59,77.94
2013-07-05,58,80.25
2013-07-12,51,85.38
2013-07-19,57,76.78
2013-07-26,56,77.51
2013-08-02,58,79.09
2013-08-09,57,77.57
2013-08-16,57,74.79
2013-08-23,54,77.80
2013-08-30,50,75.77
2013-09-06,54,75.15
2013-09-13,52,77.29
2013-09-20,52,76.76
2013-09-27,52,77.54
2013-10-04,51,76.49
2013-10-11,50,77.05
2013-10-18,49,82.33
2013-10-25,51,81.27
2013-11-01,52,79.93
2013-11-08,50,81.34
2013-11-15,53,84.10
2013-11-22,50,85.11
2013-11-29,52,85.00
2013-12-06,45,86.11
2013-12-13,48,85.16
2013-12-20,47,87.80
2013-12-27,44,88.27
2014-01-03,45,88.06
2014-01-10,50,89.34
2014-01-17,53,92.08
2014-01-24,53,85.89
2014-01-31,55,86.88
2014-02-07,57,87.36
2014-02-14,55,88.27
2014-02-21,55,88.16
2014-02-28,62,88.02
2014-03-07,60,90.41
2014-03-14,54,90.49
2014-03-21,57,93.25
2014-03-28,57,91.62
2014-04-04,56,92.72
2014-04-11,55,90.53
2014-04-18,60,
2014-04-25,61,94.71
2014-05-02,61,
