Date,F,Price
2008-01-18,22,5.92
2008-01-25,23,6.58
2008-02-01,23,6.85
2008-02-08,23,6.08
2008-02-15,22,6.45
2008-02-22,22,6.25
2008-02-29,23,6.53
2008-03-07,22,5.78
2008-03-14,22,5.29
2008-03-21,22,
2008-03-28,22,5.59
2008-04-04,23,6.49
2008-04-11,23,6.69
2008-04-18,23,7.45
2008-04-25,23,7.50
2008-05-02,23,8.27
2008-05-09,23,8.10
2008-05-16,24,8.11
2008-05-23,23,6.87
2008-05-30,23,6.80
2008-06-06,24,6.04
2008-06-13,24,6.27
2008-06-20,23,5.81
2008-06-27,23,4.98
2008-07-04,24,
2008-07-11,24,4.86
2008-07-18,27,5.44
2008-07-25,26,5.05
2008-08-01,25,4.65
2008-08-08,24,5.26
2008-08-15,24,5.11
2008-08-22,25,4.47
2008-08-29,25,4.46
2008-09-05,26,4.41
2008-09-12,26,4.91
2008-09-19,25,5.29
2008-09-26,26,4.81
2008-10-03,24,4.05
2008-10-10,24,1.99
2008-10-17,25,2.43
2008-10-24,25,2.01
2008-10-31,24,2.19
2008-11-07,25,2.02
2008-11-14,25,1.80
2008-11-21,25,1.43
2008-11-28,24,2.69
2008-12-05,25,2.72
2008-12-12,26,3.04
2008-12-19,25,2.95
2008-12-26,25,2.29
2009-01-02,25,2.46
2009-01-09,24,2.63
2009-01-16,25,2.19
2009-01-23,25,1.80
2009-01-30,27,1.87
2009-02-06,26,1.94
2009-02-13,26,1.76
2009-02-20,27,1.58
2009-02-27,27,2.00
2009-03-06,28,1.70
2009-03-13,27,2.19
2009-03-20,27,2.75
2009-03-27,28,2.84
2009-04-03,29,3.25
2009-04-10,28,
2009-04-17,29,4.00
2009-04-24,29,5.00
2009-05-01,28,5.69
2009-05-08,29,6.24
2009-05-15,28,5.49
2009-05-22,27,5.26
2009-05-29,28,5.75
2009-06-05,27,6.36
2009-06-12,27,6.11
2009-06-19,28,5.72
2009-06-26,28,5.61
2009-07-03,28,
2009-07-10,27,5.72
2009-07-17,29,6.14
2009-07-24,29,6.78
2009-07-31,29,8.00
2009-08-07,29,8.01
2009-08-14,29,7.83
2009-08-21,30,7.74
2009-08-28,31,7.73
2009-09-04,30,7.43
2009-09-11,30,7.33
2009-09-18,29,6.94
2009-09-25,30,7.29
2009-10-02,31,6.84
2009-10-09,30,7.12
2009-10-16,31,7.42
2009-10-23,31,7.63
2009-10-30,30,7.00
2009-11-06,32,7.75
2009-11-13,31,8.41
2009-11-20,32,8.64
2009-11-27,32,8.73
2009-12-04,31,8.94
2009-12-11,33,9.00
2009-12-18,31,9.68
2009-12-25,33,
2010-01-01,32,
2010-01-08,34,11.69
2010-01-15,33,11.60
2010-01-22,34,10.52
2010-01-29,35,10.84
2010-02-05,34,10.91
2010-02-12,34,11.12
2010-02-19,34,11.29
2010-02-26,34,11.74
2010-03-05,35,13.00
2010-03-12,35,13.34
2010-03-19,34,13.29
2010-03-26,36,13.86
2010-04-02,36,
2010-04-09,35,12.72
2010-04-16,35,13.42
2010-04-23,36,14.21
2010-04-30,35,13.02
2010-05-07,35,11.51
2010-05-14,36,12.11
2010-05-21,36,11.26
2010-05-28,35,11.73
2010-06-04,39,11.50
2010-06-11,36,11.40
2010-06-18,36,11.46
2010-06-25,38,10.75
2010-07-02,37,10.28
2010-07-09,36,10.85
2010-07-16,36,11.34
2010-07-23,37,12.72
2010-07-30,37,12.77
2010-08-06,37,13.04
2010-08-13,37,12.15
2010-08-20,38,11.77
2010-08-27,39,11.56
2010-09-03,38,12.07
2010-09-10,39,11.79
2010-09-17,39,12.49
2010-09-24,41,12.56
2010-10-01,40,12.26
2010-10-08,40,13.66
2010-10-15,40,13.80
2010-10-22,42,13.95
2010-10-29,41,14.13
2010-11-05,40,16.21
2010-11-12,43,16.30
2010-11-19,43,16.28
2010-11-26,43,16.10
2010-12-03,42,16.80
2010-12-10,43,16.73
2010-12-17,45,16.80
2010-12-24,47,
2010-12-31,47,16.79
2011-01-07,48,18.27
2011-01-14,46,18.65
2011-01-21,47,17.95
2011-01-28,48,16.27
2011-02-04,49,15.72
2011-02-11,49,16.38
2011-02-18,49,15.77
2011-02-25,50,15.07
2011-03-04,50,14.42
2011-03-11,48,14.36
2011-03-18,48,14.49
2011-03-25,49,15.01
2011-04-01,49,15.16
2011-04-08,52,15.33
2011-04-15,51,14.71
2011-04-22,51,
2011-04-29,51,15.47
2011-05-06,50,15.11
2011-05-13,51,15.08
2011-05-20,53,15.00
2011-05-27,53,14.60
2011-06-03,54,14.01
2011-06-10,55,13.35
2011-06-17,56,12.77
2011-06-24,57,13.24
2011-07-01,55,14.02
2011-07-08,55,13.88
2011-07-15,54,13.09
2011-07-22,55,13.31
2011-07-29,56,12.21
2011-08-05,57,10.84
2011-08-12,59,11.06
2011-08-19,59,9.99
2011-08-26,58,10.40
2011-09-02,59,10.42
2011-09-09,59,10.05
2011-09-16,60,10.62
2011-09-23,60,9.86
2011-09-30,61,9.67
2011-10-07,60,10.69
2011-10-14,57,11.56
2011-10-21,63,12.26
2011-10-28,62,12.00
2011-11-04,62,11.27
2011-11-11,64,11.14
2011-11-18,63,10.10
2011-11-25,64,9.75
2011-12-02,65,10.90
2011-12-09,66,11.03
2011-12-16,67,10.25
2011-12-23,68,10.95
2011-12-30,71,10.76
2012-01-06,66,11.71
2012-01-13,66,12.04
2012-01-20,70,12.59
2012-01-27,68,12.21
2012-02-03,70,12.79
2012-02-10,68,12.44
2012-02-17,68,12.75
2012-02-24,69,12.23
2012-03-02,74,12.72
2012-03-09,78,12.58
2012-03-16,76,12.51
2012-03-23,82,12.32
2012-03-30,76,12.48
2012-04-06,77,
2012-04-13,74,11.92
2012-04-20,75,11.41
2012-04-27,75,11.60
2012-05-04,76,10.67
2012-05-11,77,10.58
2012-05-18,77,10.01
2012-05-25,77,10.60
2012-06-01,77,10.12
2012-06-08,77,10.66
2012-06-15,79,10.35
2012-06-22,78,10.19
2012-06-29,79,9.59
2012-07-06,76,9.50
2012-07-13,76,9.27
2012-07-20,75,9.21
2012-07-27,75,9.00
2012-08-03,76,9.09
2012-08-10,81,9.35
2012-08-17,83,9.63
2012-08-24,80,9.49
2012-08-31,77,9.34
2012-09-07,75,10.14
2012-09-14,79,10.53
2012-09-21,83,10.40
2012-09-28,79,9.86
2012-10-05,81,10.16
2012-10-12,83,10.12
2012-10-19,81,10.18
2012-10-26,100,10.36
2012-11-02,90,11.17
2012-11-09,87,10.93
2012-11-16,88,10.50
2012-11-23,84,11.10
2012-11-30,80,11.45
2012-12-07,82,11.48
2012-12-14,85,11.10
2012-12-21,85,11.86
2012-12-28,91,12.87
2013-01-04,87,13.57
2013-01-11,87,14.00
2013-01-18,90,14.11
2013-01-25,91,13.68
2013-02-01,90,13.02
2013-02-08,83,13.10
2013-02-15,88,13.02
2013-02-22,88,12.48
2013-03-01,91,12.61
2013-03-08,84,12.98
2013-03-15,86,13.45
2013-03-22,92,13.26
2013-03-29,92,
2013-04-05,90,12.44
2013-04-12,87,13.53
2013-04-19,87,12.93
2013-04-26,87,13.67
2013-05-03,87,13.83
2013-05-10,88,14.11
2013-05-17,87,15.08
2013-05-24,91,14.79
2013-05-31,92,15.68
2013-06-07,88,15.73
2013-06-14,87,15.37
2013-06-21,86,15.00
2013-06-28,86,15.47
2013-07-05,86,16.70
2013-07-12,82,17.11
2013-07-19,83,16.76
2013-07-26,83,17.02
2013-08-02,82,17.50
2013-08-09,85,17.02
2013-08-16,84,16.30
2013-08-23,86,16.45
2013-08-30,85,16.19
2013-09-06,83,17.00
2013-09-13,80,17.35
2013-09-20,76,17.39
2013-09-27,76,17.05
2013-10-04,77,17.09
2013-10-11,77,17.11
2013-10-18,75,17.53
2013-10-25,74,17.60
2013-11-01,74,16.89
2013-11-08,73,16.85
2013-11-15,78,17.07
2013-11-22,80,17.01
2013-11-29,78,17.08
2013-12-06,74,16.70
2013-12-13,77,16.59
2013-12-20,78,15.42
2013-12-27,81,15.30
2014-01-03,78,15.51
2014-01-10,77,16.07
2014-01-17,77,16.52
2014-01-24,76,15.83
2014-01-31,75,14.96
2014-02-07,76,14.97
2014-02-14,77,15.24
2014-02-21,78,15.16
2014-02-28,77,15.39
2014-03-07,78,15.62
2014-03-14,76,15.08
2014-03-21,79,15.47
2014-03-28,80,15.45
2014-04-04,78,16.13
2014-04-11,79,15.63
2014-04-18,79,
2014-04-25,81,15.78
2014-05-02,79,
