Date,CMI,Price
2006-06-16,59,106.33
2006-06-23,61,110.64
2006-06-30,58,122.25
2006-07-07,52,117.63
2006-07-14,57,114.37
2006-07-21,60,109.35
2006-07-28,54,115.60
2006-08-04,55,120.29
2006-08-11,60,115.72
2006-08-18,55,122.10
2006-08-25,58,114.32
2006-09-01,50,115.51
2006-09-08,57,113.75
2006-09-15,59,112.23
2006-09-22,59,111.50
2006-09-29,59,119.23
2006-10-06,54,131.33
2006-10-13,62,135.14
2006-10-20,55,132.41
2006-10-27,52,130.96
2006-11-03,58,121.02
2006-11-10,53,119.44
2006-11-17,56,121.60
2006-11-24,54,124.15
2006-12-01,50,118.63
2006-12-08,55,122.70
2006-12-15,49,120.48
2006-12-22,55,118.23
2006-12-29,56,118.18
2007-01-05,53,116.06
2007-01-12,56,116.75
2007-01-19,55,120.74
2007-01-26,53,125.07
2007-02-02,53,139.34
2007-02-09,60,135.50
2007-02-16,53,144.45
2007-02-23,52,144.65
2007-03-02,53,133.82
2007-03-09,49,139.94
2007-03-16,56,138.47
2007-03-23,54,150.19
2007-03-30,50,144.72
2007-04-06,48,
2007-04-13,52,73.67
2007-04-20,58,77.42
2007-04-27,55,96.14
2007-05-04,54,90.27
2007-05-11,55,91.62
2007-05-18,54,87.42
2007-05-25,56,87.74
2007-06-01,54,94.08
2007-06-08,55,93.80
2007-06-15,53,97.49
2007-06-22,51,102.14
2007-06-29,52,101.21
2007-07-06,50,106.49
2007-07-13,54,118.65
2007-07-20,49,116.07
2007-07-27,54,116.62
2007-08-03,53,119.85
2007-08-10,49,114.05
2007-08-17,48,106.11
2007-08-24,50,116.49
2007-08-31,52,118.42
2007-09-07,50,114.35
2007-09-14,49,119.87
2007-09-21,52,131.54
2007-09-28,49,127.89
2007-10-05,48,138.75
2007-10-12,51,140.02
2007-10-19,47,130.61
2007-10-26,51,116.94
2007-11-02,54,121.53
2007-11-09,47,120.56
2007-11-16,45,112.62
2007-11-23,49,106.32
2007-11-30,52,116.90
2007-12-07,54,124.96
2007-12-14,50,121.92
2007-12-21,42,123.75
2007-12-28,40,128.78
2008-01-04,45,59.18
2008-01-11,51,49.56
2008-01-18,50,42.92
2008-01-25,49,49.02
2008-02-01,48,46.94
2008-02-08,50,49.23
2008-02-15,47,51.18
2008-02-22,54,53.44
2008-02-29,52,50.38
2008-03-07,52,46.14
2008-03-14,49,49.34
2008-03-21,43,
2008-03-28,45,47.52
2008-04-04,49,51.67
2008-04-11,49,48.20
2008-04-18,47,55.23
2008-04-25,50,56.06
2008-05-02,52,67.13
2008-05-09,45,66.98
2008-05-16,46,73.15
2008-05-23,44,67.86
2008-05-30,47,70.42
2008-06-06,47,67.08
2008-06-13,53,72.39
2008-06-20,50,70.66
2008-06-27,46,64.34
2008-07-04,48,
2008-07-11,48,65.95
2008-07-18,48,66.32
2008-07-25,43,66.03
2008-08-01,44,67.64
2008-08-08,43,69.77
2008-08-15,44,70.00
2008-08-22,43,66.49
2008-08-29,43,65.16
2008-09-05,43,59.46
2008-09-12,45,58.45
2008-09-19,47,58.68
2008-09-26,46,46.03
2008-10-03,47,37.09
2008-10-10,49,31.99
2008-10-17,48,32.21
2008-10-24,43,26.95
2008-10-31,48,26.15
2008-11-07,42,24.59
2008-11-14,43,21.59
2008-11-21,45,20.58
2008-11-28,48,25.58
2008-12-05,44,23.19
2008-12-12,44,24.87
2008-12-19,40,26.51
2008-12-26,32,25.12
2009-01-02,36,29.24
2009-01-09,45,28.33
2009-01-16,45,26.32
2009-01-23,40,25.56
2009-01-30,46,23.98
2009-02-06,40,28.25
2009-02-13,41,24.62
2009-02-20,44,21.34
2009-02-27,41,20.80
2009-03-06,43,19.34
2009-03-13,44,22.52
2009-03-20,39,23.48
2009-03-27,45,26.24
2009-04-03,47,29.70
2009-04-10,41,
2009-04-17,42,29.79
2009-04-24,42,33.38
2009-05-01,43,34.00
2009-05-08,44,34.02
2009-05-15,44,29.55
2009-05-22,44,32.06
2009-05-29,39,32.43
2009-06-05,42,36.24
2009-06-12,41,35.49
2009-06-19,43,32.24
2009-06-26,42,34.90
2009-07-03,37,
2009-07-10,39,32.14
2009-07-17,41,36.42
2009-07-24,39,41.63
2009-07-31,37,43.01
2009-08-07,40,47.14
2009-08-14,40,46.83
2009-08-21,36,47.03
2009-08-28,38,45.58
2009-09-04,38,46.87
2009-09-11,37,47.48
2009-09-18,37,46.06
2009-09-25,36,44.11
2009-10-02,39,42.54
2009-10-09,39,47.32
2009-10-16,38,48.72
2009-10-23,36,48.59
2009-10-30,37,43.06
2009-11-06,35,46.18
2009-11-13,39,46.97
2009-11-20,36,46.50
2009-11-27,35,45.34
2009-12-04,34,43.70
2009-12-11,34,45.59
2009-12-18,34,47.11
2009-12-25,27,
2010-01-01,31,
2010-01-08,33,53.67
2010-01-15,37,51.73
2010-01-22,38,47.77
2010-01-29,38,45.16
2010-02-05,35,50.48
2010-02-12,37,54.95
2010-02-19,35,57.93
2010-02-26,35,56.78
2010-03-05,39,60.70
2010-03-12,38,60.37
2010-03-19,40,58.16
2010-03-26,40,62.36
2010-04-02,34,
2010-04-09,42,66.07
2010-04-16,39,65.91
2010-04-23,47,69.76
2010-04-30,39,72.23
2010-05-07,40,65.31
2010-05-14,42,71.55
2010-05-21,38,65.87
2010-05-28,38,67.98
2010-06-04,39,66.35
2010-06-11,36,72.22
2010-06-18,37,74.30
2010-06-25,36,72.59
2010-07-02,34,64.24
2010-07-09,32,71.53
2010-07-16,33,69.50
2010-07-23,32,76.97
2010-07-30,37,79.61
2010-08-06,33,81.13
2010-08-13,32,77.75
2010-08-20,35,79.51
2010-08-27,35,76.19
2010-09-03,34,83.16
2010-09-10,31,81.92
2010-09-17,34,85.14
2010-09-24,36,90.86
2010-10-01,35,91.31
2010-10-08,36,92.91
2010-10-15,36,93.64
2010-10-22,36,93.63
2010-10-29,33,88.10
2010-11-05,32,96.39
2010-11-12,33,94.06
2010-11-19,33,94.31
2010-11-26,34,98.20
2010-12-03,31,102.84
2010-12-10,32,105.03
2010-12-17,27,107.96
2010-12-24,28,
2010-12-31,23,110.01
2011-01-07,31,109.78
2011-01-14,33,112.56
2011-01-21,35,105.05
2011-01-28,33,105.38
2011-02-04,34,109.69
2011-02-11,37,111.70
2011-02-18,33,110.04
2011-02-25,33,102.33
2011-03-04,34,102.50
2011-03-11,31,98.73
2011-03-18,31,99.92
2011-03-25,33,104.54
2011-04-01,33,111.30
2011-04-08,37,108.89
2011-04-15,33,105.13
2011-04-22,31,
2011-04-29,34,120.18
2011-05-06,34,117.24
2011-05-13,36,110.29
2011-05-20,35,106.41
2011-05-27,35,104.97
2011-06-03,32,101.40
2011-06-10,33,92.87
2011-06-17,32,93.62
2011-06-24,34,96.67
2011-07-01,30,107.42
2011-07-08,28,106.77
2011-07-15,31,104.68
2011-07-22,29,106.78
2011-07-29,30,104.88
2011-08-05,31,92.26
2011-08-12,32,94.47
2011-08-19,29,79.91
2011-08-26,29,87.47
2011-09-02,30,86.82
2011-09-09,28,88.16
2011-09-16,30,97.84
2011-09-23,32,86.26
2011-09-30,30,81.66
2011-10-07,29,90.17
2011-10-14,31,97.60
2011-10-21,31,94.22
2011-10-28,33,102.75
2011-11-04,30,103.39
2011-11-11,31,98.72
2011-11-18,30,94.02
2011-11-25,30,86.04
2011-12-02,30,95.73
2011-12-09,25,95.11
2011-12-16,27,87.30
2011-12-23,23,89.07
2011-12-30,22,88.02
2012-01-06,25,93.53
2012-01-13,27,97.76
2012-01-20,28,104.78
2012-01-27,28,106.50
2012-02-03,29,120.09
2012-02-10,29,120.30
2012-02-17,29,122.07
2012-02-24,27,121.78
2012-03-02,30,119.46
2012-03-09,30,118.93
2012-03-16,30,127.54
2012-03-23,33,121.52
2012-03-30,29,120.04
2012-04-06,27,
2012-04-13,27,114.02
2012-04-20,28,116.03
2012-04-27,33,118.29
2012-05-04,28,107.11
2012-05-11,29,106.47
2012-05-18,29,97.20
2012-05-25,28,98.95
2012-06-01,27,93.56
2012-06-08,27,96.80
2012-06-15,27,94.69
2012-06-22,27,90.39
2012-06-29,26,96.91
2012-07-06,26,96.29
2012-07-13,29,88.63
2012-07-20,27,86.09
2012-07-27,27,92.62
2012-08-03,27,99.00
2012-08-10,28,101.31
2012-08-17,26,103.19
2012-08-24,28,100.09
2012-08-31,28,97.11
2012-09-07,26,100.57
2012-09-14,27,102.62
2012-09-21,25,96.17
2012-09-28,28,92.21
2012-10-05,27,92.11
2012-10-12,26,87.49
2012-10-19,26,91.93
2012-10-26,27,93.82
2012-11-02,25,100.03
2012-11-09,27,97.10
2012-11-16,25,95.78
2012-11-23,26,99.64
2012-11-30,26,98.16
2012-12-07,26,101.69
2012-12-14,26,106.30
2012-12-21,24,108.07
2012-12-28,17,105.82
2013-01-04,20,113.86
2013-01-11,23,110.59
2013-01-18,26,115.59
2013-01-25,26,116.98
2013-02-01,27,116.34
2013-02-08,25,119.47
2013-02-15,26,119.21
2013-02-22,25,112.79
2013-03-01,25,115.05
2013-03-08,28,119.63
2013-03-15,29,117.36
2013-03-22,28,113.50
2013-03-29,25,
2013-04-05,27,112.94
2013-04-12,28,117.11
2013-04-19,27,107.06
2013-04-26,25,111.20
2013-05-03,26,110.60
2013-05-10,28,114.38
2013-05-17,27,116.43
2013-05-24,27,116.31
2013-05-31,27,119.63
2013-06-07,25,118.54
2013-06-14,28,116.13
2013-06-21,26,111.12
2013-06-28,25,108.46
2013-07-05,23,110.79
2013-07-12,26,115.40
2013-07-19,25,118.14
2013-07-26,24,115.88
2013-08-02,23,123.05
2013-08-09,25,124.02
2013-08-16,23,124.94
2013-08-23,27,125.21
2013-08-30,26,123.20
2013-09-06,25,126.77
2013-09-13,25,133.68
2013-09-20,25,134.57
2013-09-27,25,133.54
2013-10-04,25,133.21
2013-10-11,25,132.31
2013-10-18,25,136.44
2013-10-25,26,135.59
2013-11-01,25,128.85
2013-11-08,26,130.70
2013-11-15,26,132.04
2013-11-22,25,130.37
2013-11-29,24,132.36
2013-12-06,22,130.48
2013-12-13,25,130.01
2013-12-20,22,137.75
2013-12-27,17,139.83
2014-01-03,17,139.16
2014-01-10,26,138.10
2014-01-17,25,137.74
2014-01-24,24,126.31
2014-01-31,24,126.98
2014-02-07,25,134.33
2014-02-14,26,142.12
2014-02-21,26,142.83
2014-02-28,26,145.92
2014-03-07,28,145.62
2014-03-14,30,139.36
2014-03-21,27,144.35
2014-03-28,27,146.00
2014-04-04,27,147.08
2014-04-11,28,142.05
2014-04-18,25,
2014-04-25,26,147.18
2014-05-02,25,
