Date,EL,Price
2006-12-22,55,41.15
2006-12-29,54,40.82
2007-01-05,53,40.58
2007-01-12,55,40.94
2007-01-19,57,40.94
2007-01-26,62,40.54
2007-02-02,60,46.13
2007-02-09,62,46.63
2007-02-16,63,47.75
2007-02-23,65,47.36
2007-03-02,61,45.93
2007-03-09,65,47.62
2007-03-16,67,47.84
2007-03-23,64,49.48
2007-03-30,67,48.85
2007-04-06,56,
2007-04-13,65,49.85
2007-04-20,70,50.70
2007-04-27,68,50.90
2007-05-04,67,47.93
2007-05-11,71,47.06
2007-05-18,72,47.00
2007-05-25,75,47.25
2007-06-01,76,47.21
2007-06-08,73,45.95
2007-06-15,70,46.07
2007-06-22,66,45.42
2007-06-29,67,45.51
2007-07-06,65,46.08
2007-07-13,64,47.11
2007-07-20,68,47.12
2007-07-27,67,45.83
2007-08-03,64,44.54
2007-08-10,64,43.35
2007-08-17,66,40.31
2007-08-24,68,42.70
2007-08-31,71,41.59
2007-09-07,72,40.87
2007-09-14,73,40.09
2007-09-21,71,42.58
2007-09-28,75,42.46
2007-10-05,74,43.96
2007-10-12,71,43.14
2007-10-19,71,43.67
2007-10-26,71,45.11
2007-11-02,71,42.21
2007-11-09,73,44.25
2007-11-16,75,44.58
2007-11-23,84,41.95
2007-11-30,78,44.88
2007-12-07,77,43.56
2007-12-14,62,43.30
2007-12-21,62,44.95
2007-12-28,62,43.81
2008-01-04,59,41.87
2008-01-11,64,38.76
2008-01-18,66,38.77
2008-01-25,67,39.24
2008-02-01,67,44.83
2008-02-08,69,43.55
2008-02-15,70,43.45
2008-02-22,72,42.50
2008-02-29,72,42.58
2008-03-07,75,43.73
2008-03-14,75,44.33
2008-03-21,62,
2008-03-28,71,45.28
2008-04-04,74,47.27
2008-04-11,77,45.38
2008-04-18,78,44.35
2008-04-25,78,45.65
2008-05-02,75,44.33
2008-05-09,80,48.08
2008-05-16,78,48.05
2008-05-23,81,46.54
2008-05-30,82,47.60
2008-06-06,79,46.24
2008-06-13,81,48.84
2008-06-20,74,46.05
2008-06-27,72,46.12
2008-07-04,73,
2008-07-11,71,42.89
2008-07-18,74,43.41
2008-07-25,73,42.91
2008-08-01,71,44.18
2008-08-08,71,46.39
2008-08-15,75,51.98
2008-08-22,75,50.44
2008-08-29,78,49.77
2008-09-05,82,52.77
2008-09-12,76,53.42
2008-09-19,76,50.96
2008-09-26,81,50.88
2008-10-03,80,46.13
2008-10-10,83,39.75
2008-10-17,79,36.53
2008-10-24,80,32.44
2008-10-31,83,36.04
2008-11-07,77,33.62
2008-11-14,81,29.93
2008-11-21,77,25.65
2008-11-28,82,27.90
2008-12-05,75,28.11
2008-12-12,73,29.60
2008-12-19,68,29.63
2008-12-26,67,29.52
2009-01-02,66,32.65
2009-01-09,69,30.57
2009-01-16,73,26.11
2009-01-23,73,25.30
2009-01-30,78,26.25
2009-02-06,78,28.12
2009-02-13,76,26.89
2009-02-20,76,24.73
2009-02-27,77,22.65
2009-03-06,80,20.66
2009-03-13,80,22.14
2009-03-20,79,23.21
2009-03-27,82,25.72
2009-04-03,83,26.68
2009-04-10,73,
2009-04-17,83,27.98
2009-04-24,88,29.28
2009-05-01,86,31.13
2009-05-08,86,33.90
2009-05-15,88,32.08
2009-05-22,91,32.40
2009-05-29,91,33.08
2009-06-05,94,33.72
2009-06-12,89,33.93
2009-06-19,87,31.44
2009-06-26,82,32.82
2009-07-03,80,
2009-07-10,86,30.27
2009-07-17,81,33.21
2009-07-24,83,35.62
2009-07-31,83,36.44
2009-08-07,80,37.21
2009-08-14,82,36.08
2009-08-21,84,35.84
2009-08-28,86,36.57
2009-09-04,90,34.58
2009-09-11,90,34.25
2009-09-18,86,36.79
2009-09-25,87,35.83
2009-10-02,88,36.34
2009-10-09,86,39.68
2009-10-16,86,41.11
2009-10-23,87,42.00
2009-10-30,83,42.50
2009-11-06,85,46.75
2009-11-13,85,46.63
2009-11-20,85,47.86
2009-11-27,87,46.99
2009-12-04,83,48.81
2009-12-11,80,49.30
2009-12-18,78,47.49
2009-12-25,73,
2010-01-01,75,
2010-01-08,76,49.31
2010-01-15,81,49.76
2010-01-22,81,53.17
2010-01-29,82,52.52
2010-02-05,82,55.40
2010-02-12,91,56.66
2010-02-19,88,58.83
2010-02-26,88,60.13
2010-03-05,90,61.66
2010-03-12,94,63.51
2010-03-19,92,63.13
2010-03-26,90,63.92
2010-04-02,78,
2010-04-09,95,65.46
2010-04-16,95,67.89
2010-04-23,96,69.50
2010-04-30,96,65.92
2010-05-07,95,58.53
2010-05-14,94,61.04
2010-05-21,96,58.90
2010-05-28,97,58.27
2010-06-04,98,55.34
2010-06-11,99,57.86
2010-06-18,96,59.94
2010-06-25,91,56.23
2010-07-02,90,57.39
2010-07-09,89,62.19
2010-07-16,85,63.47
2010-07-23,85,62.67
2010-07-30,83,62.25
2010-08-06,82,63.46
2010-08-13,87,57.82
2010-08-20,87,57.39
2010-08-27,87,57.36
2010-09-03,90,59.12
2010-09-10,92,58.64
2010-09-17,87,58.87
2010-09-24,89,61.41
2010-10-01,91,63.29
2010-10-08,90,65.66
2010-10-15,88,67.23
2010-10-22,89,66.26
2010-10-29,90,71.17
2010-11-05,85,72.16
2010-11-12,89,71.78
2010-11-19,87,75.37
2010-11-26,90,75.79
2010-12-03,91,77.33
2010-12-10,80,78.09
2010-12-17,78,79.30
2010-12-24,76,
2010-12-31,77,80.70
2011-01-07,78,80.62
2011-01-14,81,83.99
2011-01-21,86,83.74
2011-01-28,86,80.08
2011-02-04,86,93.00
2011-02-11,84,94.15
2011-02-18,89,94.48
2011-02-25,87,92.99
2011-03-04,87,92.40
2011-03-11,91,92.87
2011-03-18,91,89.35
2011-03-25,95,94.47
2011-04-01,94,95.93
2011-04-08,94,95.06
2011-04-15,94,96.38
2011-04-22,89,
2011-04-29,97,97.00
2011-05-06,96,98.06
2011-05-13,95,100.17
2011-05-20,97,100.65
2011-05-27,98,100.42
2011-06-03,99,98.09
2011-06-10,95,96.08
2011-06-17,92,97.32
2011-06-24,88,100.85
2011-07-01,84,105.08
2011-07-08,84,105.89
2011-07-15,87,105.16
2011-07-22,87,107.23
2011-07-29,86,104.91
2011-08-05,86,95.47
2011-08-12,90,100.85
2011-08-19,91,88.57
2011-08-26,93,95.91
2011-09-02,96,96.03
2011-09-09,91,94.39
2011-09-16,92,101.70
2011-09-23,93,95.14
2011-09-30,91,87.84
2011-10-07,94,91.67
2011-10-14,92,97.97
2011-10-21,97,96.96
2011-10-28,96,101.41
2011-11-04,91,117.94
2011-11-11,94,115.06
2011-11-18,98,112.53
2011-11-25,95,107.23
2011-12-02,88,116.08
2011-12-09,84,109.25
2011-12-16,82,108.12
2011-12-23,78,113.43
2011-12-30,80,112.32
2012-01-06,78,111.50
2012-01-13,83,112.16
2012-01-20,84,116.03
2012-01-27,88,57.98
2012-02-03,86,57.48
2012-02-10,87,56.90
2012-02-17,86,56.04
2012-02-24,83,56.84
2012-03-02,89,58.35
2012-03-09,90,59.07
2012-03-16,88,63.67
2012-03-23,91,62.25
2012-03-30,94,61.94
2012-04-06,80,
2012-04-13,89,62.96
2012-04-20,95,64.03
2012-04-27,94,65.23
2012-05-04,90,60.72
2012-05-11,92,58.16
2012-05-18,93,54.54
2012-05-25,95,54.96
2012-06-01,96,52.43
2012-06-08,93,55.01
2012-06-15,90,55.07
2012-06-22,88,54.92
2012-06-29,89,54.12
2012-07-06,88,54.65
2012-07-13,87,51.63
2012-07-20,85,53.21
2012-07-27,88,54.70
2012-08-03,87,53.09
2012-08-10,84,55.62
2012-08-17,93,61.61
2012-08-24,97,60.10
2012-08-31,95,59.95
2012-09-07,95,61.00
2012-09-14,93,61.23
2012-09-21,94,61.82
2012-09-28,100,61.57
2012-10-05,93,64.00
2012-10-12,95,63.01
2012-10-19,95,62.93
2012-10-26,99,60.79
2012-11-02,92,60.03
2012-11-09,96,57.49
2012-11-16,98,56.62
2012-11-23,94,59.62
2012-11-30,91,58.25
2012-12-07,85,60.67
2012-12-14,87,60.93
2012-12-21,84,59.82
2012-12-28,80,57.93
2013-01-04,79,62.69
2013-01-11,85,64.13
2013-01-18,88,62.85
2013-01-25,90,63.25
2013-02-01,91,62.72
2013-02-08,90,62.75
2013-02-15,90,63.11
2013-02-22,95,63.31
2013-03-01,94,64.47
2013-03-08,94,65.70
2013-03-15,100,63.34
2013-03-22,95,63.89
2013-03-29,88,
2013-04-05,95,63.17
2013-04-12,96,68.24
2013-04-19,95,69.67
2013-04-26,99,68.88
2013-05-03,96,71.23
2013-05-10,97,71.05
2013-05-17,96,70.85
2013-05-24,99,70.95
2013-05-31,99,67.78
2013-06-07,96,68.12
2013-06-14,99,68.41
2013-06-21,92,65.79
2013-06-28,88,65.77
2013-07-05,89,67.93
2013-07-12,90,68.46
2013-07-19,91,67.57
2013-07-26,91,66.20
2013-08-02,88,66.89
2013-08-09,89,66.59
2013-08-16,89,67.25
2013-08-23,91,68.15
2013-08-30,97,65.36
2013-09-06,94,67.58
2013-09-13,95,70.80
2013-09-20,90,71.75
2013-09-27,94,70.42
2013-10-04,94,69.98
2013-10-11,92,71.01
2013-10-18,96,72.05
2013-10-25,94,71.51
2013-11-01,94,69.94
2013-11-08,90,70.96
2013-11-15,95,73.67
2013-11-22,92,75.01
2013-11-29,92,74.96
2013-12-06,84,73.71
2013-12-13,85,72.64
2013-12-20,79,74.35
2013-12-27,78,74.45
2014-01-03,80,73.65
2014-01-10,83,74.05
2014-01-17,88,72.57
2014-01-24,89,68.79
2014-01-31,92,68.74
2014-02-07,92,66.50
2014-02-14,91,67.98
2014-02-21,93,67.65
2014-02-28,96,68.84
2014-03-07,90,70.02
2014-03-14,94,69.30
2014-03-21,93,68.37
2014-03-28,97,66.73
2014-04-04,95,66.98
2014-04-11,96,68.18
2014-04-18,88,
2014-04-25,96,72.20
2014-05-02,95,
