Date,DRI,Price
2010-03-05,45,40.98
2010-03-12,45,42.02
2010-03-19,44,43.65
2010-03-26,45,44.29
2010-04-02,46,
2010-04-09,48,46.80
2010-04-16,48,46.86
2010-04-23,44,48.68
2010-04-30,45,44.75
2010-05-07,42,42.61
2010-05-14,44,43.47
2010-05-21,45,41.60
2010-05-28,43,42.90
2010-06-04,43,42.27
2010-06-11,46,43.29
2010-06-18,47,44.48
2010-06-25,42,39.00
2010-07-02,42,38.48
2010-07-09,47,39.43
2010-07-16,49,39.76
2010-07-23,47,42.57
2010-07-30,47,41.89
2010-08-06,45,41.82
2010-08-13,53,39.65
2010-08-20,46,41.27
2010-08-27,43,42.49
2010-09-03,43,44.56
2010-09-10,46,44.75
2010-09-17,51,44.73
2010-09-24,48,43.61
2010-10-01,48,42.99
2010-10-08,48,44.12
2010-10-15,50,44.74
2010-10-22,50,46.87
2010-10-29,49,45.71
2010-11-05,48,48.19
2010-11-12,49,48.65
2010-11-19,51,49.04
2010-11-26,47,49.49
2010-12-03,48,50.32
2010-12-10,50,49.48
2010-12-17,53,49.89
2010-12-24,44,
2010-12-31,44,46.44
2011-01-07,47,46.51
2011-01-14,51,46.15
2011-01-21,50,46.40
2011-01-28,52,45.18
2011-02-04,52,48.99
2011-02-11,53,49.49
2011-02-18,50,50.10
2011-02-25,52,47.28
2011-03-04,47,46.32
2011-03-11,51,46.99
2011-03-18,47,46.19
2011-03-25,50,45.63
2011-04-01,49,48.65
2011-04-08,50,46.89
2011-04-15,52,47.69
2011-04-22,49,
2011-04-29,50,46.97
2011-05-06,49,48.43
2011-05-13,49,50.31
2011-05-20,51,51.52
2011-05-27,52,50.92
2011-06-03,52,48.08
2011-06-10,53,46.96
2011-06-17,53,47.12
2011-06-24,52,48.51
2011-07-01,49,52.79
2011-07-08,49,53.22
2011-07-15,54,52.60
2011-07-22,54,53.28
2011-07-29,49,50.80
2011-08-05,52,47.96
2011-08-12,52,48.70
2011-08-19,49,44.95
2011-08-26,49,45.84
2011-09-02,46,46.43
2011-09-09,55,43.37
2011-09-16,53,45.61
2011-09-23,53,46.06
2011-09-30,54,42.75
2011-10-07,55,44.12
2011-10-14,52,46.66
2011-10-21,51,47.17
2011-10-28,51,48.50
2011-11-04,50,47.36
2011-11-11,53,47.41
2011-11-18,56,46.47
2011-11-25,51,44.60
2011-12-02,54,47.53
2011-12-09,58,43.21
2011-12-16,56,43.68
2011-12-23,45,45.70
2011-12-30,47,45.58
2012-01-06,52,44.34
2012-01-13,54,44.56
2012-01-20,51,46.75
2012-01-27,50,46.13
2012-02-03,53,48.52
2012-02-10,54,49.45
2012-02-17,52,50.90
2012-02-24,52,49.19
2012-03-02,56,49.76
2012-03-09,57,51.46
2012-03-16,54,52.51
2012-03-23,56,50.92
2012-03-30,53,51.16
2012-04-06,53,
2012-04-13,54,50.28
2012-04-20,56,49.93
2012-04-27,55,50.44
2012-05-04,57,50.62
2012-05-11,55,50.63
2012-05-18,54,51.13
2012-05-25,53,53.06
2012-06-01,52,49.87
2012-06-08,54,50.02
2012-06-15,54,51.46
2012-06-22,55,50.04
2012-06-29,52,50.63
2012-07-06,56,50.79
2012-07-13,57,50.22
2012-07-20,57,51.10
2012-07-27,56,51.99
2012-08-03,55,52.45
2012-08-10,59,52.85
2012-08-17,57,53.87
2012-08-24,55,52.35
2012-08-31,58,51.95
2012-09-07,60,53.49
2012-09-14,55,54.04
2012-09-21,57,57.21
2012-09-28,56,55.75
2012-10-05,57,55.09
2012-10-12,54,54.35
2012-10-19,55,53.83
2012-10-26,58,52.54
2012-11-02,51,52.63
2012-11-09,55,51.61
2012-11-16,52,50.92
2012-11-23,53,53.53
2012-11-30,60,52.88
2012-12-07,56,46.66
2012-12-14,58,46.46
2012-12-21,51,45.13
2012-12-28,43,44.44
2013-01-04,48,46.46
2013-01-11,57,44.92
2013-01-18,53,45.38
2013-01-25,57,45.87
2013-02-01,56,46.84
2013-02-08,60,47.36
2013-02-15,57,45.15
2013-02-22,55,46.23
2013-03-01,59,46.18
2013-03-08,60,47.33
2013-03-15,56,49.37
2013-03-22,58,49.62
2013-03-29,56,
2013-04-05,58,50.54
2013-04-12,60,50.26
2013-04-19,59,48.89
2013-04-26,60,50.99
2013-05-03,60,52.82
2013-05-10,61,53.56
2013-05-17,58,53.43
2013-05-24,58,52.83
2013-05-31,55,51.80
2013-06-07,62,54.23
2013-06-14,60,52.54
2013-06-21,56,50.12
2013-06-28,55,50.48
2013-07-05,57,51.33
2013-07-12,63,50.43
2013-07-19,63,49.49
2013-07-26,58,48.93
2013-08-02,63,49.88
2013-08-09,60,49.56
2013-08-16,60,47.91
2013-08-23,61,47.01
2013-08-30,61,46.21
2013-09-06,63,47.45
2013-09-13,63,48.37
2013-09-20,59,45.78
2013-09-27,63,46.70
2013-10-04,59,46.72
2013-10-11,70,50.50
2013-10-18,64,52.07
2013-10-25,61,51.70
2013-11-01,61,51.48
2013-11-08,63,52.16
2013-11-15,66,53.50
2013-11-22,63,53.87
2013-11-29,60,53.33
2013-12-06,69,52.48
2013-12-13,73,51.63
2013-12-20,63,51.09
2013-12-27,51,54.33
2014-01-03,54,53.01
2014-01-10,62,52.12
2014-01-17,62,50.96
2014-01-24,62,50.10
2014-01-31,64,49.44
2014-02-07,66,48.26
2014-02-14,66,48.38
2014-02-21,67,51.01
2014-02-28,100,51.06
2014-03-07,72,49.95
2014-03-14,70,49.22
2014-03-21,66,50.66
2014-03-28,67,50.62
2014-04-04,68,51.24
2014-04-11,73,48.46
2014-04-18,68,
2014-04-25,66,49.92
2014-05-02,72,
