Date,Boston Properties,Price
2007-12-14,25,92.72
2007-12-21,24,100.05
2007-12-28,18,91.28
2008-01-04,26,86.12
2008-01-11,38,89.30
2008-01-18,33,85.18
2008-01-25,24,89.66
2008-02-01,43,96.09
2008-02-08,42,87.23
2008-02-15,29,86.63
2008-02-22,27,88.06
2008-02-29,35,86.17
2008-03-07,40,88.20
2008-03-14,36,87.23
2008-03-21,32,
2008-03-28,39,92.12
2008-04-04,41,97.53
2008-04-11,41,94.61
2008-04-18,42,98.01
2008-04-25,45,103.28
2008-05-02,44,103.01
2008-05-09,42,97.76
2008-05-16,48,100.25
2008-05-23,41,96.11
2008-05-30,53,97.74
2008-06-06,43,96.05
2008-06-13,52,97.42
2008-06-20,34,95.70
2008-06-27,35,90.07
2008-07-04,27,
2008-07-11,36,90.94
2008-07-18,37,96.58
2008-07-25,34,94.87
2008-08-01,41,96.23
2008-08-08,36,102.37
2008-08-15,35,99.44
2008-08-22,32,101.61
2008-08-29,27,102.47
2008-09-05,27,101.05
2008-09-12,28,103.15
2008-09-19,33,95.29
2008-09-26,32,94.71
2008-10-03,31,81.19
2008-10-10,22,76.18
2008-10-17,20,68.56
2008-10-24,31,61.24
2008-10-31,40,70.88
2008-11-07,29,64.20
2008-11-14,30,52.40
2008-11-21,24,43.65
2008-11-28,18,53.40
2008-12-05,28,55.67
2008-12-12,21,56.00
2008-12-19,24,56.79
2008-12-26,23,53.83
2009-01-02,22,55.13
2009-01-09,24,52.31
2009-01-16,28,48.05
2009-01-23,39,43.38
2009-01-30,42,43.30
2009-02-06,44,46.93
2009-02-13,33,41.22
2009-02-20,25,38.88
2009-02-27,28,37.09
2009-03-06,40,31.73
2009-03-13,35,37.64
2009-03-20,35,34.90
2009-03-27,30,34.54
2009-04-03,31,41.69
2009-04-10,36,
2009-04-17,32,47.17
2009-04-24,35,49.84
2009-05-01,36,46.53
2009-05-08,30,52.42
2009-05-15,24,44.97
2009-05-22,20,45.38
2009-05-29,28,48.32
2009-06-05,31,50.32
2009-06-12,32,50.93
2009-06-19,37,47.32
2009-06-26,25,46.91
2009-07-03,28,
2009-07-10,24,43.62
2009-07-17,35,47.71
2009-07-24,35,53.23
2009-07-31,26,52.90
2009-08-07,23,62.22
2009-08-14,28,58.53
2009-08-21,26,59.40
2009-08-28,25,61.12
2009-09-04,22,58.15
2009-09-11,22,63.34
2009-09-18,18,70.55
2009-09-25,40,65.60
2009-10-02,26,61.60
2009-10-09,25,65.67
2009-10-16,24,63.14
2009-10-23,23,62.66
2009-10-30,25,60.77
2009-11-06,29,60.06
2009-11-13,24,65.71
2009-11-20,27,65.50
2009-11-27,18,63.79
2009-12-04,25,69.98
2009-12-11,19,67.80
2009-12-18,18,68.02
2009-12-25,12,
2010-01-01,22,
2010-01-08,30,67.85
2010-01-15,43,68.09
2010-01-22,29,64.28
2010-01-29,22,64.87
2010-02-05,27,64.53
2010-02-12,29,63.40
2010-02-19,35,66.57
2010-02-26,23,67.93
2010-03-05,27,71.14
2010-03-12,24,74.00
2010-03-19,29,75.89
2010-03-26,37,76.19
2010-04-02,33,
2010-04-09,23,78.35
2010-04-16,31,75.59
2010-04-23,31,80.11
2010-04-30,31,78.86
2010-05-07,27,76.09
2010-05-14,24,78.20
2010-05-21,20,75.50
2010-05-28,29,76.68
2010-06-04,21,71.81
2010-06-11,26,79.02
2010-06-18,26,80.09
2010-06-25,28,76.74
2010-07-02,18,69.70
2010-07-09,22,75.23
2010-07-16,23,74.71
2010-07-23,34,79.97
2010-07-30,25,81.90
2010-08-06,25,84.73
2010-08-13,32,81.02
2010-08-20,20,81.23
2010-08-27,24,81.72
2010-09-03,30,87.85
2010-09-10,18,85.20
2010-09-17,22,87.10
2010-09-24,17,85.78
2010-10-01,21,83.64
2010-10-08,30,84.86
2010-10-15,19,86.96
2010-10-22,22,90.50
2010-10-29,19,86.19
2010-11-05,21,90.15
2010-11-12,20,84.70
2010-11-19,19,84.12
2010-11-26,12,84.33
2010-12-03,14,86.19
2010-12-10,18,83.37
2010-12-17,18,83.12
2010-12-24,17,
2010-12-31,23,86.10
2011-01-07,25,84.93
2011-01-14,25,89.47
2011-01-21,22,90.29
2011-01-28,28,92.71
2011-02-04,23,93.34
2011-02-11,28,95.90
2011-02-18,18,94.99
2011-02-25,22,93.73
2011-03-04,21,92.73
2011-03-11,28,93.23
2011-03-18,23,91.52
2011-03-25,21,92.89
2011-04-01,27,96.54
2011-04-08,26,93.91
2011-04-15,27,97.14
2011-04-22,23,
2011-04-29,25,104.53
2011-05-06,29,103.33
2011-05-13,26,103.01
2011-05-20,26,104.51
2011-05-27,41,106.33
2011-06-03,30,104.47
2011-06-10,20,101.19
2011-06-17,26,103.93
2011-06-24,25,102.61
2011-07-01,22,107.83
2011-07-08,27,110.75
2011-07-15,27,109.46
2011-07-22,27,112.27
2011-07-29,24,107.36
2011-08-05,23,96.91
2011-08-12,25,100.17
2011-08-19,21,98.78
2011-08-26,24,100.60
2011-09-02,18,101.25
2011-09-09,15,100.26
2011-09-16,18,102.50
2011-09-23,16,92.42
2011-09-30,23,89.10
2011-10-07,20,85.47
2011-10-14,17,92.34
2011-10-21,21,92.98
2011-10-28,21,99.84
2011-11-04,20,98.81
2011-11-11,16,98.09
2011-11-18,19,95.13
2011-11-25,13,89.15
2011-12-02,18,93.73
2011-12-09,11,95.49
2011-12-16,19,95.96
2011-12-23,13,101.01
2011-12-30,13,99.60
2012-01-06,21,99.22
2012-01-13,20,97.49
2012-01-20,19,99.86
2012-01-27,24,104.24
2012-02-03,25,107.57
2012-02-10,19,103.78
2012-02-17,21,104.84
2012-02-24,20,102.62
2012-03-02,22,102.46
2012-03-09,25,102.31
2012-03-16,18,105.94
2012-03-23,21,104.01
2012-03-30,19,104.99
2012-04-06,20,
2012-04-13,24,100.30
2012-04-20,23,105.02
2012-04-27,22,107.80
2012-05-04,22,107.95
2012-05-11,26,108.31
2012-05-18,23,100.87
2012-05-25,20,103.85
2012-06-01,21,101.31
2012-06-08,17,105.20
2012-06-15,21,104.03
2012-06-22,20,103.31
2012-06-29,20,108.37
2012-07-06,17,110.18
2012-07-13,21,110.59
2012-07-20,18,109.93
2012-07-27,18,110.79
2012-08-03,18,113.00
2012-08-10,21,110.70
2012-08-17,20,111.76
2012-08-24,21,111.84
2012-08-31,18,112.13
2012-09-07,18,114.37
2012-09-14,22,116.07
2012-09-21,17,113.54
2012-09-28,18,110.61
2012-10-05,19,110.15
2012-10-12,17,108.98
2012-10-19,17,109.53
2012-10-26,17,106.53
2012-11-02,18,107.22
2012-11-09,11,103.10
2012-11-16,12,100.85
2012-11-23,11,103.06
2012-11-30,14,102.63
2012-12-07,13,105.40
2012-12-14,11,103.98
2012-12-21,11,105.70
2012-12-28,15,104.94
2013-01-04,12,107.47
2013-01-11,21,107.00
2013-01-18,19,107.83
2013-01-25,18,109.46
2013-02-01,21,105.10
2013-02-08,21,105.14
2013-02-15,17,107.21
2013-02-22,17,106.27
2013-03-01,18,103.52
2013-03-08,18,102.89
2013-03-15,22,105.25
2013-03-22,20,100.98
2013-03-29,20,
2013-04-05,19,106.25
2013-04-12,19,110.36
2013-04-19,44,109.80
2013-04-26,25,107.77
2013-05-03,24,108.58
2013-05-10,19,111.23
2013-05-17,19,112.43
2013-05-24,18,112.44
2013-05-31,17,106.58
2013-06-07,21,109.81
2013-06-14,24,110.09
2013-06-21,22,101.94
2013-06-28,19,105.47
2013-07-05,15,105.18
2013-07-12,16,110.36
2013-07-19,22,110.11
2013-07-26,17,109.75
2013-08-02,20,103.97
2013-08-09,23,105.09
2013-08-16,17,99.46
2013-08-23,15,103.29
2013-08-30,19,102.50
2013-09-06,18,104.81
2013-09-13,17,104.80
2013-09-20,13,109.36
2013-09-27,17,107.09
2013-10-04,17,106.48
2013-10-11,16,107.28
2013-10-18,15,108.82
2013-10-25,17,109.64
2013-11-01,16,104.42
2013-11-08,18,100.33
2013-11-15,16,103.03
2013-11-22,12,101.69
2013-11-29,10,99.49
2013-12-06,14,100.73
2013-12-13,14,98.46
2013-12-20,15,103.50
2013-12-27,11,100.40
2014-01-03,15,101.59
2014-01-10,19,104.44
2014-01-17,17,104.74
2014-01-24,18,104.89
2014-01-31,19,108.09
2014-02-07,14,109.18
2014-02-14,14,110.96
2014-02-21,17,110.91
2014-02-28,19,112.43
2014-03-07,19,110.94
2014-03-14,16,111.85
2014-03-21,19,113.95
2014-03-28,20,113.89
2014-04-04,17,116.31
2014-04-11,17,115.35
2014-04-18,16,
2014-04-25,20,117.37
2014-05-02,19,
