Date,KMX,Price
2005-10-28,53,26.51
2005-11-04,24,27.18
2005-11-11,23,28.33
2005-11-18,31,28.71
2005-11-25,24,29.47
2005-12-02,49,27.65
2005-12-09,31,27.02
2005-12-16,85,27.39
2005-12-23,40,28.31
2005-12-30,38,27.68
2006-01-06,42,28.67
2006-01-13,46,29.59
2006-01-20,28,28.55
2006-01-27,28,29.47
2006-02-03,50,30.16
2006-02-10,34,29.33
2006-02-17,28,31.27
2006-02-24,41,31.43
2006-03-03,33,31.30
2006-03-10,29,31.12
2006-03-17,37,34.78
2006-03-24,51,35.28
2006-03-31,42,32.68
2006-04-07,44,33.30
2006-04-14,53,
2006-04-21,53,35.45
2006-04-28,55,35.31
2006-05-05,48,33.99
2006-05-12,37,32.66
2006-05-19,50,33.09
2006-05-26,44,31.56
2006-06-02,32,31.81
2006-06-09,53,30.61
2006-06-16,57,31.50
2006-06-23,66,35.23
2006-06-30,45,35.46
2006-07-07,42,34.65
2006-07-14,53,32.49
2006-07-21,47,33.01
2006-07-28,58,34.32
2006-08-04,43,35.44
2006-08-11,44,34.96
2006-08-18,43,37.11
2006-08-25,44,35.59
2006-09-01,45,37.55
2006-09-08,45,39.15
2006-09-15,45,40.52
2006-09-22,46,41.84
2006-09-29,58,41.71
2006-10-06,47,42.54
2006-10-13,53,44.21
2006-10-20,57,44.02
2006-10-27,40,44.25
2006-11-03,47,43.33
2006-11-10,40,47.06
2006-11-17,60,46.75
2006-11-24,46,46.07
2006-12-01,43,46.76
2006-12-08,38,49.03
2006-12-15,36,48.90
2006-12-22,52,53.47
2006-12-29,41,53.63
2007-01-05,38,56.19
2007-01-12,48,56.93
2007-01-19,46,57.55
2007-01-26,25,57.09
2007-02-02,49,57.55
2007-02-09,45,54.85
2007-02-16,53,56.24
2007-02-23,34,56.75
2007-03-02,49,50.00
2007-03-09,48,52.95
2007-03-16,44,51.00
2007-03-23,50,53.49
2007-03-30,56,24.54
2007-04-06,41,
2007-04-13,39,24.43
2007-04-20,44,25.11
2007-04-27,46,25.34
2007-05-04,65,24.87
2007-05-11,64,25.09
2007-05-18,50,24.61
2007-05-25,54,22.89
2007-06-01,54,24.24
2007-06-08,57,23.76
2007-06-15,53,23.27
2007-06-22,55,25.97
2007-06-29,45,25.50
2007-07-06,59,27.40
2007-07-13,47,26.05
2007-07-20,49,25.19
2007-07-27,45,23.38
2007-08-03,49,23.96
2007-08-10,59,23.12
2007-08-17,49,22.30
2007-08-24,46,23.60
2007-08-31,43,22.66
2007-09-07,44,22.60
2007-09-14,47,23.51
2007-09-21,64,21.80
2007-09-28,52,20.33
2007-10-05,50,22.07
2007-10-12,43,21.84
2007-10-19,41,20.34
2007-10-26,49,20.30
2007-11-02,48,19.67
2007-11-09,44,19.96
2007-11-16,63,22.18
2007-11-23,61,20.65
2007-11-30,50,22.87
2007-12-07,56,22.25
2007-12-14,32,21.43
2007-12-21,45,19.05
2007-12-28,49,19.59
2008-01-04,40,19.54
2008-01-11,51,18.19
2008-01-18,49,16.63
2008-01-25,46,20.88
2008-02-01,53,23.00
2008-02-08,45,19.90
2008-02-15,53,18.78
2008-02-22,58,19.41
2008-02-29,41,18.36
2008-03-07,52,17.84
2008-03-14,61,19.15
2008-03-21,57,
2008-03-28,60,19.20
2008-04-04,71,20.36
2008-04-11,58,18.61
2008-04-18,46,21.16
2008-04-25,69,21.05
2008-05-02,54,21.31
2008-05-09,45,20.55
2008-05-16,50,21.19
2008-05-23,48,19.54
2008-05-30,54,19.66
2008-06-06,58,18.58
2008-06-13,62,17.88
2008-06-20,58,15.52
2008-06-27,45,14.85
2008-07-04,44,
2008-07-11,54,11.98
2008-07-18,52,13.52
2008-07-25,60,13.62
2008-08-01,49,14.10
2008-08-08,47,14.90
2008-08-15,47,15.20
2008-08-22,48,15.11
2008-08-29,56,14.80
2008-09-05,53,15.40
2008-09-12,49,15.66
2008-09-19,50,16.50
2008-09-26,53,14.42
2008-10-03,61,11.98
2008-10-10,49,10.33
2008-10-17,55,9.66
2008-10-24,42,9.37
2008-10-31,34,10.62
2008-11-07,39,9.18
2008-11-14,46,8.36
2008-11-21,49,6.52
2008-11-28,46,7.61
2008-12-05,37,8.22
2008-12-12,35,8.31
2008-12-19,41,7.30
2008-12-26,39,7.55
2009-01-02,49,8.32
2009-01-09,35,8.10
2009-01-16,44,8.11
2009-01-23,43,7.55
2009-01-30,47,8.27
2009-02-06,37,9.28
2009-02-13,42,8.88
2009-02-20,46,8.73
2009-02-27,41,9.43
2009-03-06,39,8.68
2009-03-13,39,11.34
2009-03-20,43,10.97
2009-03-27,51,13.26
2009-04-03,58,12.11
2009-04-10,50,
2009-04-17,47,12.80
2009-04-24,49,12.94
2009-05-01,54,12.30
2009-05-08,47,12.58
2009-05-15,48,10.53
2009-05-22,52,9.91
2009-05-29,42,11.21
2009-06-05,45,12.46
2009-06-12,46,13.85
2009-06-19,57,15.31
2009-06-26,49,14.48
2009-07-03,49,
2009-07-10,52,13.55
2009-07-17,49,15.06
2009-07-24,45,16.38
2009-07-31,48,16.13
2009-08-07,44,17.40
2009-08-14,54,16.67
2009-08-21,35,17.14
2009-08-28,43,17.56
2009-09-04,43,17.28
2009-09-11,43,17.96
2009-09-18,49,19.06
2009-09-25,58,20.32
2009-10-02,44,19.34
2009-10-09,38,20.46
2009-10-16,37,21.87
2009-10-23,33,22.32
2009-10-30,39,19.67
2009-11-06,41,20.94
2009-11-13,32,20.96
2009-11-20,38,20.10
2009-11-27,37,19.99
2009-12-04,33,19.97
2009-12-11,26,20.99
2009-12-18,36,23.35
2009-12-25,32,
2010-01-01,36,
2010-01-08,35,24.31
2010-01-15,30,22.56
2010-01-22,28,21.29
2010-01-29,31,20.63
2010-02-05,35,20.24
2010-02-12,37,21.00
2010-02-19,29,20.78
2010-02-26,39,20.19
2010-03-05,36,23.30
2010-03-12,35,23.40
2010-03-19,45,23.64
2010-03-26,42,25.01
2010-04-02,41,
2010-04-09,57,24.63
2010-04-16,50,25.19
2010-04-23,40,26.20
2010-04-30,42,24.57
2010-05-07,38,22.23
2010-05-14,42,23.22
2010-05-21,43,21.87
2010-05-28,37,21.73
2010-06-04,40,20.93
2010-06-11,37,20.04
2010-06-18,40,20.67
2010-06-25,37,21.35
2010-07-02,37,19.76
2010-07-09,43,19.35
2010-07-16,47,18.67
2010-07-23,37,20.99
2010-07-30,43,21.10
2010-08-06,41,20.80
2010-08-13,44,20.82
2010-08-20,41,21.56
2010-08-27,37,20.85
2010-09-03,32,21.70
2010-09-10,42,22.39
2010-09-17,37,23.65
2010-09-24,46,27.35
2010-10-01,39,27.79
2010-10-08,40,29.65
2010-10-15,40,29.66
2010-10-22,35,29.54
2010-10-29,32,30.99
2010-11-05,36,32.35
2010-11-12,29,33.00
2010-11-19,37,32.56
2010-11-26,36,33.06
2010-12-03,30,34.55
2010-12-10,31,34.52
2010-12-17,26,35.51
2010-12-24,30,
2010-12-31,25,31.88
2011-01-07,34,31.53
2011-01-14,25,32.47
2011-01-21,34,32.44
2011-01-28,29,32.58
2011-02-04,29,34.02
2011-02-11,34,35.45
2011-02-18,39,36.83
2011-02-25,29,35.25
2011-03-04,32,35.15
2011-03-11,40,33.45
2011-03-18,33,33.12
2011-03-25,35,33.01
2011-04-01,40,32.53
2011-04-08,42,32.32
2011-04-15,44,33.20
2011-04-22,44,
2011-04-29,35,34.70
2011-05-06,45,31.81
2011-05-13,41,30.93
2011-05-20,38,29.39
2011-05-27,39,29.46
2011-06-03,36,27.94
2011-06-10,33,26.84
2011-06-17,37,29.25
2011-06-24,41,31.93
2011-07-01,39,33.68
2011-07-08,37,34.43
2011-07-15,36,32.47
2011-07-22,38,32.50
2011-07-29,32,31.97
2011-08-05,37,28.85
2011-08-12,36,28.00
2011-08-19,38,25.49
2011-08-26,39,26.13
2011-09-02,32,26.46
2011-09-09,32,26.32
2011-09-16,37,29.38
2011-09-23,34,24.12
2011-09-30,36,23.85
2011-10-07,35,25.58
2011-10-14,31,28.19
2011-10-21,27,29.56
2011-10-28,34,30.81
2011-11-04,33,29.86
2011-11-11,31,28.40
2011-11-18,32,27.62
2011-11-25,33,27.02
2011-12-02,35,29.47
2011-12-09,29,31.15
2011-12-16,30,30.36
2011-12-23,32,30.30
2011-12-30,29,30.48
2012-01-06,28,30.32
2012-01-13,32,32.64
2012-01-20,28,32.45
2012-01-27,31,31.43
2012-02-03,30,29.70
2012-02-10,32,29.91
2012-02-17,30,30.18
2012-02-24,25,30.18
2012-03-02,29,32.24
2012-03-09,34,33.67
2012-03-16,29,34.21
2012-03-23,36,34.15
2012-03-30,39,34.65
2012-04-06,42,
2012-04-13,37,31.31
2012-04-20,32,31.49
2012-04-27,37,31.29
2012-05-04,42,29.84
2012-05-11,34,29.59
2012-05-18,33,27.99
2012-05-25,37,29.11
2012-06-01,38,27.33
2012-06-08,37,28.15
2012-06-15,36,27.68
2012-06-22,32,25.73
2012-06-29,35,25.94
2012-07-06,28,26.54
2012-07-13,29,26.30
2012-07-20,33,26.94
2012-07-27,35,28.00
2012-08-03,35,27.86
2012-08-10,27,28.99
2012-08-17,39,29.98
2012-08-24,32,29.81
2012-08-31,38,30.59
2012-09-07,36,32.24
2012-09-14,31,32.34
2012-09-21,38,29.28
2012-09-28,34,28.30
2012-10-05,27,29.19
2012-10-12,27,32.55
2012-10-19,31,33.30
2012-10-26,29,33.57
2012-11-02,25,34.68
2012-11-09,30,34.04
2012-11-16,32,33.31
2012-11-23,33,35.14
2012-11-30,31,36.26
2012-12-07,36,36.24
2012-12-14,36,35.07
2012-12-21,33,37.79
2012-12-28,36,36.69
2013-01-04,27,37.86
2013-01-11,24,37.50
2013-01-18,29,38.50
2013-01-25,29,39.69
2013-02-01,25,39.25
2013-02-08,35,39.77
2013-02-15,24,39.36
2013-02-22,27,38.92
2013-03-01,29,38.38
2013-03-08,32,41.41
2013-03-15,32,41.66
2013-03-22,30,40.35
2013-03-29,34,
2013-04-05,30,41.35
2013-04-12,35,43.99
2013-04-19,28,42.76
2013-04-26,34,44.82
2013-05-03,34,46.23
2013-05-10,29,46.98
2013-05-17,33,48.67
2013-05-24,29,46.71
2013-05-31,35,46.77
2013-06-07,32,47.20
2013-06-14,36,46.41
2013-06-21,31,44.59
2013-06-28,31,46.16
2013-07-05,30,47.33
2013-07-12,32,48.00
2013-07-19,32,47.84
2013-07-26,37,47.78
2013-08-02,33,49.57
2013-08-09,33,49.38
2013-08-16,34,47.48
2013-08-23,33,48.86
2013-08-30,31,47.56
2013-09-06,27,51.21
2013-09-13,27,51.08
2013-09-20,28,51.19
2013-09-27,36,49.22
2013-10-04,28,48.31
2013-10-11,28,47.93
2013-10-18,33,48.74
2013-10-25,34,47.76
2013-11-01,33,47.82
2013-11-08,33,47.56
2013-11-15,34,49.94
2013-11-22,35,49.69
2013-11-29,31,50.35
2013-12-06,29,51.20
2013-12-13,36,50.95
2013-12-20,29,48.08
2013-12-27,32,46.93
2014-01-03,23,46.44
2014-01-10,34,45.97
2014-01-17,29,45.19
2014-01-24,29,44.57
2014-01-31,32,45.11
2014-02-07,27,47.54
2014-02-14,28,47.29
2014-02-21,32,47.05
2014-02-28,28,48.43
2014-03-07,27,48.60
2014-03-14,37,47.21
2014-03-21,32,48.42
2014-03-28,35,45.67
2014-04-04,35,45.56
2014-04-11,36,42.88
2014-04-18,35,
2014-04-25,36,42.98
2014-05-02,42,
