Date,NEM,Price
2005-08-26,14,39.18
2005-09-02,15,40.71
2005-09-09,14,42.44
2005-09-16,15,46.21
2005-09-23,18,45.63
2005-09-30,17,47.17
2005-10-07,15,47.52
2005-10-14,15,44.98
2005-10-21,17,43.86
2005-10-28,17,44.13
2005-11-04,18,42.58
2005-11-11,18,44.31
2005-11-18,16,46.33
2005-11-25,21,47.06
2005-12-02,19,46.48
2005-12-09,17,49.66
2005-12-16,20,50.50
2005-12-23,19,51.94
2005-12-30,21,53.40
2006-01-06,19,57.70
2006-01-13,18,59.87
2006-01-20,18,56.59
2006-01-27,18,59.20
2006-02-03,19,59.62
2006-02-10,18,54.80
2006-02-17,20,56.21
2006-02-24,20,58.10
2006-03-03,19,53.27
2006-03-10,19,48.61
2006-03-17,17,49.86
2006-03-24,18,49.46
2006-03-31,19,51.89
2006-04-07,18,52.74
2006-04-14,19,
2006-04-21,19,57.55
2006-04-28,18,58.36
2006-05-05,19,56.43
2006-05-12,21,56.31
2006-05-19,20,51.07
2006-05-26,20,52.30
2006-06-02,21,53.30
2006-06-09,20,49.31
2006-06-16,19,50.06
2006-06-23,19,49.88
2006-06-30,19,52.93
2006-07-07,17,54.43
2006-07-14,17,54.96
2006-07-21,18,50.70
2006-07-28,19,51.52
2006-08-04,18,52.27
2006-08-11,19,51.75
2006-08-18,18,50.71
2006-08-25,18,52.51
2006-09-01,20,51.21
2006-09-08,18,48.19
2006-09-15,20,44.15
2006-09-22,20,43.78
2006-09-29,21,42.75
2006-10-06,22,41.53
2006-10-13,20,43.23
2006-10-20,21,42.46
2006-10-27,21,44.32
2006-11-03,23,46.15
2006-11-10,22,45.77
2006-11-17,23,44.20
2006-11-24,23,45.55
2006-12-01,23,46.84
2006-12-08,21,46.91
2006-12-15,22,47.49
2006-12-22,23,45.02
2006-12-29,23,45.15
2007-01-05,22,43.65
2007-01-12,24,43.21
2007-01-19,23,43.24
2007-01-26,21,44.26
2007-02-02,20,44.89
2007-02-09,20,45.81
2007-02-16,21,46.26
2007-02-23,22,46.85
2007-03-02,22,43.12
2007-03-09,21,42.29
2007-03-16,22,42.93
2007-03-23,23,43.54
2007-03-30,22,41.99
2007-04-06,22,
2007-04-13,21,44.61
2007-04-20,22,44.28
2007-04-27,22,42.55
2007-05-04,21,41.95
2007-05-11,24,41.09
2007-05-18,26,39.19
2007-05-25,23,39.20
2007-06-01,25,41.61
2007-06-08,24,39.90
2007-06-15,25,40.43
2007-06-22,23,39.38
2007-06-29,24,39.06
2007-07-06,24,41.78
2007-07-13,24,41.41
2007-07-20,24,43.00
2007-07-27,25,40.83
2007-08-03,24,40.90
2007-08-10,24,41.91
2007-08-17,25,39.89
2007-08-24,27,41.16
2007-08-31,26,42.26
2007-09-07,25,44.21
2007-09-14,25,45.35
2007-09-21,26,47.56
2007-09-28,28,44.73
2007-10-05,27,45.56
2007-10-12,27,47.57
2007-10-19,28,45.66
2007-10-26,28,47.57
2007-11-02,27,51.61
2007-11-09,30,54.04
2007-11-16,27,49.69
2007-11-23,35,52.09
2007-11-30,35,49.69
2007-12-07,32,50.03
2007-12-14,27,47.81
2007-12-21,31,48.70
2007-12-28,31,48.99
2008-01-04,31,52.42
2008-01-11,30,54.72
2008-01-18,30,52.88
2008-01-25,30,53.26
2008-02-01,30,53.23
2008-02-08,28,51.29
2008-02-15,27,47.89
2008-02-22,30,50.05
2008-02-29,29,51.17
2008-03-07,32,49.57
2008-03-14,31,53.63
2008-03-21,32,
2008-03-28,31,46.55
2008-04-04,33,46.82
2008-04-11,31,45.96
2008-04-18,29,46.27
2008-04-25,32,44.73
2008-05-02,30,44.51
2008-05-09,31,45.73
2008-05-16,30,48.88
2008-05-23,33,48.74
2008-05-30,32,47.53
2008-06-06,31,48.32
2008-06-13,33,47.01
2008-06-20,32,48.95
2008-06-27,33,52.68
2008-07-04,34,
2008-07-11,31,51.27
2008-07-18,30,48.24
2008-07-25,32,49.20
2008-08-01,29,47.27
2008-08-08,33,43.59
2008-08-15,33,41.51
2008-08-22,32,44.29
2008-08-29,35,45.10
2008-09-05,35,40.23
2008-09-12,32,39.66
2008-09-19,34,41.85
2008-09-26,35,41.00
2008-10-03,34,35.58
2008-10-10,34,29.23
2008-10-17,34,27.46
2008-10-24,34,23.82
2008-10-31,36,26.34
2008-11-07,35,26.02
2008-11-14,35,24.23
2008-11-21,36,28.79
2008-11-28,37,33.65
2008-12-05,37,29.58
2008-12-12,36,35.84
2008-12-19,38,38.11
2008-12-26,40,38.85
2009-01-02,39,40.33
2009-01-09,39,37.04
2009-01-16,38,37.83
2009-01-23,38,44.44
2009-01-30,38,39.78
2009-02-06,38,41.53
2009-02-13,38,41.58
2009-02-20,42,43.73
2009-02-27,42,41.63
2009-03-06,43,38.90
2009-03-13,40,38.54
2009-03-20,44,44.19
2009-03-27,41,45.65
2009-04-03,39,43.89
2009-04-10,41,
2009-04-17,42,38.14
2009-04-24,40,41.29
2009-05-01,41,38.73
2009-05-08,42,43.78
2009-05-15,44,42.64
2009-05-22,42,47.04
2009-05-29,44,48.87
2009-06-05,44,44.84
2009-06-12,43,42.71
2009-06-19,43,41.88
2009-06-26,47,42.50
2009-07-03,43,
2009-07-10,45,37.89
2009-07-17,45,41.14
2009-07-24,43,41.76
2009-07-31,42,41.35
2009-08-07,45,41.54
2009-08-14,43,40.63
2009-08-21,43,40.84
2009-08-28,48,41.42
2009-09-04,44,46.23
2009-09-11,42,46.53
2009-09-18,46,44.96
2009-09-25,47,42.83
2009-10-02,45,42.12
2009-10-09,45,46.50
2009-10-16,45,46.64
2009-10-23,45,44.91
2009-10-30,46,43.46
2009-11-06,45,49.04
2009-11-13,47,50.99
2009-11-20,47,52.26
2009-11-27,49,53.35
2009-12-04,47,52.05
2009-12-11,47,51.18
2009-12-18,47,48.26
2009-12-25,51,
2010-01-01,49,
2010-01-08,47,49.62
2010-01-15,47,47.61
2010-01-22,47,44.43
2010-01-29,47,42.86
2010-02-05,47,46.23
2010-02-12,46,46.53
2010-02-19,45,48.54
2010-02-26,46,49.28
2010-03-05,48,51.55
2010-03-12,49,50.04
2010-03-19,49,50.76
2010-03-26,50,49.38
2010-04-02,51,
2010-04-09,52,54.21
2010-04-16,50,52.15
2010-04-23,51,53.10
2010-04-30,50,56.08
2010-05-07,54,53.39
2010-05-14,54,57.68
2010-05-21,56,52.34
2010-05-28,55,53.82
2010-06-04,52,53.72
2010-06-11,52,56.25
2010-06-18,54,61.25
2010-06-25,53,61.67
2010-07-02,54,58.76
2010-07-09,50,61.93
2010-07-16,49,58.90
2010-07-23,53,59.05
2010-07-30,53,55.90
2010-08-06,53,57.04
2010-08-13,51,56.72
2010-08-20,52,58.02
2010-08-27,53,59.95
2010-09-03,54,60.87
2010-09-10,51,60.68
2010-09-17,53,63.01
2010-09-24,69,63.40
2010-10-01,77,63.68
2010-10-08,71,62.89
2010-10-15,58,61.88
2010-10-22,56,59.37
2010-10-29,57,60.86
2010-11-05,59,61.62
2010-11-12,57,61.55
2010-11-19,56,60.34
2010-11-26,58,58.54
2010-12-03,55,62.36
2010-12-10,57,61.42
2010-12-17,56,59.40
2010-12-24,56,
2010-12-31,55,61.43
2011-01-07,60,56.89
2011-01-14,54,55.72
2011-01-21,54,55.84
2011-01-28,57,55.00
2011-02-04,54,56.97
2011-02-11,55,56.88
2011-02-18,56,58.50
2011-02-25,56,54.46
2011-03-04,56,54.27
2011-03-11,53,52.12
2011-03-18,57,50.89
2011-03-25,57,53.96
2011-04-01,58,54.37
2011-04-08,58,57.99
2011-04-15,58,57.75
2011-04-22,57,
2011-04-29,61,58.61
2011-05-06,60,53.72
2011-05-13,58,52.78
2011-05-20,60,54.08
2011-05-27,62,56.39
2011-06-03,63,54.75
2011-06-10,65,52.10
2011-06-17,62,51.59
2011-06-24,63,52.27
2011-07-01,64,53.74
2011-07-08,59,54.76
2011-07-15,58,57.38
2011-07-22,60,58.66
2011-07-29,61,55.61
2011-08-05,59,54.41
2011-08-12,63,57.44
2011-08-19,64,60.08
2011-08-26,63,62.17
2011-09-02,61,64.47
2011-09-09,60,65.26
2011-09-16,62,65.72
2011-09-23,62,62.86
2011-09-30,61,62.95
2011-10-07,61,63.09
2011-10-14,62,66.86
2011-10-21,65,62.63
2011-10-28,69,68.49
2011-11-04,66,69.38
2011-11-11,100,70.49
2011-11-18,91,65.46
2011-11-25,70,63.77
2011-12-02,70,67.03
2011-12-09,66,66.94
2011-12-16,67,62.18
2011-12-23,62,61.88
2011-12-30,65,60.01
2012-01-06,67,61.97
2012-01-13,66,63.39
2012-01-20,64,59.27
2012-01-27,63,61.51
2012-02-03,63,61.01
2012-02-10,63,59.62
2012-02-17,60,59.45
2012-02-24,61,62.51
2012-03-02,63,58.96
2012-03-09,65,56.88
2012-03-16,62,53.75
2012-03-23,61,53.32
2012-03-30,64,51.27
2012-04-06,63,
2012-04-13,66,48.68
2012-04-20,64,47.25
2012-04-27,61,47.86
2012-05-04,61,46.16
2012-05-11,62,45.36
2012-05-18,63,45.58
2012-05-25,64,48.82
2012-06-01,69,50.30
2012-06-08,69,50.28
2012-06-15,69,50.28
2012-06-22,69,47.96
2012-06-29,66,48.51
2012-07-06,64,47.91
2012-07-13,63,46.16
2012-07-20,65,45.15
2012-07-27,67,44.53
2012-08-03,67,44.67
2012-08-10,68,47.48
2012-08-17,67,47.16
2012-08-24,69,49.23
2012-08-31,68,50.68
2012-09-07,66,51.69
2012-09-14,68,57.20
2012-09-21,68,56.31
2012-09-28,66,56.02
2012-10-05,66,55.85
2012-10-12,66,54.94
2012-10-19,67,54.90
2012-10-26,69,53.31
2012-11-02,67,48.74
2012-11-09,68,48.07
2012-11-16,68,46.12
2012-11-23,70,47.69
2012-11-30,69,47.09
2012-12-07,68,44.42
2012-12-14,67,44.29
2012-12-21,69,44.58
2012-12-28,71,45.03
2013-01-04,73,45.94
2013-01-11,70,45.76
2013-01-18,70,44.89
2013-01-25,69,43.36
2013-02-01,68,43.71
2013-02-08,67,44.93
2013-02-15,61,43.27
2013-02-22,65,40.82
2013-03-01,66,39.62
2013-03-08,70,39.25
2013-03-15,68,39.68
2013-03-22,66,41.61
2013-03-29,69,
2013-04-05,66,39.37
2013-04-12,68,36.37
2013-04-19,64,32.98
2013-04-26,68,33.47
2013-05-03,66,33.00
2013-05-10,66,33.12
2013-05-17,67,30.63
2013-05-24,66,31.97
2013-05-31,71,34.28
2013-06-07,77,34.11
2013-06-14,72,33.19
2013-06-21,69,30.05
2013-06-28,68,29.95
2013-07-05,69,27.78
2013-07-12,66,27.43
2013-07-19,67,28.69
2013-07-26,66,30.38
2013-08-02,66,28.79
2013-08-09,67,29.51
2013-08-16,68,32.38
2013-08-23,68,33.00
2013-08-30,68,31.77
2013-09-06,63,30.43
2013-09-13,64,28.20
2013-09-20,65,28.07
2013-09-27,65,27.98
2013-10-04,65,26.80
2013-10-11,68,25.62
2013-10-18,69,26.92
2013-10-25,74,27.83
2013-11-01,81,25.98
2013-11-08,71,27.57
2013-11-15,69,27.79
2013-11-22,70,25.74
2013-11-29,70,24.83
2013-12-06,67,23.02
2013-12-13,66,23.28
2013-12-20,66,22.64
2013-12-27,67,23.59
2014-01-03,70,23.92
2014-01-10,67,23.80
2014-01-17,68,24.55
2014-01-24,68,24.88
2014-01-31,68,21.60
2014-02-07,63,21.52
2014-02-14,66,23.83
2014-02-21,66,23.38
2014-02-28,66,23.26
2014-03-07,64,24.60
2014-03-14,68,26.18
2014-03-21,68,24.55
2014-03-28,66,23.92
2014-04-04,68,24.11
2014-04-11,67,24.23
2014-04-18,69,
2014-04-25,67,26.45
2014-05-02,69,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
