Date,United Parcel Service,Price
2009-11-20,12,57.51
2009-11-27,10,57.43
2009-12-04,12,57.87
2009-12-11,13,58.01
2009-12-18,16,57.98
2009-12-25,13,
2010-01-01,9,
2010-01-08,11,60.17
2010-01-15,16,61.93
2010-01-22,13,58.75
2010-01-29,13,57.77
2010-02-05,13,57.20
2010-02-12,11,56.15
2010-02-19,11,57.81
2010-02-26,10,58.74
2010-03-05,17,59.49
2010-03-12,14,62.32
2010-03-19,11,64.33
2010-03-26,9,63.67
2010-04-02,14,
2010-04-09,15,64.44
2010-04-16,13,68.21
2010-04-23,13,68.86
2010-04-30,10,69.14
2010-05-07,10,63.93
2010-05-14,8,65.75
2010-05-21,9,62.38
2010-05-28,11,62.76
2010-06-04,8,60.56
2010-06-11,11,61.20
2010-06-18,9,62.50
2010-06-25,11,60.35
2010-07-02,10,56.76
2010-07-09,10,60.06
2010-07-16,10,59.68
2010-07-23,10,63.67
2010-07-30,9,65.00
2010-08-06,9,66.70
2010-08-13,10,64.44
2010-08-20,9,65.10
2010-08-27,9,64.47
2010-09-03,9,67.64
2010-09-10,10,67.76
2010-09-17,11,66.68
2010-09-24,10,67.27
2010-10-01,9,66.44
2010-10-08,11,67.53
2010-10-15,11,69.31
2010-10-22,11,69.83
2010-10-29,12,67.34
2010-11-05,10,69.79
2010-11-12,10,68.12
2010-11-19,10,69.11
2010-11-26,10,69.10
2010-12-03,12,71.80
2010-12-10,11,72.89
2010-12-17,13,73.06
2010-12-24,13,
2010-12-31,8,72.58
2011-01-07,9,72.15
2011-01-14,9,72.48
2011-01-21,8,72.89
2011-01-28,8,70.73
2011-02-04,11,74.34
2011-02-11,11,75.32
2011-02-18,9,76.47
2011-02-25,8,73.46
2011-03-04,10,72.44
2011-03-11,9,74.09
2011-03-18,8,71.60
2011-03-25,72,72.04
2011-04-01,100,74.48
2011-04-08,15,73.25
2011-04-15,10,72.71
2011-04-22,13,
2011-04-29,9,74.97
2011-05-06,9,74.10
2011-05-13,8,74.14
2011-05-20,9,74.05
2011-05-27,9,72.96
2011-06-03,7,71.15
2011-06-10,11,68.50
2011-06-17,17,69.17
2011-06-24,17,71.12
2011-07-01,8,73.96
2011-07-08,7,74.57
2011-07-15,9,73.08
2011-07-22,7,74.16
2011-07-29,8,69.22
2011-08-05,7,65.69
2011-08-12,9,65.20
2011-08-19,8,61.70
2011-08-26,8,64.70
2011-09-02,7,65.61
2011-09-09,9,64.22
2011-09-16,8,66.59
2011-09-23,8,62.00
2011-09-30,8,63.15
2011-10-07,8,66.26
2011-10-14,8,68.96
2011-10-21,9,70.06
2011-10-28,7,71.49
2011-11-04,8,69.99
2011-11-11,8,70.78
2011-11-18,7,69.14
2011-11-25,7,66.46
2011-12-02,10,71.07
2011-12-09,9,72.45
2011-12-16,11,71.76
2011-12-23,12,73.47
2011-12-30,7,73.19
2012-01-06,8,73.48
2012-01-13,7,74.16
2012-01-20,7,75.42
2012-01-27,7,76.04
2012-02-03,7,76.70
2012-02-10,8,76.69
2012-02-17,12,76.76
2012-02-24,7,76.50
2012-03-02,6,76.54
2012-03-09,6,77.16
2012-03-16,6,78.41
2012-03-23,7,79.71
2012-03-30,6,80.72
2012-04-06,6,
2012-04-13,7,79.56
2012-04-20,6,80.27
2012-04-27,7,78.44
2012-05-04,7,77.73
2012-05-11,6,76.43
2012-05-18,7,74.03
2012-05-25,7,74.94
2012-06-01,6,73.25
2012-06-08,6,76.63
2012-06-15,6,77.53
2012-06-22,6,77.71
2012-06-29,7,78.76
2012-07-06,5,79.37
2012-07-13,7,79.44
2012-07-20,8,78.45
2012-07-27,6,76.00
2012-08-03,6,75.76
2012-08-10,8,76.30
2012-08-17,7,76.49
2012-08-24,9,75.72
2012-08-31,7,73.81
2012-09-07,6,72.60
2012-09-14,6,73.68
2012-09-21,7,71.88
2012-09-28,7,71.57
2012-10-05,6,73.10
2012-10-12,7,72.11
2012-10-19,7,72.30
2012-10-26,7,73.02
2012-11-02,7,73.48
2012-11-09,6,72.25
2012-11-16,6,70.02
2012-11-23,5,71.98
2012-11-30,6,73.11
2012-12-07,8,73.17
2012-12-14,8,72.85
2012-12-21,9,74.84
2012-12-28,5,72.83
2013-01-04,6,76.57
2013-01-11,6,77.92
2013-01-18,5,80.25
2013-01-25,7,82.45
2013-02-01,6,79.97
2013-02-08,5,82.38
2013-02-15,6,83.48
2013-02-22,5,82.94
2013-03-01,5,82.87
2013-03-08,5,84.44
2013-03-15,6,85.47
2013-03-22,6,84.76
2013-03-29,6,
2013-04-05,5,83.54
2013-04-12,5,84.14
2013-04-19,6,82.99
2013-04-26,7,85.71
2013-05-03,5,86.09
2013-05-10,5,88.34
2013-05-17,6,88.70
2013-05-24,5,86.83
2013-05-31,4,85.90
2013-06-07,5,86.37
2013-06-14,6,85.91
2013-06-21,6,85.41
2013-06-28,6,86.48
2013-07-05,5,87.54
2013-07-12,6,86.12
2013-07-19,6,88.08
2013-07-26,5,86.99
2013-08-02,5,87.92
2013-08-09,5,87.81
2013-08-16,6,86.05
2013-08-23,6,87.17
2013-08-30,6,85.58
2013-09-06,5,86.76
2013-09-13,5,88.66
2013-09-20,5,91.55
2013-09-27,6,91.25
2013-10-04,5,91.00
2013-10-11,5,90.77
2013-10-18,6,93.00
2013-10-25,6,95.61
2013-11-01,5,98.22
2013-11-08,5,99.62
2013-11-15,6,100.94
2013-11-22,6,101.98
2013-11-29,4,102.38
2013-12-06,7,102.43
2013-12-13,7,101.38
2013-12-20,9,103.33
2013-12-27,6,104.72
2014-01-03,4,103.09
2014-01-10,5,102.52
2014-01-17,6,99.91
2014-01-24,5,96.33
2014-01-31,5,95.23
2014-02-07,5,95.37
2014-02-14,5,97.24
2014-02-21,5,96.11
2014-02-28,5,95.77
2014-03-07,4,98.22
2014-03-14,4,96.27
2014-03-21,5,96.86
2014-03-28,5,97.34
2014-04-04,5,98.10
2014-04-11,5,96.27
2014-04-18,4,
2014-04-25,5,97.40
2014-05-02,5,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
