Date,buy AN,Price
2009-03-27,51,14.29
2009-04-03,48,15.38
2009-04-10,51,
2009-04-17,50,16.64
2009-04-24,49,16.19
2009-05-01,52,17.43
2009-05-08,50,16.63
2009-05-15,49,15.97
2009-05-22,47,15.23
2009-05-29,49,15.88
2009-06-05,46,17.44
2009-06-12,55,17.57
2009-06-19,59,17.06
2009-06-26,53,17.23
2009-07-03,50,
2009-07-10,52,16.53
2009-07-17,55,18.23
2009-07-24,60,20.01
2009-07-31,58,20.68
2009-08-07,61,19.98
2009-08-14,62,18.49
2009-08-21,56,19.11
2009-08-28,55,19.63
2009-09-04,50,17.67
2009-09-11,53,17.86
2009-09-18,53,17.92
2009-09-25,52,17.66
2009-10-02,51,17.25
2009-10-09,54,17.99
2009-10-16,54,19.69
2009-10-23,53,20.53
2009-10-30,54,17.24
2009-11-06,54,18.56
2009-11-13,55,18.28
2009-11-20,59,17.78
2009-11-27,60,17.44
2009-12-04,62,18.06
2009-12-11,62,18.35
2009-12-18,69,18.90
2009-12-25,66,
2010-01-01,63,
2010-01-08,58,20.69
2010-01-15,57,19.18
2010-01-22,53,18.36
2010-01-29,62,18.00
2010-02-05,56,17.59
2010-02-12,56,17.72
2010-02-19,54,18.42
2010-02-26,55,17.75
2010-03-05,58,18.76
2010-03-12,54,18.54
2010-03-19,55,18.56
2010-03-26,58,19.00
2010-04-02,65,
2010-04-09,63,18.36
2010-04-16,59,19.08
2010-04-23,58,21.06
2010-04-30,61,20.20
2010-05-07,61,19.03
2010-05-14,58,19.46
2010-05-21,62,19.28
2010-05-28,64,20.03
2010-06-04,67,20.86
2010-06-11,73,21.33
2010-06-18,71,21.18
2010-06-25,73,20.03
2010-07-02,72,18.90
2010-07-09,73,19.37
2010-07-16,69,19.99
2010-07-23,74,23.14
2010-07-30,75,24.43
2010-08-06,74,24.43
2010-08-13,73,22.68
2010-08-20,72,23.42
2010-08-27,67,23.24
2010-09-03,68,24.54
2010-09-10,61,23.35
2010-09-17,67,23.34
2010-09-24,68,23.70
2010-10-01,66,23.59
2010-10-08,63,23.27
2010-10-15,63,23.74
2010-10-22,62,23.82
2010-10-29,64,23.22
2010-11-05,68,26.38
2010-11-12,67,26.40
2010-11-19,69,26.13
2010-11-26,75,26.04
2010-12-03,76,26.89
2010-12-10,76,26.50
2010-12-17,75,27.18
2010-12-24,84,
2010-12-31,82,28.20
2011-01-07,72,27.76
2011-01-14,67,28.39
2011-01-21,67,28.76
2011-01-28,65,28.70
2011-02-04,67,30.84
2011-02-11,70,33.96
2011-02-18,64,34.39
2011-02-25,65,33.51
2011-03-04,65,32.68
2011-03-11,71,33.48
2011-03-18,68,33.29
2011-03-25,71,34.52
2011-04-01,74,35.62
2011-04-08,69,34.85
2011-04-15,69,32.95
2011-04-22,70,
2011-04-29,72,33.91
2011-05-06,68,34.24
2011-05-13,76,33.65
2011-05-20,68,33.09
2011-05-27,72,34.55
2011-06-03,74,33.66
2011-06-10,74,33.33
2011-06-17,77,33.11
2011-06-24,73,34.44
2011-07-01,69,36.94
2011-07-08,68,39.22
2011-07-15,69,39.18
2011-07-22,70,39.08
2011-07-29,72,37.61
2011-08-05,70,34.98
2011-08-12,69,35.60
2011-08-19,68,35.72
2011-08-26,75,39.00
2011-09-02,66,39.27
2011-09-09,62,38.42
2011-09-16,66,37.28
2011-09-23,62,32.94
2011-09-30,63,32.78
2011-10-07,74,34.60
2011-10-14,72,37.74
2011-10-21,73,39.13
2011-10-28,67,39.62
2011-11-04,70,36.40
2011-11-11,74,34.07
2011-11-18,76,33.50
2011-11-25,86,34.06
2011-12-02,84,36.18
2011-12-09,83,36.90
2011-12-16,88,35.77
2011-12-23,91,37.12
2011-12-30,89,36.87
2012-01-06,78,33.44
2012-01-13,71,34.10
2012-01-20,69,35.21
2012-01-27,69,36.50
2012-02-03,73,37.02
2012-02-10,71,36.11
2012-02-17,70,35.00
2012-02-24,68,34.02
2012-03-02,68,34.32
2012-03-09,74,34.14
2012-03-16,71,34.74
2012-03-23,71,35.33
2012-03-30,71,34.31
2012-04-06,69,
2012-04-13,66,32.97
2012-04-20,71,33.74
2012-04-27,68,34.51
2012-05-04,73,34.94
2012-05-11,71,35.02
2012-05-18,71,34.38
2012-05-25,72,36.27
2012-06-01,72,35.00
2012-06-08,71,37.22
2012-06-15,75,36.90
2012-06-22,73,35.87
2012-06-29,74,35.28
2012-07-06,75,38.91
2012-07-13,78,39.84
2012-07-20,77,39.68
2012-07-27,78,40.12
2012-08-03,79,38.83
2012-08-10,78,39.58
2012-08-17,85,39.87
2012-08-24,80,40.52
2012-08-31,75,40.20
2012-09-07,71,41.82
2012-09-14,84,42.17
2012-09-21,87,42.95
2012-09-28,87,43.67
2012-10-05,74,46.53
2012-10-12,72,46.69
2012-10-19,72,48.45
2012-10-26,77,44.61
2012-11-02,73,43.56
2012-11-09,77,40.87
2012-11-16,80,41.08
2012-11-23,90,42.08
2012-11-30,89,38.94
2012-12-07,86,39.74
2012-12-14,90,38.42
2012-12-21,100,38.90
2012-12-28,95,38.92
2013-01-04,84,42.23
2013-01-11,77,43.05
2013-01-18,76,44.16
2013-01-25,74,44.14
2013-02-01,74,47.58
2013-02-08,72,48.60
2013-02-15,72,46.03
2013-02-22,71,44.54
2013-03-01,70,43.45
2013-03-08,71,44.69
2013-03-15,67,44.14
2013-03-22,69,43.58
2013-03-29,71,
2013-04-05,70,41.39
2013-04-12,67,44.17
2013-04-19,72,43.82
2013-04-26,67,44.61
2013-05-03,69,45.63
2013-05-10,66,45.88
2013-05-17,67,46.00
2013-05-24,70,46.28
2013-05-31,67,46.33
2013-06-07,68,46.82
2013-06-14,73,44.07
2013-06-21,72,42.98
2013-06-28,70,43.39
2013-07-05,68,46.14
2013-07-12,73,46.00
2013-07-19,71,44.74
2013-07-26,74,45.78
2013-08-02,70,49.29
2013-08-09,72,48.44
2013-08-16,72,45.65
2013-08-23,73,46.42
2013-08-30,67,46.74
2013-09-06,65,49.27
2013-09-13,74,53.05
2013-09-20,79,53.32
2013-09-27,76,52.71
2013-10-04,73,50.95
2013-10-11,69,50.00
2013-10-18,73,50.18
2013-10-25,69,49.16
2013-11-01,72,48.39
2013-11-08,74,47.08
2013-11-15,81,49.86
2013-11-22,83,49.04
2013-11-29,91,49.04
2013-12-06,89,50.55
2013-12-13,87,50.01
2013-12-20,93,49.84
2013-12-27,90,50.06
2014-01-03,81,49.75
2014-01-10,73,49.80
2014-01-17,73,47.82
2014-01-24,68,47.34
2014-01-31,69,49.39
2014-02-07,68,51.13
2014-02-14,72,51.76
2014-02-21,71,51.08
2014-02-28,73,52.64
2014-03-07,72,53.71
2014-03-14,66,53.05
2014-03-21,70,53.02
2014-03-28,70,52.08
2014-04-04,70,53.47
2014-04-11,67,52.73
2014-04-18,71,
2014-04-25,73,52.69
2014-05-02,72,
