Date,"AvalonBay Communities, Inc.",Price
2007-05-18,52,116.29
2007-05-25,50,118.90
2007-06-01,48,129.41
2007-06-08,53,124.50
2007-06-15,50,129.50
2007-06-22,50,121.02
2007-06-29,50,118.88
2007-07-06,45,124.34
2007-07-13,54,122.73
2007-07-20,53,116.80
2007-07-27,52,107.01
2007-08-03,51,109.77
2007-08-10,53,115.85
2007-08-17,52,113.64
2007-08-24,52,114.26
2007-08-31,49,114.38
2007-09-07,44,111.13
2007-09-14,49,115.91
2007-09-21,48,116.00
2007-09-28,48,118.06
2007-10-05,45,123.95
2007-10-12,47,120.29
2007-10-19,49,109.11
2007-10-26,45,117.85
2007-11-02,44,112.17
2007-11-09,44,106.38
2007-11-16,45,101.89
2007-11-23,34,99.33
2007-11-30,44,99.44
2007-12-07,42,103.20
2007-12-14,41,93.50
2007-12-21,40,95.78
2007-12-28,29,92.82
2008-01-04,38,84.02
2008-01-11,44,87.86
2008-01-18,45,83.18
2008-01-25,44,91.90
2008-02-01,45,99.20
2008-02-08,44,90.54
2008-02-15,43,92.10
2008-02-22,42,95.74
2008-02-29,43,92.43
2008-03-07,43,92.25
2008-03-14,42,94.31
2008-03-21,41,
2008-03-28,43,95.10
2008-04-04,44,104.01
2008-04-11,42,96.33
2008-04-18,42,101.11
2008-04-25,44,104.88
2008-05-02,42,105.37
2008-05-09,43,99.41
2008-05-16,40,104.19
2008-05-23,40,98.49
2008-05-30,38,101.20
2008-06-06,41,99.15
2008-06-13,40,98.46
2008-06-20,39,92.69
2008-06-27,41,88.21
2008-07-04,36,
2008-07-11,42,87.24
2008-07-18,43,93.32
2008-07-25,42,96.03
2008-08-01,41,99.27
2008-08-08,40,104.53
2008-08-15,42,101.71
2008-08-22,40,101.13
2008-08-29,37,100.00
2008-09-05,32,100.02
2008-09-12,36,100.16
2008-09-19,36,103.90
2008-09-26,36,99.26
2008-10-03,34,86.14
2008-10-10,37,81.31
2008-10-17,33,73.16
2008-10-24,34,64.19
2008-10-31,34,71.02
2008-11-07,32,64.35
2008-11-14,34,55.46
2008-11-21,33,47.80
2008-11-28,27,60.67
2008-12-05,33,66.63
2008-12-12,33,63.04
2008-12-19,30,64.50
2008-12-26,21,57.04
2009-01-02,26,59.66
2009-01-09,34,54.55
2009-01-16,34,55.23
2009-01-23,32,54.38
2009-01-30,34,51.81
2009-02-06,34,50.55
2009-02-13,33,44.26
2009-02-20,33,44.03
2009-02-27,35,42.42
2009-03-06,33,42.14
2009-03-13,33,48.99
2009-03-20,32,44.62
2009-03-27,33,47.54
2009-04-03,35,53.55
2009-04-10,34,
2009-04-17,34,60.21
2009-04-24,34,61.41
2009-05-01,33,54.06
2009-05-08,33,58.39
2009-05-15,33,53.83
2009-05-22,31,54.64
2009-05-29,30,61.48
2009-06-05,34,63.76
2009-06-12,32,61.20
2009-06-19,33,57.71
2009-06-26,31,55.39
2009-07-03,29,
2009-07-10,33,51.34
2009-07-17,33,53.97
2009-07-24,33,56.53
2009-07-31,34,58.20
2009-08-07,33,70.66
2009-08-14,33,65.12
2009-08-21,33,65.16
2009-08-28,32,65.13
2009-09-04,30,64.04
2009-09-11,28,68.30
2009-09-18,32,75.74
2009-09-25,32,71.86
2009-10-02,31,67.99
2009-10-09,31,73.56
2009-10-16,30,72.05
2009-10-23,30,73.14
2009-10-30,29,68.78
2009-11-06,30,67.53
2009-11-13,30,73.49
2009-11-20,30,71.99
2009-11-27,23,69.12
2009-12-04,29,76.94
2009-12-11,28,76.74
2009-12-18,27,79.82
2009-12-25,20,
2010-01-01,21,
2010-01-08,26,79.39
2010-01-15,25,79.43
2010-01-22,25,75.44
2010-01-29,25,76.61
2010-02-05,25,75.59
2010-02-12,24,75.49
2010-02-19,24,78.82
2010-02-26,25,81.42
2010-03-05,25,83.20
2010-03-12,26,86.24
2010-03-19,25,87.97
2010-03-26,25,87.78
2010-04-02,24,
2010-04-09,26,92.88
2010-04-16,24,90.98
2010-04-23,25,101.27
2010-04-30,24,104.04
2010-05-07,23,97.74
2010-05-14,24,100.40
2010-05-21,23,94.31
2010-05-28,22,98.06
2010-06-04,21,92.07
2010-06-11,23,103.23
2010-06-18,23,104.00
2010-06-25,23,100.72
2010-07-02,22,91.30
2010-07-09,20,98.98
2010-07-16,23,96.43
2010-07-23,23,104.25
2010-07-30,22,105.09
2010-08-06,22,101.34
2010-08-13,22,102.18
2010-08-20,22,104.45
2010-08-27,22,103.85
2010-09-03,21,110.39
2010-09-10,19,107.09
2010-09-17,21,109.66
2010-09-24,21,106.90
2010-10-01,20,105.13
2010-10-08,20,105.76
2010-10-15,20,110.05
2010-10-22,20,110.08
2010-10-29,20,106.31
2010-11-05,19,113.33
2010-11-12,20,108.83
2010-11-19,20,109.06
2010-11-26,15,109.90
2010-12-03,19,114.44
2010-12-10,18,113.12
2010-12-17,17,108.95
2010-12-24,14,
2010-12-31,13,112.55
2011-01-07,19,109.51
2011-01-14,18,112.50
2011-01-21,19,112.83
2011-01-28,19,113.78
2011-02-04,18,113.80
2011-02-11,20,116.00
2011-02-18,19,116.07
2011-02-25,18,118.11
2011-03-04,18,115.03
2011-03-11,19,117.65
2011-03-18,18,117.45
2011-03-25,19,117.40
2011-04-01,19,120.86
2011-04-08,19,118.01
2011-04-15,19,121.10
2011-04-22,18,
2011-04-29,19,126.61
2011-05-06,18,126.09
2011-05-13,19,126.93
2011-05-20,18,127.10
2011-05-27,17,130.00
2011-06-03,17,131.24
2011-06-10,17,130.00
2011-06-17,18,129.08
2011-06-24,18,127.50
2011-07-01,17,132.56
2011-07-08,16,137.33
2011-07-15,18,132.71
2011-07-22,18,139.51
2011-07-29,18,134.19
2011-08-05,18,121.46
2011-08-12,17,129.30
2011-08-19,17,125.50
2011-08-26,17,130.59
2011-09-02,16,134.36
2011-09-09,14,132.32
2011-09-16,17,130.18
2011-09-23,17,117.35
2011-09-30,17,114.05
2011-10-07,16,115.97
2011-10-14,15,121.83
2011-10-21,16,124.45
2011-10-28,16,133.09
2011-11-04,16,130.32
2011-11-11,16,129.32
2011-11-18,15,123.24
2011-11-25,12,118.10
2011-12-02,15,124.01
2011-12-09,15,125.64
2011-12-16,15,128.96
2011-12-23,12,131.95
2011-12-30,10,130.60
2012-01-06,14,128.20
2012-01-13,15,126.49
2012-01-20,15,127.82
2012-01-27,15,135.42
2012-02-03,16,139.82
2012-02-10,15,134.45
2012-02-17,15,134.03
2012-02-24,15,133.00
2012-03-02,15,132.22
2012-03-09,15,137.80
2012-03-16,14,138.48
2012-03-23,14,137.09
2012-03-30,15,141.35
2012-04-06,14,
2012-04-13,14,140.15
2012-04-20,14,144.83
2012-04-27,14,146.06
2012-05-04,14,145.43
2012-05-11,14,146.90
2012-05-18,15,136.92
2012-05-25,14,139.84
2012-06-01,13,137.01
2012-06-08,15,141.66
2012-06-15,15,140.70
2012-06-22,14,137.36
2012-06-29,14,141.48
2012-07-06,12,144.59
2012-07-13,15,149.05
2012-07-20,15,148.07
2012-07-27,15,145.51
2012-08-03,15,144.72
2012-08-10,14,140.34
2012-08-17,15,141.76
2012-08-24,15,144.18
2012-08-31,14,141.52
2012-09-07,13,144.36
2012-09-14,14,141.33
2012-09-21,14,138.81
2012-09-28,14,135.99
2012-10-05,13,136.21
2012-10-12,13,132.29
2012-10-19,13,136.91
2012-10-26,13,133.07
2012-11-02,12,137.72
2012-11-09,13,131.93
2012-11-16,13,128.87
2012-11-23,10,128.54
2012-11-30,13,131.79
2012-12-07,12,133.68
2012-12-14,12,132.60
2012-12-21,11,136.65
2012-12-28,7,133.98
2013-01-04,10,136.37
2013-01-11,13,136.16
2013-01-18,13,138.56
2013-01-25,13,138.42
2013-02-01,14,126.11
2013-02-08,13,128.84
2013-02-15,12,130.26
2013-02-22,12,128.83
2013-03-01,13,126.21
2013-03-08,13,124.08
2013-03-15,12,128.37
2013-03-22,12,126.83
2013-03-29,12,
2013-04-05,12,133.44
2013-04-12,12,135.57
2013-04-19,12,133.07
2013-04-26,12,130.22
2013-05-03,12,129.79
2013-05-10,12,133.29
2013-05-17,11,138.69
2013-05-24,11,138.58
2013-05-31,11,132.66
2013-06-07,12,134.48
2013-06-14,12,134.59
2013-06-21,12,131.69
2013-06-28,11,134.91
2013-07-05,10,135.01
2013-07-12,12,140.45
2013-07-19,12,140.36
2013-07-26,12,138.98
2013-08-02,12,133.95
2013-08-09,12,133.12
2013-08-16,12,122.79
2013-08-23,11,126.23
2013-08-30,11,123.90
2013-09-06,10,125.59
2013-09-13,11,129.19
2013-09-20,11,133.04
2013-09-27,12,129.30
2013-10-04,11,124.91
2013-10-11,12,128.96
2013-10-18,11,132.64
2013-10-25,11,131.47
2013-11-01,11,125.71
2013-11-08,11,121.84
2013-11-15,11,120.22
2013-11-22,11,117.56
2013-11-29,9,118.56
2013-12-06,11,121.70
2013-12-13,11,119.24
2013-12-20,10,118.76
2013-12-27,6,118.91
2014-01-03,8,119.76
2014-01-10,11,121.80
2014-01-17,11,121.88
2014-01-24,11,119.52
2014-01-31,11,123.50
2014-02-07,11,127.81
2014-02-14,11,128.99
2014-02-21,11,128.66
2014-02-28,12,128.97
2014-03-07,12,128.22
2014-03-14,12,129.75
2014-03-21,11,129.84
2014-03-28,11,130.13
2014-04-04,11,133.43
2014-04-11,11,132.25
2014-04-18,11,
2014-04-25,11,135.33
2014-05-02,10,
