Date,buy KEY,Price
2008-10-03,46,12.55
2008-10-10,56,6.79
2008-10-17,53,10.08
2008-10-24,50,10.12
2008-10-31,55,12.41
2008-11-07,51,11.24
2008-11-14,100,9.60
2008-11-21,62,6.27
2008-11-28,53,9.38
2008-12-05,61,8.39
2008-12-12,54,8.00
2008-12-19,57,8.07
2008-12-26,63,7.70
2009-01-02,69,8.87
2009-01-09,58,7.58
2009-01-16,55,6.31
2009-01-23,60,7.62
2009-01-30,54,7.28
2009-02-06,52,8.47
2009-02-13,55,7.05
2009-02-20,57,6.07
2009-02-27,52,7.01
2009-03-06,58,5.36
2009-03-13,58,7.70
2009-03-20,51,7.47
2009-03-27,59,8.32
2009-04-03,54,8.54
2009-04-10,63,
2009-04-17,62,9.05
2009-04-24,59,7.00
2009-05-01,59,5.88
2009-05-08,57,6.97
2009-05-15,56,5.80
2009-05-22,47,5.26
2009-05-29,55,5.00
2009-06-05,55,5.43
2009-06-12,55,6.12
2009-06-19,51,6.07
2009-06-26,51,5.20
2009-07-03,57,
2009-07-10,65,5.12
2009-07-17,61,5.11
2009-07-24,64,5.26
2009-07-31,59,5.78
2009-08-07,68,6.78
2009-08-14,63,6.65
2009-08-21,63,6.73
2009-08-28,59,6.68
2009-09-04,62,6.22
2009-09-11,76,5.93
2009-09-18,62,6.63
2009-09-25,59,6.24
2009-10-02,59,6.17
2009-10-09,54,6.19
2009-10-16,56,6.45
2009-10-23,56,6.48
2009-10-30,67,5.39
2009-11-06,58,5.73
2009-11-13,66,5.59
2009-11-20,68,5.73
2009-11-27,71,5.57
2009-12-04,72,6.16
2009-12-11,66,6.07
2009-12-18,68,5.56
2009-12-25,69,
2010-01-01,67,
2010-01-08,63,6.50
2010-01-15,63,6.88
2010-01-22,65,7.25
2010-01-29,67,7.18
2010-02-05,71,6.89
2010-02-12,64,6.79
2010-02-19,79,6.79
2010-02-26,73,7.15
2010-03-05,76,7.25
2010-03-12,75,7.55
2010-03-19,64,7.60
2010-03-26,66,7.86
2010-04-02,73,
2010-04-09,60,8.35
2010-04-16,59,8.00
2010-04-23,68,9.19
2010-04-30,72,9.02
2010-05-07,59,7.88
2010-05-14,62,8.43
2010-05-21,64,7.87
2010-05-28,55,8.02
2010-06-04,65,7.77
2010-06-11,66,8.24
2010-06-18,62,8.37
2010-06-25,63,8.27
2010-07-02,61,7.22
2010-07-09,66,8.35
2010-07-16,70,7.75
2010-07-23,60,8.03
2010-07-30,72,8.46
2010-08-06,74,8.17
2010-08-13,71,7.82
2010-08-20,71,7.64
2010-08-27,71,7.58
2010-09-03,60,8.03
2010-09-10,69,8.22
2010-09-17,66,8.23
2010-09-24,62,7.90
2010-10-01,67,8.11
2010-10-08,54,8.40
2010-10-15,62,8.03
2010-10-22,54,8.30
2010-10-29,63,8.20
2010-11-05,62,8.40
2010-11-12,66,8.02
2010-11-19,65,7.66
2010-11-26,67,7.48
2010-12-03,61,8.20
2010-12-10,73,8.38
2010-12-17,65,8.42
2010-12-24,69,
2010-12-31,60,8.85
2011-01-07,71,8.73
2011-01-14,59,8.77
2011-01-21,60,8.78
2011-01-28,62,8.79
2011-02-04,62,9.45
2011-02-11,60,9.54
2011-02-18,57,9.53
2011-02-25,59,9.29
2011-03-04,68,9.26
2011-03-11,60,9.08
2011-03-18,58,8.92
2011-03-25,59,8.72
2011-04-01,63,8.95
2011-04-08,59,8.87
2011-04-15,58,8.82
2011-04-22,57,
2011-04-29,55,8.67
2011-05-06,50,8.53
2011-05-13,54,8.27
2011-05-20,57,8.40
2011-05-27,57,8.45
2011-06-03,58,8.06
2011-06-10,54,8.01
2011-06-17,62,8.30
2011-06-24,60,7.93
2011-07-01,59,8.44
2011-07-08,59,8.26
2011-07-15,53,7.93
2011-07-22,53,8.41
2011-07-29,62,8.04
2011-08-05,56,7.25
2011-08-12,55,6.43
2011-08-19,64,6.01
2011-08-26,59,6.42
2011-09-02,58,6.24
2011-09-09,57,6.12
2011-09-16,58,6.53
2011-09-23,62,5.71
2011-09-30,60,5.93
2011-10-07,56,6.16
2011-10-14,59,6.51
2011-10-21,59,6.95
2011-10-28,58,7.33
2011-11-04,59,7.33
2011-11-11,62,7.47
2011-11-18,67,7.08
2011-11-25,66,6.67
2011-12-02,62,7.20
2011-12-09,64,7.38
2011-12-16,64,7.18
2011-12-23,75,7.78
2011-12-30,77,7.69
2012-01-06,66,7.98
2012-01-13,62,8.32
2012-01-20,65,8.30
2012-01-27,59,8.01
2012-02-03,63,8.24
2012-02-10,61,7.94
2012-02-17,59,8.12
2012-02-24,63,8.06
2012-03-02,63,7.98
2012-03-09,60,8.02
2012-03-16,56,8.54
2012-03-23,58,8.36
2012-03-30,51,8.50
2012-04-06,56,
2012-04-13,51,7.97
2012-04-20,54,7.87
2012-04-27,56,8.11
2012-05-04,60,7.82
2012-05-11,57,7.89
2012-05-18,88,7.41
2012-05-25,68,7.50
2012-06-01,66,7.14
2012-06-08,63,7.28
2012-06-15,57,7.43
2012-06-22,61,7.62
2012-06-29,61,7.74
2012-07-06,59,7.70
2012-07-13,56,7.85
2012-07-20,67,7.89
2012-07-27,64,8.18
2012-08-03,62,8.24
2012-08-10,62,8.34
2012-08-17,65,8.36
2012-08-24,63,8.35
2012-08-31,75,8.43
2012-09-07,66,8.61
2012-09-14,64,9.04
2012-09-21,60,8.91
2012-09-28,65,8.74
2012-10-05,61,8.88
2012-10-12,58,8.33
2012-10-19,56,8.74
2012-10-26,62,8.39
2012-11-02,72,8.37
2012-11-09,64,8.29
2012-11-16,72,8.03
2012-11-23,74,8.45
2012-11-30,69,8.08
2012-12-07,64,8.11
2012-12-14,72,8.14
2012-12-21,76,8.44
2012-12-28,79,8.35
2013-01-04,70,8.95
2013-01-11,69,8.84
2013-01-18,64,9.28
2013-01-25,70,9.29
2013-02-01,71,9.47
2013-02-08,71,9.57
2013-02-15,60,9.48
2013-02-22,64,9.51
2013-03-01,60,9.33
2013-03-08,65,9.86
2013-03-15,68,10.11
2013-03-22,64,10.05
2013-03-29,66,
2013-04-05,61,9.66
2013-04-12,60,9.84
2013-04-19,58,9.41
2013-04-26,56,9.80
2013-05-03,57,10.03
2013-05-10,57,10.30
2013-05-17,60,10.80
2013-05-24,60,10.66
2013-05-31,60,10.78
2013-06-07,55,10.86
2013-06-14,62,10.41
2013-06-21,57,10.54
2013-06-28,64,11.04
2013-07-05,67,12.00
2013-07-12,71,11.79
2013-07-19,69,12.04
2013-07-26,62,12.40
2013-08-02,61,12.55
2013-08-09,62,12.23
2013-08-16,64,12.16
2013-08-23,78,12.20
2013-08-30,72,11.67
2013-09-06,74,11.90
2013-09-13,70,11.97
2013-09-20,65,11.57
2013-09-27,63,11.36
2013-10-04,62,11.64
2013-10-11,61,11.88
2013-10-18,67,12.60
2013-10-25,67,12.69
2013-11-01,64,12.54
2013-11-08,70,13.02
2013-11-15,69,12.85
2013-11-22,69,12.98
2013-11-29,71,12.75
2013-12-06,69,12.95
2013-12-13,69,13.04
2013-12-20,74,13.32
2013-12-27,79,13.40
2014-01-03,76,13.32
2014-01-10,70,13.63
2014-01-17,72,13.54
2014-01-24,64,12.93
2014-01-31,63,12.76
2014-02-07,67,12.74
2014-02-14,64,12.92
2014-02-21,64,12.85
2014-02-28,65,13.17
2014-03-07,68,13.90
2014-03-14,64,13.79
2014-03-21,65,14.36
2014-03-28,68,14.14
2014-04-04,63,14.21
2014-04-11,65,13.18
2014-04-18,65,
2014-04-25,68,13.54
2014-05-02,65,
