Date,Dollar Tree,Price
2008-07-11,21,34.17
2008-07-18,22,36.89
2008-07-25,18,36.44
2008-08-01,20,37.27
2008-08-08,20,40.36
2008-08-15,21,40.00
2008-08-22,22,40.50
2008-08-29,20,38.36
2008-09-05,20,38.89
2008-09-12,21,39.83
2008-09-19,21,37.58
2008-09-26,24,37.62
2008-10-03,21,35.28
2008-10-10,22,32.73
2008-10-17,23,34.64
2008-10-24,22,34.70
2008-10-31,23,38.02
2008-11-07,20,37.90
2008-11-14,24,38.53
2008-11-21,25,35.28
2008-11-28,25,42.29
2008-12-05,34,42.30
2008-12-12,34,41.61
2008-12-19,32,43.71
2008-12-26,30,41.91
2009-01-02,21,42.05
2009-01-09,18,41.00
2009-01-16,19,43.33
2009-01-23,20,42.49
2009-01-30,20,42.71
2009-02-06,22,35.39
2009-02-13,24,33.68
2009-02-20,20,35.18
2009-02-27,21,38.82
2009-03-06,20,39.58
2009-03-13,21,41.21
2009-03-20,22,40.91
2009-03-27,23,43.83
2009-04-03,24,42.25
2009-04-10,25,
2009-04-17,23,42.67
2009-04-24,23,42.58
2009-05-01,24,41.53
2009-05-08,24,42.36
2009-05-15,24,42.20
2009-05-22,25,42.67
2009-05-29,24,44.77
2009-06-05,28,44.37
2009-06-12,27,43.29
2009-06-19,27,42.17
2009-06-26,24,42.66
2009-07-03,24,
2009-07-10,24,42.96
2009-07-17,26,44.15
2009-07-24,28,45.93
2009-07-31,28,46.12
2009-08-07,26,46.74
2009-08-14,28,45.11
2009-08-21,29,46.04
2009-08-28,28,51.13
2009-09-04,26,49.17
2009-09-11,27,49.05
2009-09-18,25,48.30
2009-09-25,27,48.01
2009-10-02,28,47.58
2009-10-09,31,49.05
2009-10-16,31,48.90
2009-10-23,30,47.55
2009-10-30,34,45.13
2009-11-06,27,48.78
2009-11-13,29,49.07
2009-11-20,31,48.93
2009-11-27,31,50.58
2009-12-04,40,46.79
2009-12-11,40,48.91
2009-12-18,42,48.91
2009-12-25,36,
2010-01-01,26,
2010-01-08,24,49.33
2010-01-15,25,49.37
2010-01-22,26,48.22
2010-01-29,27,49.52
2010-02-05,27,48.17
2010-02-12,28,48.37
2010-02-19,24,50.00
2010-02-26,25,55.74
2010-03-05,25,56.77
2010-03-12,26,56.31
2010-03-19,25,56.42
2010-03-26,27,59.71
2010-04-02,30,
2010-04-09,25,59.40
2010-04-16,25,59.89
2010-04-23,27,62.63
2010-04-30,29,60.72
2010-05-07,29,58.73
2010-05-14,31,59.90
2010-05-21,31,61.04
2010-05-28,30,62.59
2010-06-04,29,60.94
2010-06-11,31,63.06
2010-06-18,31,63.02
2010-06-25,31,42.01
2010-07-02,32,43.08
2010-07-09,33,41.40
2010-07-16,35,42.40
2010-07-23,36,43.43
2010-07-30,34,44.32
2010-08-06,36,42.03
2010-08-13,38,42.32
2010-08-20,36,44.62
2010-08-27,33,45.79
2010-09-03,35,46.03
2010-09-10,38,46.54
2010-09-17,39,48.38
2010-09-24,40,47.37
2010-10-01,41,48.48
2010-10-08,41,49.09
2010-10-15,42,50.08
2010-10-22,42,51.73
2010-10-29,48,51.31
2010-11-05,41,52.98
2010-11-12,42,53.55
2010-11-19,44,53.41
2010-11-26,41,56.71
2010-12-03,56,56.54
2010-12-10,56,56.66
2010-12-17,58,57.36
2010-12-24,62,
2010-12-31,37,56.08
2011-01-07,38,51.81
2011-01-14,35,50.39
2011-01-21,37,51.93
2011-01-28,39,50.99
2011-02-04,38,49.71
2011-02-11,43,50.50
2011-02-18,40,52.72
2011-02-25,38,50.47
2011-03-04,38,51.98
2011-03-11,38,53.44
2011-03-18,37,54.05
2011-03-25,42,55.32
2011-04-01,42,56.72
2011-04-08,41,55.69
2011-04-15,45,56.90
2011-04-22,50,
2011-04-29,47,57.50
2011-05-06,48,58.07
2011-05-13,48,61.03
2011-05-20,49,62.53
2011-05-27,51,63.22
2011-06-03,52,61.64
2011-06-10,50,61.75
2011-06-17,55,62.65
2011-06-24,51,65.26
2011-07-01,52,68.23
2011-07-08,48,69.88
2011-07-15,51,68.83
2011-07-22,52,68.76
2011-07-29,56,66.23
2011-08-05,56,62.82
2011-08-12,57,66.75
2011-08-19,56,64.88
2011-08-26,51,70.46
2011-09-02,49,71.21
2011-09-09,51,70.31
2011-09-16,51,75.54
2011-09-23,54,75.91
2011-09-30,54,75.14
2011-10-07,57,77.68
2011-10-14,56,80.26
2011-10-21,58,80.05
2011-10-28,61,78.87
2011-11-04,55,79.21
2011-11-11,57,78.67
2011-11-18,59,75.96
2011-11-25,58,76.61
2011-12-02,69,81.75
2011-12-09,74,82.55
2011-12-16,74,82.82
2011-12-23,81,83.26
2011-12-30,49,83.11
2012-01-06,49,82.57
2012-01-13,50,82.75
2012-01-20,49,84.46
2012-01-27,51,84.64
2012-02-03,53,85.65
2012-02-10,53,86.83
2012-02-17,56,89.35
2012-02-24,50,87.82
2012-03-02,49,90.62
2012-03-09,52,93.12
2012-03-16,50,93.28
2012-03-23,50,94.74
2012-03-30,52,94.49
2012-04-06,59,
2012-04-13,52,96.02
2012-04-20,51,99.55
2012-04-27,53,101.95
2012-05-04,58,101.87
2012-05-11,58,102.71
2012-05-18,58,95.19
2012-05-25,60,102.20
2012-06-01,62,99.94
2012-06-08,60,106.72
2012-06-15,60,110.34
2012-06-22,60,109.54
2012-06-29,62,53.80
2012-07-06,59,54.29
2012-07-13,60,52.77
2012-07-20,61,51.38
2012-07-27,64,51.96
2012-08-03,64,51.12
2012-08-10,63,50.72
2012-08-17,66,48.90
2012-08-24,67,49.29
2012-08-31,64,48.17
2012-09-07,65,47.71
2012-09-14,65,47.20
2012-09-21,66,48.55
2012-09-28,63,48.29
2012-10-05,65,48.07
2012-10-12,67,41.11
2012-10-19,67,39.15
2012-10-26,73,39.85
2012-11-02,67,39.59
2012-11-09,68,37.74
2012-11-16,71,38.82
2012-11-23,69,42.03
2012-11-30,78,41.74
2012-12-07,82,39.82
2012-12-14,83,38.63
2012-12-21,87,40.03
2012-12-28,75,39.60
2013-01-04,61,39.62
2013-01-11,57,38.12
2013-01-18,56,38.52
2013-01-25,58,41.05
2013-02-01,58,40.12
2013-02-08,60,41.06
2013-02-15,70,41.12
2013-02-22,54,41.89
2013-03-01,58,46.11
2013-03-08,60,45.03
2013-03-15,61,44.24
2013-03-22,63,46.84
2013-03-29,68,
2013-04-05,61,46.97
2013-04-12,61,47.82
2013-04-19,60,47.47
2013-04-26,63,47.95
2013-05-03,67,48.66
2013-05-10,71,49.28
2013-05-17,68,49.76
2013-05-24,68,50.24
2013-05-31,70,48.04
2013-06-07,72,49.69
2013-06-14,75,49.12
2013-06-21,71,49.41
2013-06-28,69,50.84
2013-07-05,72,53.00
2013-07-12,72,53.96
2013-07-19,74,53.55
2013-07-26,72,53.13
2013-08-02,73,54.38
2013-08-09,74,52.92
2013-08-16,77,50.45
2013-08-23,74,53.29
2013-08-30,71,52.70
2013-09-06,69,53.45
2013-09-13,71,54.87
2013-09-20,70,58.00
2013-09-27,72,57.52
2013-10-04,73,59.21
2013-10-11,73,58.69
2013-10-18,78,59.24
2013-10-25,78,59.70
2013-11-01,82,58.17
2013-11-08,72,58.66
2013-11-15,77,59.91
2013-11-22,79,56.86
2013-11-29,82,55.65
2013-12-06,92,55.17
2013-12-13,91,55.72
2013-12-20,100,55.45
2013-12-27,97,56.29
2014-01-03,68,56.57
2014-01-10,63,55.89
2014-01-17,67,54.32
2014-01-24,64,51.67
2014-01-31,65,50.52
2014-02-07,65,51.39
2014-02-14,80,51.92
2014-02-21,63,51.97
2014-02-28,63,54.77
2014-03-07,67,54.33
2014-03-14,65,53.92
2014-03-21,68,52.75
2014-03-28,66,52.15
2014-04-04,70,52.11
2014-04-11,72,50.74
2014-04-18,86,
2014-04-25,81,51.36
2014-05-02,75,
