Date,SLM,Price
2007-08-03,73,48.00
2007-08-10,80,48.20
2007-08-17,81,48.26
2007-08-24,70,49.85
2007-08-31,70,50.28
2007-09-07,84,48.26
2007-09-14,69,47.88
2007-09-21,78,48.31
2007-09-28,85,49.67
2007-10-05,80,49.50
2007-10-12,72,48.45
2007-10-19,73,47.17
2007-10-26,68,47.51
2007-11-02,72,44.90
2007-11-09,64,39.93
2007-11-16,75,39.05
2007-11-23,67,38.76
2007-11-30,71,38.08
2007-12-07,70,36.12
2007-12-14,80,26.69
2007-12-21,100,19.85
2007-12-28,91,19.65
2008-01-04,88,16.67
2008-01-11,85,20.18
2008-01-18,79,18.85
2008-01-25,92,19.88
2008-02-01,96,23.00
2008-02-08,84,20.75
2008-02-15,88,21.98
2008-02-22,84,22.32
2008-02-29,87,19.61
2008-03-07,84,18.43
2008-03-14,77,16.63
2008-03-21,85,
2008-03-28,88,15.16
2008-04-04,95,18.49
2008-04-11,82,17.85
2008-04-18,79,17.20
2008-04-25,87,17.80
2008-05-02,84,21.75
2008-05-09,82,21.70
2008-05-16,69,21.00
2008-05-23,89,23.63
2008-05-30,80,22.67
2008-06-06,80,22.06
2008-06-13,90,23.85
2008-06-20,96,22.84
2008-06-27,79,19.48
2008-07-04,77,
2008-07-11,76,15.99
2008-07-18,76,17.97
2008-07-25,79,17.00
2008-08-01,77,17.20
2008-08-08,74,16.75
2008-08-15,89,16.15
2008-08-22,75,14.66
2008-08-29,83,16.51
2008-09-05,83,17.08
2008-09-12,77,14.50
2008-09-19,78,15.75
2008-09-26,80,13.89
2008-10-03,80,10.01
2008-10-10,82,7.72
2008-10-17,81,10.31
2008-10-24,78,9.12
2008-10-31,73,10.67
2008-11-07,63,10.50
2008-11-14,64,7.43
2008-11-21,67,6.44
2008-11-28,72,9.21
2008-12-05,74,7.60
2008-12-12,70,8.29
2008-12-19,64,8.81
2008-12-26,64,8.29
2009-01-02,63,9.07
2009-01-09,70,10.65
2009-01-16,70,11.50
2009-01-23,70,9.75
2009-01-30,72,11.45
2009-02-06,73,10.00
2009-02-13,70,8.69
2009-02-20,68,7.63
2009-02-27,71,4.60
2009-03-06,68,3.28
2009-03-13,69,4.41
2009-03-20,71,4.22
2009-03-27,76,4.47
2009-04-03,72,5.35
2009-04-10,65,
2009-04-17,67,4.92
2009-04-24,74,4.84
2009-05-01,59,5.26
2009-05-08,64,6.64
2009-05-15,69,5.55
2009-05-22,69,5.77
2009-05-29,67,6.61
2009-06-05,72,6.61
2009-06-12,84,8.69
2009-06-19,77,8.75
2009-06-26,60,9.27
2009-07-03,63,
2009-07-10,67,8.97
2009-07-17,67,9.70
2009-07-24,61,9.18
2009-07-31,63,8.89
2009-08-07,63,9.47
2009-08-14,65,8.75
2009-08-21,66,8.72
2009-08-28,71,8.97
2009-09-04,68,8.50
2009-09-11,60,9.25
2009-09-18,65,8.81
2009-09-25,51,8.76
2009-10-02,53,8.23
2009-10-09,60,9.07
2009-10-16,49,9.18
2009-10-23,63,11.00
2009-10-30,60,9.70
2009-11-06,54,10.10
2009-11-13,54,10.22
2009-11-20,60,10.89
2009-11-27,53,10.72
2009-12-04,58,11.42
2009-12-11,52,11.82
2009-12-18,60,11.31
2009-12-25,50,
2010-01-01,57,
2010-01-08,59,11.64
2010-01-15,61,10.75
2010-01-22,59,10.40
2010-01-29,58,10.53
2010-02-05,59,10.49
2010-02-12,54,10.92
2010-02-19,60,11.15
2010-02-26,57,11.18
2010-03-05,55,12.00
2010-03-12,59,12.22
2010-03-19,50,11.60
2010-03-26,53,12.58
2010-04-02,52,
2010-04-09,60,13.18
2010-04-16,52,12.68
2010-04-23,59,13.34
2010-04-30,49,12.24
2010-05-07,51,11.04
2010-05-14,70,11.77
2010-05-21,60,10.40
2010-05-28,50,11.11
2010-06-04,50,11.00
2010-06-11,56,11.56
2010-06-18,61,11.92
2010-06-25,55,11.60
2010-07-02,51,10.35
2010-07-09,53,11.30
2010-07-16,53,10.93
2010-07-23,50,10.93
2010-07-30,54,12.00
2010-08-06,49,12.12
2010-08-13,52,11.67
2010-08-20,49,11.44
2010-08-27,48,11.25
2010-09-03,50,11.80
2010-09-10,50,11.85
2010-09-17,45,11.72
2010-09-24,47,11.96
2010-10-01,48,11.47
2010-10-08,46,11.28
2010-10-15,45,11.22
2010-10-22,46,11.54
2010-10-29,45,11.90
2010-11-05,50,12.68
2010-11-12,48,11.81
2010-11-19,50,11.71
2010-11-26,47,11.38
2010-12-03,46,12.12
2010-12-10,46,12.30
2010-12-17,50,12.06
2010-12-24,47,
2010-12-31,46,12.59
2011-01-07,48,13.53
2011-01-14,49,14.28
2011-01-21,51,14.08
2011-01-28,49,14.40
2011-02-04,56,14.43
2011-02-11,52,15.00
2011-02-18,50,15.20
2011-02-25,48,14.96
2011-03-04,47,14.72
2011-03-11,49,14.94
2011-03-18,46,14.74
2011-03-25,47,14.98
2011-04-01,46,15.15
2011-04-08,53,15.23
2011-04-15,45,14.78
2011-04-22,44,
2011-04-29,45,16.59
2011-05-06,47,16.54
2011-05-13,45,15.87
2011-05-20,47,16.34
2011-05-27,49,16.84
2011-06-03,48,16.30
2011-06-10,47,15.75
2011-06-17,45,15.96
2011-06-24,45,16.66
2011-07-01,45,16.98
2011-07-08,48,16.70
2011-07-15,47,16.05
2011-07-22,43,16.71
2011-07-29,48,15.59
2011-08-05,46,14.05
2011-08-12,49,13.89
2011-08-19,39,12.73
2011-08-26,44,13.65
2011-09-02,42,12.68
2011-09-09,40,12.71
2011-09-16,44,13.48
2011-09-23,45,12.41
2011-09-30,44,12.45
2011-10-07,44,12.56
2011-10-14,42,13.54
2011-10-21,42,13.99
2011-10-28,43,13.65
2011-11-04,40,14.16
2011-11-11,47,14.20
2011-11-18,44,13.07
2011-11-25,46,11.99
2011-12-02,42,12.64
2011-12-09,38,13.08
2011-12-16,41,13.41
2011-12-23,40,13.87
2011-12-30,37,13.40
2012-01-06,41,13.78
2012-01-13,43,13.64
2012-01-20,41,14.62
2012-01-27,46,15.13
2012-02-03,50,15.99
2012-02-10,46,15.88
2012-02-17,42,16.14
2012-02-24,48,16.19
2012-03-02,42,16.11
2012-03-09,41,16.36
2012-03-16,42,16.27
2012-03-23,44,16.12
2012-03-30,45,15.76
2012-04-06,38,
2012-04-13,44,14.85
2012-04-20,41,15.08
2012-04-27,42,14.86
2012-05-04,39,13.88
2012-05-11,40,13.70
2012-05-18,42,12.89
2012-05-25,38,13.57
2012-06-01,42,13.69
2012-06-08,42,14.53
2012-06-15,47,15.01
2012-06-22,45,15.15
2012-06-29,43,15.71
2012-07-06,38,16.28
2012-07-13,38,16.32
2012-07-20,40,15.69
2012-07-27,39,16.11
2012-08-03,43,16.02
2012-08-10,40,16.12
2012-08-17,37,16.03
2012-08-24,42,15.82
2012-08-31,41,15.75
2012-09-07,41,15.94
2012-09-14,42,16.78
2012-09-21,38,16.29
2012-09-28,42,15.72
2012-10-05,44,16.67
2012-10-12,41,17.00
2012-10-19,42,16.61
2012-10-26,39,17.49
2012-11-02,36,17.68
2012-11-09,38,16.85
2012-11-16,42,16.74
2012-11-23,38,17.05
2012-11-30,36,16.55
2012-12-07,39,16.90
2012-12-14,37,16.69
2012-12-21,40,16.82
2012-12-28,33,16.80
2013-01-04,36,17.50
2013-01-11,40,17.37
2013-01-18,44,16.88
2013-01-25,39,16.90
2013-02-01,40,17.07
2013-02-08,44,18.66
2013-02-15,40,18.96
2013-02-22,37,18.90
2013-03-01,43,19.77
2013-03-08,44,19.07
2013-03-15,40,19.92
2013-03-22,41,20.31
2013-03-29,39,
2013-04-05,41,19.80
2013-04-12,39,20.92
2013-04-19,41,20.32
2013-04-26,41,20.52
2013-05-03,41,20.96
2013-05-10,35,21.16
2013-05-17,38,22.74
2013-05-24,39,22.79
2013-05-31,44,23.74
2013-06-07,42,23.56
2013-06-14,42,22.98
2013-06-21,43,22.36
2013-06-28,39,22.86
2013-07-05,37,22.99
2013-07-12,41,23.40
2013-07-19,46,24.54
2013-07-26,41,24.16
2013-08-02,42,24.99
2013-08-09,44,24.73
2013-08-16,38,24.82
2013-08-23,43,25.00
2013-08-30,46,23.99
2013-09-06,41,24.15
2013-09-13,42,24.77
2013-09-20,35,25.07
2013-09-27,37,25.14
2013-10-04,41,25.06
2013-10-11,40,25.09
2013-10-18,39,25.79
2013-10-25,40,25.73
2013-11-01,40,25.25
2013-11-08,41,25.10
2013-11-15,47,26.27
2013-11-22,43,26.25
2013-11-29,41,26.65
2013-12-06,36,26.44
2013-12-13,41,25.76
2013-12-20,38,25.95
2013-12-27,36,26.01
2014-01-03,38,26.26
2014-01-10,44,26.82
2014-01-17,47,24.47
2014-01-24,45,23.01
2014-01-31,43,22.76
2014-02-07,41,22.75
2014-02-14,41,23.60
2014-02-21,41,23.84
2014-02-28,41,23.94
2014-03-07,40,24.82
2014-03-14,40,24.45
2014-03-21,39,25.71
2014-03-28,42,24.60
2014-04-04,39,24.54
2014-04-11,43,24.81
2014-04-18,42,
2014-04-25,43,25.82
2014-05-02,49,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
