Date,ETN,Price
2008-08-15,74,73.52
2008-08-22,70,71.94
2008-08-29,61,73.18
2008-09-05,66,69.67
2008-09-12,77,71.45
2008-09-19,58,69.33
2008-09-26,71,58.06
2008-10-03,65,49.20
2008-10-10,67,48.00
2008-10-17,66,44.42
2008-10-24,66,41.75
2008-10-31,68,44.96
2008-11-07,64,44.25
2008-11-14,79,41.15
2008-11-21,67,41.76
2008-11-28,65,46.34
2008-12-05,70,42.69
2008-12-12,66,44.50
2008-12-19,81,45.57
2008-12-26,76,47.02
2009-01-02,71,51.82
2009-01-09,66,50.17
2009-01-16,64,48.56
2009-01-23,58,45.33
2009-01-30,73,44.02
2009-02-06,54,44.87
2009-02-13,58,43.80
2009-02-20,64,40.28
2009-02-27,72,36.15
2009-03-06,61,31.11
2009-03-13,78,33.61
2009-03-20,68,34.12
2009-03-27,71,38.90
2009-04-03,97,42.01
2009-04-10,92,
2009-04-17,85,44.75
2009-04-24,76,44.00
2009-05-01,57,43.62
2009-05-08,54,47.69
2009-05-15,65,45.31
2009-05-22,68,44.15
2009-05-29,67,43.50
2009-06-05,68,48.07
2009-06-12,73,49.18
2009-06-19,73,45.57
2009-06-26,73,45.18
2009-07-03,78,
2009-07-10,90,40.94
2009-07-17,97,44.95
2009-07-24,99,51.20
2009-07-31,100,51.92
2009-08-07,95,54.76
2009-08-14,91,54.11
2009-08-21,84,55.37
2009-08-28,76,54.81
2009-09-04,81,54.44
2009-09-11,75,58.06
2009-09-18,69,59.76
2009-09-25,71,56.40
2009-10-02,67,54.06
2009-10-09,71,57.36
2009-10-16,75,60.42
2009-10-23,70,63.10
2009-10-30,68,60.45
2009-11-06,69,64.31
2009-11-13,82,64.53
2009-11-20,63,63.19
2009-11-27,72,64.27
2009-12-04,74,66.21
2009-12-11,76,64.47
2009-12-18,88,63.27
2009-12-25,90,
2010-01-01,87,
2010-01-08,70,66.05
2010-01-15,60,67.75
2010-01-22,69,65.88
2010-01-29,73,61.24
2010-02-05,57,62.00
2010-02-12,66,65.02
2010-02-19,62,67.72
2010-02-26,65,68.12
2010-03-05,67,73.14
2010-03-12,79,74.42
2010-03-19,74,74.15
2010-03-26,91,74.57
2010-04-02,94,
2010-04-09,69,80.21
2010-04-16,66,79.39
2010-04-23,69,79.21
2010-04-30,75,77.16
2010-05-07,70,70.25
2010-05-14,70,73.92
2010-05-21,71,69.32
2010-05-28,69,69.95
2010-06-04,72,67.18
2010-06-11,71,70.53
2010-06-18,71,74.32
2010-06-25,77,70.20
2010-07-02,77,63.70
2010-07-09,81,67.50
2010-07-16,91,67.20
2010-07-23,100,77.23
2010-07-30,88,78.46
2010-08-06,90,79.15
2010-08-13,87,75.27
2010-08-20,80,73.04
2010-08-27,76,71.86
2010-09-03,73,76.50
2010-09-10,77,78.56
2010-09-17,81,79.85
2010-09-24,71,82.42
2010-10-01,69,82.53
2010-10-08,71,83.21
2010-10-15,78,83.88
2010-10-22,74,87.87
2010-10-29,81,88.83
2010-11-05,75,93.88
2010-11-12,74,94.26
2010-11-19,72,96.48
2010-11-26,73,97.99
2010-12-03,70,99.64
2010-12-10,83,98.91
2010-12-17,82,100.04
2010-12-24,81,
2010-12-31,89,101.51
2011-01-07,74,102.60
2011-01-14,65,104.15
2011-01-21,64,102.45
2011-01-28,70,104.26
2011-02-04,73,109.56
2011-02-11,66,112.44
2011-02-18,65,110.92
2011-02-25,71,106.93
2011-03-04,70,54.35
2011-03-11,71,51.62
2011-03-18,80,51.75
2011-03-25,71,54.01
2011-04-01,70,55.91
2011-04-08,82,54.26
2011-04-15,97,52.35
2011-04-22,99,
2011-04-29,82,53.56
2011-05-06,66,51.78
2011-05-13,75,51.92
2011-05-20,71,50.97
2011-05-27,74,51.38
2011-06-03,71,48.91
2011-06-10,70,45.81
2011-06-17,80,47.00
2011-06-24,76,48.19
2011-07-01,80,52.65
2011-07-08,83,52.53
2011-07-15,85,51.33
2011-07-22,93,51.16
2011-07-29,86,47.95
2011-08-05,87,42.35
2011-08-12,90,41.81
2011-08-19,81,37.90
2011-08-26,80,40.23
2011-09-02,79,40.32
2011-09-09,81,38.66
2011-09-16,84,39.74
2011-09-23,82,34.73
2011-09-30,82,35.50
2011-10-07,77,38.63
2011-10-14,82,42.17
2011-10-21,78,42.25
2011-10-28,75,46.97
2011-11-04,73,45.94
2011-11-11,79,45.64
2011-11-18,85,43.92
2011-11-25,76,40.55
2011-12-02,75,44.83
2011-12-09,82,44.35
2011-12-16,84,42.19
2011-12-23,90,44.36
2011-12-30,88,43.53
2012-01-06,79,45.29
2012-01-13,69,48.71
2012-01-20,75,48.38
2012-01-27,71,49.57
2012-02-03,73,50.93
2012-02-10,70,51.44
2012-02-17,71,50.82
2012-02-24,77,51.75
2012-03-02,76,51.27
2012-03-09,82,49.01
2012-03-16,94,51.02
2012-03-23,81,49.30
2012-03-30,99,49.83
2012-04-06,91,
2012-04-13,81,46.87
2012-04-20,71,47.44
2012-04-27,71,49.07
2012-05-04,66,45.37
2012-05-11,70,44.71
2012-05-18,71,42.40
2012-05-25,69,43.30
2012-06-01,66,40.24
2012-06-08,68,41.24
2012-06-15,72,39.84
2012-06-22,72,38.26
2012-06-29,73,39.63
2012-07-06,83,39.50
2012-07-13,88,38.09
2012-07-20,90,39.06
2012-07-27,93,44.05
2012-08-03,81,44.23
2012-08-10,79,46.15
2012-08-17,76,46.36
2012-08-24,70,46.44
2012-08-31,69,44.72
2012-09-07,68,47.43
2012-09-14,74,47.23
2012-09-21,66,48.13
2012-09-28,66,47.27
2012-10-05,68,47.28
2012-10-12,67,44.97
2012-10-19,68,45.81
2012-10-26,66,45.12
2012-11-02,66,49.20
2012-11-09,69,49.05
2012-11-16,78,48.94
2012-11-23,68,51.58
2012-11-30,64,52.16
2012-12-07,69,52.47
2012-12-14,70,52.57
2012-12-21,91,53.84
2012-12-28,73,53.09
2013-01-04,67,56.75
2013-01-11,55,55.75
2013-01-18,60,56.67
2013-01-25,62,57.52
2013-02-01,66,57.52
2013-02-08,58,58.92
2013-02-15,61,60.87
2013-02-22,59,59.75
2013-03-01,62,62.66
2013-03-08,62,63.35
2013-03-15,71,62.57
2013-03-22,78,63.27
2013-03-29,85,
2013-04-05,69,59.32
2013-04-12,60,60.30
2013-04-19,64,56.96
2013-04-26,66,58.65
2013-05-03,61,61.65
2013-05-10,64,64.93
2013-05-17,64,66.86
2013-05-24,64,68.23
2013-05-31,62,66.06
2013-06-07,64,65.62
2013-06-14,68,64.58
2013-06-21,62,63.96
2013-06-28,69,65.81
2013-07-05,73,67.72
2013-07-12,81,68.34
2013-07-19,85,68.28
2013-07-26,77,68.03
2013-08-02,76,66.06
2013-08-09,71,65.62
2013-08-16,66,65.44
2013-08-23,67,66.89
2013-08-30,60,63.32
2013-09-06,59,65.63
2013-09-13,65,67.33
2013-09-20,50,70.57
2013-09-27,54,69.69
2013-10-04,55,69.05
2013-10-11,62,69.30
2013-10-18,65,68.73
2013-10-25,61,71.64
2013-11-01,60,70.67
2013-11-08,63,70.60
2013-11-15,69,72.30
2013-11-22,61,73.00
2013-11-29,58,72.66
2013-12-06,64,72.42
2013-12-13,69,70.97
2013-12-20,78,75.72
2013-12-27,71,76.75
2014-01-03,59,75.71
2014-01-10,53,76.32
2014-01-17,54,76.85
2014-01-24,56,73.13
2014-01-31,61,73.09
2014-02-07,50,70.62
2014-02-14,50,72.72
2014-02-21,55,73.50
2014-02-28,59,74.71
2014-03-07,61,76.15
2014-03-14,71,71.27
2014-03-21,60,72.65
2014-03-28,59,74.23
2014-04-04,61,75.57
2014-04-11,74,70.92
2014-04-18,73,
2014-04-25,69,73.95
2014-05-02,61,
