Date,Air Products & Chemicals Inc,Price
2007-04-06,45,
2007-04-13,46,73.69
2007-04-20,43,75.04
2007-04-27,41,78.06
2007-05-04,42,77.06
2007-05-11,41,77.42
2007-05-18,37,78.56
2007-05-25,43,78.34
2007-06-01,46,78.69
2007-06-08,51,79.41
2007-06-15,44,81.70
2007-06-22,51,82.25
2007-06-29,50,80.37
2007-07-06,45,81.05
2007-07-13,47,86.85
2007-07-20,48,88.50
2007-07-27,46,86.07
2007-08-03,52,85.37
2007-08-10,45,88.56
2007-08-17,36,85.00
2007-08-24,46,89.04
2007-08-31,43,90.01
2007-09-07,42,88.83
2007-09-14,44,88.27
2007-09-21,44,93.76
2007-09-28,44,97.76
2007-10-05,46,96.80
2007-10-12,40,97.25
2007-10-19,42,95.82
2007-10-26,42,98.23
2007-11-02,47,96.78
2007-11-09,44,97.26
2007-11-16,40,94.83
2007-11-23,46,93.43
2007-11-30,46,99.04
2007-12-07,43,101.77
2007-12-14,40,101.39
2007-12-21,42,100.82
2007-12-28,23,101.34
2008-01-04,38,96.42
2008-01-11,46,90.38
2008-01-18,46,85.15
2008-01-25,44,89.41
2008-02-01,40,92.34
2008-02-08,42,89.18
2008-02-15,41,91.75
2008-02-22,43,93.44
2008-02-29,39,91.33
2008-03-07,41,87.68
2008-03-14,41,89.14
2008-03-21,40,
2008-03-28,43,90.98
2008-04-04,42,97.40
2008-04-11,41,94.59
2008-04-18,46,101.73
2008-04-25,42,101.34
2008-05-02,44,98.26
2008-05-09,40,97.93
2008-05-16,44,102.32
2008-05-23,42,98.48
2008-05-30,33,101.92
2008-06-06,47,103.06
2008-06-13,49,102.73
2008-06-20,40,102.66
2008-06-27,46,98.62
2008-07-04,39,
2008-07-11,43,96.61
2008-07-18,42,97.22
2008-07-25,47,95.39
2008-08-01,42,92.96
2008-08-08,47,89.92
2008-08-15,41,90.55
2008-08-22,39,92.89
2008-08-29,43,91.85
2008-09-05,36,87.21
2008-09-12,40,87.00
2008-09-19,38,83.45
2008-09-26,41,71.43
2008-10-03,48,63.37
2008-10-10,39,55.00
2008-10-17,36,58.41
2008-10-24,44,50.53
2008-10-31,41,58.13
2008-11-07,33,57.60
2008-11-14,36,52.78
2008-11-21,38,44.44
2008-11-28,26,47.76
2008-12-05,37,47.61
2008-12-12,35,48.59
2008-12-19,37,46.63
2008-12-26,21,46.61
2009-01-02,24,53.06
2009-01-09,41,56.62
2009-01-16,35,57.02
2009-01-23,37,52.87
2009-01-30,34,50.30
2009-02-06,37,55.40
2009-02-13,34,54.03
2009-02-20,36,51.24
2009-02-27,33,46.25
2009-03-06,37,46.41
2009-03-13,35,52.73
2009-03-20,34,55.20
2009-03-27,35,58.77
2009-04-03,35,60.53
2009-04-10,42,
2009-04-17,39,60.65
2009-04-24,41,62.60
2009-05-01,40,65.75
2009-05-08,35,62.47
2009-05-15,40,61.59
2009-05-22,36,62.38
2009-05-29,35,64.78
2009-06-05,37,68.23
2009-06-12,29,67.99
2009-06-19,39,64.94
2009-06-26,39,65.19
2009-07-03,29,
2009-07-10,36,63.31
2009-07-17,38,67.76
2009-07-24,39,73.35
2009-07-31,37,74.60
2009-08-07,34,74.63
2009-08-14,39,74.31
2009-08-21,34,76.64
2009-08-28,37,75.76
2009-09-04,31,75.14
2009-09-11,36,73.84
2009-09-18,39,80.20
2009-09-25,34,76.70
2009-10-02,36,75.53
2009-10-09,35,80.24
2009-10-16,35,82.98
2009-10-23,36,81.14
2009-10-30,33,77.13
2009-11-06,34,80.15
2009-11-13,34,83.38
2009-11-20,34,82.34
2009-11-27,28,82.11
2009-12-04,34,82.09
2009-12-11,35,81.75
2009-12-18,31,81.31
2009-12-25,25,
2010-01-01,21,
2010-01-08,35,81.84
2010-01-15,34,82.77
2010-01-22,35,78.07
2010-01-29,35,75.96
2010-02-05,43,68.64
2010-02-12,45,68.53
2010-02-19,40,69.64
2010-02-26,37,68.58
2010-03-05,37,73.50
2010-03-12,38,74.56
2010-03-19,32,74.44
2010-03-26,35,74.32
2010-04-02,32,
2010-04-09,34,75.36
2010-04-16,37,76.03
2010-04-23,38,79.22
2010-04-30,37,76.78
2010-05-07,36,70.98
2010-05-14,38,69.57
2010-05-21,37,66.94
2010-05-28,33,69.06
2010-06-04,34,66.55
2010-06-11,33,69.43
2010-06-18,35,71.54
2010-06-25,33,68.58
2010-07-02,36,64.97
2010-07-09,37,69.74
2010-07-16,36,69.32
2010-07-23,37,72.09
2010-07-30,30,72.58
2010-08-06,34,76.22
2010-08-13,33,75.68
2010-08-20,35,75.01
2010-08-27,33,74.42
2010-09-03,29,78.04
2010-09-10,32,77.95
2010-09-17,37,82.20
2010-09-24,34,84.20
2010-10-01,34,83.02
2010-10-08,33,82.70
2010-10-15,30,81.66
2010-10-22,32,84.74
2010-10-29,30,84.97
2010-11-05,35,86.65
2010-11-12,30,84.00
2010-11-19,32,86.01
2010-11-26,27,85.62
2010-12-03,30,87.61
2010-12-10,31,88.84
2010-12-17,27,89.33
2010-12-24,25,
2010-12-31,23,90.95
2011-01-07,31,88.50
2011-01-14,28,88.73
2011-01-21,34,86.51
2011-01-28,33,85.77
2011-02-04,30,88.61
2011-02-11,32,89.06
2011-02-18,33,94.96
2011-02-25,31,91.42
2011-03-04,30,91.22
2011-03-11,30,87.02
2011-03-18,27,88.00
2011-03-25,28,89.94
2011-04-01,31,90.48
2011-04-08,30,92.01
2011-04-15,30,91.82
2011-04-22,30,
2011-04-29,31,95.52
2011-05-06,26,92.50
2011-05-13,31,90.66
2011-05-20,31,91.27
2011-05-27,30,93.96
2011-06-03,30,89.63
2011-06-10,31,91.17
2011-06-17,28,90.04
2011-06-24,31,92.99
2011-07-01,30,96.45
2011-07-08,29,97.02
2011-07-15,31,94.29
2011-07-22,34,91.90
2011-07-29,32,88.73
2011-08-05,31,82.25
2011-08-12,28,81.99
2011-08-19,28,75.24
2011-08-26,30,78.64
2011-09-02,30,80.04
2011-09-09,27,78.39
2011-09-16,27,82.36
2011-09-23,27,76.72
2011-09-30,30,76.37
2011-10-07,28,80.03
2011-10-14,30,84.06
2011-10-21,30,82.74
2011-10-28,27,89.41
2011-11-04,27,85.77
2011-11-11,26,86.46
2011-11-18,27,81.08
2011-11-25,24,76.74
2011-12-02,29,81.96
2011-12-09,24,83.22
2011-12-16,29,82.54
2011-12-23,23,86.05
2011-12-30,23,85.19
2012-01-06,27,86.32
2012-01-13,29,89.91
2012-01-20,29,90.65
2012-01-27,27,88.19
2012-02-03,28,90.40
2012-02-10,29,90.40
2012-02-17,27,92.06
2012-02-24,26,91.94
2012-03-02,27,91.88
2012-03-09,26,89.44
2012-03-16,27,91.71
2012-03-23,28,90.20
2012-03-30,27,91.80
2012-04-06,25,
2012-04-13,27,88.26
2012-04-20,29,89.75
2012-04-27,29,85.56
2012-05-04,27,85.52
2012-05-11,29,83.17
2012-05-18,28,77.81
2012-05-25,28,79.94
2012-06-01,28,76.88
2012-06-08,27,79.62
2012-06-15,29,79.48
2012-06-22,31,77.98
2012-06-29,29,80.73
2012-07-06,31,79.82
2012-07-13,31,79.84
2012-07-20,27,80.43
2012-07-27,30,81.26
2012-08-03,27,82.24
2012-08-10,26,83.73
2012-08-17,27,84.42
2012-08-24,29,83.33
2012-08-31,24,82.58
2012-09-07,24,83.61
2012-09-14,26,85.49
2012-09-21,27,84.51
2012-09-28,26,82.70
2012-10-05,26,83.90
2012-10-12,27,82.00
2012-10-19,26,79.99
2012-10-26,25,77.92
2012-11-02,26,78.15
2012-11-09,26,79.73
2012-11-16,24,80.00
2012-11-23,24,83.04
2012-11-30,27,82.94
2012-12-07,25,83.06
2012-12-14,23,82.55
2012-12-21,21,84.28
2012-12-28,16,82.93
2013-01-04,20,86.71
2013-01-11,27,88.37
2013-01-18,22,88.69
2013-01-25,24,88.36
2013-02-01,24,88.73
2013-02-08,23,88.35
2013-02-15,23,88.23
2013-02-22,25,86.09
2013-03-01,26,86.34
2013-03-08,24,89.10
2013-03-15,25,90.17
2013-03-22,24,87.52
2013-03-29,22,
2013-04-05,24,85.13
2013-04-12,26,86.93
2013-04-19,26,85.71
2013-04-26,26,85.59
2013-05-03,25,89.80
2013-05-10,24,91.21
2013-05-17,26,94.33
2013-05-24,24,93.93
2013-05-31,21,94.41
2013-06-07,23,95.09
2013-06-14,24,96.35
2013-06-21,24,94.59
2013-06-28,26,91.57
2013-07-05,21,91.88
2013-07-12,23,96.65
2013-07-19,26,96.99
2013-07-26,29,104.12
2013-08-02,32,106.95
2013-08-09,25,106.70
2013-08-16,26,100.89
2013-08-23,26,104.00
2013-08-30,24,102.14
2013-09-06,23,102.99
2013-09-13,25,106.15
2013-09-20,25,108.57
2013-09-27,27,107.00
2013-10-04,24,106.31
2013-10-11,24,108.72
2013-10-18,25,110.19
2013-10-25,26,111.73
2013-11-01,25,108.00
2013-11-08,25,109.45
2013-11-15,25,110.59
2013-11-22,26,111.17
2013-11-29,24,108.83
2013-12-06,27,109.51
2013-12-13,25,107.72
2013-12-20,23,111.30
2013-12-27,15,113.43
2014-01-03,19,111.22
2014-01-10,25,109.63
2014-01-17,25,112.01
2014-01-24,25,106.71
2014-01-31,25,105.14
2014-02-07,26,109.23
2014-02-14,24,117.38
2014-02-21,25,118.27
2014-02-28,25,121.32
2014-03-07,23,121.67
2014-03-14,24,119.77
2014-03-21,24,122.15
2014-03-28,24,117.30
2014-04-04,22,119.10
2014-04-11,24,115.14
2014-04-18,21,
2014-04-25,25,117.12
2014-05-02,23,
