Date,LSI,Price
2010-07-30,35,4.03
2010-08-06,35,4.38
2010-08-13,34,4.20
2010-08-20,33,4.42
2010-08-27,33,4.18
2010-09-03,34,4.32
2010-09-10,34,4.18
2010-09-17,34,4.44
2010-09-24,31,4.47
2010-10-01,36,4.55
2010-10-08,33,4.55
2010-10-15,35,4.66
2010-10-22,34,4.69
2010-10-29,35,5.24
2010-11-05,33,5.61
2010-11-12,36,5.52
2010-11-19,34,5.69
2010-11-26,29,5.80
2010-12-03,32,5.97
2010-12-10,32,5.99
2010-12-17,31,6.00
2010-12-24,27,
2010-12-31,23,5.99
2011-01-07,34,6.05
2011-01-14,34,6.22
2011-01-21,37,5.76
2011-01-28,37,6.13
2011-02-04,34,6.36
2011-02-11,33,6.48
2011-02-18,34,6.75
2011-02-25,31,6.42
2011-03-04,33,6.28
2011-03-11,38,6.60
2011-03-18,35,6.39
2011-03-25,34,6.94
2011-04-01,35,6.66
2011-04-08,36,6.63
2011-04-15,36,6.59
2011-04-22,35,
2011-04-29,33,7.33
2011-05-06,30,7.52
2011-05-13,33,7.62
2011-05-20,31,7.51
2011-05-27,31,7.31
2011-06-03,30,7.02
2011-06-10,31,6.81
2011-06-17,32,6.74
2011-06-24,30,6.83
2011-07-01,31,7.25
2011-07-08,30,7.27
2011-07-15,31,6.69
2011-07-22,29,6.71
2011-07-29,30,7.36
2011-08-05,29,6.79
2011-08-12,29,6.99
2011-08-19,28,6.29
2011-08-26,28,6.76
2011-09-02,26,6.59
2011-09-09,28,6.55
2011-09-16,29,6.65
2011-09-23,29,5.79
2011-09-30,31,5.18
2011-10-07,28,5.39
2011-10-14,28,5.94
2011-10-21,30,5.86
2011-10-28,33,6.29
2011-11-04,29,6.28
2011-11-11,29,5.94
2011-11-18,31,5.66
2011-11-25,26,5.10
2011-12-02,29,5.77
2011-12-09,30,5.73
2011-12-16,29,5.42
2011-12-23,26,5.91
2011-12-30,20,5.95
2012-01-06,25,6.72
2012-01-13,30,6.65
2012-01-20,29,7.06
2012-01-27,32,7.74
2012-02-03,30,8.11
2012-02-10,32,8.33
2012-02-17,31,8.28
2012-02-24,31,8.50
2012-03-02,29,8.33
2012-03-09,29,8.73
2012-03-16,31,8.80
2012-03-23,28,8.66
2012-03-30,28,8.68
2012-04-06,28,
2012-04-13,31,8.13
2012-04-20,27,7.93
2012-04-27,29,7.89
2012-05-04,27,7.90
2012-05-11,27,7.74
2012-05-18,29,7.19
2012-05-25,30,6.90
2012-06-01,28,6.33
2012-06-08,27,6.60
2012-06-15,27,6.40
2012-06-22,28,6.37
2012-06-29,28,6.37
2012-07-06,26,6.20
2012-07-13,36,5.85
2012-07-20,27,6.16
2012-07-27,29,7.15
2012-08-03,28,7.29
2012-08-10,26,7.70
2012-08-17,27,7.85
2012-08-24,28,7.59
2012-08-31,27,7.79
2012-09-07,26,7.87
2012-09-14,28,7.89
2012-09-21,41,7.28
2012-09-28,27,6.91
2012-10-05,27,7.10
2012-10-12,26,6.45
2012-10-19,25,6.46
2012-10-26,28,6.88
2012-11-02,25,6.76
2012-11-09,26,6.74
2012-11-16,25,6.41
2012-11-23,23,6.71
2012-11-30,26,6.74
2012-12-07,26,6.96
2012-12-14,26,6.75
2012-12-21,25,7.00
2012-12-28,18,6.92
2013-01-04,20,7.30
2013-01-11,28,7.15
2013-01-18,28,7.33
2013-01-25,32,7.32
2013-02-01,29,7.38
2013-02-08,29,7.17
2013-02-15,26,7.11
2013-02-22,28,7.10
2013-03-01,29,6.89
2013-03-08,33,6.92
2013-03-15,26,6.86
2013-03-22,28,6.61
2013-03-29,27,
2013-04-05,28,6.45
2013-04-12,28,6.40
2013-04-19,28,6.10
2013-04-26,26,6.40
2013-05-03,25,6.72
2013-05-10,25,7.03
2013-05-17,30,7.23
2013-05-24,27,7.22
2013-05-31,27,7.41
2013-06-07,29,7.36
2013-06-14,29,7.31
2013-06-21,26,7.02
2013-06-28,27,7.14
2013-07-05,25,7.38
2013-07-12,26,7.54
2013-07-19,25,7.70
2013-07-26,25,7.67
2013-08-02,25,7.80
2013-08-09,24,7.65
2013-08-16,22,7.48
2013-08-23,24,7.59
2013-08-30,29,7.41
2013-09-06,27,7.76
2013-09-13,26,7.90
2013-09-20,26,7.88
2013-09-27,26,7.89
2013-10-04,25,7.88
2013-10-11,25,7.69
2013-10-18,24,7.99
2013-10-25,26,7.79
2013-11-01,25,8.45
2013-11-08,24,8.25
2013-11-15,24,8.22
2013-11-22,25,8.07
2013-11-29,23,8.07
2013-12-06,22,8.10
2013-12-13,24,7.91
2013-12-20,35,10.94
2013-12-27,18,11.01
2014-01-03,18,11.03
2014-01-10,24,10.97
2014-01-17,25,11.00
2014-01-24,25,11.00
2014-01-31,24,11.03
2014-02-07,25,11.06
2014-02-14,25,11.09
2014-02-21,24,11.08
2014-02-28,25,11.09
2014-03-07,25,11.08
2014-03-14,26,11.09
2014-03-21,24,11.05
2014-03-28,25,11.07
2014-04-04,27,11.07
2014-04-11,46,11.06
2014-04-18,26,
2014-04-25,25,11.13
2014-05-02,24,
