Date,TXT,Price
2007-05-04,53,103.25
2007-05-11,52,102.47
2007-05-18,54,105.38
2007-05-25,55,106.35
2007-06-01,54,108.17
2007-06-08,55,106.58
2007-06-15,53,109.75
2007-06-22,54,111.25
2007-06-29,54,110.11
2007-07-06,55,115.98
2007-07-13,58,114.79
2007-07-20,56,122.40
2007-07-27,57,114.05
2007-08-03,56,113.50
2007-08-10,59,111.78
2007-08-17,59,108.04
2007-08-24,57,114.68
2007-08-31,61,58.34
2007-09-07,57,55.72
2007-09-14,59,56.51
2007-09-21,61,62.33
2007-09-28,59,62.21
2007-10-05,59,65.38
2007-10-12,59,64.24
2007-10-19,58,65.46
2007-10-26,60,67.12
2007-11-02,65,69.49
2007-11-09,62,66.76
2007-11-16,64,64.14
2007-11-23,67,66.98
2007-11-30,65,69.05
2007-12-07,64,73.38
2007-12-14,67,71.15
2007-12-21,69,70.00
2007-12-28,77,71.62
2008-01-04,74,65.46
2008-01-11,66,59.08
2008-01-18,65,53.50
2008-01-25,64,53.36
2008-02-01,64,57.26
2008-02-08,58,55.88
2008-02-15,66,57.23
2008-02-22,72,56.78
2008-02-29,69,54.17
2008-03-07,70,54.63
2008-03-14,73,52.86
2008-03-21,78,
2008-03-28,79,54.62
2008-04-04,82,58.03
2008-04-11,77,57.16
2008-04-18,82,60.97
2008-04-25,83,61.39
2008-05-02,83,62.00
2008-05-09,82,60.87
2008-05-16,78,62.43
2008-05-23,78,60.52
2008-05-30,78,62.55
2008-06-06,77,58.95
2008-06-13,81,58.18
2008-06-20,81,51.66
2008-06-27,78,47.93
2008-07-04,85,
2008-07-11,89,46.03
2008-07-18,100,41.60
2008-07-25,90,42.81
2008-08-01,88,43.06
2008-08-08,83,43.71
2008-08-15,86,42.33
2008-08-22,79,38.50
2008-08-29,84,41.10
2008-09-05,83,39.28
2008-09-12,85,38.92
2008-09-19,85,35.96
2008-09-26,82,32.49
2008-10-03,90,25.22
2008-10-10,85,19.03
2008-10-17,86,19.12
2008-10-24,83,12.22
2008-10-31,82,17.70
2008-11-07,85,16.20
2008-11-14,78,14.73
2008-11-21,74,13.16
2008-11-28,81,15.23
2008-12-05,80,14.12
2008-12-12,87,15.33
2008-12-19,80,15.25
2008-12-26,91,12.91
2009-01-02,87,15.37
2009-01-09,82,15.86
2009-01-16,79,14.05
2009-01-23,82,12.56
2009-01-30,75,9.03
2009-02-06,84,6.81
2009-02-13,88,6.89
2009-02-20,83,6.25
2009-02-27,88,5.65
2009-03-06,84,3.75
2009-03-13,85,5.00
2009-03-20,85,5.94
2009-03-27,84,6.54
2009-04-03,85,7.42
2009-04-10,91,
2009-04-17,87,12.94
2009-04-24,87,12.35
2009-05-01,86,10.94
2009-05-08,86,11.96
2009-05-15,90,10.82
2009-05-22,91,11.21
2009-05-29,96,11.50
2009-06-05,89,12.31
2009-06-12,91,11.48
2009-06-19,90,9.59
2009-06-26,82,9.61
2009-07-03,80,
2009-07-10,81,8.95
2009-07-17,82,10.19
2009-07-24,82,11.31
2009-07-31,93,13.44
2009-08-07,89,14.78
2009-08-14,90,14.41
2009-08-21,89,14.58
2009-08-28,86,15.67
2009-09-04,82,17.07
2009-09-11,83,19.02
2009-09-18,83,19.44
2009-09-25,79,17.88
2009-10-02,81,17.51
2009-10-09,84,19.49
2009-10-16,80,19.92
2009-10-23,78,19.13
2009-10-30,80,17.78
2009-11-06,79,19.33
2009-11-13,80,19.81
2009-11-20,83,19.64
2009-11-27,86,20.08
2009-12-04,81,20.23
2009-12-11,85,19.88
2009-12-18,86,18.67
2009-12-25,93,
2010-01-01,95,
2010-01-08,84,20.38
2010-01-15,86,21.88
2010-01-22,86,21.32
2010-01-29,84,19.53
2010-02-05,83,18.91
2010-02-12,80,18.32
2010-02-19,76,19.68
2010-02-26,83,19.92
2010-03-05,81,21.81
2010-03-12,82,22.26
2010-03-19,87,22.21
2010-03-26,82,21.68
2010-04-02,82,
2010-04-09,83,22.09
2010-04-16,80,21.94
2010-04-23,83,23.85
2010-04-30,82,22.84
2010-05-07,76,20.38
2010-05-14,79,22.57
2010-05-21,80,20.57
2010-05-28,79,20.67
2010-06-04,81,18.96
2010-06-11,85,19.46
2010-06-18,76,20.03
2010-06-25,73,19.31
2010-07-02,71,16.07
2010-07-09,70,17.80
2010-07-16,71,17.34
2010-07-23,72,20.77
2010-07-30,72,20.76
2010-08-06,70,20.82
2010-08-13,70,18.16
2010-08-20,73,17.89
2010-08-27,69,17.86
2010-09-03,67,18.91
2010-09-10,70,18.90
2010-09-17,68,19.22
2010-09-24,67,20.74
2010-10-01,67,20.75
2010-10-08,66,21.62
2010-10-15,64,21.51
2010-10-22,64,20.95
2010-10-29,63,20.82
2010-11-05,62,22.61
2010-11-12,60,21.36
2010-11-19,60,21.60
2010-11-26,57,22.06
2010-12-03,57,23.70
2010-12-10,56,23.40
2010-12-17,54,23.29
2010-12-24,59,
2010-12-31,60,23.64
2011-01-07,55,24.19
2011-01-14,54,25.34
2011-01-21,55,26.63
2011-01-28,56,26.32
2011-02-04,53,27.20
2011-02-11,56,27.60
2011-02-18,56,28.50
2011-02-25,55,27.15
2011-03-04,54,26.99
2011-03-11,53,26.66
2011-03-18,53,25.50
2011-03-25,53,27.01
2011-04-01,56,27.40
2011-04-08,56,27.17
2011-04-15,55,26.26
2011-04-22,56,
2011-04-29,54,26.10
2011-05-06,53,24.99
2011-05-13,55,24.61
2011-05-20,55,22.98
2011-05-27,54,22.47
2011-06-03,54,21.92
2011-06-10,52,21.02
2011-06-17,56,21.74
2011-06-24,59,22.36
2011-07-01,58,23.94
2011-07-08,58,23.30
2011-07-15,58,21.81
2011-07-22,57,24.76
2011-07-29,60,23.13
2011-08-05,60,18.59
2011-08-12,62,17.05
2011-08-19,69,15.21
2011-08-26,84,15.64
2011-09-02,79,15.56
2011-09-09,73,15.26
2011-09-16,78,18.63
2011-09-23,77,16.93
2011-09-30,81,17.64
2011-10-07,83,18.34
2011-10-14,76,18.54
2011-10-21,78,19.07
2011-10-28,80,20.30
2011-11-04,77,18.61
2011-11-11,80,18.69
2011-11-18,80,18.52
2011-11-25,78,17.33
2011-12-02,81,19.05
2011-12-09,79,18.21
2011-12-16,79,17.82
2011-12-23,83,18.77
2011-12-30,90,18.49
2012-01-06,86,19.12
2012-01-13,84,21.18
2012-01-20,84,21.50
2012-01-27,79,25.21
2012-02-03,85,26.03
2012-02-10,87,26.96
2012-02-17,89,27.95
2012-02-24,89,27.65
2012-03-02,90,27.02
2012-03-09,89,27.01
2012-03-16,88,27.48
2012-03-23,90,27.14
2012-03-30,88,27.83
2012-04-06,97,
2012-04-13,89,26.85
2012-04-20,84,26.75
2012-04-27,85,27.01
2012-05-04,93,25.50
2012-05-11,83,24.09
2012-05-18,89,22.35
2012-05-25,89,23.52
2012-06-01,90,22.69
2012-06-08,90,24.31
2012-06-15,86,24.84
2012-06-22,92,24.57
2012-06-29,95,24.87
2012-07-06,94,24.23
2012-07-13,95,23.15
2012-07-20,93,26.31
2012-07-27,97,26.40
2012-08-03,97,26.46
2012-08-10,96,26.83
2012-08-17,97,27.19
2012-08-24,77,26.53
2012-08-31,56,26.72
2012-09-07,46,27.59
2012-09-14,43,28.36
2012-09-21,44,27.12
2012-09-28,42,26.17
2012-10-05,42,25.78
2012-10-12,41,25.49
2012-10-19,41,25.51
2012-10-26,40,25.56
2012-11-02,39,25.07
2012-11-09,39,23.86
2012-11-16,38,23.12
2012-11-23,42,23.78
2012-11-30,40,23.49
2012-12-07,39,23.79
2012-12-14,39,24.26
2012-12-21,39,24.48
2012-12-28,40,24.12
2013-01-04,40,26.23
2013-01-11,39,26.41
2013-01-18,39,27.22
2013-01-25,41,28.75
2013-02-01,39,28.89
2013-02-08,38,29.31
2013-02-15,38,29.39
2013-02-22,38,29.14
2013-03-01,38,28.47
2013-03-08,37,30.40
2013-03-15,37,31.05
2013-03-22,37,30.75
2013-03-29,36,
2013-04-05,36,28.56
2013-04-12,37,29.81
2013-04-19,36,26.35
2013-04-26,37,26.06
2013-05-03,36,25.72
2013-05-10,36,27.13
2013-05-17,40,28.25
2013-05-24,36,27.51
2013-05-31,36,26.96
2013-06-07,37,26.92
2013-06-14,36,26.50
2013-06-21,35,25.90
2013-06-28,34,26.05
2013-07-05,34,26.24
2013-07-12,35,27.64
2013-07-19,35,28.54
2013-07-26,36,27.59
2013-08-02,35,28.73
2013-08-09,35,28.00
2013-08-16,36,27.60
2013-08-23,36,27.75
2013-08-30,37,26.94
2013-09-06,34,28.17
2013-09-13,34,28.67
2013-09-20,36,28.47
2013-09-27,36,27.90
2013-10-04,36,27.12
2013-10-11,35,27.31
2013-10-18,36,28.25
2013-10-25,34,29.07
2013-11-01,35,29.00
2013-11-08,35,30.28
2013-11-15,35,30.65
2013-11-22,35,31.98
2013-11-29,34,33.23
2013-12-06,34,32.62
2013-12-13,34,31.46
2013-12-20,33,37.29
2013-12-27,33,36.61
2014-01-03,34,36.31
2014-01-10,34,35.67
2014-01-17,35,36.10
2014-01-24,37,36.41
2014-01-31,34,35.50
2014-02-07,34,35.82
2014-02-14,36,37.33
2014-02-21,34,38.31
2014-02-28,35,39.70
2014-03-07,33,40.18
2014-03-14,33,37.75
2014-03-21,33,38.41
2014-03-28,33,38.53
2014-04-04,33,39.08
2014-04-11,33,36.96
2014-04-18,34,
2014-04-25,33,39.26
2014-05-02,33,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
