Date,SIAL,Price
2008-01-11,10,52.23
2008-01-18,11,52.47
2008-01-25,10,48.10
2008-02-01,11,50.43
2008-02-08,10,50.10
2008-02-15,12,52.76
2008-02-22,12,55.16
2008-02-29,10,55.02
2008-03-07,11,53.83
2008-03-14,9,55.53
2008-03-21,9,
2008-03-28,12,58.52
2008-04-04,13,61.73
2008-04-11,17,60.61
2008-04-18,13,62.05
2008-04-25,19,59.03
2008-05-02,10,56.14
2008-05-09,13,57.78
2008-05-16,15,60.19
2008-05-23,14,57.27
2008-05-30,16,58.76
2008-06-06,17,58.12
2008-06-13,13,58.35
2008-06-20,12,56.53
2008-06-27,12,54.09
2008-07-04,14,
2008-07-11,15,55.38
2008-07-18,18,57.60
2008-07-25,20,59.38
2008-08-01,28,59.99
2008-08-08,19,62.56
2008-08-15,17,59.17
2008-08-22,20,59.02
2008-08-29,21,56.76
2008-09-05,22,53.80
2008-09-12,27,53.40
2008-09-19,31,54.65
2008-09-26,29,54.70
2008-10-03,31,49.08
2008-10-10,42,44.19
2008-10-17,66,43.91
2008-10-24,56,37.43
2008-10-31,18,43.86
2008-11-07,11,42.19
2008-11-14,10,40.84
2008-11-21,11,38.74
2008-11-28,11,43.11
2008-12-05,10,39.02
2008-12-12,8,39.56
2008-12-19,9,40.52
2008-12-26,5,41.10
2009-01-02,6,43.24
2009-01-09,9,38.25
2009-01-16,10,38.75
2009-01-23,11,37.11
2009-01-30,8,36.08
2009-02-06,9,39.97
2009-02-13,9,38.41
2009-02-20,11,37.33
2009-02-27,9,35.70
2009-03-06,9,32.67
2009-03-13,9,34.60
2009-03-20,10,35.91
2009-03-27,16,38.78
2009-04-03,15,39.91
2009-04-10,11,
2009-04-17,10,41.34
2009-04-24,13,42.10
2009-05-01,10,44.05
2009-05-08,10,44.84
2009-05-15,11,45.27
2009-05-22,11,45.67
2009-05-29,15,48.46
2009-06-05,12,49.58
2009-06-12,13,50.35
2009-06-19,10,48.28
2009-06-26,8,49.66
2009-07-03,8,
2009-07-10,10,46.66
2009-07-17,11,49.49
2009-07-24,15,49.89
2009-07-31,25,50.75
2009-08-07,14,52.37
2009-08-14,14,51.56
2009-08-21,16,52.09
2009-08-28,16,51.23
2009-09-04,9,50.19
2009-09-11,9,50.79
2009-09-18,9,53.25
2009-09-25,9,52.48
2009-10-02,15,51.96
2009-10-09,14,53.80
2009-10-16,14,55.06
2009-10-23,10,54.08
2009-10-30,11,51.93
2009-11-06,10,54.41
2009-11-13,10,55.15
2009-11-20,10,53.94
2009-11-27,9,53.06
2009-12-04,9,52.88
2009-12-11,9,52.26
2009-12-18,9,51.33
2009-12-25,9,
2010-01-01,7,
2010-01-08,10,50.99
2010-01-15,11,51.88
2010-01-22,11,49.91
2010-01-29,12,47.85
2010-02-05,12,47.46
2010-02-12,12,48.40
2010-02-19,10,48.45
2010-02-26,10,47.69
2010-03-05,10,52.95
2010-03-12,11,53.68
2010-03-19,12,54.71
2010-03-26,11,53.17
2010-04-02,11,
2010-04-09,10,55.47
2010-04-16,12,55.57
2010-04-23,15,59.41
2010-04-30,12,59.30
2010-05-07,11,54.42
2010-05-14,14,54.23
2010-05-21,17,52.87
2010-05-28,14,53.32
2010-06-04,13,50.69
2010-06-11,13,52.66
2010-06-18,13,53.21
2010-06-25,12,51.78
2010-07-02,14,49.30
2010-07-09,13,53.26
2010-07-16,15,53.16
2010-07-23,17,56.23
2010-07-30,28,56.10
2010-08-06,18,56.59
2010-08-13,17,53.84
2010-08-20,23,53.72
2010-08-27,21,53.49
2010-09-03,19,55.58
2010-09-10,19,56.97
2010-09-17,23,58.88
2010-09-24,28,60.67
2010-10-01,31,60.72
2010-10-08,37,60.65
2010-10-15,58,60.60
2010-10-22,50,62.29
2010-10-29,15,63.49
2010-11-05,12,65.34
2010-11-12,10,64.19
2010-11-19,13,64.52
2010-11-26,11,64.30
2010-12-03,11,65.52
2010-12-10,10,66.24
2010-12-17,12,66.75
2010-12-24,9,
2010-12-31,8,66.56
2011-01-07,7,64.83
2011-01-14,10,64.41
2011-01-21,10,63.30
2011-01-28,7,62.40
2011-02-04,9,63.53
2011-02-11,10,62.40
2011-02-18,10,63.83
2011-02-25,11,62.89
2011-03-04,12,64.34
2011-03-11,11,62.37
2011-03-18,11,62.00
2011-03-25,11,63.42
2011-04-01,11,63.94
2011-04-08,11,64.82
2011-04-15,13,65.24
2011-04-22,11,
2011-04-29,13,70.58
2011-05-06,13,68.72
2011-05-13,15,68.88
2011-05-20,12,69.70
2011-05-27,10,69.76
2011-06-03,9,67.41
2011-06-10,10,67.13
2011-06-17,12,66.57
2011-06-24,9,68.76
2011-07-01,11,74.24
2011-07-08,12,75.69
2011-07-15,13,73.22
2011-07-22,19,73.53
2011-07-29,12,67.10
2011-08-05,11,60.95
2011-08-12,10,63.17
2011-08-19,12,58.97
2011-08-26,10,61.73
2011-09-02,11,61.99
2011-09-09,10,59.18
2011-09-16,10,64.74
2011-09-23,10,60.41
2011-09-30,12,61.79
2011-10-07,10,62.51
2011-10-14,11,65.42
2011-10-21,11,68.29
2011-10-28,11,67.78
2011-11-04,9,63.58
2011-11-11,11,63.56
2011-11-18,13,60.00
2011-11-25,14,58.89
2011-12-02,11,64.42
2011-12-09,12,65.95
2011-12-16,12,63.15
2011-12-23,8,62.86
2011-12-30,7,62.46
2012-01-06,11,62.34
2012-01-13,10,64.17
2012-01-20,10,66.93
2012-01-27,10,68.26
2012-02-03,12,70.77
2012-02-10,13,69.52
2012-02-17,13,71.96
2012-02-24,12,72.60
2012-03-02,13,71.91
2012-03-09,14,71.61
2012-03-16,15,73.41
2012-03-23,16,72.54
2012-03-30,13,73.06
2012-04-06,12,
2012-04-13,14,70.96
2012-04-20,13,71.88
2012-04-27,12,71.38
2012-05-04,15,68.53
2012-05-11,19,70.63
2012-05-18,12,68.17
2012-05-25,12,71.10
2012-06-01,12,67.53
2012-06-08,13,70.70
2012-06-15,15,71.70
2012-06-22,13,71.77
2012-06-29,16,73.93
2012-07-06,18,73.25
2012-07-13,25,71.61
2012-07-20,18,71.42
2012-07-27,17,70.83
2012-08-03,13,70.22
2012-08-10,16,72.07
2012-08-17,14,71.74
2012-08-24,14,70.67
2012-08-31,16,71.03
2012-09-07,19,73.43
2012-09-14,22,73.72
2012-09-21,23,73.37
2012-09-28,26,71.97
2012-10-05,29,73.38
2012-10-12,31,71.90
2012-10-19,46,72.67
2012-10-26,48,70.56
2012-11-02,15,70.15
2012-11-09,13,69.56
2012-11-16,12,69.30
2012-11-23,14,72.20
2012-11-30,12,72.52
2012-12-07,12,73.06
2012-12-14,11,72.60
2012-12-21,10,73.70
2012-12-28,7,72.86
2013-01-04,10,75.27
2013-01-11,9,76.40
2013-01-18,9,76.93
2013-01-25,11,77.40
2013-02-01,10,78.04
2013-02-08,12,77.66
2013-02-15,10,77.15
2013-02-22,11,76.34
2013-03-01,12,77.38
2013-03-08,13,78.83
2013-03-15,13,78.95
2013-03-22,13,77.45
2013-03-29,12,
2013-04-05,11,75.94
2013-04-12,12,76.42
2013-04-19,13,76.91
2013-04-26,12,77.45
2013-05-03,14,78.89
2013-05-10,13,80.56
2013-05-17,11,84.19
2013-05-24,12,84.59
2013-05-31,11,83.70
2013-06-07,11,82.87
2013-06-14,14,81.48
2013-06-21,12,80.73
2013-06-28,15,80.42
2013-07-05,18,81.29
2013-07-12,30,84.35
2013-07-19,20,84.46
2013-07-26,12,82.71
2013-08-02,11,84.96
2013-08-09,10,85.68
2013-08-16,13,84.13
2013-08-23,11,83.93
2013-08-30,11,82.47
2013-09-06,10,83.11
2013-09-13,9,85.48
2013-09-20,11,85.93
2013-09-27,11,85.53
2013-10-04,12,85.28
2013-10-11,11,83.64
2013-10-18,11,83.77
2013-10-25,11,87.06
2013-11-01,11,85.52
2013-11-08,11,84.78
2013-11-15,12,86.66
2013-11-22,12,87.46
2013-11-29,14,86.24
2013-12-06,13,89.18
2013-12-13,14,89.44
2013-12-20,12,90.56
2013-12-27,9,94.19
2014-01-03,9,92.57
2014-01-10,10,93.42
2014-01-17,10,92.51
2014-01-24,10,91.43
2014-01-31,11,92.97
2014-02-07,13,92.78
2014-02-14,12,96.61
2014-02-21,11,93.02
2014-02-28,12,94.41
2014-03-07,12,94.38
2014-03-14,14,95.08
2014-03-21,16,94.38
2014-03-28,15,92.37
2014-04-04,17,93.32
2014-04-11,13,92.10
2014-04-18,13,
2014-04-25,14,94.99
2014-05-02,13,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
