Date,ADS,Price
2010-06-04,16,68.61
2010-06-11,16,69.39
2010-06-18,16,70.50
2010-06-25,15,63.90
2010-07-02,15,55.70
2010-07-09,15,58.20
2010-07-16,15,55.88
2010-07-23,16,56.66
2010-07-30,15,57.48
2010-08-06,15,61.42
2010-08-13,15,58.07
2010-08-20,15,56.59
2010-08-27,15,57.33
2010-09-03,15,61.00
2010-09-10,16,61.76
2010-09-17,16,63.30
2010-09-24,16,65.35
2010-10-01,16,65.71
2010-10-08,16,64.55
2010-10-15,16,68.35
2010-10-22,17,64.24
2010-10-29,19,60.72
2010-11-05,22,62.95
2010-11-12,30,62.18
2010-11-19,50,61.72
2010-11-26,72,63.70
2010-12-03,16,68.18
2010-12-10,15,69.84
2010-12-17,14,70.07
2010-12-24,13,
2010-12-31,13,71.03
2011-01-07,14,71.20
2011-01-14,14,72.16
2011-01-21,15,71.64
2011-01-28,15,71.25
2011-02-04,16,76.51
2011-02-11,29,78.53
2011-02-18,15,78.96
2011-02-25,14,78.35
2011-03-04,15,81.22
2011-03-11,15,78.73
2011-03-18,14,81.13
2011-03-25,15,84.86
2011-04-01,15,85.93
2011-04-08,15,85.00
2011-04-15,15,83.66
2011-04-22,15,
2011-04-29,15,95.00
2011-05-06,14,90.79
2011-05-13,15,91.78
2011-05-20,15,91.49
2011-05-27,15,93.72
2011-06-03,14,89.86
2011-06-10,13,86.40
2011-06-17,14,88.13
2011-06-24,14,89.35
2011-07-01,14,94.64
2011-07-08,14,97.73
2011-07-15,14,94.22
2011-07-22,14,97.65
2011-07-29,13,98.34
2011-08-05,14,88.17
2011-08-12,14,89.36
2011-08-19,14,83.01
2011-08-26,13,89.90
2011-09-02,13,90.52
2011-09-09,14,89.70
2011-09-16,14,95.04
2011-09-23,15,91.54
2011-09-30,15,92.70
2011-10-07,15,94.60
2011-10-14,15,94.15
2011-10-21,15,97.99
2011-10-28,16,104.97
2011-11-04,19,102.57
2011-11-11,27,101.95
2011-11-18,38,95.83
2011-11-25,48,93.08
2011-12-02,16,104.85
2011-12-09,15,103.70
2011-12-16,14,103.00
2011-12-23,12,105.74
2011-12-30,12,103.84
2012-01-06,13,102.54
2012-01-13,14,106.03
2012-01-20,14,108.49
2012-01-27,14,110.40
2012-02-03,17,115.57
2012-02-10,22,117.93
2012-02-17,15,119.62
2012-02-24,14,121.88
2012-03-02,15,120.70
2012-03-09,15,122.90
2012-03-16,14,124.87
2012-03-23,14,125.98
2012-03-30,14,125.96
2012-04-06,14,
2012-04-13,13,124.32
2012-04-20,15,128.40
2012-04-27,14,130.28
2012-05-04,14,126.41
2012-05-11,13,127.20
2012-05-18,14,121.25
2012-05-25,14,127.18
2012-06-01,13,122.19
2012-06-08,13,124.80
2012-06-15,14,128.91
2012-06-22,13,129.40
2012-06-29,13,135.00
2012-07-06,13,135.92
2012-07-13,13,132.23
2012-07-20,14,130.55
2012-07-27,13,130.60
2012-08-03,13,129.29
2012-08-10,14,131.28
2012-08-17,14,137.47
2012-08-24,14,138.49
2012-08-31,14,137.65
2012-09-07,14,141.19
2012-09-14,14,140.91
2012-09-21,15,142.21
2012-09-28,15,141.95
2012-10-05,15,144.02
2012-10-12,15,137.84
2012-10-19,15,144.33
2012-10-26,15,142.64
2012-11-02,16,143.43
2012-11-09,21,142.32
2012-11-16,24,139.66
2012-11-23,31,140.83
2012-11-30,14,142.49
2012-12-07,14,142.96
2012-12-14,13,144.10
2012-12-21,12,146.31
2012-12-28,11,144.02
2013-01-04,12,151.10
2013-01-11,13,155.53
2013-01-18,13,155.80
2013-01-25,14,158.05
2013-02-01,15,156.75
2013-02-08,23,154.08
2013-02-15,14,155.41
2013-02-22,14,154.02
2013-03-01,14,158.58
2013-03-08,14,157.85
2013-03-15,13,157.84
2013-03-22,14,157.46
2013-03-29,14,
2013-04-05,13,155.35
2013-04-12,14,157.87
2013-04-19,14,160.07
2013-04-26,14,166.89
2013-05-03,14,173.95
2013-05-10,14,177.19
2013-05-17,14,178.08
2013-05-24,14,181.63
2013-05-31,13,177.09
2013-06-07,13,178.37
2013-06-14,13,177.79
2013-06-21,13,172.63
2013-06-28,13,181.03
2013-07-05,13,182.32
2013-07-12,13,190.51
2013-07-19,14,188.79
2013-07-26,14,191.76
2013-08-02,14,203.11
2013-08-09,13,206.01
2013-08-16,13,202.55
2013-08-23,13,202.30
2013-08-30,14,195.70
2013-09-06,13,199.43
2013-09-13,14,206.09
2013-09-20,14,209.75
2013-09-27,13,209.28
2013-10-04,14,217.86
2013-10-11,14,223.55
2013-10-18,14,231.08
2013-10-25,15,234.47
2013-11-01,15,236.78
2013-11-08,17,242.86
2013-11-15,23,249.11
2013-11-22,23,243.27
2013-11-29,28,242.26
2013-12-06,15,248.70
2013-12-13,14,250.87
2013-12-20,13,250.50
2013-12-27,12,258.15
2014-01-03,12,263.70
2014-01-10,14,258.26
2014-01-17,15,256.89
2014-01-24,14,249.72
2014-01-31,17,239.66
2014-02-07,22,265.08
2014-02-14,15,280.11
2014-02-21,15,282.95
2014-02-28,15,285.11
2014-03-07,15,287.78
2014-03-14,15,278.59
2014-03-21,15,286.50
2014-03-28,15,274.23
2014-04-04,14,262.69
2014-04-11,15,246.38
2014-04-18,14,
2014-04-25,14,236.12
2014-05-02,14,
