Date,EXC,Price
2007-02-16,74,63.19
2007-02-23,74,66.93
2007-03-02,69,64.22
2007-03-09,75,64.49
2007-03-16,74,65.78
2007-03-23,78,67.72
2007-03-30,73,68.71
2007-04-06,71,
2007-04-13,85,70.92
2007-04-20,90,73.28
2007-04-27,75,76.23
2007-05-04,82,76.50
2007-05-11,78,76.53
2007-05-18,81,78.45
2007-05-25,82,73.25
2007-06-01,84,76.61
2007-06-08,78,70.66
2007-06-15,84,74.48
2007-06-22,85,70.03
2007-06-29,68,72.60
2007-07-06,72,76.41
2007-07-13,65,78.16
2007-07-20,67,78.89
2007-07-27,72,69.62
2007-08-03,71,71.09
2007-08-10,74,72.85
2007-08-17,68,71.32
2007-08-24,76,73.14
2007-08-31,69,70.67
2007-09-07,69,73.26
2007-09-14,74,76.47
2007-09-21,79,77.75
2007-09-28,82,75.36
2007-10-05,84,76.60
2007-10-12,78,79.18
2007-10-19,76,75.14
2007-10-26,78,80.22
2007-11-02,74,81.77
2007-11-09,81,82.36
2007-11-16,71,79.80
2007-11-23,69,80.64
2007-11-30,83,81.07
2007-12-07,75,85.26
2007-12-14,72,83.93
2007-12-21,61,82.26
2007-12-28,69,82.76
2008-01-04,66,82.03
2008-01-11,73,84.08
2008-01-18,70,75.86
2008-01-25,73,73.10
2008-02-01,73,77.42
2008-02-08,71,75.87
2008-02-15,75,78.65
2008-02-22,78,78.68
2008-02-29,79,74.85
2008-03-07,77,77.99
2008-03-14,73,79.75
2008-03-21,84,
2008-03-28,73,79.76
2008-04-04,84,83.17
2008-04-11,84,82.47
2008-04-18,84,87.08
2008-04-25,83,86.39
2008-05-02,78,86.06
2008-05-09,85,82.94
2008-05-16,85,85.06
2008-05-23,83,88.33
2008-05-30,88,88.00
2008-06-06,82,87.41
2008-06-13,75,89.75
2008-06-20,73,89.57
2008-06-27,77,87.00
2008-07-04,83,
2008-07-11,76,90.55
2008-07-18,65,83.42
2008-07-25,74,80.67
2008-08-01,78,75.44
2008-08-08,75,74.49
2008-08-15,80,73.39
2008-08-22,72,75.90
2008-08-29,79,75.96
2008-09-05,82,64.97
2008-09-12,79,68.39
2008-09-19,75,67.94
2008-09-26,76,67.16
2008-10-03,83,60.19
2008-10-10,84,47.38
2008-10-17,89,54.50
2008-10-24,79,48.55
2008-10-31,76,54.24
2008-11-07,69,53.82
2008-11-14,75,50.57
2008-11-21,75,50.00
2008-11-28,69,56.21
2008-12-05,72,53.03
2008-12-12,65,54.71
2008-12-19,66,52.71
2008-12-26,64,52.69
2009-01-02,69,57.17
2009-01-09,69,54.17
2009-01-16,72,54.80
2009-01-23,81,54.65
2009-01-30,73,54.22
2009-02-06,79,57.81
2009-02-13,76,53.69
2009-02-20,70,47.94
2009-02-27,74,47.22
2009-03-06,84,44.65
2009-03-13,94,42.02
2009-03-20,83,43.76
2009-03-27,88,45.74
2009-04-03,88,48.60
2009-04-10,88,
2009-04-17,94,46.14
2009-04-24,80,44.72
2009-05-01,81,46.98
2009-05-08,83,50.15
2009-05-15,81,47.22
2009-05-22,80,46.64
2009-05-29,83,48.01
2009-06-05,78,48.46
2009-06-12,81,50.58
2009-06-19,81,49.94
2009-06-26,79,50.70
2009-07-03,74,
2009-07-10,79,48.34
2009-07-17,83,51.42
2009-07-24,76,54.44
2009-07-31,85,50.86
2009-08-07,86,50.04
2009-08-14,75,49.98
2009-08-21,80,51.14
2009-08-28,86,50.51
2009-09-04,84,48.50
2009-09-11,81,48.39
2009-09-18,83,51.37
2009-09-25,84,49.86
2009-10-02,86,47.98
2009-10-09,79,49.42
2009-10-16,74,50.10
2009-10-23,77,49.87
2009-10-30,84,46.96
2009-11-06,70,46.70
2009-11-13,64,46.61
2009-11-20,78,46.81
2009-11-27,74,47.66
2009-12-04,71,49.30
2009-12-11,65,51.61
2009-12-18,71,49.74
2009-12-25,70,
2010-01-01,68,
2010-01-08,73,48.30
2010-01-15,67,48.60
2010-01-22,73,46.61
2010-01-29,72,45.62
2010-02-05,73,44.24
2010-02-12,70,43.30
2010-02-19,68,44.88
2010-02-26,75,43.30
2010-03-05,72,45.50
2010-03-12,79,44.16
2010-03-19,73,44.62
2010-03-26,80,43.19
2010-04-02,84,
2010-04-09,88,44.26
2010-04-16,86,43.62
2010-04-23,79,43.95
2010-04-30,90,43.59
2010-05-07,91,41.54
2010-05-14,87,41.68
2010-05-21,85,39.43
2010-05-28,81,38.60
2010-06-04,85,37.63
2010-06-11,80,39.89
2010-06-18,77,41.24
2010-06-25,82,38.37
2010-07-02,79,37.88
2010-07-09,65,40.62
2010-07-16,74,41.48
2010-07-23,72,41.02
2010-07-30,75,41.83
2010-08-06,79,42.17
2010-08-13,72,41.37
2010-08-20,77,40.41
2010-08-27,76,40.76
2010-09-03,80,42.22
2010-09-10,80,42.82
2010-09-17,86,42.11
2010-09-24,79,42.98
2010-10-01,80,43.03
2010-10-08,84,43.20
2010-10-15,82,43.15
2010-10-22,85,42.00
2010-10-29,80,40.82
2010-11-05,80,41.17
2010-11-12,89,40.05
2010-11-19,77,40.00
2010-11-26,75,39.53
2010-12-03,74,40.05
2010-12-10,68,40.04
2010-12-17,71,41.08
2010-12-24,71,
2010-12-31,69,41.64
2011-01-07,80,42.58
2011-01-14,87,42.87
2011-01-21,90,43.21
2011-01-28,84,41.91
2011-02-04,80,42.75
2011-02-11,85,42.06
2011-02-18,89,41.58
2011-02-25,80,41.29
2011-03-04,81,41.13
2011-03-11,73,43.16
2011-03-18,79,40.03
2011-03-25,84,40.59
2011-04-01,85,41.16
2011-04-08,92,40.44
2011-04-15,85,40.65
2011-04-22,86,
2011-04-29,85,42.17
2011-05-06,90,41.27
2011-05-13,87,41.74
2011-05-20,92,42.26
2011-05-27,89,41.70
2011-06-03,82,41.47
2011-06-10,87,41.86
2011-06-17,87,41.74
2011-06-24,88,42.02
2011-07-01,75,43.35
2011-07-08,78,43.63
2011-07-15,82,43.37
2011-07-22,78,43.70
2011-07-29,79,44.07
2011-08-05,84,41.98
2011-08-12,80,40.72
2011-08-19,83,41.75
2011-08-26,88,42.01
2011-09-02,85,42.61
2011-09-09,85,42.38
2011-09-16,89,43.43
2011-09-23,94,42.43
2011-09-30,84,42.61
2011-10-07,85,41.93
2011-10-14,88,43.23
2011-10-21,91,43.31
2011-10-28,82,44.57
2011-11-04,88,44.02
2011-11-11,87,45.06
2011-11-18,83,43.68
2011-11-25,83,41.93
2011-12-02,89,43.33
2011-12-09,76,43.58
2011-12-16,78,42.84
2011-12-23,73,43.52
2011-12-30,86,43.37
2012-01-06,79,41.09
2012-01-13,79,39.74
2012-01-20,88,39.36
2012-01-27,89,39.55
2012-02-03,78,39.72
2012-02-10,75,39.84
2012-02-17,81,39.27
2012-02-24,77,39.27
2012-03-02,90,38.88
2012-03-09,87,38.91
2012-03-16,90,38.86
2012-03-23,98,38.84
2012-03-30,91,39.21
2012-04-06,86,
2012-04-13,91,37.49
2012-04-20,90,37.75
2012-04-27,92,38.92
2012-05-04,85,38.53
2012-05-11,87,38.90
2012-05-18,90,37.89
2012-05-25,94,36.90
2012-06-01,84,36.70
2012-06-08,88,37.41
2012-06-15,91,37.43
2012-06-22,86,36.90
2012-06-29,82,37.62
2012-07-06,81,37.35
2012-07-13,85,38.52
2012-07-20,80,39.24
2012-07-27,78,39.37
2012-08-03,87,38.47
2012-08-10,83,38.92
2012-08-17,82,37.49
2012-08-24,85,36.83
2012-08-31,85,36.47
2012-09-07,87,36.15
2012-09-14,86,35.94
2012-09-21,93,35.38
2012-09-28,90,35.58
2012-10-05,91,35.91
2012-10-12,85,36.11
2012-10-19,85,37.01
2012-10-26,86,35.49
2012-11-02,80,32.77
2012-11-09,84,31.11
2012-11-16,79,29.25
2012-11-23,73,28.57
2012-11-30,79,30.22
2012-12-07,77,29.57
2012-12-14,74,29.66
2012-12-21,73,29.88
2012-12-28,71,29.06
2013-01-04,72,30.27
2013-01-11,80,29.29
2013-01-18,79,30.37
2013-01-25,80,31.01
2013-02-01,78,31.03
2013-02-08,78,31.08
2013-02-15,83,30.62
2013-02-22,82,30.49
2013-03-01,88,30.91
2013-03-08,85,32.13
2013-03-15,83,33.39
2013-03-22,91,33.85
2013-03-29,88,
2013-04-05,88,35.14
2013-04-12,88,36.22
2013-04-19,95,36.68
2013-04-26,99,37.33
2013-05-03,92,35.81
2013-05-10,92,35.75
2013-05-17,93,35.15
2013-05-24,88,34.65
2013-05-31,96,31.34
2013-06-07,86,31.36
2013-06-14,88,30.63
2013-06-21,87,30.30
2013-06-28,83,30.88
2013-07-05,83,29.74
2013-07-12,77,31.04
2013-07-19,82,32.04
2013-07-26,77,31.65
2013-08-02,81,30.62
2013-08-09,82,31.26
2013-08-16,75,30.16
2013-08-23,80,30.96
2013-08-30,93,30.49
2013-09-06,89,30.31
2013-09-13,86,30.17
2013-09-20,86,30.13
2013-09-27,87,29.74
2013-10-04,80,29.23
2013-10-11,83,30.34
2013-10-18,86,28.75
2013-10-25,85,27.96
2013-11-01,89,28.67
2013-11-08,84,28.34
2013-11-15,84,28.12
2013-11-22,81,27.35
2013-11-29,73,26.91
2013-12-06,78,28.44
2013-12-13,73,27.70
2013-12-20,75,27.26
2013-12-27,79,27.15
2014-01-03,82,26.62
2014-01-10,83,27.17
2014-01-17,86,27.20
2014-01-24,87,28.27
2014-01-31,81,29.00
2014-02-07,84,29.44
2014-02-14,83,29.74
2014-02-21,84,30.42
2014-02-28,90,30.41
2014-03-07,87,29.82
2014-03-14,92,30.64
2014-03-21,98,32.55
2014-03-28,100,33.29
2014-04-04,94,34.47
2014-04-11,94,35.16
2014-04-18,94,
2014-04-25,92,36.26
2014-05-02,98,
