Date,VMC,Price
2007-10-26,90,88.21
2007-11-02,79,82.82
2007-11-09,79,80.70
2007-11-16,81,82.77
2007-11-23,81,81.71
2007-11-30,86,88.80
2007-12-07,85,87.95
2007-12-14,72,81.43
2007-12-21,91,81.47
2007-12-28,77,77.43
2008-01-04,79,71.01
2008-01-11,84,68.63
2008-01-18,85,66.06
2008-01-25,79,70.44
2008-02-01,74,77.47
2008-02-08,83,70.16
2008-02-15,77,66.64
2008-02-22,89,68.26
2008-02-29,82,70.10
2008-03-07,85,65.47
2008-03-14,81,65.29
2008-03-21,75,
2008-03-28,86,66.18
2008-04-04,83,70.64
2008-04-11,82,70.77
2008-04-18,82,72.28
2008-04-25,77,67.36
2008-05-02,82,68.75
2008-05-09,71,66.30
2008-05-16,80,77.47
2008-05-23,79,74.35
2008-05-30,83,76.93
2008-06-06,80,70.95
2008-06-13,78,69.37
2008-06-20,80,63.92
2008-06-27,80,60.52
2008-07-04,77,
2008-07-11,70,50.34
2008-07-18,73,62.93
2008-07-25,72,61.64
2008-08-01,72,64.12
2008-08-08,80,68.33
2008-08-15,75,74.70
2008-08-22,83,74.79
2008-08-29,77,74.84
2008-09-05,92,75.21
2008-09-12,83,75.16
2008-09-19,82,83.00
2008-09-26,79,78.62
2008-10-03,84,64.40
2008-10-10,91,54.50
2008-10-17,84,55.70
2008-10-24,93,48.48
2008-10-31,90,54.28
2008-11-07,89,57.50
2008-11-14,88,53.25
2008-11-21,91,40.56
2008-11-28,99,59.98
2008-12-05,92,66.75
2008-12-12,92,67.85
2008-12-19,91,67.17
2008-12-26,80,67.65
2009-01-02,94,69.74
2009-01-09,98,61.19
2009-01-16,96,58.67
2009-01-23,88,53.18
2009-01-30,83,49.46
2009-02-06,94,51.47
2009-02-13,89,45.73
2009-02-20,91,40.45
2009-02-27,95,41.41
2009-03-06,83,35.82
2009-03-13,84,39.62
2009-03-20,79,38.70
2009-03-27,89,44.39
2009-04-03,81,48.30
2009-04-10,81,
2009-04-17,100,52.33
2009-04-24,84,51.49
2009-05-01,85,45.26
2009-05-08,83,47.65
2009-05-15,79,41.38
2009-05-22,71,40.26
2009-05-29,77,44.29
2009-06-05,77,46.09
2009-06-12,81,47.20
2009-06-19,72,43.57
2009-06-26,64,44.49
2009-07-03,71,
2009-07-10,69,40.60
2009-07-17,74,42.18
2009-07-24,72,47.50
2009-07-31,73,47.48
2009-08-07,64,50.40
2009-08-14,73,48.04
2009-08-21,67,49.71
2009-08-28,75,50.97
2009-09-04,76,49.21
2009-09-11,78,55.17
2009-09-18,84,57.42
2009-09-25,83,53.03
2009-10-02,80,50.06
2009-10-09,86,51.81
2009-10-16,86,52.48
2009-10-23,81,50.73
2009-10-30,78,46.03
2009-11-06,87,47.96
2009-11-13,89,48.29
2009-11-20,82,49.77
2009-11-27,87,48.69
2009-12-04,78,49.03
2009-12-11,85,47.88
2009-12-18,90,49.78
2009-12-25,76,
2010-01-01,77,
2010-01-08,84,52.65
2010-01-15,77,51.16
2010-01-22,83,47.06
2010-01-29,81,44.19
2010-02-05,86,43.66
2010-02-12,84,42.94
2010-02-19,79,45.50
2010-02-26,84,43.41
2010-03-05,81,45.09
2010-03-12,78,45.26
2010-03-19,80,48.57
2010-03-26,76,47.78
2010-04-02,78,
2010-04-09,72,48.42
2010-04-16,79,52.90
2010-04-23,67,57.27
2010-04-30,78,57.28
2010-05-07,75,51.08
2010-05-14,69,52.88
2010-05-21,65,49.75
2010-05-28,60,50.48
2010-06-04,63,47.95
2010-06-11,71,47.01
2010-06-18,63,47.53
2010-06-25,68,46.07
2010-07-02,68,43.38
2010-07-09,60,44.47
2010-07-16,64,43.24
2010-07-23,64,46.21
2010-07-30,69,45.24
2010-08-06,68,41.62
2010-08-13,60,38.32
2010-08-20,67,38.90
2010-08-27,69,38.48
2010-09-03,72,38.55
2010-09-10,70,38.46
2010-09-17,75,36.63
2010-09-24,76,36.46
2010-10-01,75,37.50
2010-10-08,75,36.79
2010-10-15,76,36.53
2010-10-22,80,36.70
2010-10-29,80,36.51
2010-11-05,76,42.39
2010-11-12,75,40.66
2010-11-19,81,39.55
2010-11-26,76,38.76
2010-12-03,78,42.00
2010-12-10,75,43.28
2010-12-17,72,46.06
2010-12-24,71,
2010-12-31,72,44.36
2011-01-07,77,40.50
2011-01-14,77,41.06
2011-01-21,82,40.51
2011-01-28,82,41.72
2011-02-04,77,42.95
2011-02-11,80,44.47
2011-02-18,75,46.73
2011-02-25,79,44.97
2011-03-04,73,43.67
2011-03-11,72,42.14
2011-03-18,68,43.02
2011-03-25,62,45.29
2011-04-01,73,46.28
2011-04-08,69,45.00
2011-04-15,66,43.62
2011-04-22,66,
2011-04-29,67,45.20
2011-05-06,61,40.92
2011-05-13,61,39.98
2011-05-20,64,40.26
2011-05-27,61,39.53
2011-06-03,62,37.78
2011-06-10,61,36.97
2011-06-17,62,38.87
2011-06-24,67,38.33
2011-07-01,61,39.72
2011-07-08,57,38.03
2011-07-15,55,35.67
2011-07-22,58,35.85
2011-07-29,62,34.29
2011-08-05,57,33.75
2011-08-12,58,30.25
2011-08-19,55,29.56
2011-08-26,55,34.49
2011-09-02,59,32.47
2011-09-09,65,31.81
2011-09-16,65,33.18
2011-09-23,64,28.88
2011-09-30,64,27.56
2011-10-07,63,28.04
2011-10-14,73,32.12
2011-10-21,79,30.87
2011-10-28,65,33.21
2011-11-04,71,30.60
2011-11-11,69,30.51
2011-11-18,73,32.18
2011-11-25,69,29.42
2011-12-02,72,32.66
2011-12-09,67,33.55
2011-12-16,69,38.78
2011-12-23,56,39.57
2011-12-30,60,39.35
2012-01-06,75,39.29
2012-01-13,68,40.66
2012-01-20,70,42.72
2012-01-27,70,43.45
2012-02-03,74,44.79
2012-02-10,73,46.94
2012-02-17,72,47.68
2012-02-24,68,46.17
2012-03-02,62,43.63
2012-03-09,63,45.99
2012-03-16,62,45.72
2012-03-23,61,44.16
2012-03-30,62,42.73
2012-04-06,57,
2012-04-13,65,41.63
2012-04-20,67,41.18
2012-04-27,62,42.36
2012-05-04,54,41.37
2012-05-11,58,40.02
2012-05-18,61,34.59
2012-05-25,61,35.76
2012-06-01,53,32.97
2012-06-08,60,34.23
2012-06-15,57,34.35
2012-06-22,57,35.28
2012-06-29,57,39.71
2012-07-06,53,41.12
2012-07-13,56,43.13
2012-07-20,55,44.08
2012-07-27,52,39.79
2012-08-03,53,38.41
2012-08-10,51,39.78
2012-08-17,48,40.40
2012-08-24,55,41.07
2012-08-31,56,38.92
2012-09-07,61,40.35
2012-09-14,58,49.17
2012-09-21,65,48.49
2012-09-28,61,47.30
2012-10-05,73,48.21
2012-10-12,71,46.14
2012-10-19,75,46.55
2012-10-26,70,46.49
2012-11-02,66,46.35
2012-11-09,72,46.34
2012-11-16,61,46.55
2012-11-23,66,49.24
2012-11-30,68,52.84
2012-12-07,66,52.00
2012-12-14,63,51.60
2012-12-21,57,52.26
2012-12-28,49,51.20
2013-01-04,58,53.85
2013-01-11,67,54.58
2013-01-18,67,56.69
2013-01-25,68,57.20
2013-02-01,63,56.88
2013-02-08,63,56.08
2013-02-15,61,55.03
2013-02-22,66,51.96
2013-03-01,65,51.99
2013-03-08,63,54.72
2013-03-15,60,54.56
2013-03-22,63,51.43
2013-03-29,58,
2013-04-05,57,48.83
2013-04-12,60,48.88
2013-04-19,61,46.05
2013-04-26,58,46.52
2013-05-03,57,53.48
2013-05-10,54,54.57
2013-05-17,58,55.06
2013-05-24,55,53.75
2013-05-31,57,53.58
2013-06-07,52,52.19
2013-06-14,53,53.69
2013-06-21,57,50.20
2013-06-28,53,48.41
2013-07-05,53,46.94
2013-07-12,53,50.68
2013-07-19,57,50.48
2013-07-26,53,48.96
2013-08-02,53,49.23
2013-08-09,50,48.38
2013-08-16,50,47.85
2013-08-23,53,48.23
2013-08-30,63,47.80
2013-09-06,57,49.14
2013-09-13,60,52.57
2013-09-20,65,51.99
2013-09-27,61,51.30
2013-10-04,66,52.81
2013-10-11,70,52.83
2013-10-18,73,52.08
2013-10-25,72,54.84
2013-11-01,71,53.67
2013-11-08,76,56.60
2013-11-15,79,56.80
2013-11-22,76,56.79
2013-11-29,69,56.37
2013-12-06,67,55.92
2013-12-13,62,56.13
2013-12-20,62,57.34
2013-12-27,50,58.64
2014-01-03,61,58.59
2014-01-10,65,59.42
2014-01-17,66,59.65
2014-01-24,70,59.57
2014-01-31,74,61.73
2014-02-07,66,64.76
2014-02-14,66,66.33
2014-02-21,63,65.73
2014-02-28,61,67.93
2014-03-07,61,68.85
2014-03-14,58,66.23
2014-03-21,59,66.11
2014-03-28,60,66.39
2014-04-04,55,66.33
2014-04-11,57,63.72
2014-04-18,59,
2014-04-25,58,64.07
2014-05-02,57,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
