Date,NU,Price
2007-01-19,41,27.57
2007-01-26,38,27.55
2007-02-02,37,27.80
2007-02-09,39,28.80
2007-02-16,37,29.05
2007-02-23,38,29.71
2007-03-02,37,28.94
2007-03-09,39,29.32
2007-03-16,38,30.59
2007-03-23,36,32.29
2007-03-30,37,32.77
2007-04-06,38,
2007-04-13,37,32.50
2007-04-20,38,32.52
2007-04-27,37,32.55
2007-05-04,37,32.83
2007-05-11,39,32.42
2007-05-18,39,32.58
2007-05-25,40,30.45
2007-06-01,40,30.71
2007-06-08,41,28.36
2007-06-15,41,28.88
2007-06-22,40,27.60
2007-06-29,42,28.36
2007-07-06,40,28.49
2007-07-13,39,29.33
2007-07-20,39,28.59
2007-07-27,38,26.93
2007-08-03,38,27.27
2007-08-10,40,27.95
2007-08-17,39,28.35
2007-08-24,40,29.42
2007-08-31,40,27.65
2007-09-07,39,27.05
2007-09-14,41,27.19
2007-09-21,41,27.71
2007-09-28,40,28.57
2007-10-05,39,29.15
2007-10-12,42,29.14
2007-10-19,41,27.98
2007-10-26,39,29.17
2007-11-02,44,30.65
2007-11-09,41,31.04
2007-11-16,40,32.17
2007-11-23,48,31.79
2007-11-30,47,31.58
2007-12-07,48,32.38
2007-12-14,43,31.71
2007-12-21,55,32.04
2007-12-28,49,31.64
2008-01-04,47,30.71
2008-01-11,45,30.55
2008-01-18,44,29.55
2008-01-25,43,27.90
2008-02-01,47,27.98
2008-02-08,46,27.23
2008-02-15,44,27.79
2008-02-22,43,27.12
2008-02-29,43,25.37
2008-03-07,46,24.76
2008-03-14,45,24.90
2008-03-21,47,
2008-03-28,46,24.15
2008-04-04,45,25.62
2008-04-11,45,25.85
2008-04-18,46,26.55
2008-04-25,45,26.67
2008-05-02,43,27.74
2008-05-09,43,27.28
2008-05-16,45,26.36
2008-05-23,46,25.70
2008-05-30,46,26.11
2008-06-06,45,26.05
2008-06-13,48,26.84
2008-06-20,47,26.50
2008-06-27,48,25.54
2008-07-04,47,
2008-07-11,45,25.60
2008-07-18,46,24.60
2008-07-25,45,24.80
2008-08-01,48,24.66
2008-08-08,47,26.89
2008-08-15,49,26.86
2008-08-22,48,28.03
2008-08-29,47,26.89
2008-09-05,46,25.99
2008-09-12,47,26.87
2008-09-19,46,26.63
2008-09-26,48,25.92
2008-10-03,51,24.75
2008-10-10,51,19.15
2008-10-17,52,20.11
2008-10-24,50,20.73
2008-10-31,50,22.56
2008-11-07,52,21.01
2008-11-14,50,23.17
2008-11-21,50,22.75
2008-11-28,52,23.30
2008-12-05,51,22.65
2008-12-12,54,23.73
2008-12-19,55,22.67
2008-12-26,57,23.18
2009-01-02,58,24.30
2009-01-09,55,24.89
2009-01-16,54,23.79
2009-01-23,54,23.37
2009-01-30,54,23.80
2009-02-06,55,24.95
2009-02-13,55,24.02
2009-02-20,55,22.06
2009-02-27,59,21.91
2009-03-06,64,20.00
2009-03-13,62,19.90
2009-03-20,59,21.68
2009-03-27,60,21.70
2009-04-03,60,21.08
2009-04-10,60,
2009-04-17,60,21.09
2009-04-24,60,20.24
2009-05-01,62,21.58
2009-05-08,66,21.20
2009-05-15,68,20.58
2009-05-22,66,20.24
2009-05-29,70,20.79
2009-06-05,68,21.23
2009-06-12,67,22.12
2009-06-19,65,21.97
2009-06-26,64,22.12
2009-07-03,65,
2009-07-10,66,21.38
2009-07-17,64,22.09
2009-07-24,65,23.00
2009-07-31,66,23.01
2009-08-07,64,23.38
2009-08-14,65,23.72
2009-08-21,67,24.31
2009-08-28,66,24.03
2009-09-04,67,23.72
2009-09-11,66,23.68
2009-09-18,67,24.47
2009-09-25,68,23.83
2009-10-02,64,23.06
2009-10-09,67,23.50
2009-10-16,67,23.62
2009-10-23,68,23.08
2009-10-30,68,23.05
2009-11-06,67,23.10
2009-11-13,67,23.71
2009-11-20,69,23.95
2009-11-27,73,24.00
2009-12-04,70,24.60
2009-12-11,71,25.50
2009-12-18,75,26.07
2009-12-25,80,
2010-01-01,83,
2010-01-08,77,26.04
2010-01-15,76,25.95
2010-01-22,76,25.46
2010-01-29,76,25.32
2010-02-05,77,25.14
2010-02-12,73,25.13
2010-02-19,77,26.67
2010-02-26,79,25.60
2010-03-05,83,26.51
2010-03-12,86,26.81
2010-03-19,100,27.16
2010-03-26,92,27.02
2010-04-02,93,
2010-04-09,89,27.81
2010-04-16,84,27.38
2010-04-23,85,27.76
2010-04-30,87,27.79
2010-05-07,84,25.53
2010-05-14,87,26.60
2010-05-21,87,26.11
2010-05-28,84,25.95
2010-06-04,86,25.36
2010-06-11,87,26.01
2010-06-18,86,26.87
2010-06-25,87,25.79
2010-07-02,89,25.65
2010-07-09,91,26.88
2010-07-16,86,26.97
2010-07-23,78,27.95
2010-07-30,79,27.84
2010-08-06,80,28.97
2010-08-13,81,28.75
2010-08-20,81,28.54
2010-08-27,85,29.22
2010-09-03,79,29.48
2010-09-10,80,29.42
2010-09-17,79,29.12
2010-09-24,82,29.60
2010-10-01,80,29.83
2010-10-08,82,30.31
2010-10-15,90,30.70
2010-10-22,84,30.85
2010-10-29,94,31.28
2010-11-05,87,31.75
2010-11-12,85,31.29
2010-11-19,83,31.43
2010-11-26,88,31.69
2010-12-03,85,31.64
2010-12-10,86,31.67
2010-12-17,87,31.88
2010-12-24,91,
2010-12-31,93,31.88
2011-01-07,89,31.63
2011-01-14,82,32.01
2011-01-21,80,32.58
2011-01-28,80,32.77
2011-02-04,78,33.74
2011-02-11,83,33.57
2011-02-18,84,33.44
2011-02-25,85,33.60
2011-03-04,91,33.83
2011-03-11,98,34.55
2011-03-18,86,33.67
2011-03-25,82,34.15
2011-04-01,84,34.88
2011-04-08,85,34.53
2011-04-15,88,33.96
2011-04-22,84,
2011-04-29,83,35.60
2011-05-06,87,35.30
2011-05-13,89,35.93
2011-05-20,83,36.10
2011-05-27,83,35.02
2011-06-03,82,34.26
2011-06-10,80,33.88
2011-06-17,82,34.73
2011-06-24,84,34.64
2011-07-01,84,35.72
2011-07-08,84,35.31
2011-07-15,86,34.96
2011-07-22,81,35.34
2011-07-29,82,34.00
2011-08-05,80,32.24
2011-08-12,82,32.44
2011-08-19,82,32.22
2011-08-26,83,34.11
2011-09-02,83,33.72
2011-09-09,83,33.10
2011-09-16,83,34.45
2011-09-23,90,34.01
2011-09-30,85,33.65
2011-10-07,84,32.05
2011-10-14,85,33.31
2011-10-21,88,33.76
2011-10-28,87,34.58
2011-11-04,85,34.66
2011-11-11,83,35.08
2011-11-18,83,34.50
2011-11-25,85,33.18
2011-12-02,83,34.34
2011-12-09,86,34.30
2011-12-16,83,34.74
2011-12-23,85,35.71
2011-12-30,88,36.07
2012-01-06,87,35.00
2012-01-13,82,34.23
2012-01-20,78,34.36
2012-01-27,74,34.73
2012-02-03,83,35.30
2012-02-10,86,35.20
2012-02-17,86,36.10
2012-02-24,93,35.86
2012-03-02,89,36.08
2012-03-09,94,36.84
2012-03-16,86,36.43
2012-03-23,85,36.74
2012-03-30,83,37.12
2012-04-06,86,
2012-04-13,87,35.80
2012-04-20,87,36.46
2012-04-27,85,36.82
2012-05-04,85,36.06
2012-05-11,85,36.57
2012-05-18,87,34.94
2012-05-25,89,36.36
2012-06-01,91,36.42
2012-06-08,89,37.39
2012-06-15,92,38.48
2012-06-22,96,37.76
2012-06-29,92,38.81
2012-07-06,94,38.69
2012-07-13,92,39.88
2012-07-20,91,40.26
2012-07-27,89,39.96
2012-08-03,90,39.57
2012-08-10,92,39.59
2012-08-17,87,38.54
2012-08-24,94,37.97
2012-08-31,91,37.67
2012-09-07,88,38.24
2012-09-14,87,37.75
2012-09-21,90,37.43
2012-09-28,85,38.23
2012-10-05,85,39.14
2012-10-12,83,38.68
2012-10-19,86,39.71
2012-10-26,83,38.96
2012-11-02,86,39.41
2012-11-09,84,38.14
2012-11-16,83,38.32
2012-11-23,83,37.73
2012-11-30,86,38.74
2012-12-07,87,39.27
2012-12-14,82,38.69
2012-12-21,84,39.23
2012-12-28,89,38.44
2013-01-04,87,39.64
2013-01-11,81,39.19
2013-01-18,82,39.21
2013-01-25,83,40.32
2013-02-01,80,41.18
2013-02-08,77,41.11
2013-02-15,76,40.94
2013-02-22,82,41.43
2013-03-01,83,41.80
2013-03-08,91,42.21
2013-03-15,87,42.66
2013-03-22,91,42.65
2013-03-29,86,
2013-04-05,86,43.72
2013-04-12,86,44.66
2013-04-19,84,44.94
2013-04-26,84,44.86
2013-05-03,85,45.16
2013-05-10,85,43.78
2013-05-17,85,44.47
2013-05-24,87,42.84
2013-05-31,87,41.67
2013-06-07,83,42.38
2013-06-14,88,42.13
2013-06-21,86,40.37
2013-06-28,83,42.02
2013-07-05,88,41.13
2013-07-12,87,43.28
2013-07-19,87,44.83
2013-07-26,82,44.23
2013-08-02,83,44.69
2013-08-09,83,43.77
2013-08-16,83,41.30
2013-08-23,82,41.71
2013-08-30,81,40.97
2013-09-06,80,40.25
2013-09-13,82,40.29
2013-09-20,82,41.19
2013-09-27,82,41.44
2013-10-04,83,41.02
2013-10-11,82,42.16
2013-10-18,87,42.34
2013-10-25,81,43.41
2013-11-01,88,42.50
2013-11-08,84,42.27
2013-11-15,85,42.93
2013-11-22,84,42.18
2013-11-29,84,41.08
2013-12-06,83,41.58
2013-12-13,85,41.59
2013-12-20,91,42.11
2013-12-27,90,42.20
2014-01-03,91,41.52
2014-01-10,83,42.65
2014-01-17,85,42.59
2014-01-24,83,42.43
2014-01-31,81,43.80
2014-02-07,83,43.30
2014-02-14,86,44.97
2014-02-21,89,44.65
2014-02-28,88,44.45
2014-03-07,92,43.75
2014-03-14,88,44.89
2014-03-21,88,44.42
2014-03-28,87,44.95
2014-04-04,84,45.09
2014-04-11,85,45.44
2014-04-18,87,
2014-04-25,89,46.97
2014-05-02,86,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
