Date,P G & E Corp.,Price
2008-04-11,57,38.94
2008-04-18,56,40.08
2008-04-25,61,39.54
2008-05-02,56,40.90
2008-05-09,62,40.20
2008-05-16,58,40.47
2008-05-23,58,39.36
2008-05-30,54,39.59
2008-06-06,62,38.85
2008-06-13,61,39.77
2008-06-20,59,39.50
2008-06-27,59,38.38
2008-07-04,58,
2008-07-11,54,38.87
2008-07-18,55,37.73
2008-07-25,55,36.81
2008-08-01,55,37.15
2008-08-08,59,39.13
2008-08-15,57,39.50
2008-08-22,60,40.69
2008-08-29,56,41.33
2008-09-05,54,41.26
2008-09-12,64,41.62
2008-09-19,59,39.40
2008-09-26,61,38.36
2008-10-03,55,37.66
2008-10-10,60,29.70
2008-10-17,57,30.80
2008-10-24,60,34.45
2008-10-31,55,36.67
2008-11-07,59,36.11
2008-11-14,51,37.21
2008-11-21,54,37.71
2008-11-28,51,38.04
2008-12-05,52,36.05
2008-12-12,54,36.94
2008-12-19,50,38.61
2008-12-26,53,38.61
2009-01-02,52,38.81
2009-01-09,50,38.24
2009-01-16,52,37.60
2009-01-23,55,37.84
2009-01-30,56,38.67
2009-02-06,56,39.08
2009-02-13,54,37.81
2009-02-20,54,35.09
2009-02-27,56,38.22
2009-03-06,56,36.69
2009-03-13,53,36.22
2009-03-20,51,38.63
2009-03-27,54,38.80
2009-04-03,59,37.18
2009-04-10,51,
2009-04-17,54,37.40
2009-04-24,53,36.95
2009-05-01,53,37.80
2009-05-08,51,36.96
2009-05-15,56,35.58
2009-05-22,53,35.05
2009-05-29,53,36.71
2009-06-05,51,37.59
2009-06-12,56,38.04
2009-06-19,54,37.71
2009-06-26,51,37.96
2009-07-03,50,
2009-07-10,55,37.13
2009-07-17,50,37.70
2009-07-24,52,39.55
2009-07-31,52,40.37
2009-08-07,53,40.19
2009-08-14,55,40.07
2009-08-21,49,40.66
2009-08-28,53,40.90
2009-09-04,56,40.02
2009-09-11,51,39.97
2009-09-18,52,41.06
2009-09-25,53,41.35
2009-10-02,53,40.00
2009-10-09,49,41.29
2009-10-16,52,42.45
2009-10-23,53,41.69
2009-10-30,48,40.89
2009-11-06,53,41.36
2009-11-13,49,41.93
2009-11-20,59,42.10
2009-11-27,48,42.14
2009-12-04,49,43.44
2009-12-11,47,44.94
2009-12-18,48,45.11
2009-12-25,45,
2010-01-01,44,
2010-01-08,52,43.79
2010-01-15,46,45.01
2010-01-22,49,43.61
2010-01-29,50,42.24
2010-02-05,51,41.92
2010-02-12,50,41.02
2010-02-19,54,42.61
2010-02-26,49,41.92
2010-03-05,52,42.64
2010-03-12,51,42.79
2010-03-19,51,43.30
2010-03-26,52,42.97
2010-04-02,49,
2010-04-09,54,42.93
2010-04-16,52,42.53
2010-04-23,51,43.96
2010-04-30,53,43.80
2010-05-07,57,43.17
2010-05-14,54,43.63
2010-05-21,54,41.76
2010-05-28,53,41.50
2010-06-04,53,40.43
2010-06-11,52,41.42
2010-06-18,53,43.18
2010-06-25,49,42.01
2010-07-02,54,40.73
2010-07-09,51,42.63
2010-07-16,53,42.56
2010-07-23,53,44.23
2010-07-30,54,44.40
2010-08-06,54,45.64
2010-08-13,50,45.71
2010-08-20,55,45.86
2010-08-27,55,47.63
2010-09-03,55,47.68
2010-09-10,55,44.21
2010-09-17,54,45.26
2010-09-24,51,45.82
2010-10-01,59,45.72
2010-10-08,57,46.78
2010-10-15,55,46.90
2010-10-22,56,47.66
2010-10-29,58,47.82
2010-11-05,60,48.58
2010-11-12,59,47.47
2010-11-19,58,47.50
2010-11-26,58,46.95
2010-12-03,57,48.13
2010-12-10,56,47.03
2010-12-17,55,48.10
2010-12-24,53,
2010-12-31,53,47.84
2011-01-07,61,47.02
2011-01-14,57,47.33
2011-01-21,58,46.94
2011-01-28,60,46.24
2011-02-04,57,46.25
2011-02-11,60,46.53
2011-02-18,58,45.38
2011-02-25,60,45.84
2011-03-04,58,45.48
2011-03-11,58,45.75
2011-03-18,57,43.09
2011-03-25,60,43.90
2011-04-01,59,44.50
2011-04-08,67,44.74
2011-04-15,65,44.86
2011-04-22,64,
2011-04-29,65,46.08
2011-05-06,71,45.76
2011-05-13,68,46.02
2011-05-20,71,44.78
2011-05-27,71,43.10
2011-06-03,74,42.35
2011-06-10,75,41.55
2011-06-17,74,42.18
2011-06-24,71,41.81
2011-07-01,66,42.66
2011-07-08,70,42.43
2011-07-15,67,42.18
2011-07-22,72,42.76
2011-07-29,73,41.43
2011-08-05,67,41.96
2011-08-12,67,39.86
2011-08-19,67,41.19
2011-08-26,62,41.09
2011-09-02,66,41.34
2011-09-09,66,40.66
2011-09-16,72,42.55
2011-09-23,73,43.05
2011-09-30,79,42.30
2011-10-07,73,42.97
2011-10-14,77,42.50
2011-10-21,82,43.00
2011-10-28,76,42.94
2011-11-04,79,40.86
2011-11-11,74,40.34
2011-11-18,77,39.00
2011-11-25,78,37.21
2011-12-02,78,38.03
2011-12-09,72,38.24
2011-12-16,70,39.98
2011-12-23,68,41.09
2011-12-30,71,41.22
2012-01-06,68,41.06
2012-01-13,67,41.28
2012-01-20,67,40.36
2012-01-27,71,40.83
2012-02-03,68,41.41
2012-02-10,74,41.24
2012-02-17,75,42.34
2012-02-24,75,41.75
2012-03-02,82,42.08
2012-03-09,78,42.84
2012-03-16,80,43.29
2012-03-23,77,43.39
2012-03-30,74,43.41
2012-04-06,74,
2012-04-13,71,42.26
2012-04-20,74,43.20
2012-04-27,74,43.88
2012-05-04,77,44.43
2012-05-11,74,44.18
2012-05-18,73,43.44
2012-05-25,69,43.74
2012-06-01,72,43.61
2012-06-08,66,45.09
2012-06-15,66,45.28
2012-06-22,69,43.84
2012-06-29,68,45.27
2012-07-06,76,45.01
2012-07-13,76,45.37
2012-07-20,75,45.48
2012-07-27,80,46.11
2012-08-03,83,46.50
2012-08-10,96,45.24
2012-08-17,100,44.57
2012-08-24,77,44.07
2012-08-31,75,43.41
2012-09-07,74,43.47
2012-09-14,73,43.25
2012-09-21,76,42.59
2012-09-28,71,42.67
2012-10-05,75,42.67
2012-10-12,69,42.50
2012-10-19,73,42.78
2012-10-26,82,42.00
2012-11-02,63,42.00
2012-11-09,65,40.89
2012-11-16,59,40.44
2012-11-23,58,40.17
2012-11-30,62,40.95
2012-12-07,60,40.77
2012-12-14,58,40.51
2012-12-21,55,41.49
2012-12-28,52,39.71
2013-01-04,61,41.17
2013-01-11,61,40.95
2013-01-18,55,41.01
2013-01-25,62,41.89
2013-02-01,69,42.60
2013-02-08,62,42.77
2013-02-15,64,42.72
2013-02-22,65,41.98
2013-03-01,70,42.85
2013-03-08,66,42.78
2013-03-15,67,43.56
2013-03-22,67,43.80
2013-03-29,70,
2013-04-05,67,46.49
2013-04-12,74,47.23
2013-04-19,65,47.77
2013-04-26,70,47.95
2013-05-03,67,47.25
2013-05-10,64,46.60
2013-05-17,64,47.23
2013-05-24,67,46.14
2013-05-31,61,44.91
2013-06-07,63,45.30
2013-06-14,64,45.17
2013-06-21,63,44.33
2013-06-28,64,45.73
2013-07-05,66,44.66
2013-07-12,66,45.54
2013-07-19,64,45.00
2013-07-26,70,46.32
2013-08-02,67,46.18
2013-08-09,61,45.02
2013-08-16,63,42.64
2013-08-23,62,41.51
2013-08-30,62,41.36
2013-09-06,62,40.88
2013-09-13,61,41.33
2013-09-20,62,41.46
2013-09-27,82,40.78
2013-10-04,78,40.26
2013-10-11,75,41.35
2013-10-18,80,41.22
2013-10-25,78,42.12
2013-11-01,76,42.32
2013-11-08,74,41.77
2013-11-15,75,41.16
2013-11-22,79,40.63
2013-11-29,73,40.37
2013-12-06,71,41.11
2013-12-13,70,40.42
2013-12-20,67,40.56
2013-12-27,65,40.28
2014-01-03,59,39.60
2014-01-10,62,40.53
2014-01-17,65,40.67
2014-01-24,61,40.82
2014-01-31,60,42.15
2014-02-07,62,41.83
2014-02-14,63,43.94
2014-02-21,60,43.94
2014-02-28,61,44.06
2014-03-07,61,42.75
2014-03-14,58,44.35
2014-03-21,61,44.37
2014-03-28,62,41.89
2014-04-04,63,44.47
2014-04-11,63,44.65
2014-04-18,57,
2014-04-25,62,45.50
2014-05-02,64,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
