Date,ABT,Price
2008-05-02,70,53.17
2008-05-09,65,51.78
2008-05-16,63,54.71
2008-05-23,65,54.26
2008-05-30,60,56.35
2008-06-06,64,54.76
2008-06-13,62,54.11
2008-06-20,61,53.35
2008-06-27,63,53.00
2008-07-04,60,
2008-07-11,69,56.43
2008-07-18,67,57.58
2008-07-25,65,57.42
2008-08-01,62,56.07
2008-08-08,66,59.03
2008-08-15,61,59.62
2008-08-22,64,58.48
2008-08-29,65,57.43
2008-09-05,59,57.01
2008-09-12,65,59.09
2008-09-19,64,58.71
2008-09-26,64,59.40
2008-10-03,64,58.51
2008-10-10,64,49.45
2008-10-17,62,55.46
2008-10-24,63,54.30
2008-10-31,64,55.15
2008-11-07,62,55.30
2008-11-14,63,55.06
2008-11-21,62,51.52
2008-11-28,68,52.39
2008-12-05,68,52.75
2008-12-12,60,50.75
2008-12-19,64,52.27
2008-12-26,69,52.51
2009-01-02,64,53.56
2009-01-09,64,51.17
2009-01-16,64,49.92
2009-01-23,67,52.81
2009-01-30,68,55.44
2009-02-06,69,57.15
2009-02-13,68,54.94
2009-02-20,63,54.03
2009-02-27,63,47.34
2009-03-06,68,46.89
2009-03-13,60,46.85
2009-03-20,62,47.54
2009-03-27,64,46.60
2009-04-03,67,44.12
2009-04-10,68,
2009-04-17,65,43.89
2009-04-24,64,43.09
2009-05-01,68,41.52
2009-05-08,62,44.93
2009-05-15,67,43.32
2009-05-22,58,43.94
2009-05-29,65,45.06
2009-06-05,60,44.98
2009-06-12,65,45.42
2009-06-19,65,47.58
2009-06-26,63,47.43
2009-07-03,60,
2009-07-10,64,45.41
2009-07-17,69,44.47
2009-07-24,64,45.01
2009-07-31,65,44.99
2009-08-07,64,43.84
2009-08-14,66,44.36
2009-08-21,68,45.39
2009-08-28,58,45.92
2009-09-04,65,45.63
2009-09-11,59,46.83
2009-09-18,66,45.97
2009-09-25,66,47.33
2009-10-02,62,49.84
2009-10-09,63,50.08
2009-10-16,63,51.43
2009-10-23,66,51.31
2009-10-30,59,50.57
2009-11-06,61,51.53
2009-11-13,60,52.95
2009-11-20,63,53.64
2009-11-27,69,54.08
2009-12-04,63,53.78
2009-12-11,60,53.77
2009-12-18,60,53.34
2009-12-25,61,
2010-01-01,61,
2010-01-08,60,55.05
2010-01-15,60,55.49
2010-01-22,57,54.51
2010-01-29,57,52.94
2010-02-05,57,53.97
2010-02-12,58,53.93
2010-02-19,57,54.38
2010-02-26,56,54.28
2010-03-05,60,54.32
2010-03-12,62,54.52
2010-03-19,60,53.46
2010-03-26,59,52.90
2010-04-02,59,
2010-04-09,60,52.73
2010-04-16,67,52.26
2010-04-23,63,51.20
2010-04-30,61,51.16
2010-05-07,64,48.72
2010-05-14,60,48.50
2010-05-21,64,46.94
2010-05-28,62,47.56
2010-06-04,61,46.53
2010-06-11,58,47.20
2010-06-18,59,48.77
2010-06-25,59,47.19
2010-07-02,60,46.46
2010-07-09,66,48.03
2010-07-16,60,47.07
2010-07-23,58,48.93
2010-07-30,62,49.08
2010-08-06,57,50.57
2010-08-13,61,50.06
2010-08-20,64,49.34
2010-08-27,61,49.84
2010-09-03,57,50.74
2010-09-10,63,51.54
2010-09-17,59,51.64
2010-09-24,60,51.94
2010-10-01,59,52.58
2010-10-08,66,52.81
2010-10-15,57,53.17
2010-10-22,59,52.56
2010-10-29,58,51.32
2010-11-05,58,50.92
2010-11-12,55,48.58
2010-11-19,57,47.40
2010-11-26,65,46.80
2010-12-03,60,47.37
2010-12-10,59,47.62
2010-12-17,62,48.40
2010-12-24,64,
2010-12-31,60,47.91
2011-01-07,60,48.37
2011-01-14,60,46.89
2011-01-21,57,47.92
2011-01-28,55,45.49
2011-02-04,57,46.12
2011-02-11,59,45.56
2011-02-18,56,46.88
2011-02-25,54,47.64
2011-03-04,57,48.69
2011-03-11,53,48.46
2011-03-18,55,47.91
2011-03-25,56,48.03
2011-04-01,55,49.37
2011-04-08,55,50.49
2011-04-15,57,51.90
2011-04-22,61,
2011-04-29,58,52.04
2011-05-06,58,52.52
2011-05-13,59,53.49
2011-05-20,60,53.51
2011-05-27,59,51.55
2011-06-03,60,51.08
2011-06-10,61,50.90
2011-06-17,60,51.68
2011-06-24,61,51.75
2011-07-01,59,53.10
2011-07-08,58,53.33
2011-07-15,59,53.04
2011-07-22,57,52.95
2011-07-29,56,51.32
2011-08-05,56,50.23
2011-08-12,59,49.63
2011-08-19,58,49.08
2011-08-26,56,50.15
2011-09-02,60,51.04
2011-09-09,54,50.43
2011-09-16,57,52.17
2011-09-23,54,50.96
2011-09-30,56,51.14
2011-10-07,53,51.53
2011-10-14,53,52.73
2011-10-21,55,53.86
2011-10-28,52,54.22
2011-11-04,53,53.33
2011-11-11,57,54.53
2011-11-18,53,53.52
2011-11-25,61,52.05
2011-12-02,60,54.15
2011-12-09,54,54.57
2011-12-16,54,54.89
2011-12-23,57,56.02
2011-12-30,62,56.23
2012-01-06,59,55.86
2012-01-13,54,55.43
2012-01-20,57,55.76
2012-01-27,55,55.02
2012-02-03,57,55.00
2012-02-10,53,55.11
2012-02-17,52,56.36
2012-02-24,53,56.70
2012-03-02,54,57.39
2012-03-09,53,57.95
2012-03-16,50,59.42
2012-03-23,56,60.40
2012-03-30,50,61.29
2012-04-06,54,
2012-04-13,50,59.59
2012-04-20,53,59.88
2012-04-27,50,61.99
2012-05-04,52,62.41
2012-05-11,54,62.04
2012-05-18,52,61.57
2012-05-25,51,62.25
2012-06-01,56,60.52
2012-06-08,51,61.88
2012-06-15,51,62.50
2012-06-22,54,62.32
2012-06-29,50,64.47
2012-07-06,55,64.75
2012-07-13,49,65.45
2012-07-20,52,65.06
2012-07-27,47,66.39
2012-08-03,47,66.59
2012-08-10,47,66.11
2012-08-17,48,65.92
2012-08-24,48,65.84
2012-08-31,47,65.54
2012-09-07,49,66.69
2012-09-14,47,68.27
2012-09-21,47,69.62
2012-09-28,47,68.56
2012-10-05,45,71.61
2012-10-12,46,69.28
2012-10-19,47,66.15
2012-10-26,46,65.48
2012-11-02,46,64.96
2012-11-09,48,64.84
2012-11-16,47,62.88
2012-11-23,51,64.47
2012-11-30,50,65.00
2012-12-07,45,65.53
2012-12-14,48,65.35
2012-12-21,48,66.05
2012-12-28,48,64.42
2013-01-04,50,33.07
2013-01-11,49,33.37
2013-01-18,45,32.74
2013-01-25,60,32.79
2013-02-01,53,33.87
2013-02-08,47,34.41
2013-02-15,45,35.08
2013-02-22,44,34.55
2013-03-01,46,33.60
2013-03-08,48,34.68
2013-03-15,49,34.14
2013-03-22,44,33.69
2013-03-29,46,
2013-04-05,44,36.31
2013-04-12,45,37.13
2013-04-19,46,37.20
2013-04-26,45,36.46
2013-05-03,47,36.80
2013-05-10,47,36.17
2013-05-17,48,36.59
2013-05-24,51,37.76
2013-05-31,49,36.67
2013-06-07,46,37.51
2013-06-14,46,36.81
2013-06-21,44,35.58
2013-06-28,47,34.88
2013-07-05,48,34.92
2013-07-12,49,35.32
2013-07-19,47,35.87
2013-07-26,44,36.78
2013-08-02,46,36.75
2013-08-09,45,35.89
2013-08-16,43,34.97
2013-08-23,46,34.84
2013-08-30,46,33.33
2013-09-06,45,33.50
2013-09-13,44,34.87
2013-09-20,44,35.29
2013-09-27,43,33.14
2013-10-04,45,33.56
2013-10-11,43,33.76
2013-10-18,42,37.29
2013-10-25,45,37.25
2013-11-01,46,36.96
2013-11-08,43,38.12
2013-11-15,47,38.05
2013-11-22,47,38.25
2013-11-29,52,38.19
2013-12-06,47,37.53
2013-12-13,49,36.40
2013-12-20,47,37.84
2013-12-27,44,38.37
2014-01-03,43,38.64
2014-01-10,46,39.57
2014-01-17,46,39.40
2014-01-24,47,36.58
2014-01-31,48,36.66
2014-02-07,44,37.18
2014-02-14,43,38.81
2014-02-21,43,38.82
2014-02-28,46,39.78
2014-03-07,48,39.57
2014-03-14,45,38.97
2014-03-21,47,38.39
2014-03-28,43,38.31
2014-04-04,44,38.63
2014-04-11,43,37.02
2014-04-18,46,
2014-04-25,46,38.03
2014-05-02,47,
