Date,IFF,Price
2011-07-08,38,64.95
2011-07-15,39,63.68
2011-07-22,43,63.16
2011-07-29,40,61.17
2011-08-05,39,57.66
2011-08-12,38,56.39
2011-08-19,35,52.80
2011-08-26,33,56.04
2011-09-02,34,56.09
2011-09-09,36,56.06
2011-09-16,40,60.19
2011-09-23,41,56.29
2011-09-30,44,56.22
2011-10-07,46,58.48
2011-10-14,46,61.25
2011-10-21,58,61.24
2011-10-28,43,62.93
2011-11-04,37,61.07
2011-11-11,48,54.45
2011-11-18,51,52.53
2011-11-25,46,51.62
2011-12-02,57,53.66
2011-12-09,41,54.20
2011-12-16,44,51.89
2011-12-23,37,53.13
2011-12-30,45,52.42
2012-01-06,36,53.07
2012-01-13,38,54.57
2012-01-20,38,56.15
2012-01-27,39,56.94
2012-02-03,38,56.39
2012-02-10,40,56.02
2012-02-17,35,56.66
2012-02-24,32,57.63
2012-03-02,44,56.88
2012-03-09,45,56.20
2012-03-16,41,57.24
2012-03-23,53,57.10
2012-03-30,42,58.60
2012-04-06,36,
2012-04-13,39,58.01
2012-04-20,33,59.44
2012-04-27,37,60.54
2012-05-04,37,58.88
2012-05-11,38,57.98
2012-05-18,34,55.40
2012-05-25,37,57.03
2012-06-01,37,54.35
2012-06-08,29,56.49
2012-06-15,35,56.44
2012-06-22,35,55.65
2012-06-29,36,54.80
2012-07-06,35,54.06
2012-07-13,36,54.58
2012-07-20,37,55.07
2012-07-27,29,55.43
2012-08-03,34,55.48
2012-08-10,32,61.43
2012-08-17,35,61.90
2012-08-24,35,61.04
2012-08-31,32,60.52
2012-09-07,33,61.29
2012-09-14,36,60.25
2012-09-21,35,60.47
2012-09-28,39,59.58
2012-10-05,39,60.95
2012-10-12,39,60.54
2012-10-19,40,61.69
2012-10-26,38,63.94
2012-11-02,43,64.47
2012-11-09,50,62.59
2012-11-16,42,61.57
2012-11-23,42,64.33
2012-11-30,43,65.03
2012-12-07,52,64.74
2012-12-14,51,65.69
2012-12-21,45,66.95
2012-12-28,29,65.96
2013-01-04,31,68.23
2013-01-11,40,68.63
2013-01-18,35,70.56
2013-01-25,42,71.13
2013-02-01,52,71.32
2013-02-08,36,73.60
2013-02-15,32,73.88
2013-02-22,36,72.46
2013-03-01,39,73.30
2013-03-08,38,73.99
2013-03-15,36,76.14
2013-03-22,39,75.44
2013-03-29,33,
2013-04-05,36,73.77
2013-04-12,42,75.48
2013-04-19,39,75.06
2013-04-26,41,75.89
2013-05-03,37,77.94
2013-05-10,37,80.17
2013-05-17,37,82.42
2013-05-24,35,81.98
2013-05-31,33,80.29
2013-06-07,34,79.68
2013-06-14,34,78.47
2013-06-21,37,76.60
2013-06-28,38,75.16
2013-07-05,35,78.87
2013-07-12,38,80.16
2013-07-19,37,79.90
2013-07-26,35,79.34
2013-08-02,36,81.68
2013-08-09,38,83.56
2013-08-16,37,82.20
2013-08-23,37,81.52
2013-08-30,36,79.01
2013-09-06,35,78.81
2013-09-13,39,81.99
2013-09-20,43,83.13
2013-09-27,49,81.60
2013-10-04,46,82.97
2013-10-11,43,81.08
2013-10-18,43,82.34
2013-10-25,47,81.82
2013-11-01,43,82.87
2013-11-08,43,86.94
2013-11-15,45,88.58
2013-11-22,44,88.42
2013-11-29,46,88.35
2013-12-06,42,86.31
2013-12-13,42,84.70
2013-12-20,42,85.64
2013-12-27,30,85.94
2014-01-03,31,85.92
2014-01-10,45,85.71
2014-01-17,45,87.02
2014-01-24,45,85.00
2014-01-31,59,86.68
2014-02-07,58,86.91
2014-02-14,51,91.74
2014-02-21,52,91.39
2014-02-28,44,93.79
2014-03-07,42,95.30
2014-03-14,56,92.84
2014-03-21,57,93.77
2014-03-28,48,94.14
2014-04-04,55,94.85
2014-04-11,53,91.55
2014-04-18,49,
2014-04-25,45,95.22
2014-05-02,73,
