Date,MUR,Price
2012-09-28,35,53.69
2012-10-05,34,58.45
2012-10-12,41,58.70
2012-10-19,63,62.20
2012-10-26,34,59.81
2012-11-02,33,59.35
2012-11-09,34,58.37
2012-11-16,33,56.23
2012-11-23,33,58.41
2012-11-30,33,56.74
2012-12-07,31,56.01
2012-12-14,30,59.36
2012-12-21,30,60.39
2012-12-28,32,58.48
2013-01-04,34,60.93
2013-01-11,33,61.18
2013-01-18,33,61.33
2013-01-25,33,61.79
2013-02-01,33,60.30
2013-02-08,34,60.07
2013-02-15,33,61.35
2013-02-22,32,61.68
2013-03-01,34,60.40
2013-03-08,33,62.29
2013-03-15,34,62.14
2013-03-22,36,61.71
2013-03-29,36,
2013-04-05,35,62.75
2013-04-12,36,61.54
2013-04-19,34,60.60
2013-04-26,51,61.19
2013-05-03,42,61.44
2013-05-10,35,62.75
2013-05-17,35,64.27
2013-05-24,37,61.58
2013-05-31,35,63.32
2013-06-07,32,65.74
2013-06-14,35,63.06
2013-06-21,32,61.29
2013-06-28,31,60.89
2013-07-05,29,61.59
2013-07-12,30,64.58
2013-07-19,31,66.90
2013-07-26,30,67.69
2013-08-02,31,71.28
2013-08-09,33,70.90
2013-08-16,32,68.69
2013-08-23,34,66.97
2013-08-30,33,67.42
2013-09-06,33,61.77
2013-09-13,33,61.56
2013-09-20,33,61.52
2013-09-27,35,61.27
2013-10-04,34,62.92
2013-10-11,35,61.88
2013-10-18,34,62.44
2013-10-25,35,61.75
2013-11-01,36,60.40
2013-11-08,36,61.04
2013-11-15,37,62.83
2013-11-22,33,64.25
2013-11-29,35,64.93
2013-12-06,32,63.90
2013-12-13,32,63.01
2013-12-20,31,63.59
2013-12-27,31,64.42
2014-01-03,37,63.30
2014-01-10,55,62.95
2014-01-17,49,62.77
2014-01-24,42,60.50
2014-01-31,40,56.61
2014-02-07,41,57.93
2014-02-14,38,60.06
2014-02-21,37,57.67
2014-02-28,38,59.37
2014-03-07,37,59.87
2014-03-14,36,60.26
2014-03-21,38,61.44
2014-03-28,38,62.75
2014-04-04,36,61.91
2014-04-11,37,59.61
2014-04-18,38,
2014-04-25,39,63.73
2014-05-02,40,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
