Date,DOW,Price
2008-07-11,19,31.70
2008-07-18,20,33.95
2008-07-25,16,33.00
2008-08-01,16,32.73
2008-08-08,16,33.63
2008-08-15,15,34.98
2008-08-22,14,34.12
2008-08-29,14,34.13
2008-09-05,14,33.84
2008-09-12,16,36.25
2008-09-19,43,37.56
2008-09-26,29,33.97
2008-10-03,61,29.89
2008-10-10,100,24.40
2008-10-17,70,23.96
2008-10-24,47,23.86
2008-10-31,46,26.68
2008-11-07,37,24.23
2008-11-14,37,21.15
2008-11-21,42,17.38
2008-11-28,29,18.55
2008-12-05,32,19.00
2008-12-12,32,19.71
2008-12-19,25,20.08
2008-12-26,18,19.34
2009-01-02,22,15.41
2009-01-09,24,15.81
2009-01-16,23,15.03
2009-01-23,27,14.33
2009-01-30,25,11.59
2009-02-06,25,10.88
2009-02-13,26,9.53
2009-02-20,33,8.10
2009-02-27,38,7.16
2009-03-06,49,7.11
2009-03-13,42,7.56
2009-03-20,34,7.68
2009-03-27,36,8.96
2009-04-03,33,11.00
2009-04-10,29,
2009-04-17,29,12.60
2009-04-24,27,12.99
2009-05-01,25,15.70
2009-05-08,27,17.50
2009-05-15,25,16.47
2009-05-22,24,17.28
2009-05-29,22,17.68
2009-06-05,27,17.56
2009-06-12,23,17.34
2009-06-19,22,16.31
2009-06-26,21,16.05
2009-07-03,20,
2009-07-10,21,14.66
2009-07-17,22,16.99
2009-07-24,24,20.19
2009-07-31,24,21.17
2009-08-07,23,23.05
2009-08-14,23,22.13
2009-08-21,24,22.63
2009-08-28,22,21.89
2009-09-04,22,21.31
2009-09-11,20,23.59
2009-09-18,21,26.75
2009-09-25,20,25.30
2009-10-02,20,23.63
2009-10-09,21,26.15
2009-10-16,24,26.39
2009-10-23,21,25.15
2009-10-30,21,23.48
2009-11-06,22,24.80
2009-11-13,21,28.47
2009-11-20,19,27.93
2009-11-27,18,27.56
2009-12-04,19,27.48
2009-12-11,17,26.65
2009-12-18,17,26.22
2009-12-25,15,
2010-01-01,15,
2010-01-08,18,31.15
2010-01-15,17,29.99
2010-01-22,19,27.76
2010-01-29,19,27.09
2010-02-05,21,26.52
2010-02-12,19,27.79
2010-02-19,17,29.23
2010-02-26,16,28.31
2010-03-05,16,30.00
2010-03-12,17,29.84
2010-03-19,18,28.95
2010-03-26,18,30.06
2010-04-02,17,
2010-04-09,18,30.78
2010-04-16,18,30.54
2010-04-23,17,31.16
2010-04-30,18,30.83
2010-05-07,31,25.50
2010-05-14,23,27.34
2010-05-21,24,26.47
2010-05-28,24,26.91
2010-06-04,20,24.84
2010-06-11,22,26.72
2010-06-18,18,27.00
2010-06-25,18,25.33
2010-07-02,20,22.97
2010-07-09,19,25.95
2010-07-16,19,25.17
2010-07-23,20,26.93
2010-07-30,18,27.33
2010-08-06,19,25.44
2010-08-13,20,25.16
2010-08-20,19,24.43
2010-08-27,23,24.72
2010-09-03,18,26.47
2010-09-10,18,25.99
2010-09-17,18,26.72
2010-09-24,19,28.07
2010-10-01,20,27.88
2010-10-08,19,30.03
2010-10-15,19,29.43
2010-10-22,19,30.20
2010-10-29,17,30.84
2010-11-05,19,32.50
2010-11-12,18,31.30
2010-11-19,19,31.71
2010-11-26,16,31.29
2010-12-03,17,33.36
2010-12-10,16,34.07
2010-12-17,16,33.95
2010-12-24,15,
2010-12-31,16,34.14
2011-01-07,17,34.93
2011-01-14,16,35.93
2011-01-21,16,34.49
2011-01-28,17,35.06
2011-02-04,17,37.01
2011-02-11,16,38.38
2011-02-18,16,38.54
2011-02-25,17,36.32
2011-03-04,16,37.52
2011-03-11,16,36.79
2011-03-18,19,35.85
2011-03-25,16,37.15
2011-04-01,16,37.91
2011-04-08,16,38.52
2011-04-15,15,37.78
2011-04-22,15,
2011-04-29,15,40.99
2011-05-06,16,39.72
2011-05-13,14,38.37
2011-05-20,14,36.01
2011-05-27,14,35.60
2011-06-03,15,35.20
2011-06-10,15,35.07
2011-06-17,16,34.59
2011-06-24,16,35.23
2011-07-01,15,36.32
2011-07-08,14,36.38
2011-07-15,16,34.95
2011-07-22,16,35.58
2011-07-29,18,34.87
2011-08-05,37,30.22
2011-08-12,64,29.43
2011-08-19,32,26.26
2011-08-26,25,26.82
2011-09-02,20,26.71
2011-09-09,21,25.77
2011-09-16,21,28.30
2011-09-23,24,23.53
2011-09-30,22,22.46
2011-10-07,22,24.76
2011-10-14,19,27.68
2011-10-21,20,27.24
2011-10-28,20,29.25
2011-11-04,19,28.18
2011-11-11,19,28.19
2011-11-18,18,25.95
2011-11-25,17,24.47
2011-12-02,19,27.75
2011-12-09,17,27.10
2011-12-16,17,26.36
2011-12-23,16,28.84
2011-12-30,15,28.76
2012-01-06,16,30.32
2012-01-13,15,32.02
2012-01-20,15,33.39
2012-01-27,15,33.46
2012-02-03,15,34.18
2012-02-10,15,34.00
2012-02-17,15,35.00
2012-02-24,16,33.82
2012-03-02,16,34.20
2012-03-09,16,34.06
2012-03-16,15,35.30
2012-03-23,15,35.02
2012-03-30,14,34.64
2012-04-06,14,
2012-04-13,15,33.20
2012-04-20,14,35.31
2012-04-27,13,34.73
2012-05-04,13,32.33
2012-05-11,14,32.15
2012-05-18,15,29.45
2012-05-25,15,31.30
2012-06-01,14,30.36
2012-06-08,15,32.11
2012-06-15,14,32.89
2012-06-22,14,32.82
2012-06-29,14,31.50
2012-07-06,13,31.51
2012-07-13,13,30.32
2012-07-20,13,30.92
2012-07-27,14,29.08
2012-08-03,14,29.83
2012-08-10,13,29.73
2012-08-17,13,30.16
2012-08-24,13,29.89
2012-08-31,13,29.31
2012-09-07,14,30.33
2012-09-14,14,32.25
2012-09-21,14,30.26
2012-09-28,14,28.96
2012-10-05,13,29.20
2012-10-12,12,28.08
2012-10-19,12,29.86
2012-10-26,14,29.57
2012-11-02,12,29.75
2012-11-09,20,29.36
2012-11-16,15,27.74
2012-11-23,13,29.38
2012-11-30,12,30.19
2012-12-07,12,30.30
2012-12-14,11,31.42
2012-12-21,12,31.99
2012-12-28,11,31.62
2013-01-04,14,33.63
2013-01-11,12,33.86
2013-01-18,12,33.80
2013-01-25,13,34.58
2013-02-01,15,32.59
2013-02-08,13,32.42
2013-02-15,12,32.16
2013-02-22,12,31.38
2013-03-01,14,31.81
2013-03-08,17,32.77
2013-03-15,14,33.81
2013-03-22,13,32.78
2013-03-29,13,
2013-04-05,13,30.90
2013-04-12,13,31.75
2013-04-19,14,30.55
2013-04-26,13,33.42
2013-05-03,13,33.96
2013-05-10,14,34.46
2013-05-17,13,35.82
2013-05-24,13,35.08
2013-05-31,12,34.46
2013-06-07,13,34.35
2013-06-14,13,34.01
2013-06-21,15,32.63
2013-06-28,15,32.17
2013-07-05,12,32.69
2013-07-12,13,34.12
2013-07-19,13,34.67
2013-07-26,12,34.70
2013-08-02,12,36.22
2013-08-09,12,38.04
2013-08-16,13,36.89
2013-08-23,13,38.74
2013-08-30,13,37.40
2013-09-06,12,38.56
2013-09-13,14,39.87
2013-09-20,14,39.70
2013-09-27,12,39.02
2013-10-04,15,39.99
2013-10-11,15,41.07
2013-10-18,16,41.31
2013-10-25,13,39.52
2013-11-01,13,38.95
2013-11-08,12,39.67
2013-11-15,13,40.23
2013-11-22,13,39.66
2013-11-29,11,39.06
2013-12-06,12,39.27
2013-12-13,12,41.52
2013-12-20,12,43.78
2013-12-27,11,44.60
2014-01-03,11,43.67
2014-01-10,12,42.71
2014-01-17,12,43.07
2014-01-24,13,43.41
2014-01-31,15,45.51
2014-02-07,16,45.60
2014-02-14,14,46.71
2014-02-21,13,46.96
2014-02-28,13,48.71
2014-03-07,14,49.51
2014-03-14,13,48.65
2014-03-21,13,50.21
2014-03-28,12,48.20
2014-04-04,12,48.69
2014-04-11,13,46.95
2014-04-18,13,
2014-04-25,12,48.50
2014-05-02,11,
