Date,INTC,Price
2005-12-09,47,26.08
2005-12-16,29,26.38
2005-12-23,25,25.97
2005-12-30,30,24.96
2006-01-06,40,26.31
2006-01-13,41,25.79
2006-01-20,76,21.76
2006-01-27,56,21.67
2006-02-03,69,20.74
2006-02-10,55,21.29
2006-02-17,55,20.61
2006-02-24,59,20.36
2006-03-03,76,20.32
2006-03-10,62,19.85
2006-03-17,61,19.54
2006-03-24,56,19.60
2006-03-31,57,19.46
2006-04-07,52,19.24
2006-04-14,67,
2006-04-21,78,19.06
2006-04-28,65,19.98
2006-05-05,58,19.51
2006-05-12,57,19.04
2006-05-19,62,18.36
2006-05-26,48,18.22
2006-06-02,52,18.23
2006-06-09,50,17.16
2006-06-16,67,18.30
2006-06-23,57,18.00
2006-06-30,52,19.00
2006-07-07,53,18.56
2006-07-14,54,17.88
2006-07-21,100,17.15
2006-07-28,77,18.18
2006-08-04,62,17.49
2006-08-11,48,17.41
2006-08-18,61,18.40
2006-08-25,49,18.90
2006-09-01,69,19.88
2006-09-08,79,19.45
2006-09-15,43,19.51
2006-09-22,42,19.07
2006-09-29,64,20.57
2006-10-06,52,20.63
2006-10-13,64,21.60
2006-10-20,76,21.33
2006-10-27,58,21.10
2006-11-03,50,20.51
2006-11-10,47,20.58
2006-11-17,56,22.10
2006-11-24,43,21.59
2006-12-01,39,20.93
2006-12-08,37,20.68
2006-12-15,37,20.96
2006-12-22,40,20.08
2006-12-29,31,20.25
2007-01-05,41,21.10
2007-01-12,49,22.13
2007-01-19,83,20.82
2007-01-26,51,20.53
2007-02-02,53,21.23
2007-02-09,40,21.03
2007-02-16,41,21.23
2007-02-23,32,20.76
2007-03-02,45,19.22
2007-03-09,38,19.10
2007-03-16,34,19.15
2007-03-23,34,19.27
2007-03-30,31,19.13
2007-04-06,37,
2007-04-13,39,20.46
2007-04-20,72,22.16
2007-04-27,48,21.87
2007-05-04,44,21.90
2007-05-11,40,22.28
2007-05-18,42,22.70
2007-05-25,44,22.16
2007-06-01,29,22.36
2007-06-08,37,21.83
2007-06-15,41,24.24
2007-06-22,46,23.70
2007-06-29,37,23.74
2007-07-06,39,24.68
2007-07-13,53,25.97
2007-07-20,86,24.55
2007-07-27,47,23.54
2007-08-03,34,23.91
2007-08-10,37,23.98
2007-08-17,37,23.70
2007-08-24,36,24.79
2007-08-31,32,25.75
2007-09-07,33,25.47
2007-09-14,35,24.93
2007-09-21,40,25.87
2007-09-28,35,25.86
2007-10-05,34,25.54
2007-10-12,37,25.55
2007-10-19,63,26.30
2007-10-26,40,25.94
2007-11-02,36,26.80
2007-11-09,42,25.15
2007-11-16,33,25.51
2007-11-23,28,25.07
2007-11-30,30,26.08
2007-12-07,41,27.73
2007-12-14,34,26.29
2007-12-21,34,26.96
2007-12-28,30,26.76
2008-01-04,43,22.67
2008-01-11,39,21.99
2008-01-18,85,19.00
2008-01-25,54,20.00
2008-02-01,42,21.77
2008-02-08,41,20.27
2008-02-15,34,20.11
2008-02-22,24,19.82
2008-02-29,30,19.97
2008-03-07,31,20.07
2008-03-14,30,20.66
2008-03-21,30,
2008-03-28,31,20.79
2008-04-04,28,21.87
2008-04-11,32,21.24
2008-04-18,61,22.55
2008-04-25,28,22.56
2008-05-02,32,23.58
2008-05-09,26,23.37
2008-05-16,30,25.00
2008-05-23,25,23.41
2008-05-30,22,23.18
2008-06-06,26,22.90
2008-06-13,27,22.66
2008-06-20,22,22.37
2008-06-27,22,21.49
2008-07-04,21,
2008-07-11,25,20.64
2008-07-18,40,22.09
2008-07-25,22,22.01
2008-08-01,23,22.35
2008-08-08,22,24.23
2008-08-15,25,24.26
2008-08-22,23,23.49
2008-08-29,21,22.87
2008-09-05,19,20.61
2008-09-12,21,20.16
2008-09-19,30,19.23
2008-09-26,24,19.20
2008-10-03,33,17.31
2008-10-10,41,15.19
2008-10-17,53,15.50
2008-10-24,33,14.28
2008-10-31,33,16.03
2008-11-07,30,14.63
2008-11-14,37,13.32
2008-11-21,33,13.11
2008-11-28,23,13.80
2008-12-05,24,13.29
2008-12-12,23,14.75
2008-12-19,23,14.44
2008-12-26,14,14.18
2009-01-02,18,15.20
2009-01-09,22,14.15
2009-01-16,25,13.74
2009-01-23,22,13.12
2009-01-30,22,12.90
2009-02-06,18,14.73
2009-02-13,18,13.88
2009-02-20,18,12.78
2009-02-27,21,12.74
2009-03-06,19,12.41
2009-03-13,23,14.70
2009-03-20,25,14.65
2009-03-27,23,15.42
2009-04-03,22,15.95
2009-04-10,23,
2009-04-17,42,15.60
2009-04-24,28,15.62
2009-05-01,20,15.81
2009-05-08,22,15.29
2009-05-15,29,15.19
2009-05-22,17,15.05
2009-05-29,13,15.72
2009-06-05,17,15.92
2009-06-12,13,16.31
2009-06-19,15,16.01
2009-06-26,13,16.29
2009-07-03,13,
2009-07-10,15,16.04
2009-07-17,40,18.79
2009-07-24,24,19.36
2009-07-31,23,19.25
2009-08-07,20,18.50
2009-08-14,15,18.77
2009-08-21,15,18.89
2009-08-28,18,20.25
2009-09-04,16,19.64
2009-09-11,15,19.51
2009-09-18,14,19.56
2009-09-25,16,19.37
2009-10-02,14,18.97
2009-10-09,15,20.17
2009-10-16,47,20.18
2009-10-23,20,19.78
2009-10-30,16,19.11
2009-11-06,14,18.93
2009-11-13,18,19.82
2009-11-20,15,19.24
2009-11-27,12,19.11
2009-12-04,16,20.46
2009-12-11,15,19.90
2009-12-18,13,19.63
2009-12-25,12,
2010-01-01,14,
2010-01-08,15,20.83
2010-01-15,39,20.80
2010-01-22,18,19.91
2010-01-29,18,19.40
2010-02-05,15,19.47
2010-02-12,15,20.43
2010-02-19,13,20.82
2010-02-26,13,20.53
2010-03-05,14,20.79
2010-03-12,13,21.27
2010-03-19,15,21.99
2010-03-26,15,22.24
2010-04-02,11,
2010-04-09,14,22.55
2010-04-16,39,23.92
2010-04-23,23,24.04
2010-04-30,18,22.84
2010-05-07,17,21.31
2010-05-14,19,21.89
2010-05-21,16,20.91
2010-05-28,18,21.42
2010-06-04,11,20.95
2010-06-11,15,20.64
2010-06-18,10,21.40
2010-06-25,11,20.03
2010-07-02,11,19.20
2010-07-09,13,20.24
2010-07-16,39,21.02
2010-07-23,17,21.69
2010-07-30,13,20.60
2010-08-06,15,20.65
2010-08-13,17,19.15
2010-08-20,19,18.91
2010-08-27,18,18.37
2010-09-03,18,18.43
2010-09-10,15,17.97
2010-09-17,15,18.81
2010-09-24,14,19.42
2010-10-01,12,19.32
2010-10-08,14,19.52
2010-10-15,31,19.32
2010-10-22,15,19.84
2010-10-29,15,20.05
2010-11-05,16,21.24
2010-11-12,20,21.53
2010-11-19,14,21.14
2010-11-26,9,21.34
2010-12-03,11,21.69
2010-12-10,13,21.91
2010-12-17,11,21.46
2010-12-24,10,
2010-12-31,11,21.03
2011-01-07,15,20.66
2011-01-14,29,21.08
2011-01-21,14,20.82
2011-01-28,17,21.46
2011-02-04,18,21.68
2011-02-11,14,21.76
2011-02-18,13,22.14
2011-02-25,13,21.86
2011-03-04,13,21.56
2011-03-11,10,20.87
2011-03-18,13,19.93
2011-03-25,10,20.37
2011-04-01,12,19.72
2011-04-08,15,20.02
2011-04-15,14,19.75
2011-04-22,29,
2011-04-29,21,23.15
2011-05-06,28,23.25
2011-05-13,21,23.41
2011-05-20,19,23.22
2011-05-27,13,22.21
2011-06-03,11,21.73
2011-06-10,11,21.38
2011-06-17,10,21.19
2011-06-24,8,21.20
2011-07-01,11,22.53
2011-07-08,12,23.09
2011-07-15,13,22.37
2011-07-22,23,23.13
2011-07-29,15,22.33
2011-08-05,18,20.79
2011-08-12,22,20.65
2011-08-19,15,19.19
2011-08-26,14,19.77
2011-09-02,12,19.64
2011-09-09,12,19.70
2011-09-16,14,21.97
2011-09-23,17,22.16
2011-09-30,15,21.34
2011-10-07,13,22.29
2011-10-14,14,23.50
2011-10-21,28,24.03
2011-10-28,22,24.98
2011-11-04,15,23.74
2011-11-11,13,24.85
2011-11-18,16,24.29
2011-11-25,10,22.73
2011-12-02,14,24.64
2011-12-09,14,25.01
2011-12-16,15,23.23
2011-12-23,11,24.40
2011-12-30,9,24.25
2012-01-06,13,25.25
2012-01-13,16,25.14
2012-01-20,20,26.38
2012-01-27,19,26.73
2012-02-03,14,26.74
2012-02-10,12,26.70
2012-02-17,13,27.37
2012-02-24,14,26.70
2012-03-02,17,26.92
2012-03-09,10,27.07
2012-03-16,14,27.73
2012-03-23,13,27.88
2012-03-30,13,28.12
2012-04-06,13,
2012-04-13,14,28.09
2012-04-20,22,27.60
2012-04-27,15,28.38
2012-05-04,16,27.90
2012-05-11,16,27.63
2012-05-18,12,26.07
2012-05-25,12,25.74
2012-06-01,11,25.14
2012-06-08,14,26.41
2012-06-15,11,27.34
2012-06-22,11,26.94
2012-06-29,11,26.65
2012-07-06,10,26.16
2012-07-13,14,25.25
2012-07-20,20,25.52
2012-07-27,12,26.02
2012-08-03,12,26.23
2012-08-10,11,26.88
2012-08-17,11,26.33
2012-08-24,13,24.91
2012-08-31,13,24.83
2012-09-07,13,24.19
2012-09-14,18,23.37
2012-09-21,14,23.13
2012-09-28,13,22.66
2012-10-05,13,22.68
2012-10-12,15,21.48
2012-10-19,24,21.27
2012-10-26,14,21.95
2012-11-02,11,22.06
2012-11-09,15,20.80
2012-11-16,12,20.19
2012-11-23,15,19.72
2012-11-30,12,19.57
2012-12-07,15,20.16
2012-12-14,14,20.53
2012-12-21,13,20.77
2012-12-28,10,20.23
2013-01-04,15,21.16
2013-01-11,16,22.00
2013-01-18,30,21.25
2013-01-25,18,20.96
2013-02-01,16,21.36
2013-02-08,13,21.00
2013-02-15,14,21.12
2013-02-22,13,20.42
2013-03-01,16,21.03
2013-03-08,17,21.58
2013-03-15,15,21.38
2013-03-22,13,21.33
2013-03-29,16,
2013-04-05,15,20.94
2013-04-12,19,21.68
2013-04-19,28,22.44
2013-04-26,22,23.40
2013-05-03,25,23.96
2013-05-10,21,24.50
2013-05-17,18,24.04
2013-05-24,17,23.92
2013-05-31,16,24.28
2013-06-07,25,24.59
2013-06-14,16,24.92
2013-06-21,17,24.20
2013-06-28,16,24.23
2013-07-05,13,24.06
2013-07-12,18,23.90
2013-07-19,25,23.04
2013-07-26,17,23.26
2013-08-02,14,23.22
2013-08-09,13,22.51
2013-08-16,13,21.91
2013-08-23,17,22.44
2013-08-30,13,21.98
2013-09-06,12,22.67
2013-09-13,15,23.44
2013-09-20,16,23.77
2013-09-27,13,22.98
2013-10-04,11,22.81
2013-10-11,13,23.26
2013-10-18,20,23.88
2013-10-25,15,24.24
2013-11-01,14,24.33
2013-11-08,12,24.09
2013-11-15,12,24.52
2013-11-22,16,23.87
2013-11-29,13,23.84
2013-12-06,13,24.82
2013-12-13,12,24.29
2013-12-20,12,25.06
2013-12-27,13,25.60
2014-01-03,13,25.78
2014-01-10,16,25.53
2014-01-17,31,25.85
2014-01-24,16,24.81
2014-01-31,12,24.54
2014-02-07,13,24.21
2014-02-14,13,24.76
2014-02-21,11,24.42
2014-02-28,13,24.76
2014-03-07,12,24.64
2014-03-14,10,24.50
2014-03-21,11,25.17
2014-03-28,12,25.62
2014-04-04,14,26.16
2014-04-11,17,26.18
2014-04-18,21,
2014-04-25,16,26.26
2014-05-02,17,
