Date,ConocoPhillips,Price
2008-11-21,33,46.84
2008-11-28,32,52.52
2008-12-05,27,47.77
2008-12-12,32,51.39
2008-12-19,30,50.80
2008-12-26,18,48.59
2009-01-02,22,54.85
2009-01-09,37,51.99
2009-01-16,33,49.38
2009-01-23,39,48.18
2009-01-30,40,47.53
2009-02-06,38,47.94
2009-02-13,27,45.67
2009-02-20,35,39.44
2009-02-27,36,37.35
2009-03-06,33,35.36
2009-03-13,31,36.41
2009-03-20,30,37.81
2009-03-27,26,40.33
2009-04-03,29,42.36
2009-04-10,26,
2009-04-17,32,40.17
2009-04-24,37,41.21
2009-05-01,34,42.50
2009-05-08,31,46.91
2009-05-15,37,43.93
2009-05-22,27,44.38
2009-05-29,27,45.84
2009-06-05,30,45.00
2009-06-12,32,44.37
2009-06-19,31,42.97
2009-06-26,30,41.62
2009-07-03,32,
2009-07-10,45,39.72
2009-07-17,37,42.38
2009-07-24,31,44.95
2009-07-31,32,43.71
2009-08-07,39,44.07
2009-08-14,39,43.77
2009-08-21,29,44.20
2009-08-28,36,45.70
2009-09-04,28,44.97
2009-09-11,27,45.96
2009-09-18,35,46.80
2009-09-25,36,45.06
2009-10-02,41,46.80
2009-10-09,49,50.78
2009-10-16,38,51.96
2009-10-23,38,51.97
2009-10-30,55,50.18
2009-11-06,43,52.11
2009-11-13,42,52.83
2009-11-20,37,52.08
2009-11-27,37,51.92
2009-12-04,41,50.66
2009-12-11,37,50.92
2009-12-18,40,49.80
2009-12-25,28,
2010-01-01,26,
2010-01-08,42,53.26
2010-01-15,42,53.02
2010-01-22,50,50.60
2010-01-29,54,48.00
2010-02-05,51,47.98
2010-02-12,54,48.67
2010-02-19,75,48.90
2010-02-26,46,48.00
2010-03-05,51,50.41
2010-03-12,42,51.68
2010-03-19,44,52.37
2010-03-26,52,51.02
2010-04-02,47,
2010-04-09,46,55.32
2010-04-16,54,56.05
2010-04-23,46,58.09
2010-04-30,58,59.19
2010-05-07,47,54.68
2010-05-14,44,55.84
2010-05-21,40,51.47
2010-05-28,52,51.86
2010-06-04,47,50.06
2010-06-11,57,53.50
2010-06-18,56,56.01
2010-06-25,49,51.92
2010-07-02,54,48.82
2010-07-09,40,52.30
2010-07-16,45,51.85
2010-07-23,56,53.79
2010-07-30,57,55.22
2010-08-06,58,56.93
2010-08-13,54,55.02
2010-08-20,55,53.89
2010-08-27,52,53.42
2010-09-03,44,55.05
2010-09-10,46,54.75
2010-09-17,47,55.27
2010-09-24,52,56.36
2010-10-01,52,57.86
2010-10-08,52,59.61
2010-10-15,49,60.78
2010-10-22,53,61.67
2010-10-29,55,59.39
2010-11-05,49,61.81
2010-11-12,48,62.42
2010-11-19,51,61.92
2010-11-26,42,60.81
2010-12-03,52,63.92
2010-12-10,41,64.58
2010-12-17,41,65.06
2010-12-24,37,
2010-12-31,33,68.10
2011-01-07,52,67.11
2011-01-14,52,67.72
2011-01-21,57,67.66
2011-01-28,55,70.56
2011-02-04,51,71.67
2011-02-11,61,71.58
2011-02-18,54,76.62
2011-02-25,59,77.28
2011-03-04,56,79.98
2011-03-11,54,76.30
2011-03-18,40,75.35
2011-03-25,48,80.24
2011-04-01,52,79.68
2011-04-08,50,80.79
2011-04-15,49,79.12
2011-04-22,48,
2011-04-29,52,78.89
2011-05-06,54,72.94
2011-05-13,63,71.43
2011-05-20,54,72.61
2011-05-27,50,72.64
2011-06-03,49,72.39
2011-06-10,53,71.49
2011-06-17,53,71.93
2011-06-24,58,71.43
2011-07-01,55,75.88
2011-07-08,57,75.91
2011-07-15,100,76.42
2011-07-22,65,75.26
2011-07-29,60,71.99
2011-08-05,63,67.75
2011-08-12,64,66.05
2011-08-19,56,63.59
2011-08-26,53,65.51
2011-09-02,53,66.44
2011-09-09,53,64.23
2011-09-16,56,67.29
2011-09-23,55,62.51
2011-09-30,65,63.32
2011-10-07,57,64.16
2011-10-14,54,68.99
2011-10-21,57,71.83
2011-10-28,61,71.74
2011-11-04,53,70.71
2011-11-11,66,72.14
2011-11-18,60,69.27
2011-11-25,46,66.14
2011-12-02,55,72.55
2011-12-09,56,71.95
2011-12-16,47,68.40
2011-12-23,44,72.43
2011-12-30,35,72.87
2012-01-06,44,72.66
2012-01-13,52,70.34
2012-01-20,63,71.20
2012-01-27,63,69.40
2012-02-03,61,70.46
2012-02-10,62,72.25
2012-02-17,62,73.36
2012-02-24,64,75.95
2012-03-02,59,77.65
2012-03-09,61,77.16
2012-03-16,54,77.18
2012-03-23,61,76.51
2012-03-30,56,76.01
2012-04-06,53,
2012-04-13,62,73.63
2012-04-20,61,72.88
2012-04-27,66,71.98
2012-05-04,97,53.17
2012-05-11,63,53.50
2012-05-18,51,50.82
2012-05-25,49,52.11
2012-06-01,47,51.19
2012-06-08,49,53.97
2012-06-15,51,55.46
2012-06-22,50,53.41
2012-06-29,52,55.88
2012-07-06,46,54.75
2012-07-13,53,54.98
2012-07-20,51,55.99
2012-07-27,44,54.97
2012-08-03,46,55.71
2012-08-10,44,57.28
2012-08-17,51,57.39
2012-08-24,44,56.36
2012-08-31,46,56.79
2012-09-07,42,56.64
2012-09-14,49,58.21
2012-09-21,51,57.36
2012-09-28,46,57.18
2012-10-05,51,57.58
2012-10-12,48,56.17
2012-10-19,48,57.45
2012-10-26,48,57.31
2012-11-02,45,57.65
2012-11-09,41,55.67
2012-11-16,42,55.03
2012-11-23,34,56.67
2012-11-30,41,56.94
2012-12-07,38,57.94
2012-12-14,39,57.69
2012-12-21,36,58.61
2012-12-28,26,57.07
2013-01-04,36,59.83
2013-01-11,46,58.27
2013-01-18,41,59.27
2013-01-25,44,61.06
2013-02-01,52,58.82
2013-02-08,48,57.87
2013-02-15,45,57.02
2013-02-22,47,58.20
2013-03-01,50,58.28
2013-03-08,45,58.39
2013-03-15,46,59.07
2013-03-22,46,60.91
2013-03-29,41,
2013-04-05,42,58.54
2013-04-12,48,59.36
2013-04-19,44,57.49
2013-04-26,49,58.91
2013-05-03,48,61.92
2013-05-10,43,62.23
2013-05-17,44,63.31
2013-05-24,45,62.53
2013-05-31,37,61.34
2013-06-07,39,62.32
2013-06-14,40,61.03
2013-06-21,40,60.36
2013-06-28,39,60.50
2013-07-05,35,62.31
2013-07-12,39,64.84
2013-07-19,43,66.00
2013-07-26,47,65.72
2013-08-02,44,67.23
2013-08-09,42,66.83
2013-08-16,44,67.38
2013-08-23,45,66.55
2013-08-30,44,66.30
2013-09-06,45,68.20
2013-09-13,48,69.19
2013-09-20,48,71.00
2013-09-27,46,70.31
2013-10-04,46,70.97
2013-10-11,43,71.71
2013-10-18,46,73.43
2013-10-25,47,74.06
2013-11-01,50,73.09
2013-11-08,44,73.69
2013-11-15,40,73.30
2013-11-22,43,74.02
2013-11-29,41,72.80
2013-12-06,39,70.77
2013-12-13,39,69.43
2013-12-20,39,69.88
2013-12-27,25,70.39
2014-01-03,32,69.96
2014-01-10,45,68.87
2014-01-17,46,67.51
2014-01-24,47,66.57
2014-01-31,47,64.95
2014-02-07,43,64.97
2014-02-14,44,65.53
2014-02-21,43,64.68
2014-02-28,52,66.50
2014-03-07,44,66.51
2014-03-14,46,66.60
2014-03-21,39,67.48
2014-03-28,44,70.35
2014-04-04,41,70.22
2014-04-11,43,70.87
2014-04-18,37,
2014-04-25,38,74.40
2014-05-02,31,
