Date,KSS,Price
2007-07-13,63,68.68
2007-07-20,58,65.32
2007-07-27,60,61.89
2007-08-03,58,57.32
2007-08-10,48,58.18
2007-08-17,58,62.88
2007-08-24,61,58.92
2007-08-31,65,59.30
2007-09-07,77,53.94
2007-09-14,63,56.87
2007-09-21,60,60.27
2007-09-28,46,57.33
2007-10-05,66,61.17
2007-10-12,64,60.62
2007-10-19,73,54.87
2007-10-26,69,56.46
2007-11-02,72,52.81
2007-11-09,69,47.58
2007-11-16,71,49.68
2007-11-23,81,48.72
2007-11-30,79,49.28
2007-12-07,67,52.17
2007-12-14,75,46.69
2007-12-21,70,46.16
2007-12-28,66,45.21
2008-01-04,62,40.90
2008-01-11,94,38.33
2008-01-18,89,40.00
2008-01-25,73,41.84
2008-02-01,77,45.93
2008-02-08,77,44.67
2008-02-15,67,44.70
2008-02-22,72,45.05
2008-02-29,73,44.44
2008-03-07,72,42.83
2008-03-14,64,41.36
2008-03-21,63,
2008-03-28,71,42.33
2008-04-04,60,44.82
2008-04-11,74,42.61
2008-04-18,55,45.79
2008-04-25,60,50.65
2008-05-02,59,50.11
2008-05-09,70,47.74
2008-05-16,65,49.27
2008-05-23,69,43.22
2008-05-30,62,44.80
2008-06-06,61,44.36
2008-06-13,55,45.57
2008-06-20,74,43.39
2008-06-27,60,41.38
2008-07-04,49,
2008-07-11,55,39.11
2008-07-18,52,42.94
2008-07-25,50,42.68
2008-08-01,68,42.11
2008-08-08,53,46.87
2008-08-15,52,51.79
2008-08-22,56,49.80
2008-08-29,57,49.17
2008-09-05,56,51.04
2008-09-12,63,51.19
2008-09-19,62,49.98
2008-09-26,59,49.13
2008-10-03,63,41.47
2008-10-10,62,31.71
2008-10-17,62,30.49
2008-10-24,61,27.36
2008-10-31,68,35.13
2008-11-07,84,34.21
2008-11-14,78,29.09
2008-11-21,71,26.15
2008-11-28,67,32.66
2008-12-05,68,35.62
2008-12-12,59,35.35
2008-12-19,74,35.68
2008-12-26,63,33.36
2009-01-02,43,37.56
2009-01-09,66,37.29
2009-01-16,77,38.15
2009-01-23,70,38.10
2009-01-30,56,36.71
2009-02-06,71,38.48
2009-02-13,69,36.13
2009-02-20,75,34.84
2009-02-27,76,35.14
2009-03-06,72,34.50
2009-03-13,67,38.22
2009-03-20,61,40.48
2009-03-27,65,43.14
2009-04-03,61,45.31
2009-04-10,64,
2009-04-17,53,44.78
2009-04-24,61,45.43
2009-05-01,58,42.56
2009-05-08,54,43.90
2009-05-15,63,41.33
2009-05-22,67,40.94
2009-05-29,55,42.47
2009-06-05,55,45.97
2009-06-12,51,46.59
2009-06-19,52,43.74
2009-06-26,57,44.10
2009-07-03,47,
2009-07-10,57,42.72
2009-07-17,55,46.26
2009-07-24,52,49.10
2009-07-31,45,48.55
2009-08-07,53,53.51
2009-08-14,51,51.73
2009-08-21,50,52.36
2009-08-28,58,52.55
2009-09-04,62,54.58
2009-09-11,56,55.18
2009-09-18,59,55.01
2009-09-25,60,54.37
2009-10-02,50,54.86
2009-10-09,59,60.03
2009-10-16,57,59.68
2009-10-23,65,59.19
2009-10-30,69,57.22
2009-11-06,59,56.68
2009-11-13,68,55.52
2009-11-20,57,53.96
2009-11-27,54,54.45
2009-12-04,58,53.70
2009-12-11,56,55.60
2009-12-18,65,53.39
2009-12-25,52,
2010-01-01,44,
2010-01-08,48,52.83
2010-01-15,66,51.51
2010-01-22,68,50.45
2010-01-29,59,50.37
2010-02-05,65,49.32
2010-02-12,61,49.83
2010-02-19,58,51.74
2010-02-26,60,53.82
2010-03-05,65,54.70
2010-03-12,53,53.67
2010-03-19,52,55.26
2010-03-26,58,56.18
2010-04-02,58,
2010-04-09,56,56.84
2010-04-16,50,57.14
2010-04-23,59,58.48
2010-04-30,49,54.99
2010-05-07,51,53.68
2010-05-14,67,53.45
2010-05-21,58,51.77
2010-05-28,58,50.75
2010-06-04,57,50.08
2010-06-11,56,51.66
2010-06-18,58,52.70
2010-06-25,48,49.52
2010-07-02,39,48.28
2010-07-09,51,48.02
2010-07-16,46,46.42
2010-07-23,45,48.54
2010-07-30,52,47.69
2010-08-06,53,48.63
2010-08-13,49,44.99
2010-08-20,58,46.32
2010-08-27,55,47.21
2010-09-03,50,49.56
2010-09-10,49,48.66
2010-09-17,52,50.90
2010-09-24,54,52.31
2010-10-01,60,52.64
2010-10-08,53,53.76
2010-10-15,58,53.17
2010-10-22,53,52.89
2010-10-29,53,51.22
2010-11-05,63,53.30
2010-11-12,59,51.42
2010-11-19,54,55.01
2010-11-26,58,57.34
2010-12-03,63,55.01
2010-12-10,55,53.64
2010-12-17,55,53.80
2010-12-24,42,
2010-12-31,42,54.34
2011-01-07,49,51.90
2011-01-14,53,51.51
2011-01-21,60,51.75
2011-01-28,58,51.20
2011-02-04,59,51.18
2011-02-11,62,52.75
2011-02-18,62,53.42
2011-02-25,58,53.34
2011-03-04,49,54.08
2011-03-11,55,54.46
2011-03-18,54,52.77
2011-03-25,55,53.50
2011-04-01,52,54.04
2011-04-08,55,54.20
2011-04-15,54,53.27
2011-04-22,46,
2011-04-29,47,52.71
2011-05-06,50,52.22
2011-05-13,55,55.17
2011-05-20,51,54.66
2011-05-27,55,53.62
2011-06-03,53,50.67
2011-06-10,46,49.76
2011-06-17,55,50.13
2011-06-24,45,49.45
2011-07-01,44,51.79
2011-07-08,44,55.18
2011-07-15,38,55.75
2011-07-22,43,57.00
2011-07-29,44,54.71
2011-08-05,45,47.30
2011-08-12,49,47.54
2011-08-19,49,45.12
2011-08-26,45,46.90
2011-09-02,45,43.93
2011-09-09,49,42.60
2011-09-16,49,47.50
2011-09-23,54,46.18
2011-09-30,54,49.10
2011-10-07,52,50.17
2011-10-14,53,50.45
2011-10-21,61,54.19
2011-10-28,61,53.07
2011-11-04,52,56.08
2011-11-11,52,56.52
2011-11-18,57,55.34
2011-11-25,51,51.81
2011-12-02,60,50.51
2011-12-09,56,50.90
2011-12-16,62,48.82
2011-12-23,50,49.97
2011-12-30,46,49.35
2012-01-06,46,46.51
2012-01-13,53,46.97
2012-01-20,56,47.37
2012-01-27,52,46.69
2012-02-03,54,49.07
2012-02-10,53,49.88
2012-02-17,53,51.80
2012-02-24,54,49.44
2012-03-02,58,48.40
2012-03-09,56,50.24
2012-03-16,46,50.37
2012-03-23,47,48.10
2012-03-30,52,50.03
2012-04-06,51,
2012-04-13,51,49.59
2012-04-20,49,50.46
2012-04-27,53,50.80
2012-05-04,47,50.05
2012-05-11,49,48.18
2012-05-18,50,47.19
2012-05-25,47,50.49
2012-06-01,48,44.70
2012-06-08,45,45.08
2012-06-15,45,44.54
2012-06-22,49,43.32
2012-06-29,49,45.49
2012-07-06,46,47.75
2012-07-13,44,47.61
2012-07-20,41,48.76
2012-07-27,42,49.27
2012-08-03,43,51.11
2012-08-10,46,51.00
2012-08-17,47,51.96
2012-08-24,44,52.50
2012-08-31,51,52.20
2012-09-07,53,52.53
2012-09-14,52,53.40
2012-09-21,52,52.82
2012-09-28,47,51.22
2012-10-05,45,51.00
2012-10-12,48,51.42
2012-10-19,53,52.93
2012-10-26,57,52.34
2012-11-02,51,54.55
2012-11-09,55,51.66
2012-11-16,56,51.03
2012-11-23,52,52.25
2012-11-30,57,44.65
2012-12-07,59,44.09
2012-12-14,52,43.80
2012-12-21,47,43.35
2012-12-28,41,42.28
2013-01-04,47,42.23
2013-01-11,52,42.02
2013-01-18,54,43.83
2013-01-25,56,45.25
2013-02-01,59,46.01
2013-02-08,56,46.01
2013-02-15,52,46.34
2013-02-22,54,46.19
2013-03-01,53,46.17
2013-03-08,52,46.66
2013-03-15,50,49.32
2013-03-22,49,46.32
2013-03-29,48,
2013-04-05,49,48.16
2013-04-12,52,48.42
2013-04-19,50,47.44
2013-04-26,49,48.28
2013-05-03,45,48.31
2013-05-10,52,48.90
2013-05-17,49,51.58
2013-05-24,50,51.91
2013-05-31,41,51.41
2013-06-07,47,51.96
2013-06-14,47,52.15
2013-06-21,43,50.59
2013-06-28,44,50.51
2013-07-05,40,52.75
2013-07-12,44,53.49
2013-07-19,38,52.86
2013-07-26,40,53.39
2013-08-02,42,53.56
2013-08-09,42,50.69
2013-08-16,46,52.27
2013-08-23,47,51.00
2013-08-30,39,51.31
2013-09-06,45,52.39
2013-09-13,45,51.24
2013-09-20,46,52.60
2013-09-27,44,52.03
2013-10-04,51,52.51
2013-10-11,47,51.45
2013-10-18,52,53.93
2013-10-25,50,54.74
2013-11-01,53,56.85
2013-11-08,54,57.03
2013-11-15,55,53.95
2013-11-22,53,55.15
2013-11-29,49,55.28
2013-12-06,59,54.70
2013-12-13,52,54.08
2013-12-20,47,54.95
2013-12-27,43,55.94
2014-01-03,41,56.86
2014-01-10,46,56.99
2014-01-17,49,52.93
2014-01-24,48,50.22
2014-01-31,47,50.63
2014-02-07,56,51.19
2014-02-14,54,51.27
2014-02-21,48,51.89
2014-02-28,53,56.19
2014-03-07,52,55.45
2014-03-14,50,54.92
2014-03-21,49,55.79
2014-03-28,51,57.00
2014-04-04,54,57.66
2014-04-11,50,53.53
2014-04-18,52,
2014-04-25,48,54.68
2014-05-02,57,
