Date,KR,Price
2011-04-01,61,23.75
2011-04-08,63,24.00
2011-04-15,63,24.54
2011-04-22,63,
2011-04-29,61,24.31
2011-05-06,61,24.23
2011-05-13,62,25.03
2011-05-20,60,24.97
2011-05-27,64,24.72
2011-06-03,62,23.57
2011-06-10,61,23.28
2011-06-17,60,24.00
2011-06-24,62,24.50
2011-07-01,61,25.08
2011-07-08,60,25.32
2011-07-15,61,25.48
2011-07-22,61,25.31
2011-07-29,64,24.87
2011-08-05,60,23.55
2011-08-12,60,22.73
2011-08-19,65,22.71
2011-08-26,64,22.68
2011-09-02,61,23.08
2011-09-09,62,22.02
2011-09-16,63,22.39
2011-09-23,60,21.78
2011-09-30,61,21.96
2011-10-07,60,22.53
2011-10-14,57,22.61
2011-10-21,60,23.09
2011-10-28,58,23.45
2011-11-04,59,22.81
2011-11-11,59,23.43
2011-11-18,60,22.33
2011-11-25,61,22.16
2011-12-02,64,23.36
2011-12-09,63,23.94
2011-12-16,62,23.71
2011-12-23,64,24.48
2011-12-30,61,24.22
2012-01-06,63,24.19
2012-01-13,63,24.13
2012-01-20,62,23.91
2012-01-27,64,24.30
2012-02-03,65,23.92
2012-02-10,65,23.63
2012-02-17,62,23.92
2012-02-24,64,23.54
2012-03-02,65,24.08
2012-03-09,62,24.32
2012-03-16,64,24.37
2012-03-23,64,24.44
2012-03-30,64,24.23
2012-04-06,61,
2012-04-13,62,23.51
2012-04-20,65,23.25
2012-04-27,67,23.35
2012-05-04,80,23.12
2012-05-11,78,22.97
2012-05-18,73,21.81
2012-05-25,70,22.41
2012-06-01,68,21.64
2012-06-08,68,21.57
2012-06-15,72,22.81
2012-06-22,68,22.89
2012-06-29,71,23.19
2012-07-06,71,22.80
2012-07-13,67,22.12
2012-07-20,70,21.47
2012-07-27,70,21.87
2012-08-03,68,22.20
2012-08-10,65,22.50
2012-08-17,68,22.03
2012-08-24,71,21.81
2012-08-31,67,22.28
2012-09-07,63,22.73
2012-09-14,67,23.80
2012-09-21,66,23.68
2012-09-28,64,23.54
2012-10-05,63,23.77
2012-10-12,62,23.31
2012-10-19,66,25.13
2012-10-26,60,25.18
2012-11-02,60,24.93
2012-11-09,62,24.70
2012-11-16,61,24.52
2012-11-23,61,24.98
2012-11-30,64,26.24
2012-12-07,63,26.81
2012-12-14,66,26.29
2012-12-21,65,26.30
2012-12-28,65,25.68
2013-01-04,65,26.46
2013-01-11,63,25.70
2013-01-18,62,27.08
2013-01-25,65,27.84
2013-02-01,62,27.89
2013-02-08,63,28.20
2013-02-15,63,27.89
2013-02-22,62,28.79
2013-03-01,64,29.53
2013-03-08,65,31.17
2013-03-15,66,31.62
2013-03-22,67,32.40
2013-03-29,68,
2013-04-05,66,32.04
2013-04-12,65,33.11
2013-04-19,66,33.71
2013-04-26,68,34.28
2013-05-03,65,34.71
2013-05-10,69,34.49
2013-05-17,65,35.42
2013-05-24,68,34.23
2013-05-31,68,33.67
2013-06-07,67,34.56
2013-06-14,66,34.79
2013-06-21,67,33.77
2013-06-28,70,34.54
2013-07-05,68,36.07
2013-07-12,65,37.63
2013-07-19,67,38.81
2013-07-26,66,39.65
2013-08-02,67,39.18
2013-08-09,68,38.88
2013-08-16,71,38.25
2013-08-23,65,37.53
2013-08-30,67,36.60
2013-09-06,67,37.40
2013-09-13,67,39.03
2013-09-20,66,40.76
2013-09-27,78,40.69
2013-10-04,65,40.56
2013-10-11,66,41.71
2013-10-18,66,42.38
2013-10-25,67,43.42
2013-11-01,71,42.70
2013-11-08,68,41.96
2013-11-15,67,42.60
2013-11-22,69,42.39
2013-11-29,71,41.75
2013-12-06,69,40.44
2013-12-13,74,39.92
2013-12-20,75,39.70
2013-12-27,74,39.54
2014-01-03,71,39.10
2014-01-10,71,39.46
2014-01-17,74,36.79
2014-01-24,75,36.08
2014-01-31,73,36.10
2014-02-07,74,36.28
2014-02-14,73,37.38
2014-02-21,74,39.60
2014-02-28,73,41.94
2014-03-07,76,43.78
2014-03-14,77,43.91
2014-03-21,72,43.97
2014-03-28,73,43.95
2014-04-04,75,44.68
2014-04-11,72,44.00
2014-04-18,75,
2014-04-25,76,45.15
2014-05-02,78,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
