Date,Ford Motor,Price
2007-08-17,54,7.83
2007-08-24,58,7.90
2007-08-31,53,7.81
2007-09-07,51,7.52
2007-09-14,53,8.03
2007-09-21,56,8.23
2007-09-28,53,8.49
2007-10-05,52,8.37
2007-10-12,52,9.20
2007-10-19,48,8.37
2007-10-26,52,8.67
2007-11-02,51,8.95
2007-11-09,47,8.20
2007-11-16,48,7.70
2007-11-23,49,7.19
2007-11-30,57,7.51
2007-12-07,55,7.06
2007-12-14,48,6.89
2007-12-21,43,6.79
2007-12-28,43,6.70
2008-01-04,52,6.13
2008-01-11,52,6.06
2008-01-18,50,5.92
2008-01-25,51,6.58
2008-02-01,55,6.85
2008-02-08,52,6.08
2008-02-15,51,6.45
2008-02-22,56,6.25
2008-02-29,53,6.53
2008-03-07,49,5.78
2008-03-14,48,5.29
2008-03-21,45,
2008-03-28,52,5.59
2008-04-04,54,6.49
2008-04-11,51,6.69
2008-04-18,52,7.45
2008-04-25,58,7.50
2008-05-02,59,8.27
2008-05-09,56,8.10
2008-05-16,54,8.11
2008-05-23,57,6.87
2008-05-30,53,6.80
2008-06-06,51,6.04
2008-06-13,52,6.27
2008-06-20,47,5.81
2008-06-27,40,4.98
2008-07-04,44,
2008-07-11,47,4.86
2008-07-18,58,5.44
2008-07-25,60,5.05
2008-08-01,56,4.65
2008-08-08,53,5.26
2008-08-15,56,5.11
2008-08-22,53,4.47
2008-08-29,45,4.46
2008-09-05,41,4.41
2008-09-12,40,4.91
2008-09-19,43,5.29
2008-09-26,41,4.81
2008-10-03,45,4.05
2008-10-10,54,1.99
2008-10-17,50,2.43
2008-10-24,48,2.01
2008-10-31,46,2.19
2008-11-07,42,2.02
2008-11-14,49,1.80
2008-11-21,54,1.43
2008-11-28,44,2.69
2008-12-05,53,2.72
2008-12-12,52,3.04
2008-12-19,43,2.95
2008-12-26,39,2.29
2009-01-02,46,2.46
2009-01-09,45,2.63
2009-01-16,45,2.19
2009-01-23,41,1.80
2009-01-30,45,1.87
2009-02-06,44,1.94
2009-02-13,46,1.76
2009-02-20,46,1.58
2009-02-27,48,2.00
2009-03-06,52,1.70
2009-03-13,50,2.19
2009-03-20,48,2.75
2009-03-27,52,2.84
2009-04-03,55,3.25
2009-04-10,54,
2009-04-17,52,4.00
2009-04-24,52,5.00
2009-05-01,57,5.69
2009-05-08,61,6.24
2009-05-15,61,5.49
2009-05-22,59,5.26
2009-05-29,58,5.75
2009-06-05,61,6.36
2009-06-12,61,6.11
2009-06-19,57,5.72
2009-06-26,56,5.61
2009-07-03,54,
2009-07-10,58,5.72
2009-07-17,60,6.14
2009-07-24,73,6.78
2009-07-31,83,8.00
2009-08-07,89,8.01
2009-08-14,74,7.83
2009-08-21,72,7.74
2009-08-28,62,7.73
2009-09-04,57,7.43
2009-09-11,56,7.33
2009-09-18,60,6.94
2009-09-25,59,7.29
2009-10-02,56,6.84
2009-10-09,57,7.12
2009-10-16,60,7.42
2009-10-23,57,7.63
2009-10-30,60,7.00
2009-11-06,63,7.75
2009-11-13,53,8.41
2009-11-20,61,8.64
2009-11-27,52,8.73
2009-12-04,55,8.94
2009-12-11,54,9.00
2009-12-18,53,9.68
2009-12-25,51,
2010-01-01,61,
2010-01-08,58,11.69
2010-01-15,67,11.60
2010-01-22,61,10.52
2010-01-29,67,10.84
2010-02-05,66,10.91
2010-02-12,60,11.12
2010-02-19,63,11.29
2010-02-26,61,11.74
2010-03-05,66,13.00
2010-03-12,63,13.34
2010-03-19,60,13.29
2010-03-26,64,13.86
2010-04-02,66,
2010-04-09,62,12.72
2010-04-16,63,13.42
2010-04-23,60,14.21
2010-04-30,63,13.02
2010-05-07,59,11.51
2010-05-14,48,12.11
2010-05-21,43,11.26
2010-05-28,39,11.73
2010-06-04,41,11.50
2010-06-11,37,11.40
2010-06-18,37,11.46
2010-06-25,39,10.75
2010-07-02,37,10.28
2010-07-09,38,10.85
2010-07-16,38,11.34
2010-07-23,39,12.72
2010-07-30,42,12.77
2010-08-06,40,13.04
2010-08-13,38,12.15
2010-08-20,37,11.77
2010-08-27,40,11.56
2010-09-03,37,12.07
2010-09-10,37,11.79
2010-09-17,36,12.49
2010-09-24,36,12.56
2010-10-01,37,12.26
2010-10-08,37,13.66
2010-10-15,36,13.80
2010-10-22,37,13.95
2010-10-29,38,14.13
2010-11-05,36,16.21
2010-11-12,35,16.30
2010-11-19,37,16.28
2010-11-26,34,16.10
2010-12-03,37,16.80
2010-12-10,36,16.73
2010-12-17,36,16.80
2010-12-24,30,
2010-12-31,35,16.79
2011-01-07,39,18.27
2011-01-14,38,18.65
2011-01-21,37,17.95
2011-01-28,38,16.27
2011-02-04,40,15.72
2011-02-11,39,16.38
2011-02-18,38,15.77
2011-02-25,39,15.07
2011-03-04,38,14.42
2011-03-11,37,14.36
2011-03-18,35,14.49
2011-03-25,38,15.01
2011-04-01,37,15.16
2011-04-08,37,15.33
2011-04-15,37,14.71
2011-04-22,33,
2011-04-29,37,15.47
2011-05-06,36,15.11
2011-05-13,36,15.08
2011-05-20,36,15.00
2011-05-27,35,14.60
2011-06-03,31,14.01
2011-06-10,34,13.35
2011-06-17,34,12.77
2011-06-24,36,13.24
2011-07-01,33,14.02
2011-07-08,32,13.88
2011-07-15,37,13.09
2011-07-22,36,13.31
2011-07-29,37,12.21
2011-08-05,36,10.84
2011-08-12,37,11.06
2011-08-19,37,9.99
2011-08-26,38,10.40
2011-09-02,35,10.42
2011-09-09,33,10.05
2011-09-16,35,10.62
2011-09-23,35,9.86
2011-09-30,35,9.67
2011-10-07,36,10.69
2011-10-14,33,11.56
2011-10-21,35,12.26
2011-10-28,34,12.00
2011-11-04,33,11.27
2011-11-11,33,11.14
2011-11-18,34,10.10
2011-11-25,30,9.75
2011-12-02,34,10.90
2011-12-09,33,11.03
2011-12-16,32,10.25
2011-12-23,28,10.95
2011-12-30,31,10.76
2012-01-06,34,11.71
2012-01-13,34,12.04
2012-01-20,36,12.59
2012-01-27,36,12.21
2012-02-03,35,12.79
2012-02-10,35,12.44
2012-02-17,36,12.75
2012-02-24,36,12.23
2012-03-02,35,12.72
2012-03-09,34,12.58
2012-03-16,33,12.51
2012-03-23,34,12.32
2012-03-30,35,12.48
2012-04-06,33,
2012-04-13,34,11.92
2012-04-20,33,11.41
2012-04-27,34,11.60
2012-05-04,33,10.67
2012-05-11,33,10.58
2012-05-18,33,10.01
2012-05-25,34,10.60
2012-06-01,34,10.12
2012-06-08,33,10.66
2012-06-15,32,10.35
2012-06-22,32,10.19
2012-06-29,34,9.59
2012-07-06,33,9.50
2012-07-13,34,9.27
2012-07-20,34,9.21
2012-07-27,37,9.00
2012-08-03,35,9.09
2012-08-10,35,9.35
2012-08-17,36,9.63
2012-08-24,35,9.49
2012-08-31,34,9.34
2012-09-07,35,10.14
2012-09-14,34,10.53
2012-09-21,35,10.40
2012-09-28,34,9.86
2012-10-05,34,10.16
2012-10-12,32,10.12
2012-10-19,32,10.18
2012-10-26,32,10.36
2012-11-02,32,11.17
2012-11-09,32,10.93
2012-11-16,32,10.50
2012-11-23,29,11.10
2012-11-30,34,11.45
2012-12-07,31,11.48
2012-12-14,30,11.10
2012-12-21,29,11.86
2012-12-28,29,12.87
2013-01-04,32,13.57
2013-01-11,34,14.00
2013-01-18,34,14.11
2013-01-25,36,13.68
2013-02-01,36,13.02
2013-02-08,35,13.10
2013-02-15,34,13.02
2013-02-22,34,12.48
2013-03-01,35,12.61
2013-03-08,33,12.98
2013-03-15,35,13.45
2013-03-22,33,13.26
2013-03-29,35,
2013-04-05,35,12.44
2013-04-12,34,13.53
2013-04-19,34,12.93
2013-04-26,34,13.67
2013-05-03,35,13.83
2013-05-10,33,14.11
2013-05-17,32,15.08
2013-05-24,32,14.79
2013-05-31,32,15.68
2013-06-07,34,15.73
2013-06-14,34,15.37
2013-06-21,33,15.00
2013-06-28,36,15.47
2013-07-05,33,16.70
2013-07-12,35,17.11
2013-07-19,38,16.76
2013-07-26,38,17.02
2013-08-02,37,17.50
2013-08-09,35,17.02
2013-08-16,35,16.30
2013-08-23,35,16.45
2013-08-30,35,16.19
2013-09-06,33,17.00
2013-09-13,34,17.35
2013-09-20,34,17.39
2013-09-27,34,17.05
2013-10-04,35,17.09
2013-10-11,35,17.11
2013-10-18,33,17.53
2013-10-25,34,17.60
2013-11-01,32,16.89
2013-11-08,33,16.85
2013-11-15,33,17.07
2013-11-22,34,17.01
2013-11-29,32,17.08
2013-12-06,33,16.70
2013-12-13,34,16.59
2013-12-20,32,15.42
2013-12-27,28,15.30
2014-01-03,33,15.51
2014-01-10,34,16.07
2014-01-17,37,16.52
2014-01-24,35,15.83
2014-01-31,35,14.96
2014-02-07,34,14.97
2014-02-14,36,15.24
2014-02-21,35,15.16
2014-02-28,37,15.39
2014-03-07,36,15.62
2014-03-14,37,15.08
2014-03-21,35,15.47
2014-03-28,36,15.45
2014-04-04,34,16.13
2014-04-11,34,15.63
2014-04-18,35,
2014-04-25,35,15.78
2014-05-02,34,
