Date,International Paper,Price
2008-10-03,30,25.30
2008-10-10,32,19.32
2008-10-17,35,18.01
2008-10-24,39,16.05
2008-10-31,31,17.26
2008-11-07,30,14.88
2008-11-14,35,12.52
2008-11-21,37,11.06
2008-11-28,26,12.45
2008-12-05,31,11.06
2008-12-12,34,12.17
2008-12-19,31,12.24
2008-12-26,21,11.49
2009-01-02,23,12.43
2009-01-09,36,11.70
2009-01-16,30,10.89
2009-01-23,31,10.83
2009-01-30,35,9.12
2009-02-06,35,8.00
2009-02-13,34,6.89
2009-02-20,35,6.12
2009-02-27,32,5.69
2009-03-06,31,4.09
2009-03-13,29,6.17
2009-03-20,31,7.08
2009-03-27,31,8.07
2009-04-03,34,7.96
2009-04-10,27,
2009-04-17,29,8.82
2009-04-24,31,10.86
2009-05-01,29,13.04
2009-05-08,35,14.36
2009-05-15,31,12.49
2009-05-22,29,14.31
2009-05-29,27,14.37
2009-06-05,28,14.48
2009-06-12,29,15.81
2009-06-19,25,13.75
2009-06-26,26,13.96
2009-07-03,23,
2009-07-10,28,14.69
2009-07-17,29,16.25
2009-07-24,28,18.72
2009-07-31,28,18.81
2009-08-07,27,20.18
2009-08-14,37,19.99
2009-08-21,32,21.18
2009-08-28,27,22.38
2009-09-04,32,22.44
2009-09-11,30,23.47
2009-09-18,31,23.14
2009-09-25,28,21.71
2009-10-02,31,21.39
2009-10-09,32,23.18
2009-10-16,27,24.16
2009-10-23,40,23.72
2009-10-30,34,22.31
2009-11-06,27,23.96
2009-11-13,30,24.81
2009-11-20,31,24.89
2009-11-27,23,24.85
2009-12-04,29,25.86
2009-12-11,29,25.79
2009-12-18,26,26.66
2009-12-25,20,
2010-01-01,19,
2010-01-08,26,26.93
2010-01-15,27,26.08
2010-01-22,28,24.43
2010-01-29,32,22.91
2010-02-05,30,22.67
2010-02-12,28,22.57
2010-02-19,27,24.25
2010-02-26,31,23.17
2010-03-05,31,25.35
2010-03-12,32,25.34
2010-03-19,27,25.82
2010-03-26,27,24.99
2010-04-02,28,
2010-04-09,27,27.47
2010-04-16,29,27.85
2010-04-23,29,28.63
2010-04-30,30,26.74
2010-05-07,26,23.16
2010-05-14,27,23.78
2010-05-21,25,22.28
2010-05-28,27,23.23
2010-06-04,25,21.93
2010-06-11,27,24.30
2010-06-18,27,25.73
2010-06-25,26,24.59
2010-07-02,24,22.59
2010-07-09,24,23.67
2010-07-16,25,22.78
2010-07-23,28,24.98
2010-07-30,29,24.20
2010-08-06,27,24.06
2010-08-13,28,21.87
2010-08-20,28,21.21
2010-08-27,28,20.38
2010-09-03,27,22.39
2010-09-10,29,22.39
2010-09-17,29,23.46
2010-09-24,31,21.83
2010-10-01,31,22.36
2010-10-08,33,22.19
2010-10-15,29,23.53
2010-10-22,31,23.68
2010-10-29,34,25.28
2010-11-05,29,26.44
2010-11-12,30,25.67
2010-11-19,33,24.80
2010-11-26,27,25.12
2010-12-03,28,26.24
2010-12-10,30,26.85
2010-12-17,26,25.94
2010-12-24,18,
2010-12-31,18,27.24
2011-01-07,26,27.99
2011-01-14,25,28.67
2011-01-21,28,27.91
2011-01-28,28,28.44
2011-02-04,28,29.22
2011-02-11,27,29.34
2011-02-18,28,29.02
2011-02-25,28,28.08
2011-03-04,29,26.78
2011-03-11,26,25.99
2011-03-18,27,26.87
2011-03-25,30,27.79
2011-04-01,29,30.42
2011-04-08,28,29.90
2011-04-15,26,29.95
2011-04-22,26,
2011-04-29,25,30.88
2011-05-06,28,31.77
2011-05-13,30,31.37
2011-05-20,30,31.31
2011-05-27,27,30.91
2011-06-03,25,29.88
2011-06-10,32,28.30
2011-06-17,29,26.57
2011-06-24,24,28.78
2011-07-01,29,30.61
2011-07-08,28,30.26
2011-07-15,34,29.87
2011-07-22,32,30.86
2011-07-29,34,29.70
2011-08-05,32,25.55
2011-08-12,32,25.55
2011-08-19,29,23.67
2011-08-26,31,25.68
2011-09-02,25,25.49
2011-09-09,36,26.17
2011-09-16,31,27.98
2011-09-23,33,25.02
2011-09-30,28,23.25
2011-10-07,29,24.05
2011-10-14,28,26.01
2011-10-21,29,25.93
2011-10-28,32,28.81
2011-11-04,29,28.81
2011-11-11,30,28.89
2011-11-18,30,28.02
2011-11-25,26,25.89
2011-12-02,28,28.77
2011-12-09,30,28.27
2011-12-16,29,27.79
2011-12-23,22,29.24
2011-12-30,20,29.60
2012-01-06,25,30.94
2012-01-13,28,31.49
2012-01-20,26,32.46
2012-01-27,31,30.98
2012-02-03,30,31.85
2012-02-10,30,31.85
2012-02-17,30,33.46
2012-02-24,27,32.92
2012-03-02,29,35.62
2012-03-09,26,35.23
2012-03-16,27,35.57
2012-03-23,27,35.19
2012-03-30,28,35.10
2012-04-06,23,
2012-04-13,23,32.97
2012-04-20,26,33.02
2012-04-27,27,33.85
2012-05-04,26,32.13
2012-05-11,25,31.28
2012-05-18,26,28.88
2012-05-25,24,29.31
2012-06-01,24,28.13
2012-06-08,25,29.27
2012-06-15,25,28.84
2012-06-22,26,29.22
2012-06-29,25,28.91
2012-07-06,21,29.07
2012-07-13,24,30.75
2012-07-20,24,32.29
2012-07-27,27,33.36
2012-08-03,25,32.71
2012-08-10,23,32.89
2012-08-17,27,34.58
2012-08-24,28,34.55
2012-08-31,27,34.56
2012-09-07,25,36.30
2012-09-14,30,35.52
2012-09-21,29,35.51
2012-09-28,29,36.32
2012-10-05,28,36.81
2012-10-12,28,36.80
2012-10-19,24,37.42
2012-10-26,27,35.66
2012-11-02,25,35.93
2012-11-09,25,34.85
2012-11-16,25,34.31
2012-11-23,21,36.26
2012-11-30,26,37.14
2012-12-07,25,36.04
2012-12-14,24,38.06
2012-12-21,23,39.31
2012-12-28,16,38.91
2013-01-04,22,40.85
2013-01-11,27,40.11
2013-01-18,25,41.91
2013-01-25,26,42.51
2013-02-01,26,42.35
2013-02-08,28,42.60
2013-02-15,24,42.17
2013-02-22,29,43.00
2013-03-01,26,44.28
2013-03-08,26,46.78
2013-03-15,29,45.66
2013-03-22,23,45.10
2013-03-29,27,
2013-04-05,25,46.15
2013-04-12,25,48.20
2013-04-19,27,45.67
2013-04-26,27,46.41
2013-05-03,26,45.62
2013-05-10,24,46.50
2013-05-17,26,48.18
2013-05-24,23,47.05
2013-05-31,19,46.15
2013-06-07,23,45.62
2013-06-14,24,45.35
2013-06-21,21,43.60
2013-06-28,22,44.31
2013-07-05,21,46.32
2013-07-12,24,48.13
2013-07-19,25,47.72
2013-07-26,26,49.11
2013-08-02,25,49.40
2013-08-09,25,48.02
2013-08-16,24,47.97
2013-08-23,24,46.86
2013-08-30,25,47.21
2013-09-06,22,47.86
2013-09-13,33,48.67
2013-09-20,28,47.79
2013-09-27,30,45.44
2013-10-04,27,43.70
2013-10-11,25,44.89
2013-10-18,24,45.47
2013-10-25,23,45.57
2013-11-01,24,44.96
2013-11-08,25,43.96
2013-11-15,26,45.53
2013-11-22,25,46.89
2013-11-29,21,46.65
2013-12-06,25,46.44
2013-12-13,23,47.83
2013-12-20,23,48.35
2013-12-27,16,49.04
2014-01-03,17,48.62
2014-01-10,22,48.93
2014-01-17,23,48.34
2014-01-24,25,45.56
2014-01-31,27,47.74
2014-02-07,26,47.42
2014-02-14,22,49.18
2014-02-21,26,49.16
2014-02-28,27,48.89
2014-03-07,27,48.15
2014-03-14,27,46.13
2014-03-21,24,45.78
2014-03-28,25,45.80
2014-04-04,24,45.81
2014-04-11,22,44.98
2014-04-18,24,
2014-04-25,24,45.63
2014-05-02,20,
