Date,ADI,Price
2006-09-22,59,29.72
2006-09-29,58,29.39
2006-10-06,100,30.07
2006-10-13,60,30.56
2006-10-20,53,29.76
2006-10-27,53,31.13
2006-11-03,61,31.22
2006-11-10,55,32.12
2006-11-17,58,33.67
2006-11-24,56,33.59
2006-12-01,50,32.62
2006-12-08,54,33.12
2006-12-15,51,32.59
2006-12-22,57,32.20
2006-12-29,66,32.87
2007-01-05,54,33.03
2007-01-12,57,33.94
2007-01-19,59,32.79
2007-01-26,57,33.32
2007-02-02,56,33.34
2007-02-09,54,33.10
2007-02-16,57,32.98
2007-02-23,59,36.95
2007-03-02,55,35.35
2007-03-09,64,36.29
2007-03-16,62,35.33
2007-03-23,62,35.57
2007-03-30,62,34.49
2007-04-06,65,
2007-04-13,60,36.09
2007-04-20,60,38.60
2007-04-27,57,39.16
2007-05-04,54,39.79
2007-05-11,58,40.55
2007-05-18,61,40.15
2007-05-25,65,35.67
2007-06-01,55,36.65
2007-06-08,61,36.37
2007-06-15,58,37.65
2007-06-22,56,37.09
2007-06-29,58,37.64
2007-07-06,59,39.07
2007-07-13,61,39.63
2007-07-20,57,38.07
2007-07-27,56,35.58
2007-08-03,56,35.46
2007-08-10,56,37.72
2007-08-17,59,37.76
2007-08-24,61,36.21
2007-08-31,54,36.88
2007-09-07,57,36.57
2007-09-14,56,35.17
2007-09-21,56,36.60
2007-09-28,58,36.16
2007-10-05,54,36.56
2007-10-12,53,36.37
2007-10-19,54,34.63
2007-10-26,54,33.03
2007-11-02,57,32.90
2007-11-09,56,32.40
2007-11-16,57,32.61
2007-11-23,60,31.16
2007-11-30,64,30.78
2007-12-07,62,31.31
2007-12-14,53,32.13
2007-12-21,56,31.86
2007-12-28,54,31.56
2008-01-04,55,29.13
2008-01-11,60,26.52
2008-01-18,61,27.54
2008-01-25,56,27.72
2008-02-01,57,29.10
2008-02-08,60,27.77
2008-02-15,57,27.93
2008-02-22,61,28.19
2008-02-29,62,26.92
2008-03-07,58,27.37
2008-03-14,55,27.63
2008-03-21,59,
2008-03-28,60,28.96
2008-04-04,60,30.67
2008-04-11,60,30.34
2008-04-18,61,31.66
2008-04-25,62,32.20
2008-05-02,59,33.32
2008-05-09,61,34.14
2008-05-16,59,35.46
2008-05-23,60,33.81
2008-05-30,58,35.11
2008-06-06,62,34.80
2008-06-13,61,33.93
2008-06-20,60,33.25
2008-06-27,57,31.70
2008-07-04,56,
2008-07-11,60,30.34
2008-07-18,58,31.65
2008-07-25,58,30.11
2008-08-01,55,30.20
2008-08-08,57,32.26
2008-08-15,57,32.57
2008-08-22,53,28.84
2008-08-29,58,27.96
2008-09-05,56,27.50
2008-09-12,61,26.75
2008-09-19,56,27.67
2008-09-26,58,26.87
2008-10-03,54,24.64
2008-10-10,57,21.40
2008-10-17,55,20.10
2008-10-24,57,19.27
2008-10-31,58,21.36
2008-11-07,59,20.50
2008-11-14,57,19.29
2008-11-21,57,16.92
2008-11-28,57,17.10
2008-12-05,63,16.66
2008-12-12,59,19.38
2008-12-19,62,18.97
2008-12-26,61,18.14
2009-01-02,59,19.67
2009-01-09,57,19.37
2009-01-16,63,19.83
2009-01-23,64,19.66
2009-01-30,64,19.98
2009-02-06,60,22.38
2009-02-13,58,21.38
2009-02-20,59,19.30
2009-02-27,62,18.64
2009-03-06,61,18.48
2009-03-13,60,20.16
2009-03-20,61,19.59
2009-03-27,61,19.98
2009-04-03,62,20.63
2009-04-10,58,
2009-04-17,59,21.41
2009-04-24,59,21.16
2009-05-01,59,21.15
2009-05-08,59,20.67
2009-05-15,57,19.46
2009-05-22,60,23.59
2009-05-29,58,24.41
2009-06-05,57,24.43
2009-06-12,56,25.40
2009-06-19,57,24.54
2009-06-26,53,24.78
2009-07-03,54,
2009-07-10,57,23.95
2009-07-17,58,25.61
2009-07-24,56,27.37
2009-07-31,58,27.37
2009-08-07,58,27.05
2009-08-14,57,27.39
2009-08-21,56,28.42
2009-08-28,60,28.68
2009-09-04,60,28.80
2009-09-11,56,28.39
2009-09-18,58,27.28
2009-09-25,55,27.58
2009-10-02,58,26.26
2009-10-09,57,27.41
2009-10-16,60,27.66
2009-10-23,59,27.12
2009-10-30,57,25.63
2009-11-06,59,26.52
2009-11-13,58,27.36
2009-11-20,55,27.48
2009-11-27,56,29.75
2009-12-04,57,30.60
2009-12-11,56,30.49
2009-12-18,59,30.88
2009-12-25,58,
2010-01-01,55,
2010-01-08,60,31.49
2010-01-15,58,28.96
2010-01-22,59,27.76
2010-01-29,56,26.96
2010-02-05,59,26.90
2010-02-12,58,27.99
2010-02-19,63,29.75
2010-02-26,60,29.24
2010-03-05,58,29.50
2010-03-12,59,28.98
2010-03-19,60,29.75
2010-03-26,60,28.49
2010-04-02,58,
2010-04-09,62,29.11
2010-04-16,60,30.58
2010-04-23,56,30.67
2010-04-30,62,29.93
2010-05-07,54,27.74
2010-05-14,55,27.78
2010-05-21,58,28.64
2010-05-28,56,29.17
2010-06-04,57,29.00
2010-06-11,58,29.04
2010-06-18,55,30.52
2010-06-25,55,29.12
2010-07-02,53,27.87
2010-07-09,55,29.30
2010-07-16,54,29.21
2010-07-23,54,30.86
2010-07-30,54,29.71
2010-08-06,55,30.17
2010-08-13,52,28.07
2010-08-20,56,29.62
2010-08-27,52,29.22
2010-09-03,56,29.59
2010-09-10,56,27.93
2010-09-17,54,29.91
2010-09-24,57,30.87
2010-10-01,54,31.39
2010-10-08,54,32.34
2010-10-15,54,31.67
2010-10-22,58,32.01
2010-10-29,57,33.67
2010-11-05,56,35.53
2010-11-12,59,34.21
2010-11-19,59,35.18
2010-11-26,56,35.86
2010-12-03,53,37.63
2010-12-10,54,37.74
2010-12-17,52,37.49
2010-12-24,54,
2010-12-31,53,37.67
2011-01-07,56,37.59
2011-01-14,57,38.60
2011-01-21,62,38.77
2011-01-28,57,38.30
2011-02-04,53,40.00
2011-02-11,57,40.59
2011-02-18,58,41.12
2011-02-25,58,39.99
2011-03-04,56,40.63
2011-03-11,54,38.15
2011-03-18,59,37.82
2011-03-25,62,39.02
2011-04-01,57,39.16
2011-04-08,58,39.06
2011-04-15,57,38.16
2011-04-22,53,
2011-04-29,57,40.31
2011-05-06,56,40.53
2011-05-13,57,40.79
2011-05-20,56,41.80
2011-05-27,59,40.55
2011-06-03,56,39.08
2011-06-10,57,37.87
2011-06-17,57,36.58
2011-06-24,58,37.32
2011-07-01,55,39.97
2011-07-08,53,39.62
2011-07-15,56,35.77
2011-07-22,54,37.06
2011-07-29,54,34.40
2011-08-05,55,31.50
2011-08-12,58,31.49
2011-08-19,56,30.80
2011-08-26,54,32.38
2011-09-02,52,32.01
2011-09-09,53,32.11
2011-09-16,58,34.60
2011-09-23,58,32.85
2011-09-30,57,31.25
2011-10-07,58,34.25
2011-10-14,56,35.82
2011-10-21,57,35.13
2011-10-28,56,37.70
2011-11-04,54,37.25
2011-11-11,59,36.86
2011-11-18,59,35.30
2011-11-25,59,32.28
2011-12-02,57,35.26
2011-12-09,57,35.20
2011-12-16,64,34.16
2011-12-23,58,36.21
2011-12-30,59,35.78
2012-01-06,62,35.90
2012-01-13,61,36.62
2012-01-20,62,39.78
2012-01-27,60,39.36
2012-02-03,60,40.08
2012-02-10,59,39.46
2012-02-17,59,40.42
2012-02-24,59,38.85
2012-03-02,60,38.66
2012-03-09,60,38.89
2012-03-16,61,39.70
2012-03-23,59,39.92
2012-03-30,59,40.40
2012-04-06,56,
2012-04-13,56,38.04
2012-04-20,62,37.81
2012-04-27,56,38.97
2012-05-04,59,37.50
2012-05-11,58,37.33
2012-05-18,59,35.09
2012-05-25,65,36.19
2012-06-01,58,35.74
2012-06-08,57,37.10
2012-06-15,54,36.91
2012-06-22,59,37.73
2012-06-29,56,37.67
2012-07-06,56,36.62
2012-07-13,56,36.47
2012-07-20,58,37.49
2012-07-27,59,39.37
2012-08-03,57,39.80
2012-08-10,57,40.43
2012-08-17,59,40.82
2012-08-24,58,39.74
2012-08-31,58,39.74
2012-09-07,59,40.45
2012-09-14,60,41.68
2012-09-21,59,40.32
2012-09-28,56,39.18
2012-10-05,59,39.72
2012-10-12,57,38.11
2012-10-19,57,38.45
2012-10-26,58,39.04
2012-11-02,57,39.82
2012-11-09,58,40.28
2012-11-16,59,39.33
2012-11-23,58,40.74
2012-11-30,57,40.60
2012-12-07,55,41.28
2012-12-14,59,41.35
2012-12-21,59,42.19
2012-12-28,58,41.47
2013-01-04,58,42.52
2013-01-11,60,42.26
2013-01-18,60,43.06
2013-01-25,61,43.80
2013-02-01,61,44.67
2013-02-08,59,45.70
2013-02-15,58,46.18
2013-02-22,59,45.52
2013-03-01,57,45.23
2013-03-08,58,46.05
2013-03-15,64,45.53
2013-03-22,65,44.90
2013-03-29,77,
2013-04-05,67,43.61
2013-04-12,69,44.59
2013-04-19,66,42.36
2013-04-26,70,43.30
2013-05-03,73,45.00
2013-05-10,72,46.79
2013-05-17,67,47.02
2013-05-24,62,45.37
2013-05-31,61,45.93
2013-06-07,61,46.21
2013-06-14,60,44.95
2013-06-21,62,45.16
2013-06-28,59,45.06
2013-07-05,59,46.21
2013-07-12,59,48.35
2013-07-19,65,47.98
2013-07-26,63,48.56
2013-08-02,64,49.87
2013-08-09,56,49.00
2013-08-16,64,48.30
2013-08-23,67,47.33
2013-08-30,63,46.28
2013-09-06,97,47.04
2013-09-13,79,47.95
2013-09-20,64,47.99
2013-09-27,60,46.89
2013-10-04,61,46.99
2013-10-11,60,46.98
2013-10-18,61,47.66
2013-10-25,62,46.75
2013-11-01,63,49.68
2013-11-08,60,49.80
2013-11-15,62,50.69
2013-11-22,60,49.76
2013-11-29,60,48.22
2013-12-06,58,49.27
2013-12-13,66,48.41
2013-12-20,74,50.01
2013-12-27,62,50.70
2014-01-03,59,49.61
2014-01-10,59,49.53
2014-01-17,60,49.38
2014-01-24,57,48.25
2014-01-31,59,48.27
2014-02-07,60,48.97
2014-02-14,61,50.77
2014-02-21,67,51.12
2014-02-28,62,50.82
2014-03-07,62,51.83
2014-03-14,61,50.09
2014-03-21,61,53.24
2014-03-28,63,52.84
2014-04-04,63,52.92
2014-04-11,63,52.09
2014-04-18,69,
2014-04-25,64,51.42
2014-05-02,60,
