Date,buy CA,Price
2010-08-27,60,18.30
2010-09-03,61,19.09
2010-09-10,60,19.78
2010-09-17,54,20.44
2010-09-24,55,21.15
2010-10-01,56,21.25
2010-10-08,54,21.82
2010-10-15,50,22.17
2010-10-22,54,22.87
2010-10-29,56,23.20
2010-11-05,53,23.46
2010-11-12,53,23.15
2010-11-19,59,23.16
2010-11-26,72,23.34
2010-12-03,64,24.15
2010-12-10,67,24.14
2010-12-17,74,24.89
2010-12-24,100,
2010-12-31,82,24.44
2011-01-07,65,24.64
2011-01-14,60,25.24
2011-01-21,58,25.31
2011-01-28,56,23.38
2011-02-04,60,24.53
2011-02-11,59,25.00
2011-02-18,60,25.21
2011-02-25,57,24.74
2011-03-04,54,23.98
2011-03-11,60,23.08
2011-03-18,59,22.87
2011-03-25,63,23.75
2011-04-01,57,24.13
2011-04-08,59,24.05
2011-04-15,58,24.18
2011-04-22,63,
2011-04-29,60,24.59
2011-05-06,56,24.37
2011-05-13,61,22.90
2011-05-20,55,23.18
2011-05-27,62,22.89
2011-06-03,68,22.57
2011-06-10,55,21.51
2011-06-17,64,21.59
2011-06-24,63,21.91
2011-07-01,67,23.17
2011-07-08,65,23.18
2011-07-15,64,21.98
2011-07-22,58,22.77
2011-07-29,59,22.30
2011-08-05,61,20.45
2011-08-12,62,20.09
2011-08-19,62,18.62
2011-08-26,68,19.92
2011-09-02,64,20.15
2011-09-09,54,19.71
2011-09-16,56,21.25
2011-09-23,57,19.95
2011-09-30,55,19.41
2011-10-07,54,20.72
2011-10-14,57,21.74
2011-10-21,54,21.97
2011-10-28,56,22.21
2011-11-04,50,21.68
2011-11-11,63,21.87
2011-11-18,61,20.44
2011-11-25,81,19.80
2011-12-02,63,21.03
2011-12-09,61,21.41
2011-12-16,68,20.12
2011-12-23,86,20.40
2011-12-30,76,20.22
2012-01-06,63,20.57
2012-01-13,54,21.51
2012-01-20,54,22.65
2012-01-27,52,25.42
2012-02-03,56,26.54
2012-02-10,58,26.72
2012-02-17,58,26.98
2012-02-24,58,26.93
2012-03-02,57,27.05
2012-03-09,60,27.00
2012-03-16,61,27.23
2012-03-23,59,27.35
2012-03-30,70,27.56
2012-04-06,53,
2012-04-13,58,26.75
2012-04-20,59,26.56
2012-04-27,55,26.54
2012-05-04,58,26.29
2012-05-11,57,26.12
2012-05-18,61,24.97
2012-05-25,57,25.12
2012-06-01,55,24.39
2012-06-08,58,25.47
2012-06-15,59,26.31
2012-06-22,57,26.13
2012-06-29,59,27.09
2012-07-06,66,26.37
2012-07-13,65,25.88
2012-07-20,67,26.05
2012-07-27,64,24.43
2012-08-03,62,24.79
2012-08-10,66,25.56
2012-08-17,67,25.94
2012-08-24,62,25.80
2012-08-31,64,26.03
2012-09-07,60,26.83
2012-09-14,60,27.31
2012-09-21,60,26.77
2012-09-28,59,25.77
2012-10-05,56,25.45
2012-10-12,55,24.86
2012-10-19,57,24.51
2012-10-26,59,22.73
2012-11-02,57,22.97
2012-11-09,56,22.21
2012-11-16,59,21.81
2012-11-23,79,22.10
2012-11-30,67,22.16
2012-12-07,64,22.03
2012-12-14,62,21.86
2012-12-21,84,22.19
2012-12-28,90,21.79
2013-01-04,65,23.05
2013-01-11,56,23.34
2013-01-18,53,24.57
2013-01-25,53,25.05
2013-02-01,54,25.03
2013-02-08,51,25.02
2013-02-15,56,25.05
2013-02-22,53,24.56
2013-03-01,53,24.42
2013-03-08,55,25.08
2013-03-15,56,25.44
2013-03-22,53,25.32
2013-03-29,53,
2013-04-05,58,24.60
2013-04-12,56,24.93
2013-04-19,52,24.36
2013-04-26,54,25.98
2013-05-03,52,27.73
2013-05-10,53,27.22
2013-05-17,56,27.69
2013-05-24,55,27.40
2013-05-31,54,27.32
2013-06-07,56,29.14
2013-06-14,55,28.26
2013-06-21,55,27.52
2013-06-28,57,28.62
2013-07-05,59,28.26
2013-07-12,58,29.92
2013-07-19,55,29.65
2013-07-26,56,29.68
2013-08-02,57,30.39
2013-08-09,58,30.98
2013-08-16,57,30.55
2013-08-23,58,30.24
2013-08-30,58,29.25
2013-09-06,55,29.60
2013-09-13,55,30.39
2013-09-20,55,30.72
2013-09-27,52,30.06
2013-10-04,48,29.57
2013-10-11,51,29.52
2013-10-18,51,30.10
2013-10-25,49,31.40
2013-11-01,50,31.73
2013-11-08,50,31.93
2013-11-15,56,32.85
2013-11-22,55,33.13
2013-11-29,71,33.00
2013-12-06,59,32.85
2013-12-13,59,32.34
2013-12-20,72,32.93
2013-12-27,82,33.43
2014-01-03,59,33.11
2014-01-10,53,34.02
2014-01-17,50,34.43
2014-01-24,50,32.66
2014-01-31,50,32.09
2014-02-07,44,32.17
2014-02-14,53,32.99
2014-02-21,50,32.42
2014-02-28,51,33.50
2014-03-07,52,32.93
2014-03-14,49,31.48
2014-03-21,45,31.11
2014-03-28,51,30.84
2014-04-04,46,31.08
2014-04-11,48,29.41
2014-04-18,50,
2014-04-25,47,29.95
2014-05-02,50,
