Date,HSP,Price
2010-08-27,29,51.77
2010-09-03,28,54.30
2010-09-10,27,54.65
2010-09-17,29,55.68
2010-09-24,29,55.23
2010-10-01,33,56.39
2010-10-08,26,56.46
2010-10-15,30,58.31
2010-10-22,29,59.39
2010-10-29,30,59.48
2010-11-05,30,59.54
2010-11-12,30,58.10
2010-11-19,33,57.70
2010-11-26,29,56.65
2010-12-03,28,56.86
2010-12-10,28,56.27
2010-12-17,26,57.44
2010-12-24,26,
2010-12-31,27,55.69
2011-01-07,32,55.19
2011-01-14,29,56.29
2011-01-21,30,55.24
2011-01-28,32,54.60
2011-02-04,30,52.35
2011-02-11,30,54.26
2011-02-18,28,54.61
2011-02-25,32,53.31
2011-03-04,30,54.14
2011-03-11,29,54.96
2011-03-18,28,51.79
2011-03-25,31,54.01
2011-04-01,29,56.17
2011-04-08,34,55.74
2011-04-15,33,56.00
2011-04-22,32,
2011-04-29,28,56.73
2011-05-06,27,56.50
2011-05-13,28,55.49
2011-05-20,29,55.04
2011-05-27,27,55.02
2011-06-03,25,53.90
2011-06-10,25,54.03
2011-06-17,26,54.12
2011-06-24,26,54.76
2011-07-01,24,55.67
2011-07-08,25,53.69
2011-07-15,24,53.46
2011-07-22,25,52.85
2011-07-29,25,51.12
2011-08-05,23,47.58
2011-08-12,25,44.67
2011-08-19,22,42.68
2011-08-26,25,44.50
2011-09-02,24,44.61
2011-09-09,25,41.23
2011-09-16,27,39.45
2011-09-23,28,37.41
2011-09-30,29,37.00
2011-10-07,30,37.26
2011-10-14,32,38.07
2011-10-21,33,29.39
2011-10-28,29,31.71
2011-11-04,27,31.31
2011-11-11,31,32.39
2011-11-18,32,30.90
2011-11-25,30,30.07
2011-12-02,32,27.64
2011-12-09,33,28.07
2011-12-16,26,28.92
2011-12-23,28,30.92
2011-12-30,26,30.37
2012-01-06,31,30.31
2012-01-13,31,31.51
2012-01-20,27,34.20
2012-01-27,29,35.23
2012-02-03,30,35.25
2012-02-10,27,33.79
2012-02-17,29,37.15
2012-02-24,27,36.16
2012-03-02,27,34.96
2012-03-09,27,35.94
2012-03-16,27,37.13
2012-03-23,27,36.70
2012-03-30,31,37.39
2012-04-06,31,
2012-04-13,29,34.46
2012-04-20,29,34.43
2012-04-27,26,35.42
2012-05-04,26,33.88
2012-05-11,26,33.34
2012-05-18,24,31.87
2012-05-25,26,32.38
2012-06-01,27,31.36
2012-06-08,24,32.79
2012-06-15,27,33.63
2012-06-22,24,34.02
2012-06-29,23,34.98
2012-07-06,24,33.98
2012-07-13,25,34.11
2012-07-20,23,35.45
2012-07-27,24,35.08
2012-08-03,21,34.59
2012-08-10,23,34.15
2012-08-17,24,33.99
2012-08-24,22,33.74
2012-08-31,26,33.58
2012-09-07,27,34.97
2012-09-14,26,34.67
2012-09-21,28,34.63
2012-09-28,29,32.82
2012-10-05,28,33.34
2012-10-12,34,32.27
2012-10-19,27,31.31
2012-10-26,26,30.96
2012-11-02,25,30.45
2012-11-09,26,29.95
2012-11-16,26,28.97
2012-11-23,28,29.42
2012-11-30,27,29.80
2012-12-07,27,31.55
2012-12-14,26,31.84
2012-12-21,25,32.12
2012-12-28,24,30.69
2013-01-04,30,32.37
2013-01-11,29,34.13
2013-01-18,30,34.91
2013-01-25,28,35.10
2013-02-01,30,34.55
2013-02-08,28,34.50
2013-02-15,26,29.13
2013-02-22,25,29.73
2013-03-01,26,29.45
2013-03-08,27,30.11
2013-03-15,28,32.25
2013-03-22,26,32.62
2013-03-29,26,
2013-04-05,29,30.65
2013-04-12,32,31.61
2013-04-19,28,31.19
2013-04-26,28,32.66
2013-05-03,24,33.02
2013-05-10,25,34.62
2013-05-17,34,35.74
2013-05-24,26,35.08
2013-05-31,23,34.68
2013-06-07,26,35.83
2013-06-14,25,36.24
2013-06-21,25,34.79
2013-06-28,23,38.31
2013-07-05,22,38.98
2013-07-12,23,39.68
2013-07-19,25,39.78
2013-07-26,23,39.91
2013-08-02,23,41.61
2013-08-09,21,41.23
2013-08-16,23,40.20
2013-08-23,25,40.30
2013-08-30,24,39.03
2013-09-06,24,38.88
2013-09-13,27,39.62
2013-09-20,25,41.17
2013-09-27,26,38.90
2013-10-04,26,39.54
2013-10-11,26,40.78
2013-10-18,28,41.62
2013-10-25,26,41.37
2013-11-01,28,40.21
2013-11-08,26,38.89
2013-11-15,28,39.50
2013-11-22,30,39.21
2013-11-29,26,39.31
2013-12-06,26,41.57
2013-12-13,26,39.88
2013-12-20,26,41.27
2013-12-27,23,41.21
2014-01-03,30,41.22
2014-01-10,34,42.18
2014-01-17,33,42.75
2014-01-24,31,44.57
2014-01-31,30,44.01
2014-02-07,28,42.89
2014-02-14,27,43.55
2014-02-21,29,42.27
2014-02-28,32,43.28
2014-03-07,30,43.35
2014-03-14,28,42.10
2014-03-21,28,42.33
2014-03-28,25,42.59
2014-04-04,27,43.38
2014-04-11,30,42.14
2014-04-18,26,
2014-04-25,29,43.31
2014-05-02,25,
