Date,CHK,Price
2008-10-03,22,28.92
2008-10-10,35,16.52
2008-10-17,46,20.47
2008-10-24,36,20.40
2008-10-31,32,21.97
2008-11-07,31,23.39
2008-11-14,29,21.23
2008-11-21,26,16.97
2008-11-28,22,17.18
2008-12-05,33,11.32
2008-12-12,34,16.64
2008-12-19,26,15.97
2008-12-26,20,15.40
2009-01-02,24,17.27
2009-01-09,24,16.68
2009-01-16,24,15.26
2009-01-23,18,14.90
2009-01-30,24,15.81
2009-02-06,23,18.11
2009-02-13,21,18.60
2009-02-20,22,15.70
2009-02-27,21,15.64
2009-03-06,17,14.06
2009-03-13,19,15.46
2009-03-20,20,17.64
2009-03-27,19,18.34
2009-04-03,19,19.95
2009-04-10,19,
2009-04-17,18,21.63
2009-04-24,19,20.80
2009-05-01,16,20.89
2009-05-08,21,23.84
2009-05-15,20,19.95
2009-05-22,32,20.50
2009-05-29,100,22.66
2009-06-05,40,23.28
2009-06-12,30,23.84
2009-06-19,22,20.95
2009-06-26,22,19.64
2009-07-03,16,
2009-07-10,20,17.85
2009-07-17,19,20.12
2009-07-24,19,21.29
2009-07-31,18,21.44
2009-08-07,19,24.44
2009-08-14,16,23.66
2009-08-21,18,23.79
2009-08-28,16,23.59
2009-09-04,16,22.20
2009-09-11,15,26.12
2009-09-18,18,27.85
2009-09-25,17,27.53
2009-10-02,13,26.70
2009-10-09,16,28.66
2009-10-16,16,28.67
2009-10-23,14,26.73
2009-10-30,12,24.50
2009-11-06,12,24.22
2009-11-13,18,25.03
2009-11-20,15,23.03
2009-11-27,12,24.17
2009-12-04,14,22.57
2009-12-11,14,23.03
2009-12-18,15,26.06
2009-12-25,16,
2010-01-01,13,
2010-01-08,18,28.91
2010-01-15,13,27.91
2010-01-22,14,26.62
2010-01-29,12,24.78
2010-02-05,12,24.52
2010-02-12,12,24.96
2010-02-19,14,27.59
2010-02-26,12,26.57
2010-03-05,12,26.31
2010-03-12,14,25.64
2010-03-19,13,24.21
2010-03-26,14,22.37
2010-04-02,12,
2010-04-09,14,24.56
2010-04-16,13,23.88
2010-04-23,11,24.89
2010-04-30,14,23.80
2010-05-07,12,21.91
2010-05-14,12,22.62
2010-05-21,12,21.01
2010-05-28,13,22.34
2010-06-04,15,24.09
2010-06-11,14,24.64
2010-06-18,13,24.61
2010-06-25,19,22.98
2010-07-02,17,20.51
2010-07-09,14,21.48
2010-07-16,15,20.87
2010-07-23,17,21.81
2010-07-30,15,21.03
2010-08-06,17,22.29
2010-08-13,16,20.78
2010-08-20,17,20.38
2010-08-27,18,20.81
2010-09-03,15,21.72
2010-09-10,15,21.20
2010-09-17,18,21.46
2010-09-24,14,21.56
2010-10-01,15,22.80
2010-10-08,15,23.05
2010-10-15,19,22.99
2010-10-22,17,21.20
2010-10-29,19,21.68
2010-11-05,19,22.27
2010-11-12,21,22.72
2010-11-19,16,22.64
2010-11-26,13,21.99
2010-12-03,14,22.16
2010-12-10,13,22.92
2010-12-17,13,23.30
2010-12-24,14,
2010-12-31,13,25.91
2011-01-07,15,26.95
2011-01-14,13,27.66
2011-01-21,13,27.80
2011-01-28,13,27.33
2011-02-04,15,30.06
2011-02-11,19,30.84
2011-02-18,13,30.43
2011-02-25,18,35.37
2011-03-04,16,33.57
2011-03-11,15,32.81
2011-03-18,15,33.37
2011-03-25,16,34.24
2011-04-01,15,33.50
2011-04-08,13,34.02
2011-04-15,15,32.73
2011-04-22,15,
2011-04-29,13,33.67
2011-05-06,13,30.95
2011-05-13,12,29.78
2011-05-20,12,30.62
2011-05-27,12,31.11
2011-06-03,13,30.53
2011-06-10,12,29.24
2011-06-17,12,28.02
2011-06-24,14,28.01
2011-07-01,13,30.10
2011-07-08,12,30.58
2011-07-15,14,32.96
2011-07-22,13,34.39
2011-07-29,16,34.35
2011-08-05,17,30.68
2011-08-12,15,31.30
2011-08-19,15,29.31
2011-08-26,14,30.52
2011-09-02,14,32.11
2011-09-09,13,30.38
2011-09-16,13,31.82
2011-09-23,12,26.04
2011-09-30,12,25.55
2011-10-07,13,25.35
2011-10-14,11,27.75
2011-10-21,12,27.81
2011-10-28,13,29.74
2011-11-04,15,27.07
2011-11-11,14,26.45
2011-11-18,13,24.33
2011-11-25,12,22.42
2011-12-02,12,25.44
2011-12-09,13,24.66
2011-12-16,14,22.98
2011-12-23,12,23.73
2011-12-30,12,22.29
2012-01-06,14,23.98
2012-01-13,12,21.41
2012-01-20,13,20.96
2012-01-27,16,22.05
2012-02-03,13,22.31
2012-02-10,14,22.13
2012-02-17,15,24.71
2012-02-24,16,25.45
2012-03-02,15,24.33
2012-03-09,15,24.55
2012-03-16,13,25.06
2012-03-23,12,24.66
2012-03-30,13,23.17
2012-04-06,11,
2012-04-13,12,19.95
2012-04-20,17,17.44
2012-04-27,17,17.72
2012-05-04,25,17.39
2012-05-11,19,14.81
2012-05-18,23,14.36
2012-05-25,21,15.81
2012-06-01,18,15.58
2012-06-08,19,18.36
2012-06-15,16,18.10
2012-06-22,15,18.61
2012-06-29,15,18.60
2012-07-06,15,20.04
2012-07-13,15,19.11
2012-07-20,16,17.20
2012-07-27,14,18.46
2012-08-03,16,17.89
2012-08-10,19,19.68
2012-08-17,14,19.14
2012-08-24,13,19.39
2012-08-31,12,19.35
2012-09-07,13,20.34
2012-09-14,13,20.52
2012-09-21,12,19.36
2012-09-28,12,18.87
2012-10-05,13,19.23
2012-10-12,11,20.18
2012-10-19,14,20.81
2012-10-26,13,20.10
2012-11-02,12,18.49
2012-11-09,12,17.04
2012-11-16,11,16.62
2012-11-23,11,17.83
2012-11-30,13,17.03
2012-12-07,11,17.25
2012-12-14,11,16.56
2012-12-21,12,17.32
2012-12-28,12,16.56
2013-01-04,14,17.45
2013-01-11,13,16.87
2013-01-18,12,17.82
2013-01-25,13,19.36
2013-02-01,18,20.33
2013-02-08,14,20.23
2013-02-15,13,20.01
2013-02-22,13,20.50
2013-03-01,14,19.67
2013-03-08,14,21.33
2013-03-15,14,22.46
2013-03-22,13,20.39
2013-03-29,12,
2013-04-05,14,19.75
2013-04-12,12,19.68
2013-04-19,12,18.59
2013-04-26,16,19.25
2013-05-03,16,19.25
2013-05-10,15,20.15
2013-05-17,14,20.27
2013-05-24,16,21.67
2013-05-31,15,21.84
2013-06-07,14,22.00
2013-06-14,12,20.68
2013-06-21,12,20.22
2013-06-28,11,20.38
2013-07-05,11,21.04
2013-07-12,12,21.24
2013-07-19,13,22.58
2013-07-26,13,22.85
2013-08-02,15,24.95
2013-08-09,11,25.00
2013-08-16,13,25.00
2013-08-23,13,26.23
2013-08-30,13,25.81
2013-09-06,12,26.03
2013-09-13,12,26.67
2013-09-20,11,26.58
2013-09-27,12,26.21
2013-10-04,12,26.50
2013-10-11,12,26.47
2013-10-18,11,28.25
2013-10-25,14,28.47
2013-11-01,12,28.00
2013-11-08,13,25.71
2013-11-15,14,25.88
2013-11-22,12,26.30
2013-11-29,11,26.87
2013-12-06,10,26.48
2013-12-13,11,27.00
2013-12-20,10,27.11
2013-12-27,10,27.49
2014-01-03,12,26.42
2014-01-10,11,25.71
2014-01-17,11,25.45
2014-01-24,12,26.88
2014-01-31,12,26.91
2014-02-07,12,24.59
2014-02-14,11,25.14
2014-02-21,11,26.57
2014-02-28,12,25.91
2014-03-07,11,25.85
2014-03-14,11,25.03
2014-03-21,11,24.67
2014-03-28,10,25.67
2014-04-04,11,26.59
2014-04-11,10,26.16
2014-04-18,10,
2014-04-25,12,28.80
2014-05-02,9,
