Date,HON,Price
2007-11-09,13,57.76
2007-11-16,14,55.88
2007-11-23,15,54.67
2007-11-30,17,56.62
2007-12-07,16,58.51
2007-12-14,15,59.98
2007-12-21,15,60.71
2007-12-28,14,61.20
2008-01-04,15,58.28
2008-01-11,15,56.80
2008-01-18,15,55.30
2008-01-25,16,58.25
2008-02-01,16,60.21
2008-02-08,14,57.83
2008-02-15,15,56.04
2008-02-22,17,56.54
2008-02-29,16,57.54
2008-03-07,16,56.56
2008-03-14,16,56.13
2008-03-21,17,
2008-03-28,17,55.85
2008-04-04,17,58.27
2008-04-11,18,56.99
2008-04-18,17,60.99
2008-04-25,17,60.49
2008-05-02,17,60.63
2008-05-09,17,59.59
2008-05-16,17,61.81
2008-05-23,17,58.76
2008-05-30,16,59.62
2008-06-06,17,54.01
2008-06-13,17,56.49
2008-06-20,18,54.20
2008-06-27,17,49.23
2008-07-04,17,
2008-07-11,17,49.31
2008-07-18,17,50.66
2008-07-25,18,50.84
2008-08-01,18,51.00
2008-08-08,17,51.32
2008-08-15,17,50.93
2008-08-22,18,49.80
2008-08-29,18,50.17
2008-09-05,17,47.72
2008-09-12,19,47.55
2008-09-19,19,45.32
2008-09-26,19,44.17
2008-10-03,19,37.84
2008-10-10,19,30.60
2008-10-17,19,29.37
2008-10-24,19,27.16
2008-10-31,18,30.45
2008-11-07,19,29.36
2008-11-14,18,27.35
2008-11-21,19,25.38
2008-11-28,19,27.86
2008-12-05,18,26.54
2008-12-12,20,28.95
2008-12-19,20,32.69
2008-12-26,20,31.97
2009-01-02,21,34.66
2009-01-09,25,34.14
2009-01-16,23,32.94
2009-01-23,21,32.21
2009-01-30,20,32.81
2009-02-06,27,33.44
2009-02-13,25,33.06
2009-02-20,25,28.84
2009-02-27,25,26.83
2009-03-06,24,23.60
2009-03-13,26,26.93
2009-03-20,26,26.95
2009-03-27,27,29.25
2009-04-03,26,30.20
2009-04-10,29,
2009-04-17,29,31.49
2009-04-24,27,31.45
2009-05-01,26,31.63
2009-05-08,27,34.72
2009-05-15,26,31.95
2009-05-22,27,32.10
2009-05-29,27,33.16
2009-06-05,26,35.72
2009-06-12,28,35.41
2009-06-19,26,32.81
2009-06-26,26,31.77
2009-07-03,27,
2009-07-10,30,30.03
2009-07-17,32,32.43
2009-07-24,33,33.99
2009-07-31,34,34.70
2009-08-07,38,36.38
2009-08-14,38,35.87
2009-08-21,38,36.32
2009-08-28,39,37.23
2009-09-04,40,37.15
2009-09-11,39,38.93
2009-09-18,42,40.17
2009-09-25,45,37.81
2009-10-02,40,35.60
2009-10-09,43,37.17
2009-10-16,43,37.79
2009-10-23,42,38.26
2009-10-30,44,35.89
2009-11-06,44,37.70
2009-11-13,43,39.25
2009-11-20,42,38.04
2009-11-27,47,38.48
2009-12-04,44,40.14
2009-12-11,46,40.87
2009-12-18,50,39.15
2009-12-25,53,
2010-01-01,50,
2010-01-08,49,42.12
2010-01-15,50,42.63
2010-01-22,48,39.88
2010-01-29,50,38.64
2010-02-05,49,37.47
2010-02-12,46,37.86
2010-02-19,51,40.22
2010-02-26,59,40.16
2010-03-05,58,41.91
2010-03-12,55,42.93
2010-03-19,60,43.82
2010-03-26,76,44.60
2010-04-02,78,
2010-04-09,81,45.77
2010-04-16,75,45.82
2010-04-23,72,47.72
2010-04-30,69,47.47
2010-05-07,64,43.52
2010-05-14,75,45.48
2010-05-21,60,42.07
2010-05-28,55,42.77
2010-06-04,55,41.07
2010-06-11,55,41.32
2010-06-18,51,42.92
2010-06-25,56,41.60
2010-07-02,58,38.53
2010-07-09,57,41.27
2010-07-16,58,40.19
2010-07-23,58,43.50
2010-07-30,58,42.86
2010-08-06,63,43.77
2010-08-13,59,41.32
2010-08-20,60,40.64
2010-08-27,57,39.65
2010-09-03,55,42.82
2010-09-10,58,42.81
2010-09-17,59,43.82
2010-09-24,57,44.46
2010-10-01,57,44.15
2010-10-08,56,45.75
2010-10-15,59,46.49
2010-10-22,59,47.26
2010-10-29,58,47.11
2010-11-05,58,49.28
2010-11-12,59,47.52
2010-11-19,60,49.78
2010-11-26,58,50.13
2010-12-03,61,51.45
2010-12-10,61,51.98
2010-12-17,64,52.99
2010-12-24,64,
2010-12-31,65,53.16
2011-01-07,60,54.30
2011-01-14,58,55.02
2011-01-21,56,54.49
2011-01-28,54,55.32
2011-02-04,51,57.12
2011-02-11,62,57.98
2011-02-18,66,57.99
2011-02-25,66,57.28
2011-03-04,62,56.51
2011-03-11,64,56.27
2011-03-18,62,55.86
2011-03-25,63,57.39
2011-04-01,65,59.26
2011-04-08,67,58.30
2011-04-15,69,57.75
2011-04-22,71,
2011-04-29,66,61.23
2011-05-06,72,60.95
2011-05-13,72,60.51
2011-05-20,75,58.99
2011-05-27,82,59.19
2011-06-03,76,57.25
2011-06-10,72,55.53
2011-06-17,73,55.85
2011-06-24,76,56.35
2011-07-01,67,60.19
2011-07-08,66,59.54
2011-07-15,70,57.25
2011-07-22,74,56.40
2011-07-29,86,53.10
2011-08-05,97,47.98
2011-08-12,88,46.88
2011-08-19,86,42.19
2011-08-26,80,45.48
2011-09-02,73,45.45
2011-09-09,78,44.72
2011-09-16,76,47.13
2011-09-23,72,42.43
2011-09-30,75,43.91
2011-10-07,77,45.49
2011-10-14,70,49.45
2011-10-21,71,51.28
2011-10-28,76,53.88
2011-11-04,74,53.95
2011-11-11,79,54.79
2011-11-18,77,52.75
2011-11-25,86,49.14
2011-12-02,83,54.13
2011-12-09,93,54.00
2011-12-16,78,53.10
2011-12-23,79,54.98
2011-12-30,78,54.35
2012-01-06,73,55.18
2012-01-13,70,56.70
2012-01-20,65,57.38
2012-01-27,61,58.27
2012-02-03,84,60.74
2012-02-10,95,59.33
2012-02-17,96,60.10
2012-02-24,100,59.27
2012-03-02,83,59.75
2012-03-09,79,59.78
2012-03-16,76,60.37
2012-03-23,77,60.16
2012-03-30,73,61.05
2012-04-06,77,
2012-04-13,78,58.07
2012-04-20,75,59.39
2012-04-27,73,61.29
2012-05-04,73,59.31
2012-05-11,75,58.55
2012-05-18,75,55.23
2012-05-25,73,56.75
2012-06-01,75,53.94
2012-06-08,72,55.99
2012-06-15,72,56.04
2012-06-22,75,55.51
2012-06-29,71,55.84
2012-07-06,74,54.89
2012-07-13,74,54.58
2012-07-20,78,57.74
2012-07-27,78,59.01
2012-08-03,78,58.91
2012-08-10,77,59.01
2012-08-17,80,59.50
2012-08-24,74,58.36
2012-08-31,73,58.45
2012-09-07,75,59.90
2012-09-14,74,61.02
2012-09-21,71,60.52
2012-09-28,74,59.75
2012-10-05,74,61.43
2012-10-12,72,60.20
2012-10-19,74,62.49
2012-10-26,78,61.49
2012-11-02,76,62.43
2012-11-09,79,60.83
2012-11-16,77,59.15
2012-11-23,79,61.26
2012-11-30,76,61.33
2012-12-07,75,61.97
2012-12-14,74,61.55
2012-12-21,81,64.21
2012-12-28,80,62.92
2013-01-04,76,66.33
2013-01-11,73,66.31
2013-01-18,72,67.81
2013-01-25,74,68.33
2013-02-01,79,69.15
2013-02-08,65,70.53
2013-02-15,64,70.11
2013-02-22,69,69.89
2013-03-01,71,70.05
2013-03-08,71,73.70
2013-03-15,74,73.46
2013-03-22,73,75.19
2013-03-29,78,
2013-04-05,74,72.98
2013-04-12,74,74.25
2013-04-19,76,74.18
2013-04-26,80,73.90
2013-05-03,80,75.24
2013-05-10,80,77.74
2013-05-17,74,80.75
2013-05-24,72,79.29
2013-05-31,74,78.46
2013-06-07,73,79.08
2013-06-14,75,78.18
2013-06-21,78,78.25
2013-06-28,75,79.34
2013-07-05,75,80.06
2013-07-12,74,82.37
2013-07-19,79,83.57
2013-07-26,75,82.88
2013-08-02,77,84.68
2013-08-09,78,83.32
2013-08-16,82,81.96
2013-08-23,75,81.40
2013-08-30,74,79.57
2013-09-06,76,81.66
2013-09-13,70,84.05
2013-09-20,69,85.48
2013-09-27,72,83.58
2013-10-04,67,82.24
2013-10-11,75,86.46
2013-10-18,72,84.58
2013-10-25,68,87.50
2013-11-01,71,86.91
2013-11-08,73,87.44
2013-11-15,69,88.62
2013-11-22,66,88.80
2013-11-29,70,88.51
2013-12-06,68,88.32
2013-12-13,68,86.61
2013-12-20,68,89.55
2013-12-27,70,91.14
2014-01-03,67,90.52
2014-01-10,63,90.16
2014-01-17,64,89.95
2014-01-24,57,88.47
2014-01-31,61,91.23
2014-02-07,65,93.16
2014-02-14,68,94.61
2014-02-21,69,93.93
2014-02-28,74,94.44
2014-03-07,75,95.44
2014-03-14,74,92.01
2014-03-21,72,92.99
2014-03-28,74,90.89
2014-04-04,75,93.33
2014-04-11,71,90.40
2014-04-18,67,
2014-04-25,69,92.65
2014-05-02,68,
