Date,Morgan Stanley,Price
2009-10-09,17,32.09
2009-10-16,19,32.99
2009-10-23,20,35.00
2009-10-30,16,32.12
2009-11-06,17,32.60
2009-11-13,17,33.09
2009-11-20,16,32.10
2009-11-27,15,30.51
2009-12-04,17,30.97
2009-12-11,17,29.78
2009-12-18,16,29.21
2009-12-25,13,
2010-01-01,13,
2010-01-08,17,32.25
2010-01-15,18,30.38
2010-01-22,19,27.80
2010-01-29,17,26.78
2010-02-05,19,27.26
2010-02-12,17,27.16
2010-02-19,16,27.41
2010-02-26,17,28.18
2010-03-05,16,29.41
2010-03-12,17,29.91
2010-03-19,17,29.63
2010-03-26,17,28.85
2010-04-02,17,
2010-04-09,16,30.98
2010-04-16,19,29.16
2010-04-23,18,31.94
2010-04-30,17,30.22
2010-05-07,16,27.75
2010-05-14,17,27.08
2010-05-21,16,27.11
2010-05-28,14,27.11
2010-06-04,14,25.99
2010-06-11,16,26.00
2010-06-18,15,25.70
2010-06-25,14,25.01
2010-07-02,14,22.83
2010-07-09,15,24.70
2010-07-16,16,24.74
2010-07-23,17,26.89
2010-07-30,15,26.99
2010-08-06,16,27.65
2010-08-13,15,25.90
2010-08-20,16,25.92
2010-08-27,14,25.03
2010-09-03,14,26.66
2010-09-10,16,27.19
2010-09-17,16,26.47
2010-09-24,17,25.15
2010-10-01,17,25.02
2010-10-08,17,25.32
2010-10-15,17,25.02
2010-10-22,19,24.52
2010-10-29,17,24.87
2010-11-05,17,27.28
2010-11-12,17,25.57
2010-11-19,17,25.62
2010-11-26,13,24.70
2010-12-03,16,25.64
2010-12-10,16,26.95
2010-12-17,15,26.24
2010-12-24,14,
2010-12-31,13,27.21
2011-01-07,16,28.20
2011-01-14,17,28.98
2011-01-21,19,30.01
2011-01-28,18,29.04
2011-02-04,17,29.85
2011-02-11,17,30.16
2011-02-18,17,30.99
2011-02-25,14,29.87
2011-03-04,16,28.44
2011-03-11,16,28.34
2011-03-18,14,27.43
2011-03-25,16,27.13
2011-04-01,17,27.26
2011-04-08,17,27.25
2011-04-15,16,26.98
2011-04-22,16,
2011-04-29,15,26.15
2011-05-06,14,25.24
2011-05-13,16,24.13
2011-05-20,15,23.83
2011-05-27,15,24.07
2011-06-03,14,23.12
2011-06-10,15,22.69
2011-06-17,14,22.83
2011-06-24,15,22.21
2011-07-01,15,23.76
2011-07-08,14,22.30
2011-07-15,15,21.09
2011-07-22,16,23.90
2011-07-29,15,22.25
2011-08-05,15,20.02
2011-08-12,17,16.89
2011-08-19,17,16.00
2011-08-26,15,16.61
2011-09-02,14,15.96
2011-09-09,13,15.28
2011-09-16,16,16.45
2011-09-23,15,13.72
2011-09-30,16,13.51
2011-10-07,20,14.24
2011-10-14,15,15.22
2011-10-21,17,17.02
2011-10-28,16,19.31
2011-11-04,14,16.72
2011-11-11,15,16.36
2011-11-18,15,14.21
2011-11-25,12,13.26
2011-12-02,14,15.52
2011-12-09,14,16.38
2011-12-16,14,14.98
2011-12-23,12,15.76
2011-12-30,11,15.13
2012-01-06,14,15.90
2012-01-13,15,16.63
2012-01-20,17,18.39
2012-01-27,16,18.56
2012-02-03,17,20.31
2012-02-10,15,19.66
2012-02-17,15,19.16
2012-02-24,15,18.49
2012-03-02,15,18.87
2012-03-09,15,18.37
2012-03-16,14,19.53
2012-03-23,13,20.33
2012-03-30,14,19.64
2012-04-06,12,
2012-04-13,13,17.28
2012-04-20,14,17.48
2012-04-27,12,16.95
2012-05-04,13,16.00
2012-05-11,14,14.95
2012-05-18,15,13.35
2012-05-25,19,13.25
2012-06-01,14,12.73
2012-06-08,14,13.71
2012-06-15,13,14.30
2012-06-22,14,14.14
2012-06-29,13,14.59
2012-07-06,11,14.14
2012-07-13,14,14.05
2012-07-20,14,12.78
2012-07-27,14,13.49
2012-08-03,13,13.78
2012-08-10,14,14.61
2012-08-17,13,14.59
2012-08-24,12,14.56
2012-08-31,13,15.00
2012-09-07,15,17.08
2012-09-14,15,18.24
2012-09-21,14,17.08
2012-09-28,14,16.74
2012-10-05,14,17.50
2012-10-12,13,17.31
2012-10-19,15,17.53
2012-10-26,13,17.04
2012-11-02,11,17.78
2012-11-09,12,16.61
2012-11-16,12,16.18
2012-11-23,11,16.43
2012-11-30,13,16.87
2012-12-07,13,16.97
2012-12-14,13,18.05
2012-12-21,12,18.92
2012-12-28,8,18.62
2013-01-04,12,20.19
2013-01-11,16,20.17
2013-01-18,17,22.38
2013-01-25,15,22.70
2013-02-01,14,23.51
2013-02-08,14,23.32
2013-02-15,14,23.87
2013-02-22,14,23.58
2013-03-01,14,22.43
2013-03-08,15,23.03
2013-03-15,14,23.59
2013-03-22,14,22.18
2013-03-29,13,
2013-04-05,13,21.56
2013-04-12,15,21.82
2013-04-19,13,20.58
2013-04-26,12,21.40
2013-05-03,13,22.76
2013-05-10,14,23.94
2013-05-17,13,25.19
2013-05-24,13,24.35
2013-05-31,12,25.90
2013-06-07,13,27.00
2013-06-14,13,25.83
2013-06-21,13,24.91
2013-06-28,12,24.43
2013-07-05,11,24.57
2013-07-12,14,26.13
2013-07-19,15,27.60
2013-07-26,13,27.70
2013-08-02,13,27.85
2013-08-09,13,26.76
2013-08-16,13,26.47
2013-08-23,12,26.32
2013-08-30,12,25.76
2013-09-06,12,26.81
2013-09-13,14,28.13
2013-09-20,14,28.19
2013-09-27,13,27.08
2013-10-04,13,26.99
2013-10-11,13,27.95
2013-10-18,14,29.69
2013-10-25,14,29.23
2013-11-01,13,29.20
2013-11-08,14,29.44
2013-11-15,14,30.30
2013-11-22,14,31.34
2013-11-29,11,31.30
2013-12-06,12,30.46
2013-12-13,12,31.09
2013-12-20,12,30.93
2013-12-27,10,31.06
2014-01-03,11,31.51
2014-01-10,14,31.30
2014-01-17,16,33.40
2014-01-24,14,30.45
2014-01-31,14,29.51
2014-02-07,14,29.69
2014-02-14,15,29.69
2014-02-21,14,29.62
2014-02-28,15,30.80
2014-03-07,15,32.21
2014-03-14,13,31.10
2014-03-21,14,32.60
2014-03-28,14,30.91
2014-04-04,14,30.37
2014-04-11,14,28.47
2014-04-18,14,
2014-04-25,13,30.58
2014-05-02,11,
