Date,A,Price
2005-11-25,60,35.69
2005-12-02,60,35.49
2005-12-09,59,35.27
2005-12-16,57,35.30
2005-12-23,54,34.90
2005-12-30,53,33.29
2006-01-06,54,34.65
2006-01-13,57,33.96
2006-01-20,57,34.25
2006-01-27,59,34.14
2006-02-03,58,34.33
2006-02-10,60,35.87
2006-02-17,57,34.99
2006-02-24,59,35.92
2006-03-03,59,36.22
2006-03-10,60,36.38
2006-03-17,59,37.92
2006-03-24,58,37.37
2006-03-31,59,37.55
2006-04-07,60,37.86
2006-04-14,59,
2006-04-21,59,38.82
2006-04-28,61,38.42
2006-05-05,63,39.15
2006-05-12,61,37.25
2006-05-19,60,34.98
2006-05-26,60,34.63
2006-06-02,59,35.52
2006-06-09,59,33.73
2006-06-16,57,33.35
2006-06-23,55,31.19
2006-06-30,53,31.56
2006-07-07,53,31.02
2006-07-14,53,28.69
2006-07-21,53,27.86
2006-07-28,54,27.92
2006-08-04,54,28.05
2006-08-11,53,27.20
2006-08-18,55,31.80
2006-08-25,56,30.47
2006-09-01,57,31.52
2006-09-08,55,30.68
2006-09-15,59,30.92
2006-09-22,58,32.48
2006-09-29,58,32.69
2006-10-06,59,33.29
2006-10-13,57,34.50
2006-10-20,58,34.92
2006-10-27,58,34.88
2006-11-03,58,32.93
2006-11-10,60,34.34
2006-11-17,60,33.75
2006-11-24,57,33.56
2006-12-01,58,31.97
2006-12-08,58,33.43
2006-12-15,55,34.08
2006-12-22,54,33.72
2006-12-29,53,34.85
2007-01-05,54,34.09
2007-01-12,56,33.60
2007-01-19,57,32.80
2007-01-26,57,32.37
2007-02-02,56,31.61
2007-02-09,56,32.66
2007-02-16,57,32.77
2007-02-23,58,33.27
2007-03-02,58,30.72
2007-03-09,60,31.76
2007-03-16,58,31.75
2007-03-23,58,33.22
2007-03-30,58,33.69
2007-04-06,56,
2007-04-13,58,34.47
2007-04-20,59,35.48
2007-04-27,61,34.71
2007-05-04,60,37.00
2007-05-11,62,36.21
2007-05-18,62,38.00
2007-05-25,61,38.37
2007-06-01,59,38.28
2007-06-08,60,37.53
2007-06-15,59,38.72
2007-06-22,58,38.65
2007-06-29,58,38.44
2007-07-06,57,39.82
2007-07-13,57,39.96
2007-07-20,58,39.38
2007-07-27,57,37.64
2007-08-03,57,37.98
2007-08-10,58,35.75
2007-08-17,57,33.83
2007-08-24,59,35.20
2007-08-31,60,36.40
2007-09-07,58,36.28
2007-09-14,61,36.16
2007-09-21,63,36.91
2007-09-28,62,36.88
2007-10-05,61,37.79
2007-10-12,60,37.61
2007-10-19,62,37.30
2007-10-26,63,36.03
2007-11-02,63,36.02
2007-11-09,63,33.39
2007-11-16,65,36.72
2007-11-23,62,36.91
2007-11-30,64,37.83
2007-12-07,62,38.01
2007-12-14,59,36.31
2007-12-21,61,37.19
2007-12-28,57,37.49
2008-01-04,59,34.77
2008-01-11,62,36.00
2008-01-18,63,33.66
2008-01-25,62,33.19
2008-02-01,62,34.46
2008-02-08,64,32.00
2008-02-15,64,30.65
2008-02-22,64,31.41
2008-02-29,65,30.61
2008-03-07,64,30.07
2008-03-14,66,29.64
2008-03-21,63,
2008-03-28,64,29.58
2008-04-04,67,31.71
2008-04-11,67,30.13
2008-04-18,67,30.97
2008-04-25,68,31.53
2008-05-02,66,32.07
2008-05-09,67,31.90
2008-05-16,67,35.09
2008-05-23,66,35.93
2008-05-30,65,37.39
2008-06-06,66,36.51
2008-06-13,63,37.31
2008-06-20,65,37.57
2008-06-27,64,35.59
2008-07-04,63,
2008-07-11,63,35.69
2008-07-18,65,35.57
2008-07-25,67,36.21
2008-08-01,64,35.86
2008-08-08,64,37.00
2008-08-15,64,36.37
2008-08-22,65,35.38
2008-08-29,66,34.76
2008-09-05,67,32.79
2008-09-12,68,32.05
2008-09-19,69,32.91
2008-09-26,71,30.93
2008-10-03,69,28.28
2008-10-10,71,22.48
2008-10-17,68,22.61
2008-10-24,70,19.75
2008-10-31,70,22.19
2008-11-07,70,21.84
2008-11-14,71,20.75
2008-11-21,71,17.29
2008-11-28,69,18.83
2008-12-05,70,17.26
2008-12-12,72,17.39
2008-12-19,67,16.28
2008-12-26,64,15.45
2009-01-02,67,16.24
2009-01-09,70,18.52
2009-01-16,68,19.51
2009-01-23,70,18.64
2009-01-30,72,18.08
2009-02-06,71,19.30
2009-02-13,70,18.47
2009-02-20,73,15.18
2009-02-27,72,13.87
2009-03-06,74,12.65
2009-03-13,75,13.99
2009-03-20,74,14.43
2009-03-27,75,16.21
2009-04-03,74,16.46
2009-04-10,73,
2009-04-17,75,17.01
2009-04-24,75,16.90
2009-05-01,76,18.81
2009-05-08,76,19.34
2009-05-15,75,17.65
2009-05-22,76,17.69
2009-05-29,75,18.23
2009-06-05,75,19.90
2009-06-12,72,19.36
2009-06-19,74,18.89
2009-06-26,72,20.38
2009-07-03,69,
2009-07-10,70,18.96
2009-07-17,73,20.96
2009-07-24,72,22.27
2009-07-31,75,23.22
2009-08-07,74,23.73
2009-08-14,75,24.04
2009-08-21,78,25.55
2009-08-28,77,25.83
2009-09-04,77,25.86
2009-09-11,78,28.05
2009-09-18,82,28.37
2009-09-25,81,27.58
2009-10-02,78,26.31
2009-10-09,81,27.47
2009-10-16,79,27.21
2009-10-23,81,26.20
2009-10-30,78,24.74
2009-11-06,77,26.17
2009-11-13,80,28.61
2009-11-20,83,28.91
2009-11-27,84,28.85
2009-12-04,82,29.86
2009-12-11,80,29.64
2009-12-18,78,29.40
2009-12-25,72,
2010-01-01,74,
2010-01-08,76,30.80
2010-01-15,78,30.43
2010-01-22,81,29.17
2010-01-29,80,28.03
2010-02-05,82,29.17
2010-02-12,81,29.98
2010-02-19,79,31.20
2010-02-26,79,31.46
2010-03-05,83,33.16
2010-03-12,84,33.42
2010-03-19,81,33.42
2010-03-26,86,34.31
2010-04-02,81,
2010-04-09,85,34.23
2010-04-16,84,35.27
2010-04-23,83,36.64
2010-04-30,86,36.26
2010-05-07,84,31.87
2010-05-14,83,33.86
2010-05-21,82,31.34
2010-05-28,83,32.36
2010-06-04,79,30.34
2010-06-11,80,30.73
2010-06-18,78,32.61
2010-06-25,78,30.69
2010-07-02,78,27.79
2010-07-09,78,28.65
2010-07-16,78,27.03
2010-07-23,80,29.30
2010-07-30,79,27.93
2010-08-06,80,28.73
2010-08-13,82,27.35
2010-08-20,80,28.56
2010-08-27,81,27.96
2010-09-03,81,29.85
2010-09-10,83,28.91
2010-09-17,84,30.55
2010-09-24,87,32.09
2010-10-01,86,33.73
2010-10-08,86,33.80
2010-10-15,83,34.48
2010-10-22,86,34.75
2010-10-29,87,34.80
2010-11-05,84,36.38
2010-11-12,87,36.36
2010-11-19,86,36.46
2010-11-26,83,36.35
2010-12-03,84,37.48
2010-12-10,83,38.54
2010-12-17,82,40.54
2010-12-24,79,
2010-12-31,79,41.43
2011-01-07,82,41.62
2011-01-14,82,43.26
2011-01-21,84,42.11
2011-01-28,84,40.98
2011-02-04,84,42.99
2011-02-11,84,45.02
2011-02-18,84,43.92
2011-02-25,84,42.36
2011-03-04,83,46.75
2011-03-11,86,45.34
2011-03-18,82,42.94
2011-03-25,84,44.04
2011-04-01,88,45.14
2011-04-08,87,44.89
2011-04-15,87,47.50
2011-04-22,86,
2011-04-29,87,49.91
2011-05-06,85,49.73
2011-05-13,87,52.58
2011-05-20,88,50.70
2011-05-27,87,49.60
2011-06-03,87,47.43
2011-06-10,86,48.19
2011-06-17,86,47.43
2011-06-24,85,48.49
2011-07-01,83,52.00
2011-07-08,82,50.23
2011-07-15,83,47.08
2011-07-22,85,46.89
2011-07-29,84,42.16
2011-08-05,85,36.59
2011-08-12,85,36.21
2011-08-19,86,31.08
2011-08-26,87,34.87
2011-09-02,85,34.40
2011-09-09,87,33.36
2011-09-16,88,36.36
2011-09-23,92,31.68
2011-09-30,88,31.25
2011-10-07,88,31.37
2011-10-14,88,33.34
2011-10-21,88,35.27
2011-10-28,91,40.89
2011-11-04,97,36.91
2011-11-11,94,37.46
2011-11-18,91,36.81
2011-11-25,90,33.83
2011-12-02,91,36.76
2011-12-09,91,35.33
2011-12-16,89,33.46
2011-12-23,87,35.36
2011-12-30,85,34.93
2012-01-06,84,37.40
2012-01-13,89,39.06
2012-01-20,88,41.00
2012-01-27,91,42.68
2012-02-03,91,45.28
2012-02-10,91,44.14
2012-02-17,89,43.14
2012-02-24,89,43.02
2012-03-02,90,43.72
2012-03-09,91,44.55
2012-03-16,90,45.62
2012-03-23,92,44.30
2012-03-30,89,44.51
2012-04-06,88,
2012-04-13,92,42.24
2012-04-20,90,42.10
2012-04-27,92,42.56
2012-05-04,90,41.01
2012-05-11,92,39.45
2012-05-18,90,38.73
2012-05-25,91,41.01
2012-06-01,90,38.22
2012-06-08,88,39.60
2012-06-15,88,40.01
2012-06-22,89,39.03
2012-06-29,88,39.24
2012-07-06,88,37.97
2012-07-13,87,37.04
2012-07-20,86,37.56
2012-07-27,91,37.94
2012-08-03,91,39.11
2012-08-10,88,40.53
2012-08-17,90,37.22
2012-08-24,92,37.85
2012-08-31,96,37.16
2012-09-07,93,38.42
2012-09-14,95,39.73
2012-09-21,95,39.00
2012-09-28,93,38.45
2012-10-05,96,38.86
2012-10-12,91,37.22
2012-10-19,92,35.75
2012-10-26,94,35.94
2012-11-02,90,37.00
2012-11-09,91,36.91
2012-11-16,91,35.81
2012-11-23,93,36.88
2012-11-30,90,38.29
2012-12-07,89,37.81
2012-12-14,88,39.85
2012-12-21,88,41.05
2012-12-28,82,39.83
2013-01-04,87,42.86
2013-01-11,92,43.43
2013-01-18,93,44.15
2013-01-25,93,45.29
2013-02-01,91,45.29
2013-02-08,93,45.08
2013-02-15,90,42.25
2013-02-22,93,41.80
2013-03-01,91,41.93
2013-03-08,95,43.03
2013-03-15,93,43.01
2013-03-22,91,41.25
2013-03-29,92,
2013-04-05,90,41.54
2013-04-12,96,44.75
2013-04-19,93,42.00
2013-04-26,94,41.30
2013-05-03,96,41.55
2013-05-10,93,43.63
2013-05-17,91,45.56
2013-05-24,93,45.59
2013-05-31,92,45.45
2013-06-07,89,45.15
2013-06-14,92,44.00
2013-06-21,93,42.98
2013-06-28,89,42.76
2013-07-05,85,44.23
2013-07-12,89,45.75
2013-07-19,91,46.20
2013-07-26,90,45.60
2013-08-02,90,46.38
2013-08-09,91,46.22
2013-08-16,94,46.79
2013-08-23,94,47.68
2013-08-30,95,46.64
2013-09-06,94,47.43
2013-09-13,96,48.46
2013-09-20,95,52.15
2013-09-27,96,51.63
2013-10-04,94,51.78
2013-10-11,93,51.46
2013-10-18,95,52.99
2013-10-25,96,51.87
2013-11-01,95,51.10
2013-11-08,96,50.78
2013-11-15,98,54.93
2013-11-22,96,53.85
2013-11-29,94,53.57
2013-12-06,95,54.83
2013-12-13,92,55.16
2013-12-20,89,56.96
2013-12-27,87,57.17
2014-01-03,90,56.92
2014-01-10,93,58.93
2014-01-17,95,60.71
2014-01-24,97,57.87
2014-01-31,98,58.15
2014-02-07,95,59.42
2014-02-14,95,55.25
2014-02-21,91,56.34
2014-02-28,97,56.93
2014-03-07,95,58.42
2014-03-14,95,55.44
2014-03-21,96,56.09
2014-03-28,98,54.69
2014-04-04,98,55.57
2014-04-11,94,52.77
2014-04-18,96,
2014-04-25,97,54.39
2014-05-02,100,
