Date,HRS,Price
2008-08-08,91,49.20
2008-08-15,95,53.91
2008-08-22,92,51.75
2008-08-29,92,52.36
2008-09-05,92,49.41
2008-09-12,93,49.49
2008-09-19,93,48.01
2008-09-26,95,47.70
2008-10-03,86,42.95
2008-10-10,91,35.10
2008-10-17,85,35.62
2008-10-24,81,31.50
2008-10-31,82,35.95
2008-11-07,84,36.52
2008-11-14,78,33.04
2008-11-21,79,30.06
2008-11-28,71,34.88
2008-12-05,78,32.99
2008-12-12,73,36.13
2008-12-19,73,37.27
2008-12-26,73,36.62
2009-01-02,70,40.30
2009-01-09,80,38.66
2009-01-16,88,41.54
2009-01-23,89,42.81
2009-01-30,91,43.29
2009-02-06,87,44.86
2009-02-13,85,42.29
2009-02-20,86,39.14
2009-02-27,85,37.28
2009-03-06,86,31.41
2009-03-13,88,31.46
2009-03-20,92,30.80
2009-03-27,89,29.22
2009-04-03,83,30.49
2009-04-10,77,
2009-04-17,75,28.78
2009-04-24,89,29.99
2009-05-01,75,31.17
2009-05-08,82,28.88
2009-05-15,86,29.68
2009-05-22,77,30.23
2009-05-29,81,31.08
2009-06-05,77,30.98
2009-06-12,81,30.27
2009-06-19,80,28.81
2009-06-26,86,28.35
2009-07-03,78,
2009-07-10,85,27.59
2009-07-17,88,30.09
2009-07-24,91,31.45
2009-07-31,84,31.31
2009-08-07,87,31.36
2009-08-14,96,33.38
2009-08-21,87,35.23
2009-08-28,88,35.04
2009-09-04,87,34.99
2009-09-11,85,36.47
2009-09-18,85,36.57
2009-09-25,82,37.21
2009-10-02,80,36.00
2009-10-09,81,38.15
2009-10-16,82,39.88
2009-10-23,73,39.45
2009-10-30,71,41.72
2009-11-06,73,44.40
2009-11-13,71,44.43
2009-11-20,74,43.07
2009-11-27,71,43.84
2009-12-04,70,45.75
2009-12-11,71,45.44
2009-12-18,63,45.06
2009-12-25,64,
2010-01-01,69,
2010-01-08,73,48.69
2010-01-15,79,48.00
2010-01-22,76,45.78
2010-01-29,80,42.92
2010-02-05,79,44.73
2010-02-12,77,44.98
2010-02-19,73,47.23
2010-02-26,77,45.22
2010-03-05,79,46.35
2010-03-12,82,45.12
2010-03-19,77,46.05
2010-03-26,74,46.20
2010-04-02,76,
2010-04-09,74,48.88
2010-04-16,82,49.26
2010-04-23,78,50.30
2010-04-30,80,51.48
2010-05-07,83,46.80
2010-05-14,80,48.12
2010-05-21,85,46.18
2010-05-28,78,46.91
2010-06-04,84,45.58
2010-06-11,82,46.56
2010-06-18,81,48.49
2010-06-25,81,44.78
2010-07-02,80,41.18
2010-07-09,84,42.90
2010-07-16,89,43.34
2010-07-23,94,45.80
2010-07-30,90,44.53
2010-08-06,94,46.88
2010-08-13,94,43.82
2010-08-20,96,42.76
2010-08-27,94,42.87
2010-09-03,94,43.83
2010-09-10,96,42.92
2010-09-17,91,44.74
2010-09-24,86,45.37
2010-10-01,88,44.70
2010-10-08,90,43.73
2010-10-15,87,44.47
2010-10-22,81,43.80
2010-10-29,88,45.19
2010-11-05,82,47.33
2010-11-12,82,46.18
2010-11-19,79,46.43
2010-11-26,81,46.10
2010-12-03,75,45.57
2010-12-10,75,46.17
2010-12-17,74,46.40
2010-12-24,77,
2010-12-31,72,45.30
2011-01-07,85,46.36
2011-01-14,87,48.33
2011-01-21,87,47.56
2011-01-28,89,46.36
2011-02-04,87,47.36
2011-02-11,97,49.21
2011-02-18,91,48.65
2011-02-25,86,46.45
2011-03-04,81,46.18
2011-03-11,80,45.58
2011-03-18,82,46.52
2011-03-25,80,48.06
2011-04-01,79,50.05
2011-04-08,86,50.80
2011-04-15,84,50.05
2011-04-22,81,
2011-04-29,78,53.13
2011-05-06,84,48.16
2011-05-13,88,48.88
2011-05-20,87,49.48
2011-05-27,91,48.96
2011-06-03,84,46.75
2011-06-10,86,45.23
2011-06-17,90,44.34
2011-06-24,90,44.03
2011-07-01,89,45.55
2011-07-08,91,44.55
2011-07-15,89,42.52
2011-07-22,91,43.36
2011-07-29,90,39.87
2011-08-05,89,37.51
2011-08-12,88,36.70
2011-08-19,90,34.78
2011-08-26,82,37.69
2011-09-02,83,38.23
2011-09-09,82,38.51
2011-09-16,83,40.72
2011-09-23,84,35.54
2011-09-30,88,34.17
2011-10-07,81,34.54
2011-10-14,83,36.74
2011-10-21,80,36.79
2011-10-28,82,38.85
2011-11-04,78,37.99
2011-11-11,84,38.29
2011-11-18,87,36.53
2011-11-25,82,33.26
2011-12-02,79,35.87
2011-12-09,81,35.51
2011-12-16,77,34.29
2011-12-23,76,36.88
2011-12-30,82,36.04
2012-01-06,86,37.18
2012-01-13,94,38.41
2012-01-20,91,39.40
2012-01-27,93,39.70
2012-02-03,88,41.93
2012-02-10,89,42.18
2012-02-17,88,42.66
2012-02-24,93,43.11
2012-03-02,97,43.79
2012-03-09,96,43.62
2012-03-16,96,44.40
2012-03-23,95,44.05
2012-03-30,90,45.08
2012-04-06,96,
2012-04-13,92,44.42
2012-04-20,94,44.10
2012-04-27,95,45.64
2012-05-04,89,41.02
2012-05-11,95,41.23
2012-05-18,88,38.43
2012-05-25,93,39.37
2012-06-01,87,39.10
2012-06-08,89,40.86
2012-06-15,92,41.23
2012-06-22,90,41.39
2012-06-29,92,41.85
2012-07-06,95,41.96
2012-07-13,94,40.85
2012-07-20,94,41.25
2012-07-27,92,42.51
2012-08-03,89,43.27
2012-08-10,92,45.64
2012-08-17,88,46.35
2012-08-24,96,46.53
2012-08-31,95,47.03
2012-09-07,96,47.10
2012-09-14,97,50.52
2012-09-21,96,51.16
2012-09-28,92,51.22
2012-10-05,84,51.97
2012-10-12,87,48.84
2012-10-19,90,46.33
2012-10-26,88,47.14
2012-11-02,79,47.46
2012-11-09,83,48.65
2012-11-16,85,46.42
2012-11-23,86,46.83
2012-11-30,78,47.13
2012-12-07,76,48.49
2012-12-14,75,48.17
2012-12-21,79,49.67
2012-12-28,89,48.31
2013-01-04,84,49.88
2013-01-11,88,49.75
2013-01-18,90,49.94
2013-01-25,95,49.49
2013-02-01,91,46.28
2013-02-08,87,46.62
2013-02-15,85,47.61
2013-02-22,83,47.98
2013-03-01,87,47.71
2013-03-08,89,45.42
2013-03-15,92,44.36
2013-03-22,90,43.99
2013-03-29,89,
2013-04-05,88,44.52
2013-04-12,91,44.06
2013-04-19,94,41.98
2013-04-26,95,43.93
2013-05-03,96,46.47
2013-05-10,93,48.79
2013-05-17,94,50.46
2013-05-24,89,50.37
2013-05-31,93,50.13
2013-06-07,88,50.35
2013-06-14,92,49.82
2013-06-21,88,48.58
2013-06-28,97,49.25
2013-07-05,93,49.56
2013-07-12,92,51.76
2013-07-19,100,52.70
2013-07-26,93,52.74
2013-08-02,91,57.12
2013-08-09,94,57.65
2013-08-16,96,57.29
2013-08-23,95,56.97
2013-08-30,88,56.63
2013-09-06,90,57.28
2013-09-13,91,57.93
2013-09-20,91,58.15
2013-09-27,87,59.23
2013-10-04,86,59.59
2013-10-11,91,59.30
2013-10-18,90,59.50
2013-10-25,89,59.61
2013-11-01,88,61.72
2013-11-08,86,63.62
2013-11-15,86,64.42
2013-11-22,83,65.49
2013-11-29,87,64.51
2013-12-06,76,66.42
2013-12-13,80,65.55
2013-12-20,80,68.74
2013-12-27,91,70.16
2014-01-03,84,69.30
2014-01-10,89,68.96
2014-01-17,89,70.54
2014-01-24,87,68.06
2014-01-31,89,69.34
2014-02-07,87,70.92
2014-02-14,84,72.00
2014-02-21,82,72.85
2014-02-28,84,73.82
2014-03-07,86,74.72
2014-03-14,86,72.56
2014-03-21,89,73.55
2014-03-28,87,71.88
2014-04-04,88,72.43
2014-04-11,91,69.58
2014-04-18,93,
2014-04-25,90,71.62
2014-05-02,98,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
