Date,DVA,Price
2008-07-11,50,53.50
2008-07-18,42,53.14
2008-07-25,46,55.96
2008-08-01,43,56.14
2008-08-08,50,59.33
2008-08-15,49,60.01
2008-08-22,50,58.46
2008-08-29,50,57.39
2008-09-05,49,56.65
2008-09-12,40,58.62
2008-09-19,49,57.27
2008-09-26,53,56.39
2008-10-03,50,53.51
2008-10-10,53,46.94
2008-10-17,48,50.34
2008-10-24,50,48.77
2008-10-31,52,56.75
2008-11-07,53,52.13
2008-11-14,54,51.36
2008-11-21,58,44.75
2008-11-28,52,50.25
2008-12-05,54,47.50
2008-12-12,57,47.89
2008-12-19,60,50.02
2008-12-26,55,48.78
2009-01-02,63,49.10
2009-01-09,56,47.28
2009-01-16,60,48.17
2009-01-23,58,47.02
2009-01-30,59,47.00
2009-02-06,54,46.93
2009-02-13,60,52.59
2009-02-20,60,50.89
2009-02-27,56,46.92
2009-03-06,61,45.72
2009-03-13,56,45.97
2009-03-20,64,42.34
2009-03-27,61,43.61
2009-04-03,56,44.60
2009-04-10,55,
2009-04-17,52,43.15
2009-04-24,59,43.71
2009-05-01,56,45.89
2009-05-08,55,47.25
2009-05-15,54,44.52
2009-05-22,57,44.82
2009-05-29,56,45.11
2009-06-05,66,46.77
2009-06-12,64,47.13
2009-06-19,60,48.13
2009-06-26,62,49.56
2009-07-03,59,
2009-07-10,62,49.25
2009-07-17,58,48.10
2009-07-24,58,49.76
2009-07-31,57,49.70
2009-08-07,56,51.91
2009-08-14,62,51.38
2009-08-21,64,52.38
2009-08-28,67,51.72
2009-09-04,66,53.24
2009-09-11,64,54.23
2009-09-18,68,55.57
2009-09-25,74,55.99
2009-10-02,72,55.72
2009-10-09,66,55.90
2009-10-16,70,56.29
2009-10-23,69,54.36
2009-10-30,70,53.03
2009-11-06,67,57.97
2009-11-13,72,58.23
2009-11-20,68,58.95
2009-11-27,74,59.33
2009-12-04,69,60.13
2009-12-11,68,59.54
2009-12-18,71,59.60
2009-12-25,73,
2010-01-01,77,
2010-01-08,75,61.00
2010-01-15,77,61.66
2010-01-22,73,60.73
2010-01-29,73,59.76
2010-02-05,76,60.43
2010-02-12,75,58.98
2010-02-19,74,61.61
2010-02-26,74,61.61
2010-03-05,72,64.15
2010-03-12,78,62.37
2010-03-19,70,63.37
2010-03-26,73,62.62
2010-04-02,73,
2010-04-09,68,66.06
2010-04-16,74,64.50
2010-04-23,75,64.84
2010-04-30,73,62.43
2010-05-07,71,61.15
2010-05-14,75,63.05
2010-05-21,76,61.28
2010-05-28,67,63.43
2010-06-04,74,62.96
2010-06-11,72,64.72
2010-06-18,71,66.63
2010-06-25,72,63.32
2010-07-02,68,61.10
2010-07-09,68,60.13
2010-07-16,63,60.00
2010-07-23,66,56.83
2010-07-30,72,57.32
2010-08-06,74,63.62
2010-08-13,74,64.08
2010-08-20,75,63.82
2010-08-27,80,65.44
2010-09-03,79,64.30
2010-09-10,76,65.04
2010-09-17,79,64.93
2010-09-24,81,67.63
2010-10-01,82,68.87
2010-10-08,79,72.14
2010-10-15,81,72.30
2010-10-22,83,71.65
2010-10-29,83,71.75
2010-11-05,80,71.77
2010-11-12,82,72.89
2010-11-19,82,73.10
2010-11-26,85,72.43
2010-12-03,82,74.09
2010-12-10,88,71.32
2010-12-17,76,70.01
2010-12-24,75,
2010-12-31,79,69.49
2011-01-07,88,69.22
2011-01-14,84,71.21
2011-01-21,81,70.70
2011-01-28,81,74.28
2011-02-04,81,76.56
2011-02-11,82,78.51
2011-02-18,84,79.67
2011-02-25,85,78.58
2011-03-04,84,83.76
2011-03-11,78,81.78
2011-03-18,75,79.77
2011-03-25,73,83.18
2011-04-01,78,86.53
2011-04-08,76,86.67
2011-04-15,75,87.04
2011-04-22,71,
2011-04-29,71,88.09
2011-05-06,71,84.36
2011-05-13,75,85.59
2011-05-20,78,85.62
2011-05-27,78,83.62
2011-06-03,79,83.70
2011-06-10,79,83.03
2011-06-17,81,84.07
2011-06-24,81,83.96
2011-07-01,80,87.20
2011-07-08,79,88.67
2011-07-15,83,87.10
2011-07-22,82,85.89
2011-07-29,92,83.54
2011-08-05,85,78.28
2011-08-12,85,72.77
2011-08-19,87,69.64
2011-08-26,88,71.94
2011-09-02,86,71.36
2011-09-09,83,71.36
2011-09-16,80,72.95
2011-09-23,88,67.94
2011-09-30,88,62.67
2011-10-07,88,61.69
2011-10-14,89,63.06
2011-10-21,92,69.21
2011-10-28,90,72.70
2011-11-04,87,73.97
2011-11-11,85,74.34
2011-11-18,91,73.37
2011-11-25,84,72.85
2011-12-02,88,76.81
2011-12-09,87,74.61
2011-12-16,89,74.15
2011-12-23,97,76.49
2011-12-30,98,75.81
2012-01-06,97,77.82
2012-01-13,96,78.45
2012-01-20,98,79.77
2012-01-27,91,81.15
2012-02-03,99,83.92
2012-02-10,100,83.97
2012-02-17,100,85.72
2012-02-24,98,86.80
2012-03-02,98,86.73
2012-03-09,93,86.22
2012-03-16,87,88.59
2012-03-23,84,86.60
2012-03-30,85,90.17
2012-04-06,78,
2012-04-13,79,85.77
2012-04-20,82,87.62
2012-04-27,79,89.17
2012-05-04,80,84.38
2012-05-11,78,82.89
2012-05-18,78,80.81
2012-05-25,79,81.76
2012-06-01,80,80.23
2012-06-08,77,85.60
2012-06-15,76,89.38
2012-06-22,79,94.60
2012-06-29,74,98.21
2012-07-06,73,96.63
2012-07-13,76,98.98
2012-07-20,78,97.20
2012-07-27,79,98.61
2012-08-03,73,99.29
2012-08-10,73,96.68
2012-08-17,73,97.63
2012-08-24,77,97.03
2012-08-31,79,97.27
2012-09-07,83,100.58
2012-09-14,77,98.45
2012-09-21,77,101.50
2012-09-28,82,103.61
2012-10-05,83,108.39
2012-10-12,78,110.42
2012-10-19,82,110.72
2012-10-26,88,111.02
2012-11-02,89,111.50
2012-11-09,86,112.43
2012-11-16,90,113.02
2012-11-23,83,111.43
2012-11-30,83,108.00
2012-12-07,84,106.49
2012-12-14,81,109.07
2012-12-21,82,111.93
2012-12-28,83,109.76
2013-01-04,84,109.84
2013-01-11,83,109.20
2013-01-18,83,113.23
2013-01-25,83,114.53
2013-02-01,86,116.72
2013-02-08,84,118.92
2013-02-15,84,117.46
2013-02-22,82,116.05
2013-03-01,86,120.03
2013-03-08,79,118.72
2013-03-15,81,118.20
2013-03-22,82,117.77
2013-03-29,86,
2013-04-05,81,125.38
2013-04-12,77,126.91
2013-04-19,75,122.62
2013-04-26,73,120.19
2013-05-03,79,117.32
2013-05-10,80,131.19
2013-05-17,77,128.14
2013-05-24,76,125.12
2013-05-31,81,124.07
2013-06-07,80,126.42
2013-06-14,80,128.83
2013-06-21,78,123.50
2013-06-28,83,120.80
2013-07-05,75,114.56
2013-07-12,74,121.23
2013-07-19,72,117.96
2013-07-26,71,117.72
2013-08-02,71,117.50
2013-08-09,71,114.35
2013-08-16,74,112.10
2013-08-23,75,110.36
2013-08-30,74,107.51
2013-09-06,70,110.59
2013-09-13,75,55.75
2013-09-20,77,58.47
2013-09-27,77,56.98
2013-10-04,76,58.37
2013-10-11,72,57.95
2013-10-18,79,58.06
2013-10-25,74,55.44
2013-11-01,85,56.57
2013-11-08,83,56.30
2013-11-15,82,58.89
2013-11-22,82,56.54
2013-11-29,86,59.55
2013-12-06,83,58.26
2013-12-13,91,60.30
2013-12-20,94,62.64
2013-12-27,81,63.36
2014-01-03,84,64.47
2014-01-10,80,64.74
2014-01-17,83,64.83
2014-01-24,85,64.20
2014-01-31,85,64.93
2014-02-07,82,63.62
2014-02-14,83,66.37
2014-02-21,78,66.13
2014-02-28,81,68.73
2014-03-07,81,68.78
2014-03-14,77,68.20
2014-03-21,78,69.81
2014-03-28,80,68.45
2014-04-04,76,68.07
2014-04-11,82,67.30
2014-04-18,84,
2014-04-25,78,69.56
2014-05-02,77,
