Date,American Electric Power,Price
2008-04-11,24,44.17
2008-04-18,15,44.67
2008-04-25,23,44.28
2008-05-02,20,45.09
2008-05-09,29,43.87
2008-05-16,15,43.41
2008-05-23,19,42.13
2008-05-30,14,42.33
2008-06-06,21,41.96
2008-06-13,24,42.79
2008-06-20,20,41.34
2008-06-27,18,39.58
2008-07-04,17,
2008-07-11,27,40.12
2008-07-18,18,39.47
2008-07-25,26,39.66
2008-08-01,20,38.77
2008-08-08,18,39.10
2008-08-15,30,38.52
2008-08-22,25,38.96
2008-08-29,25,39.04
2008-09-05,23,37.45
2008-09-12,21,39.12
2008-09-19,89,38.18
2008-09-26,27,37.16
2008-10-03,20,35.54
2008-10-10,19,28.00
2008-10-17,19,30.35
2008-10-24,18,30.98
2008-10-31,19,32.63
2008-11-07,14,30.87
2008-11-14,24,30.95
2008-11-21,25,29.01
2008-11-28,16,31.29
2008-12-05,24,29.91
2008-12-12,16,29.83
2008-12-19,18,31.91
2008-12-26,23,32.08
2009-01-02,19,34.00
2009-01-09,23,32.61
2009-01-16,20,32.50
2009-01-23,21,31.94
2009-01-30,28,31.35
2009-02-06,19,33.22
2009-02-13,25,31.81
2009-02-20,18,29.46
2009-02-27,21,28.05
2009-03-06,22,24.81
2009-03-13,23,25.25
2009-03-20,15,27.57
2009-03-27,15,26.27
2009-04-03,22,26.30
2009-04-10,21,
2009-04-17,25,27.33
2009-04-24,15,26.16
2009-05-01,19,26.94
2009-05-08,17,26.15
2009-05-15,17,24.94
2009-05-22,15,25.15
2009-05-29,16,26.34
2009-06-05,23,26.80
2009-06-12,19,28.00
2009-06-19,20,28.37
2009-06-26,17,28.61
2009-07-03,14,
2009-07-10,20,28.53
2009-07-17,19,29.80
2009-07-24,22,30.94
2009-07-31,19,30.96
2009-08-07,19,31.19
2009-08-14,22,31.11
2009-08-21,21,31.49
2009-08-28,24,31.86
2009-09-04,18,30.99
2009-09-11,23,30.69
2009-09-18,19,32.06
2009-09-25,24,30.98
2009-10-02,18,30.37
2009-10-09,19,30.71
2009-10-16,25,31.43
2009-10-23,22,30.81
2009-10-30,17,30.22
2009-11-06,17,31.03
2009-11-13,19,31.62
2009-11-20,19,31.27
2009-11-27,15,31.55
2009-12-04,19,33.79
2009-12-11,24,35.58
2009-12-18,21,35.08
2009-12-25,21,
2010-01-01,22,
2010-01-08,24,35.61
2010-01-15,21,36.01
2010-01-22,22,35.42
2010-01-29,19,34.65
2010-02-05,17,33.64
2010-02-12,22,32.95
2010-02-19,15,33.97
2010-02-26,19,33.62
2010-03-05,17,34.25
2010-03-12,19,34.10
2010-03-19,21,34.52
2010-03-26,15,34.09
2010-04-02,16,
2010-04-09,19,34.27
2010-04-16,16,33.73
2010-04-23,19,34.02
2010-04-30,17,34.30
2010-05-07,27,31.92
2010-05-14,17,33.00
2010-05-21,15,31.46
2010-05-28,18,31.96
2010-06-04,18,31.12
2010-06-11,16,32.45
2010-06-18,19,34.06
2010-06-25,17,32.99
2010-07-02,17,32.39
2010-07-09,16,34.84
2010-07-16,18,34.76
2010-07-23,22,35.80
2010-07-30,19,35.98
2010-08-06,22,35.98
2010-08-13,19,35.52
2010-08-20,26,34.82
2010-08-27,22,35.71
2010-09-03,21,36.12
2010-09-10,15,36.63
2010-09-17,19,35.88
2010-09-24,22,36.50
2010-10-01,20,36.22
2010-10-08,16,36.19
2010-10-15,17,35.94
2010-10-22,15,36.70
2010-10-29,15,37.44
2010-11-05,16,37.70
2010-11-12,15,36.52
2010-11-19,17,35.75
2010-11-26,10,35.85
2010-12-03,13,35.99
2010-12-10,21,35.64
2010-12-17,16,35.99
2010-12-24,12,
2010-12-31,15,35.98
2011-01-07,18,36.00
2011-01-14,14,35.45
2011-01-21,17,36.44
2011-01-28,18,35.86
2011-02-04,32,35.62
2011-02-11,17,35.86
2011-02-18,12,35.76
2011-02-25,18,35.28
2011-03-04,18,35.33
2011-03-11,16,35.81
2011-03-18,15,33.81
2011-03-25,17,34.71
2011-04-01,16,35.52
2011-04-08,16,35.31
2011-04-15,16,35.46
2011-04-22,16,
2011-04-29,22,36.48
2011-05-06,16,36.33
2011-05-13,15,37.58
2011-05-20,16,38.55
2011-05-27,19,38.32
2011-06-03,17,37.51
2011-06-10,16,37.12
2011-06-17,18,37.64
2011-06-24,25,37.10
2011-07-01,19,38.18
2011-07-08,11,38.35
2011-07-15,25,37.48
2011-07-22,20,37.71
2011-07-29,19,36.86
2011-08-05,22,36.24
2011-08-12,17,35.76
2011-08-19,19,37.06
2011-08-26,17,37.56
2011-09-02,19,37.98
2011-09-09,14,36.80
2011-09-16,15,37.52
2011-09-23,17,37.45
2011-09-30,16,38.02
2011-10-07,20,37.74
2011-10-14,16,38.66
2011-10-21,13,39.13
2011-10-28,16,39.42
2011-11-04,15,39.70
2011-11-11,15,39.52
2011-11-18,16,38.56
2011-11-25,14,37.20
2011-12-02,15,39.25
2011-12-09,15,39.73
2011-12-16,12,39.66
2011-12-23,13,41.57
2011-12-30,11,41.31
2012-01-06,15,40.79
2012-01-13,16,41.37
2012-01-20,12,41.01
2012-01-27,14,39.95
2012-02-03,17,39.58
2012-02-10,17,39.30
2012-02-17,14,39.73
2012-02-24,17,37.73
2012-03-02,16,37.96
2012-03-09,12,38.21
2012-03-16,12,38.73
2012-03-23,13,38.48
2012-03-30,15,38.58
2012-04-06,12,
2012-04-13,17,37.31
2012-04-20,14,38.33
2012-04-27,15,38.70
2012-05-04,13,38.58
2012-05-11,16,38.45
2012-05-18,16,37.75
2012-05-25,11,38.23
2012-06-01,15,38.39
2012-06-08,15,39.72
2012-06-15,13,39.94
2012-06-22,13,39.25
2012-06-29,46,39.90
2012-07-06,45,40.96
2012-07-13,17,41.69
2012-07-20,16,41.93
2012-07-27,13,42.42
2012-08-03,15,42.34
2012-08-10,17,43.55
2012-08-17,15,43.07
2012-08-24,13,42.80
2012-08-31,14,42.99
2012-09-07,15,43.46
2012-09-14,13,43.66
2012-09-21,13,44.01
2012-09-28,12,43.94
2012-10-05,14,44.22
2012-10-12,13,44.12
2012-10-19,15,44.98
2012-10-26,11,43.95
2012-11-02,18,44.23
2012-11-09,16,41.80
2012-11-16,14,41.52
2012-11-23,12,41.03
2012-11-30,15,42.65
2012-12-07,11,43.27
2012-12-14,11,42.84
2012-12-21,12,43.45
2012-12-28,12,42.21
2013-01-04,14,43.55
2013-01-11,11,43.24
2013-01-18,14,43.51
2013-01-25,12,44.46
2013-02-01,12,45.24
2013-02-08,11,44.57
2013-02-15,16,45.13
2013-02-22,12,46.18
2013-03-01,13,46.71
2013-03-08,15,47.49
2013-03-15,11,47.90
2013-03-22,13,47.86
2013-03-29,13,
2013-04-05,13,48.71
2013-04-12,13,49.98
2013-04-19,13,49.94
2013-04-26,13,50.54
2013-05-03,13,51.08
2013-05-10,11,48.82
2013-05-17,12,49.64
2013-05-24,12,47.71
2013-05-31,11,45.82
2013-06-07,15,46.15
2013-06-14,14,45.51
2013-06-21,14,43.78
2013-06-28,15,44.78
2013-07-05,14,44.28
2013-07-12,23,46.55
2013-07-19,17,47.14
2013-07-26,16,46.47
2013-08-02,12,46.58
2013-08-09,12,45.00
2013-08-16,12,43.31
2013-08-23,12,43.16
2013-08-30,11,42.80
2013-09-06,12,42.56
2013-09-13,16,42.62
2013-09-20,11,43.73
2013-09-27,14,43.44
2013-10-04,14,43.34
2013-10-11,12,44.27
2013-10-18,11,44.82
2013-10-25,11,47.28
2013-11-01,13,47.04
2013-11-08,11,46.25
2013-11-15,12,47.84
2013-11-22,15,47.70
2013-11-29,7,47.06
2013-12-06,12,47.10
2013-12-13,12,45.80
2013-12-20,11,46.72
2013-12-27,7,46.50
2014-01-03,10,46.11
2014-01-10,15,47.20
2014-01-17,10,46.77
2014-01-24,12,46.77
2014-01-31,13,48.81
2014-02-07,14,48.03
2014-02-14,13,50.11
2014-02-21,12,50.56
2014-02-28,15,50.20
2014-03-07,14,49.33
2014-03-14,17,50.11
2014-03-21,14,48.89
2014-03-28,8,50.00
2014-04-04,13,50.78
2014-04-11,9,50.90
2014-04-18,12,
2014-04-25,13,53.38
2014-05-02,9,
