Date,Home Depot,Price
2005-08-05,64,40.95
2005-08-12,64,41.28
2005-08-19,62,40.37
2005-08-26,60,39.81
2005-09-02,58,40.33
2005-09-09,56,41.22
2005-09-16,55,39.90
2005-09-23,56,38.53
2005-09-30,57,38.14
2005-10-07,55,37.80
2005-10-14,59,38.41
2005-10-21,55,39.65
2005-10-28,56,40.52
2005-11-04,57,41.36
2005-11-11,56,41.91
2005-11-18,57,42.44
2005-11-25,56,42.42
2005-12-02,64,41.67
2005-12-09,61,41.02
2005-12-16,56,42.50
2005-12-23,55,41.59
2005-12-30,59,40.48
2006-01-06,58,40.38
2006-01-13,54,41.91
2006-01-20,53,40.17
2006-01-27,54,40.00
2006-02-03,53,39.82
2006-02-10,50,39.22
2006-02-17,52,41.86
2006-02-24,55,41.63
2006-03-03,54,42.20
2006-03-10,54,41.25
2006-03-17,57,42.90
2006-03-24,58,43.12
2006-03-31,60,42.30
2006-04-07,64,42.10
2006-04-14,68,
2006-04-21,69,40.28
2006-04-28,67,39.93
2006-05-05,69,41.29
2006-05-12,67,40.00
2006-05-19,65,38.94
2006-05-26,69,38.67
2006-06-02,74,38.00
2006-06-09,69,36.95
2006-06-16,74,36.91
2006-06-23,67,36.41
2006-06-30,72,35.79
2006-07-07,74,35.37
2006-07-14,68,33.84
2006-07-21,73,33.85
2006-07-28,74,34.59
2006-08-04,71,34.71
2006-08-11,70,33.27
2006-08-18,67,34.77
2006-08-25,63,33.48
2006-09-01,64,34.64
2006-09-08,61,34.28
2006-09-15,57,37.22
2006-09-22,57,35.96
2006-09-29,57,36.27
2006-10-06,56,37.14
2006-10-13,55,36.90
2006-10-20,54,35.99
2006-10-27,57,37.07
2006-11-03,54,37.20
2006-11-10,55,36.64
2006-11-17,56,38.28
2006-11-24,59,37.72
2006-12-01,65,38.97
2006-12-08,59,38.80
2006-12-15,58,39.89
2006-12-22,57,38.89
2006-12-29,64,40.16
2007-01-05,67,39.79
2007-01-12,56,40.11
2007-01-19,54,40.55
2007-01-26,54,39.94
2007-02-02,53,40.83
2007-02-09,50,41.00
2007-02-16,54,41.44
2007-02-23,57,40.96
2007-03-02,53,39.01
2007-03-09,57,38.67
2007-03-16,58,37.51
2007-03-23,54,38.22
2007-03-30,65,36.74
2007-04-06,68,
2007-04-13,60,37.89
2007-04-20,64,39.21
2007-04-27,68,38.47
2007-05-04,70,38.90
2007-05-11,69,38.86
2007-05-18,66,38.88
2007-05-25,70,38.38
2007-06-01,71,39.21
2007-06-08,66,37.95
2007-06-15,67,37.95
2007-06-22,63,39.36
2007-06-29,66,39.35
2007-07-06,69,40.30
2007-07-13,67,40.87
2007-07-20,68,39.39
2007-07-27,65,36.75
2007-08-03,65,36.19
2007-08-10,64,35.92
2007-08-17,64,33.31
2007-08-24,61,34.68
2007-08-31,61,38.31
2007-09-07,59,34.21
2007-09-14,54,35.68
2007-09-21,55,34.47
2007-09-28,52,32.44
2007-10-05,53,34.22
2007-10-12,54,33.44
2007-10-19,50,30.76
2007-10-26,49,31.35
2007-11-02,53,30.40
2007-11-09,53,28.05
2007-11-16,54,29.07
2007-11-23,64,28.95
2007-11-30,67,28.56
2007-12-07,63,29.49
2007-12-14,54,26.63
2007-12-21,53,26.66
2007-12-28,55,26.68
2008-01-04,61,24.96
2008-01-11,51,24.71
2008-01-18,50,26.28
2008-01-25,50,28.53
2008-02-01,49,30.45
2008-02-08,50,27.97
2008-02-15,47,27.52
2008-02-22,52,27.77
2008-02-29,51,26.55
2008-03-07,53,25.88
2008-03-14,55,25.75
2008-03-21,56,
2008-03-28,60,27.38
2008-04-04,58,28.79
2008-04-11,61,28.17
2008-04-18,66,28.68
2008-04-25,70,29.78
2008-05-02,74,30.12
2008-05-09,70,27.98
2008-05-16,67,29.10
2008-05-23,72,26.77
2008-05-30,70,27.36
2008-06-06,68,27.18
2008-06-13,73,27.53
2008-06-20,67,26.25
2008-06-27,70,24.02
2008-07-04,70,
2008-07-11,70,21.58
2008-07-18,68,23.44
2008-07-25,67,23.80
2008-08-01,65,23.90
2008-08-08,64,26.37
2008-08-15,62,27.53
2008-08-22,59,27.11
2008-08-29,60,27.12
2008-09-05,60,28.59
2008-09-12,57,28.80
2008-09-19,58,27.37
2008-09-26,57,26.46
2008-10-03,56,23.81
2008-10-10,54,19.75
2008-10-17,53,20.21
2008-10-24,55,18.51
2008-10-31,52,23.59
2008-11-07,53,21.06
2008-11-14,59,20.54
2008-11-21,58,19.29
2008-11-28,61,23.11
2008-12-05,61,24.40
2008-12-12,58,23.47
2008-12-19,55,24.22
2008-12-26,58,23.56
2009-01-02,67,24.13
2009-01-09,53,23.86
2009-01-16,51,23.20
2009-01-23,50,21.72
2009-01-30,57,21.53
2009-02-06,49,23.53
2009-02-13,49,21.22
2009-02-20,52,19.46
2009-02-27,51,20.89
2009-03-06,54,18.00
2009-03-13,54,20.71
2009-03-20,57,22.16
2009-03-27,58,23.63
2009-04-03,62,25.00
2009-04-10,63,
2009-04-17,62,26.10
2009-04-24,66,26.31
2009-05-01,67,25.77
2009-05-08,67,25.50
2009-05-15,67,24.40
2009-05-22,68,22.86
2009-05-29,68,23.16
2009-06-05,65,24.17
2009-06-12,64,24.15
2009-06-19,68,23.52
2009-06-26,63,23.61
2009-07-03,66,
2009-07-10,64,22.52
2009-07-17,63,24.67
2009-07-24,62,25.32
2009-07-31,63,25.94
2009-08-07,61,27.26
2009-08-14,61,27.14
2009-08-21,60,27.50
2009-08-28,59,27.69
2009-09-04,58,27.03
2009-09-11,58,27.34
2009-09-18,53,28.23
2009-09-25,53,26.85
2009-10-02,54,26.03
2009-10-09,53,26.96
2009-10-16,53,27.26
2009-10-23,51,26.27
2009-10-30,51,25.09
2009-11-06,51,26.08
2009-11-13,53,27.34
2009-11-20,55,27.18
2009-11-27,64,27.61
2009-12-04,61,28.08
2009-12-11,57,28.49
2009-12-18,53,28.65
2009-12-25,51,
2010-01-01,62,
2010-01-08,53,28.98
2010-01-15,51,28.57
2010-01-22,53,27.72
2010-01-29,50,28.01
2010-02-05,51,27.98
2010-02-12,52,29.00
2010-02-19,53,30.15
2010-02-26,51,31.20
2010-03-05,53,31.80
2010-03-12,57,32.45
2010-03-19,61,32.36
2010-03-26,63,32.75
2010-04-02,69,
2010-04-09,72,33.25
2010-04-16,67,35.01
2010-04-23,70,36.39
2010-04-30,69,35.23
2010-05-07,69,33.43
2010-05-14,63,35.20
2010-05-21,66,33.02
2010-05-28,70,33.86
2010-06-04,69,32.15
2010-06-11,63,32.22
2010-06-18,63,31.94
2010-06-25,62,30.20
2010-07-02,66,27.76
2010-07-09,67,28.26
2010-07-16,63,27.11
2010-07-23,63,28.25
2010-07-30,60,28.51
2010-08-06,63,28.68
2010-08-13,60,27.31
2010-08-20,59,28.17
2010-08-27,57,28.74
2010-09-03,58,29.85
2010-09-10,62,29.68
2010-09-17,54,29.89
2010-09-24,55,31.64
2010-10-01,54,31.82
2010-10-08,53,31.89
2010-10-15,53,30.70
2010-10-22,54,31.48
2010-10-29,52,30.90
2010-11-05,54,31.92
2010-11-12,60,31.44
2010-11-19,63,31.22
2010-11-26,73,31.00
2010-12-03,66,33.48
2010-12-10,61,34.40
2010-12-17,56,35.10
2010-12-24,55,
2010-12-31,69,35.06
2011-01-07,58,34.38
2011-01-14,53,35.89
2011-01-21,55,36.51
2011-01-28,54,36.70
2011-02-04,58,36.80
2011-02-11,52,37.48
2011-02-18,57,38.48
2011-02-25,58,37.08
2011-03-04,58,37.22
2011-03-11,56,37.14
2011-03-18,58,36.00
2011-03-25,64,37.42
2011-04-01,65,37.56
2011-04-08,67,37.46
2011-04-15,68,38.17
2011-04-22,72,
2011-04-29,72,37.15
2011-05-06,69,36.99
2011-05-13,73,37.01
2011-05-20,73,37.05
2011-05-27,78,36.00
2011-06-03,83,34.63
2011-06-10,74,33.47
2011-06-17,72,34.53
2011-06-24,69,35.08
2011-07-01,76,36.73
2011-07-08,77,36.62
2011-07-15,72,35.91
2011-07-22,72,36.52
2011-07-29,70,34.93
2011-08-05,72,30.74
2011-08-12,69,30.58
2011-08-19,70,31.88
2011-08-26,72,34.00
2011-09-02,72,32.18
2011-09-09,69,31.87
2011-09-16,65,34.61
2011-09-23,62,33.72
2011-09-30,61,32.87
2011-10-07,62,33.92
2011-10-14,57,35.05
2011-10-21,58,36.86
2011-10-28,59,36.12
2011-11-04,60,36.39
2011-11-11,63,38.06
2011-11-18,66,37.88
2011-11-25,79,36.47
2011-12-02,71,39.94
2011-12-09,65,40.23
2011-12-16,62,40.42
2011-12-23,60,42.09
2011-12-30,66,42.04
2012-01-06,63,43.20
2012-01-13,59,43.51
2012-01-20,62,44.51
2012-01-27,58,44.87
2012-02-03,60,45.17
2012-02-10,58,45.33
2012-02-17,57,46.71
2012-02-24,62,46.98
2012-03-02,62,47.41
2012-03-09,63,48.10
2012-03-16,68,49.05
2012-03-23,73,49.54
2012-03-30,72,50.31
2012-04-06,75,
2012-04-13,69,50.96
2012-04-20,72,51.46
2012-04-27,72,51.95
2012-05-04,76,51.96
2012-05-11,73,50.34
2012-05-18,73,47.05
2012-05-25,81,49.44
2012-06-01,80,47.96
2012-06-08,74,52.35
2012-06-15,74,51.87
2012-06-22,75,52.02
2012-06-29,77,52.99
2012-07-06,83,52.15
2012-07-13,73,52.09
2012-07-20,73,50.70
2012-07-27,71,53.71
2012-08-03,71,52.29
2012-08-10,72,53.06
2012-08-17,73,56.73
2012-08-24,73,56.96
2012-08-31,71,56.75
2012-09-07,70,57.26
2012-09-14,65,59.46
2012-09-21,65,59.42
2012-09-28,62,60.37
2012-10-05,66,63.20
2012-10-12,64,59.56
2012-10-19,63,61.89
2012-10-26,66,60.04
2012-11-02,71,62.02
2012-11-09,68,60.96
2012-11-16,72,62.12
2012-11-23,88,64.82
2012-11-30,78,65.07
2012-12-07,71,64.45
2012-12-14,66,62.06
2012-12-21,64,61.32
2012-12-28,70,60.65
2013-01-04,77,63.18
2013-01-11,62,63.70
2013-01-18,61,65.47
2013-01-25,65,67.82
2013-02-01,63,67.30
2013-02-08,63,67.01
2013-02-15,64,67.52
2013-02-22,67,65.58
2013-03-01,68,69.03
2013-03-08,67,71.37
2013-03-15,71,69.05
2013-03-22,73,69.56
2013-03-29,75,
2013-04-05,84,70.06
2013-04-12,85,73.62
2013-04-19,87,74.00
2013-04-26,87,73.35
2013-05-03,91,73.96
2013-05-10,92,76.01
2013-05-17,86,76.86
2013-05-24,93,78.99
2013-05-31,95,78.66
2013-06-07,87,78.74
2013-06-14,90,76.59
2013-06-21,86,73.82
2013-06-28,89,77.47
2013-07-05,97,78.29
2013-07-12,89,80.54
2013-07-19,87,79.89
2013-07-26,83,78.74
2013-08-02,84,80.23
2013-08-09,83,78.97
2013-08-16,81,75.38
2013-08-23,80,73.89
2013-08-30,80,74.49
2013-09-06,83,72.70
2013-09-13,73,75.11
2013-09-20,73,77.00
2013-09-27,71,75.96
2013-10-04,69,75.78
2013-10-11,70,76.32
2013-10-18,73,74.69
2013-10-25,70,76.25
2013-11-01,71,76.99
2013-11-08,77,75.48
2013-11-15,82,80.03
2013-11-22,79,79.18
2013-11-29,100,80.67
2013-12-06,88,79.84
2013-12-13,75,79.01
2013-12-20,70,80.04
2013-12-27,76,81.64
2014-01-03,87,81.89
2014-01-10,73,82.01
2014-01-17,70,81.00
2014-01-24,71,79.16
2014-01-31,70,76.85
2014-02-07,66,76.45
2014-02-14,73,77.93
2014-02-21,75,77.74
2014-02-28,74,82.03
2014-03-07,74,82.55
2014-03-14,76,79.38
2014-03-21,78,80.42
2014-03-28,81,78.72
2014-04-04,87,78.72
2014-04-11,90,75.70
2014-04-18,94,
2014-04-25,93,79.38
2014-05-02,94,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
